qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
1082595,what is meant by mobile technology?,0.3564,10,backtranslation_arb_arab,0.4069,What does mobile technology mean,backtranslation_pes_arab,0.4069,What does mobile technology mean,backtranslation_fra_latn,0.4069,What does mobile technology mean,backtranslation_deu_latn,0.4069,What does mobile technology mean,backtranslation_rus_cyrl,0.4069,What does mobile technology mean,backtranslation_yue_hant,0.3868,What is mobile technology,backtranslation_kor_hang,0.3868,What is mobile technology,backtranslation_tam_taml,0.3868,What is mobile technology,backtranslation_swh_latn,0.3868,what is mobile technology,backtranslation_zsm_latn,0.3701,What do you mean  mobile technology
3239329,Why do we wee a lot in the cold weather especially at night?,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874326,How come Compton is only designated for black people?,0.0737,9,backtranslation_kor_hang,0.1049,Why is Compton for black people,backtranslation_arb_arab,0.0943,How come Compton was only for black people,backtranslation_fra_latn,0.0939,How come Compton is reserved for blacks,backtranslation_yue_hant,0.087,Why is Compton designed for black people,backtranslation_pes_arab,0.0853,Why is Compton only for blacks,backtranslation_deu_latn,0.0853,Why is Compton only for blacks,backtranslation_rus_cyrl,0.0853,Why is the Compton only for blacks,backtranslation_zsm_latn,0.0853,Why is Compton only for blacks,backtranslation_tam_taml,0.0806,Why is Compton only appointed by black people,,,
1254390,how do i deap fry chicken?,0.2307,2,backtranslation_zsm_latn,0.243,How can I fry chicken,backtranslation_pes_arab,0.2389,How do I fry chicken,,,,,,,,,,,,,,,,,,,,,,,,
4018891,How do I know if a particular term or phrase is copyrighted?,0.2012,3,backtranslation_swh_latn,0.2345,How do I know if a word or a statement has copyright,backtranslation_yue_hant,0.2282,How do I know if a word or phrase has copyright,backtranslation_tam_taml,0.2171,How do I know if a particular word or phrase is copyrighted,,,,,,,,,,,,,,,,,,,,,
3552010,Why do parent put kids on restriction?,0.1355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968489,Which auto insurance do you use and why?,0.3276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443848,Does anybody know where i could get a free guide on how to train a siberian husky?,0.5694,6,backtranslation_kor_hang,0.5876,Does anyone know where to find a free guide to training Siberian Huskies,backtranslation_deu_latn,0.5791,Does anyone know where I can find a free guide to training a Siberian Husky,backtranslation_arb_arab,0.5775,Does anyone know where I can get a free guide on how to train a Siberian Husky,backtranslation_zsm_latn,0.5775,Does anyone know where I can get a free guide on how to train a Siberian Husky,backtranslation_tam_taml,0.5775,Does anyone know where I can get a free guide on how to train a Siberian Husky,backtranslation_fra_latn,0.5769,Does anyone know where I can find a free guide on how to train a Siberian husky,,,,,,,,,,,,
4372730,Why doesn't the bible make any sense?,0.0833,1,backtranslation_zsm_latn,0.1045,Why does the Bible make sense,,,,,,,,,,,,,,,,,,,,,,,,,,,
896725,what are some good exercises to get rid of those love handles?,0.1803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180086,what are mormens?,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34041,what are the symptoms of strep throat?,0.7306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229303,Why  is  the   war continuing  in  Afghanistan?,0.3313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446614,how could u get success?,0.306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654124,Why am I not able to concentrate on my studies?,0.2467,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577501,what are some signs that puberty is beginning?,0.3799,1,backtranslation_fra_latn,0.4179,What are the signs that puberty is beginning,,,,,,,,,,,,,,,,,,,,,,,,,,,
8293,Why do men fantasized about raping women?,0.3964,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012558,what is the term milky way?,0.4831,3,backtranslation_rus_cyrl,0.5338,What is the Milky Way,backtranslation_swh_latn,0.5338,What is the Milky Way,backtranslation_fra_latn,0.5111,What is the end of the Milky Way,,,,,,,,,,,,,,,,,,,,,
922849,why do some people take life so seriously?,0.1064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976644,How amoeba catches its prey?,0.4029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866981,"I know how I got here, but how did you?",0.0052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467100,What does sholomister mean?,0.0,2,backtranslation_arb_arab,0.0025,What do you mean   Scholemster,backtranslation_zsm_latn,0.0025,What do you mean  Sholomister,,,,,,,,,,,,,,,,,,,,,,,,
2551845,Why is GW dogged for not getting OBL yet killing Zarkawi is a non-event?,0.2273,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559048,How do you sell a junk car without a title?,0.4593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823384,why did the army have personal cuts in the mid 1990's?,0.0496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849221,when it comes to religion why dont people realize history repeats itself?,0.1512,1,backtranslation_swh_latn,0.1695,Why do people not realize that history repeats itself,,,,,,,,,,,,,,,,,,,,,,,,,,,
3280768,why is islam so hated in america?,0.139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288761,How can i stop my husband from exhuming my baby's body for compensation?,0.0947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2847807,How can I get rid of the hicups?,0.2577,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018562,"Why does my Black Lab howl to ""Law and Order"" theme song?",0.3736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035857,Why are liberals so quick to defend Saddam?,0.3516,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008017,why do black people like fried chicken somuch?,0.2886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862795,How does spending prolonged time in microgravity affect the bodies of astronauts?,0.2605,6,backtranslation_pes_arab,0.3871,How does spending a long time in the microgravity affect the astronauts  bodies,backtranslation_fra_latn,0.3859,How does microgravity affect astronauts,backtranslation_rus_cyrl,0.36,How long does microgravity affect astronaut bodies,backtranslation_deu_latn,0.3033,How does a long period of time in microgravity affect the bodies of astronauts,backtranslation_tam_taml,0.3019,How does spending long periods of time in microgravity affect the bodies of astronauts,backtranslation_yue_hant,0.2854,How does the long time spent in microgravity affect the astronaut s body,,,,,,,,,,,,
421753,how to get rid of a skunk?,0.3953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477322,Why do people say Germans are racists?,0.1335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607728,what causes gray facial hair in men?,0.4215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103830,Why do man Arabs hate the west ?,0.2461,9,backtranslation_yue_hant,0.258,Why do Arabs hate the West,backtranslation_kor_hang,0.258,Why do Arabs hate the West,backtranslation_pes_arab,0.258,Why do Arabs hate the West,backtranslation_fra_latn,0.258,Why do the Arabs hate the West,backtranslation_deu_latn,0.258,Why do the Arabs hate the West,backtranslation_rus_cyrl,0.258,Why do the Arabs hate the West,backtranslation_zsm_latn,0.258,Why do Arabs hate the West,backtranslation_tam_taml,0.258,Why do the Arabs hate the West,backtranslation_swh_latn,0.258,Why do the Arabs hate the West,,,
3971195,How do i get my pitbull more agressive?,0.3353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4153592,what can make someones ear's stink?,0.0796,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382487,what do i do if i have not started my period in like almost 6 months?,0.0667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380990,Why am I alive?,0.0543,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484496,Why a man float on water when he dies?,0.1147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003223,What are the marketing gimmicks that will attract males?,0.2637,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185395,how can i cure the std or the sexually transmitted disease?,0.5123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292734,what color you like the most and why?,0.0241,7,backtranslation_pes_arab,0.0332,What color do you like  and why,backtranslation_zsm_latn,0.0332,What color do you like and why,backtranslation_kor_hang,0.0307,What color do you like best  Why,backtranslation_arb_arab,0.0307,What color do you like best and why,backtranslation_deu_latn,0.0307,What color do you like best  and why,backtranslation_rus_cyrl,0.0307,What color do you like best  and why,backtranslation_swh_latn,0.0307,What color do you like best  and why,,,,,,,,,
3389038,why the media in US and Europe is always attacking the Arabs and Islam without finding the truth about them?,0.1396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474417,"what does the prefix ""cyclo"" mean in greek mythology?",0.4024,1,backtranslation_swh_latn,0.4228,What is the prefix  cyclo  in Greek mythology,,,,,,,,,,,,,,,,,,,,,,,,,,,
3278654,Why do Kamikaze pilots wear helmets?,0.5441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4365565,How Does Water Pressure Change?,0.076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354733,What are the names of some famous photographers and why do their work stand up?,0.0955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224109,what is citriscidal?,0.0,3,backtranslation_pes_arab,0.25,What is citricidal,backtranslation_rus_cyrl,0.25,What is citricide,backtranslation_tam_taml,0.25,What is Citricidal,,,,,,,,,,,,,,,,,,,,,
4126337,Why does my friend buy...?,0.0373,3,backtranslation_fra_latn,0.0473,Why is my friend buying,backtranslation_deu_latn,0.0473,Why is my friend buying,backtranslation_rus_cyrl,0.0473,Why is my friend buying,,,,,,,,,,,,,,,,,,,,,
1957887,How can I hunt down and punch the people that keep spamming me?,0.1737,3,backtranslation_pes_arab,0.1864,How can I find and beat up people who always spam me,backtranslation_deu_latn,0.1802,How can I find and beat the people who still spam me,backtranslation_rus_cyrl,0.1757,How can I catch and beat people who keep spamming me,,,,,,,,,,,,,,,,,,,,,
78762,why do i have pterofobia?,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159716,"How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?",0.2704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481173,"why live, when your in misery?",0.279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814722,why is the new jersey smoking ban not considered unconstitutional?,0.2405,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
