qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
12,djs,0.0411,12,Other things ,0.0,12,I m not sure ,0.0,12,The DGS  ,0.0,12,J J ,0.0,12,Other,0.0,12,DJs,0.0411,12,  What  ,0.0,12,The Djs,0.0411,12,JS,0.0,12,The D J S ,0.0
13,map,0.0537,13,The picture ,0.0,13,Map of the world,0.0,13,A map  ,0.0537,13,The plan ,0.0,13,map,0.0537,13,Map,0.0537,13,Map of the city,0.0012,13,Map,0.0537,13,map,0.0537,13,Map of the area,0.001
14,dinosaurs,0.0455,14,The dinosaurs ,0.0455,14,The dinosaurs ,0.0455,14,The dinosaurs  ,0.0455,14,The dinosaurs ,0.0455,14,the dinosaurs,0.0455,14,Other animals,0.0,14,The dinosaurs,0.0455,14,The dinosaurs,0.0455,14,The Dinosaurs,0.0455,14,dinosaurs,0.0455
15,espn sports,0.2217,15,Exercise,0.0,15,Sports,0.0,15,Sports  ,0.0,15,Sports,0.0,15,sports,0.0,15,Sports,0.0,15,sports,0.0,15,sports,0.0,15,games,0.0,15,sports spn,0.0
16,arizona game and fish,0.1585,16,Arizona wildlife and fish ,0.0414,16,Arizona  wildlife and fish ,0.0414,16,Arizona fishing and boating  ,0.0605,16,And the Arizona fish ,0.0952,16,Arizona hunting and fishing,0.0695,16,Arizona Wild and Fish,0.029,16,Fish and wild fish Arizona,0.032,16,Arizona game and fish,0.1585,16,Arizona hunting and fishing,0.0695,16,Arizona game and fish,0.1585
17,poker tournaments,0.0712,17,The poker tournament ,0.0712,17,The poker tournament ,0.0712,17,The poker tournaments  ,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712,17,poker tournaments,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712
18,wedding budget calculator,0.101,18,A wedding budget calculator ,0.101,18,The wedding budget calculator,0.101,18,Accounting for the wedding budget,0.0433,18,The wedding car budget account ,0.0087,18,wedding budget calculator,0.101,18,Wedding budget calculator,0.101,18,The wedding budget calculator,0.101,18,marriage estimate calculator,0.0,18,Marriage Budget Survey,0.0,18,budget calculator for a wedding,0.101
19,the current,0.0,19,The flow ,0.0,19,The current ,0.0,19,The current  ,0.0,19,The flow ,0.0,19,the current,0.0,19,The electricity,0.0,19,the current,0.0,19,Current,0.0,19,current,0.0,19,now,0.0
20,defender,0.0,20,The defender ,0.0,20,The guard ,0.0,20,The guns  ,0.0,20,Defence,0.0,20,defendant,0.0,20,Defender,0.0,20,The defendant,0.0,20,Defence,0.0,20,The guardian,0.0,20,a guard,0.0
21,volvo,0.2773,21,Volvo is a car ,0.0469,21,Let s see ,0.0,21,  What  ,0.0,21,The Volvo ,0.2773,21,back to,0.0,21,The Commission shall adopt implementing acts in accordance with Article    of this Regulation ,0.0,21,Volvo is,0.2773,21,Volvo,0.2773,21,The Volvo,0.2773,21,volvo,0.2773
22,rick warren,0.3108,22,Rick Warren is the author of,0.2818,22,Rick Warren  you know what ,0.1997,22,Rick Warren  ,0.3108,22,Rick Warren ,0.3108,22,Rick Warren,0.3108,22,Rick warren,0.3108,22,Rick Warren,0.3108,22,Rick Warren is,0.3108,22,Rick Warren,0.3108,22,Rick Warren,0.3108
23,yahoo,0.0048,23,The galaxy ,0.0,23,You know  Yahoo ,0.0014,23,Oh   yeah  ,0.0,23,You know  yahoo ,0.0014,23,the yahoo,0.0048,23,Yahoo,0.0048,23,Oh   my God  ,0.0,23,Yahoo ,0.0048,23,Yago,0.0,23,the yahoo,0.0048
24,diversity,0.0808,24,Diversity is a big thing ,0.0052,24,Diversity,0.0808,24,The diversity  ,0.0808,24,Diversity,0.0808,24,diversity,0.0808,24,The diversity,0.0808,24,The diversity,0.0808,24,Diversity,0.0808,24,diversity,0.0808,24,difference,0.0
25,euclid,0.1694,25,My son ,0.0,25,Euclid ,0.1694,25,The Oakleads  ,0.0,25,I m going to take a look ,0.0,25,The mill,0.0,25,The following is a list of the countries of the European Union ,0.0,25,Euclid,0.1694,25,Euclid,0.1694,25,Eclipse,0.0,25,Euclid,0.1694
26,lower heart rate,0.1014,26,It s a heartbeat ,0.0,26,And the heart rate is lower ,0.1014,26,Lower heart rate  ,0.1014,26,Lower heart rate ,0.1014,26,lower heart rate,0.1014,26,lower heart rate,0.1014,26,decreased heart rate,0.0194,26,lower heart rate,0.1014,26,Heart rate decreases,0.0194,26,low heart rate,0.0242
27,starbucks,0.1012,27,This is Starbucks ,0.1012,27,I m not going to stop ,0.0,27,I  m not  ,0.0,27,I m going to start ,0.0,27,the stars,0.0,27,Other articles of heading No ,0.0,27,The Sturbrooks,,27,Starbucks is a great place to start ,0.0265,27,The Starbucks,0.1012,27,Starbucks,0.1012
28,inuyasha,0.1619,28,Inouasha ,,28,I m not going to lie ,0.0,28,Inuyasha  ,0.1619,28,Inuyasha ,0.1619,28,at the same time,0.0,28,inuyasha,0.1619,28,Inuyasha,0.1619,28,Inuyasha,0.1619,28,Inuyasha,0.1619,28,in the fire,0.0
29,ps 2 games,0.0101,29,PS   game ,0.013,29,PS  game,0.013,29,PS   games,0.013,29,PS  game,0.013,29,PS   games,0.013,29,PS   Games,0.013,29,PS  of the game,0.013,29,PS  game,0.013,29,ps   games,0.013,29,PS   games,0.013
30,diabetes education,0.1146,30,Diabetes education,0.1146,30,Education for Diabetes,0.1146,30,Diabetes education,0.1146,30,Diabetes education,0.1146,30,education in diabetes,0.1146,30,Education in the field of diabetes,0.0839,30,education in the field of diabetes,0.0839,30,education diabetes,0.1146,30,education in diabetes,0.1146,30,education of diabetes,0.1146
31,atari,0.2842,31,Itari ,0.0,31,Atari  please ,0.1706,31,I  m not going to  ,0.0,31,You re not ,0.0,31,the flow rate,0.0,31,  not,,31,The atrium,0.0,31,The atrium,0.0,31,the atrium,0.0,31,the heather,0.0
32,website design hosting,0.035,32,Design  hosting  and hosting ,0.0049,32,Web design hosting,0.007,32,Hosted site design,0.0088,32,Web design,0.0014,32,web design hosting,0.007,32,Web design hosting,0.007,32,Web hosting,0.0002,32,hosting website design,0.035,32,Web design hosting,0.007,32,Web design hosting,0.007
33,elliptical trainer,0.2794,33,Formally trained cars ,0.0,33,The elevator trainer ,0.0005,33,The abdominal trainer  ,0.0152,33,Coach of the Jacuzzi ,0.0,33,Other,0.0,33,Other  of a kind used for the manufacture of electrical equipment,0.0,33,The elliptical coach,0.0992,33,elliptical trainer,0.2794,33,Elevator training,0.0,33,elliptical trainer,0.2794
34,cell phones,0.0195,34,The phone ,0.0048,34,I m going to call you ,0.0,34,Cell phones  ,0.0195,34,The cell phone ,0.0195,34,mobile phones,0.0007,34,Other mobile phones,0.0006,34,The mobile phones,0.0007,34,cell phone,0.0195,34,cell phone,0.0195,34,mobile phones,0.0007
35,hoboken,0.3383,35,It s not ,0.0,35,I m not sure ,0.0,35,The loaded one  ,0.0,35,The Hoboken ,0.3383,35,waste,0.0,35,Keyword,0.0,35,Overtime,0.0,35,Sweating,0.0,35,The man was paralyzed ,0.0,35,dreaming,0.0
36,gps,0.0461,36,GPS is the key ,0.0041,36,GPS is the best ,0.0385,36,The information detectors,0.0,36,The GPS ,0.0461,36,GPS,0.0461,36,GPS,0.0461,36,GPS is,0.0461,36,GPS is on ,0.0461,36,GPS,0.0461,36,GPS,0.0461
37,pampered chef,0.0349,37,The teacher of eating ,0.0,37,A cook ,0.0,37,A cooking obsessed  ,0.0,37,She s a great cook ,0.0,37,lazy cook,0.0,37,Nice cook,0.0,37,The lost chef ,0.0,37,The Chef is taken care of,0.001,37,The cook is a delightful cook ,0.0,37,A lovely chef,0.0
38,dogs for adoption,0.0512,38,Keeping dogs ,0.0001,38,Adopted dog ,0.0512,38,Dogs that were adopted ,0.0322,38,Dogs for the pot ,0.0,38,dogs to adopt,0.0512,38,Dogs for adoption,0.0512,38,Dogs for adoption,0.0512,38,to adopt a dog,0.0512,38,Dogs to Be Raised,0.0,38,a breeding dog,0.0
39,disneyland hotel,0.0618,39,The Disneyland Hotel ,0.0618,39,The Disneyland Hotel ,0.0618,39,The Disneyland Hotel  ,0.0618,39,The Disneyland Hotel ,0.0618,39,Disneyland hotel,0.0618,39,The Disneyland Hotel,0.0618,39,The Disneyland Hotel,0.0618,39,Disneyland hotel,0.0618,39,The Disneyland Hotel,0.0618,39,Disneyland hotel,0.0618
40,michworks,0.0397,40,The factory ,0.0,40,Michino ,0.0,40,Projects,0.0,40,You do the work ,0.0,40,Manufacturing works,0.0,40,I work,0.0,40,Michelle  ,0.0,40,Work,0.0,40,Mycware,,40,michworks,0.0397
41,orange county convention center,0.0596,41,The State Convention Center ,0.0006,41,The Orange County Convention Center,0.0596,41,The convention center in Orange County,0.0596,41,Orange County Convention Center,0.0596,41,Orange County Convention Center,0.0596,41,Orange County Convention Center,0.0596,41,Orange County convention center,0.0596,41,Orange district convention center,0.0295,41,Orange District Convention Center,0.0295,41,Orange County convention center,0.0596
42,the music man,0.0037,42,Musicians ,0.0,42,I m a musician ,0.0,42,The music man ,0.0037,42,The music man ,0.0037,42,The man of music,0.0037,42,The musician,0.0,42,A musician,0.0,42,The music guy,0.0,42,Music man,0.0037,42,Music man,0.0037
43,the secret garden,0.2192,43,The secret garden ,0.2192,43,The secret garden ,0.2192,43,The secret garden  ,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,Secret garden,0.2192,43,The Secret Garden,0.2192,43,a secret garden,0.2192
44,map of the united states,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,The United States map,0.0243,44,map of the United States,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,map of the United States,0.0243,44,Map of the United States,0.0243,44,map of the United States,0.0243
45,solar panels,0.1316,45,Solar panels ,0.1316,45,Solar panel,0.1316,45,The solar panels  ,0.1316,45,Solar panels,0.1316,45,solar panels,0.1316,45,Solar cells,0.0033,45,The solar panels,0.1316,45,Solar panel,0.1316,45,Solar powered boxes,0.0104,45,Sunspots,0.0
46,alexian brothers hospital,0.322,46,The Alexian Brothers Hospital ,0.322,46,The Alexian Brothers Hospital ,0.322,46,The Alexian Brothers Hospital  ,0.322,46,The hospital of the Alexins ,0.0,46,The Alexia Brothers Hospital,0.0,46,The Alexian Brothers Hospital,0.322,46,The Alexian Brothers Hospital,0.322,46,hospital of the alexian brothers,0.322,46,The hospital of the Brotherhood of Alexians,0.186,46,Brother Alexia s hospital,0.0
47,indexed annuity,0.1519,47,The indexed annuity,0.1519,47,The yearly index,0.0004,47,The revised annual,0.0,47,Indicated annually,0.0,47,indexed annuity,0.1519,47,Indexed annuity,0.1519,47,indexed annuity rate,0.1272,47,annuity index,0.1519,47,Indicative year,0.0,47,annuity indexed,0.1519
48,wilson antenna,0.0287,48,Wilson TV ,0.0,48,The Wilson antenna ,0.0287,48,I  m a fan of Wilson  ,0.0,48,It s not like that ,0.0,48,Wilson s antenna,0.0271,48,Antenna by Wilson,0.0287,48,The Wilson antenna,0.0287,48,Wilson antenna is,0.0287,48,Wilson radio,0.0455,48,Wilson antenna,0.0287
49,flame designs,0.1548,49,Design for burning ,0.0,49,Fire design,0.0,49,Fire designs  ,0.0,49,Fire designs ,0.0,49,patterns of flames,0.0008,49,Flame designs,0.1548,49,flame fuelled structures,0.0,49,Fire design,0.0,49,How to Design Fire,0.0,49,fire structures,0.0
50,dog heat,0.0183,50,It s hot ,0.0,50,Ten dogs ,0.0001,50,The dog heat  ,0.0183,50,Hot dog ,0.0002,50,the dog s heat,0.015,50,Hot dogs,0.0002,50,The dog  s warmth,0.0004,50,Hot dogs,0.0002,50,Dog Heat,0.0183,50,hot dog,0.0002
51,horse hooves,0.2277,51,The horse ,0.0002,51,The horse s tail ,0.0007,51,The horse s heels ,0.0297,51,Horse shoes ,0.0382,51,horse knives,0.0,51,Horse hoods,0.0,51,The final cops,0.0,51,The horse s heel,0.0297,51,The horse and the horse,0.0002,51,horse shoes,0.0382
52,avp,0.1466,52,Other things ,0.0,52,Abby  please ,0.0,52,A B ,0.0,52,  Yes  I did ,0.0,52,The,,52,The,,52,The APP,0.0,52,conveying,0.0,52,Abbey,0.0,52,of,
53,discovery channel store,0.0522,53,I found the Channel Store ,0.016,53,Search channel store,0.0136,53,The Discovery Channel shop  ,0.0071,53,The Discovery Channel store ,0.0522,53,channel store,0.025,53,I m not sure if this is true ,0.0,53,opening channel shop,0.0,53,channel discovery shop,0.0071,53,Detection channel shop,0.0,53,storage of the discovery center,0.0
54,president of the united states,0.1551,54,The President of the United States ,0.1551,54,The President of the United States ,0.1551,54,President of the United States  ,0.1551,54,The President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551,54,The President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551,54,President of the United States,0.1551
55,iron,0.0908,55,Iron ,0.0908,55,Iron ,0.0908,55,The iron  ,0.0908,55,Iron ,0.0908,55,iron,0.0908,55,Iron,0.0908,55,iron,0.0908,55,Iron,0.0908,55,iron,0.0908,55,iron,0.0908
56,uss yorktown charleston sc,0.0114,56,I m from Charleston  Yonkers  USA ,0.0,56,Yorktown Charleston  SC  USA,0.0007,56,We are in Yorktown Charleston  SC ,0.0011,56,We are Yorktown ,0.0238,56,We are in Yorktown Charleston SC,0.0011,56,We  re in Yorktown Charleston   SC  ,0.0014,56,We  re in Yorktown   Charleston   SC  ,0.0014,56,USs Yorktown Charleston SC,0.0114,56,The United States is a member of the Charleston S C ,0.0,56,The United States Yorktown Charleston SC,0.0029
57,ct jobs,0.213,57,work ,0.0,57,I m on the job ,0.0,57,Jobs,0.0,57,Jobs,0.0,57,Employment,0.0,57,Employment,0.0,57,IT work,0.0,57,The job,0.0,57,jobs,0.0,57,work,0.0
58,penguins,0.0831,58,Stand up and be counted ,0.0,58,Penguins ,0.0831,58,The penguin  ,0.0831,58,Penguins ,0.0831,58,Penguins,0.0831,58,Penguins,0.0831,58,The penguins,0.0831,58,The penguin,0.0831,58,Penguins,0.0831,58,Penguins,0.0831
59,how to build a fence,0.0135,59,How to do this ,0.0,59,How to build a fence,0.0135,59,How to build a fence  ,0.0135,59,How to build a fence ,0.0135,59,how to build a fence,0.0135,59,How to Build a Fence,0.0135,59,How to build a fence,0.0135,59,How to build a fence,0.0135,59,How to Build a Wall,0.0,59,how to build a yard,0.0004
60,bellevue,0.1585,60,The beauty ,0.0,60,Bellevue ,0.1585,60,Belvio  what are you doing ,0.0,60,Blue  please ,0.0,60,Bellevue,0.1585,60,Bellevue,0.1585,60,  I m going to the Bellevue,0.0426,60,Bellevue is,0.1585,60,Belvive,0.0,60,Bellevue,0.1585
61,worm,0.0356,61,The worm ,0.0356,61,I m not sure ,0.0,61,The worm ,0.0356,61,The cream ,0.0,61,see it,0.0,61,Other worms,0.0201,61,The worm,0.0356,61,Worms,0.0356,61,eagle,0.0,61,a butterfly,0.0
62,texas border patrol,0.3848,62,Texas border patrol ,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol  ,0.3848,62,Texas border patrol,0.3848,62,Texas Border Patrol,0.3848,62,Border Patrol of Texas,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol,0.3848,62,Texas Border Patrol,0.3848,62,Texas border guard,0.2478
63,flushing,0.1087,63,Water ,0.0,63,I m not going to be able to get out of here ,0.0,63,The magic  ,0.0,63,Washing up ,0.0,63,pollution,0.0,63,Shaking,0.0,63,washing,0.0,63,Sweating,0.0,63,washing,0.0,63,showering,0.0
64,moths,0.117,64,Butterflies,0.0003,64,The butterfly ,0.0003,64,The surprises  ,0.0,64,The stars ,0.0,64,the flies,0.0,64,Oh   my dear  ,0.0,64,The motto,0.0,64,The legs,0.0,64,Beans,0.0,64,butterflies,0.0003
65,korean language,0.1988,65,Korean ,0.028,65,Korean,0.028,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean language,0.1988,65,Korean,0.028,65,Korean,0.028,65,Korean,0.028
66,income tax return online,0.0016,66,Tax returns online,0.0031,66,Reporting income tax online,0.0005,66,Tax returns on the Internet,0.0001,66,Pay back taxes on online income,0.0001,66,online income statement,0.0002,66,Income tax return online,0.0016,66,Online registration of the tax report,0.0,66,online income tax declaration,0.0003,66,Income tax return online,0.0016,66,reporting income tax online,0.0005
67,vldl levels,0.1438,67,The place ,0.0,67,Vldl level,0.1438,67,Levels,0.0,67,Vldl level,0.1438,67,Vldl levels,0.1438,67,Vldl levels,0.1438,67,The levels,0.0,67,Vldl level,0.1438,67,Vldl levels,0.1438,67,Vldl standards,0.1081
68,pvc,0.055,68,It s not ,0.0,68,Pvc,0.055,68,The equipment  ,0.0,68,The PvC,0.055,68,Pvc,0.055,68,Manufacture from materials of heading    ,0.0,68,The PFC,0.0,68,Pvc,0.055,68,the PVC,0.055,68,the pvc,0.055
69,sewing instructions,0.1316,69,Follow the instructions ,0.0,69,The line,0.0,69,Sewing instructions,0.1316,69,The sewing instructions ,0.1316,69,instructions for sewing,0.1316,69,Nailers,0.0,69,instructions for sewing,0.1316,69,sewing instructions,0.1316,69,Sewing methods,0.012,69,Instructions for sewing,0.1316
70,to be or not to be that is the question,0.0,70,Whether you do it or not is the question ,0.0,70,Whether or not you should be that person is the problem ,0.0,70,To be or not to be is the question ,0.0,70,That s the question of whether or not it should be ,0.0,70,to be or not to be is the question,0.0,70,That  s the question  ,0.0,70,To be or not to be  that s the question ,0.0,70,To be or not to be that is a question,0.0,70,The question is whether or not to be ,0.0,70,To be or not to be that s a question,0.0
71,living in india,0.0011,71,They live in India ,0.0011,71,I live in India ,0.0011,71,Living in India  ,0.0011,71,Life in India,0.0001,71,reside in India,0.0,71,living in India,0.0011,71,residence in India,0.0,71,Living in India,0.0011,71,Living in India,0.0011,71,living in India,0.0011
72,the sun,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The sun ,0.0007,72,The Sun,0.0007,72,The Sun,0.0007,72,The sun,0.0007,72,The sun,0.0007,72,the sun,0.0007,72,the sun,0.0007
73,neil young,0.2358,73,Neil is young ,0.2358,73,Neil Young ,0.2358,73,Neal Young  ,0.0,73,Young Nile ,0.0,73,Neil Young,0.2358,73,Neil Young,0.2358,73,Neil is young ,0.2358,73,Neil Young,0.2358,73,Neil Young,0.2358,73,Neil Young,0.2358
74,kiwi,0.0172,74,Kewey ,0.0,74,You know  Kiwi ,0.0041,74,The key  ,0.0,74,What ,0.0,74,Kiwi,0.0172,74,Other,0.0,74,Kiwi  ,0.0172,74,Kiwi,0.0172,74,the key,0.0,74,kiwi,0.0172
75,tornadoes,0.3522,75,The wind ,0.0,75,It s a tornado ,0.1751,75,Hurricanes  ,0.0,75,The storm ,0.0,75,The Tornadoes,0.3522,75,The troops,0.0,75,The tornado,0.3522,75,Tornadoes,0.3522,75,storm,0.0,75,Hurricanes,0.0
76,raised gardens,0.2067,76,The garden of plants ,0.0,76,The garden,0.0,76,Gardens of plants   planted  ,0.0,76,Gardens that have become gardens ,0.0002,76,and gardens of exalted heights ,0.0,76,and gardens well groomed ,0.0,76,and gardens that are cultivated ,0.0,76,and gardens planted ,0.0,76,Gardens that are cultivated ,0.0,76,And gardens that are taken away ,0.0
77,bobcat,0.0372,77,The cat ,0.0,77,I m not going to ,0.0,77,The popcorn ,0.0,77,Cow ,0.0,77,the toolbox,0.0,77,Other  of a thickness of less than    mm,0.0,77,The grandmother  ,0.0,77,isolation,0.0,77,artillery,0.0,77,male,0.0
78,dieting,0.0027,78,Food ,0.0,78,The diet ,0.0027,78,The diet  ,0.0027,78,Diet,0.0027,78,Dietetics,0.0,78,Diet,0.0027,78,Diets,0.0027,78,diet,0.0027,78,food,0.0,78,eating food,0.0
79,voyager,0.0486,79,Travelers,0.0,79,Travelers,0.0,79,The traveler  ,0.0,79,Passenger is here ,0.0,79,traveller,0.0,79,Travellers,0.0,79,The traveller,0.0,79,tourists,0.0,79,traveler,0.0,79,traveler,0.0
80,keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard checks,0.0054,80,the keypad,0.0,80,Key parts ratings,0.0,80,Keyboard reviews,0.1271,80,keyboard reviews,0.1271,80,The criticisms,0.0,80,keyboard review,0.1271
81,afghanistan,0.0531,81,Afghanistan is a country ,0.1022,81,Afghanistan ,0.0531,81,Afghanistan  ,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,The Commission,0.0,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531
82,joints,0.0449,82,We are united ,0.0,82,The joint ,0.0449,82,The joints  ,0.0449,82,The joints ,0.0449,82,joint,0.0449,82,Other  including,0.0,82,joints,0.0449,82,joint,0.0449,82,joints,0.0449,82,the organs,0.0
83,memory,0.0,83,Memory ,0.0,83,Memory,0.0,83,The memory  ,0.0,83,The memory ,0.0,83,memory,0.0,83,Memory,0.0,83,The memory,0.0,83,The memory,0.0,83,memory,0.0,83,memory,0.0
84,continental plates,0.3805,84,The mainland ,0.0,84,Continental plate,0.3805,84,Continental plates,0.3805,84,Continental pages,0.0003,84,continental plates,0.3805,84,Continental plates,0.3805,84,Continental plates,0.3805,84,Continental plate,0.3805,84,The plates,0.0081,84,continental plates,0.3805
85,milwaukee journal sentinel,0.0534,85,The Milwaukee Daily Sentinel,0.0177,85,The Milwaukee Journal  the Sentinel ,0.0534,85,The Milwaukee Journal is a Sentinel ,0.0534,85,The Milwaukee Sentinel ,0.0549,85,The Milwaukee Sentinel newspaper,0.0134,85,The Milwaukee Journal Sentinel is a newspaper ,0.0169,85,Milwaukee Sentinel magazine,0.044,85,The Milwaukee Journal Sentinel is the first,0.0431,85,The Milwaukee Journal of the Sun,0.0198,85,The Milwaukee Sentinel,0.0549
86,bart sf,0.3981,86,Bart S F ,0.0172,86,Bart SF,0.3981,86,Bart Sword  ,0.0033,86,Bart is sorry ,0.001,86,the barf,0.0,86,Bart S F ,0.0172,86,Bart SF,0.3981,86,Bart is a s f ,0.0172,86,Part SF,0.0,86,Bart sf,0.3981
87,who invented music,0.0179,87,The people who invented music ,0.0157,87,The man who invented music ,0.0077,87,Who invented music ,0.0179,87,Who invented music ,0.0179,87,who invented music,0.0179,87,Who invented music,0.0179,87,Who invented music ,0.0179,87,Who created music,0.0004,87,The inventor of music,0.0,87,who invented music,0.0179
88,forearm pain,0.0969,88,My forearm hurts ,0.0015,88,Wrist pain ,0.006,88,Pain in the hand ,0.0016,88,Pain in the forearm ,0.0969,88,pain in the forearm,0.0969,88,Pain in the forearm,0.0969,88,pain in the forearm,0.0969,88,Lower arm pain,0.0003,88,Back pain,0.0,88,joint pain,0.0
