qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
79,voyager,0.0486,79,Travelers,0.0,79,Travelers,0.0,79,The traveler  ,0.0,79,Passenger is here ,0.0,79,traveller,0.0,79,Travellers,0.0,79,The traveller,0.0,79,tourists,0.0,79,traveler,0.0,79,traveler,0.0
80,keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard reviews,0.1271,80,Keyboard checks,0.0054,80,the keypad,0.0,80,Key parts ratings,0.0,80,Keyboard reviews,0.1271,80,keyboard reviews,0.1271,80,The criticisms,0.0,80,keyboard review,0.1271
81,afghanistan,0.0531,81,Afghanistan is a country ,0.1022,81,Afghanistan ,0.0531,81,Afghanistan  ,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,The Commission,0.0,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531,81,Afghanistan,0.0531
82,joints,0.0449,82,We are united ,0.0,82,The joint ,0.0449,82,The joints  ,0.0449,82,The joints ,0.0449,82,joint,0.0449,82,Other  including,0.0,82,joints,0.0449,82,joint,0.0449,82,joints,0.0449,82,the organs,0.0
83,memory,0.0,83,Memory ,0.0,83,Memory,0.0,83,The memory  ,0.0,83,The memory ,0.0,83,memory,0.0,83,Memory,0.0,83,The memory,0.0,83,The memory,0.0,83,memory,0.0,83,memory,0.0
84,continental plates,0.3805,84,The mainland ,0.0,84,Continental plate,0.3805,84,Continental plates,0.3805,84,Continental pages,0.0003,84,continental plates,0.3805,84,Continental plates,0.3805,84,Continental plates,0.3805,84,Continental plate,0.3805,84,The plates,0.0081,84,continental plates,0.3805
85,milwaukee journal sentinel,0.0534,85,The Milwaukee Daily Sentinel,0.0177,85,The Milwaukee Journal  the Sentinel ,0.0534,85,The Milwaukee Journal is a Sentinel ,0.0534,85,The Milwaukee Sentinel ,0.0549,85,The Milwaukee Sentinel newspaper,0.0134,85,The Milwaukee Journal Sentinel is a newspaper ,0.0169,85,Milwaukee Sentinel magazine,0.044,85,The Milwaukee Journal Sentinel is the first,0.0431,85,The Milwaukee Journal of the Sun,0.0198,85,The Milwaukee Sentinel,0.0549
86,bart sf,0.3981,86,Bart S F ,0.0172,86,Bart SF,0.3981,86,Bart Sword  ,0.0033,86,Bart is sorry ,0.001,86,the barf,0.0,86,Bart S F ,0.0172,86,Bart SF,0.3981,86,Bart is a s f ,0.0172,86,Part SF,0.0,86,Bart sf,0.3981
87,who invented music,0.0179,87,The people who invented music ,0.0157,87,The man who invented music ,0.0077,87,Who invented music ,0.0179,87,Who invented music ,0.0179,87,who invented music,0.0179,87,Who invented music,0.0179,87,Who invented music ,0.0179,87,Who created music,0.0004,87,The inventor of music,0.0,87,who invented music,0.0179
88,forearm pain,0.0969,88,My forearm hurts ,0.0015,88,Wrist pain ,0.006,88,Pain in the hand ,0.0016,88,Pain in the forearm ,0.0969,88,pain in the forearm,0.0969,88,Pain in the forearm,0.0969,88,pain in the forearm,0.0969,88,Lower arm pain,0.0003,88,Back pain,0.0,88,joint pain,0.0
89,ocd,0.2348,89,Other things ,0.0,89,Okay  you know what ,0.0,89,  I  m sure  ,0.0,89,Okay  what s up ,0.0,89,The,,89,OCD,0.2348,89,The OCD,0.2348,89,OCDs,0.2348,89,The following article,0.0,89,the ocd,0.2348
90,mgb,0.092,90,It s not ,0.0,90,I m not sure ,0.0,90,The kingdom  ,0.0,90,What ,0.0,90,The Commission,0.0,90,Other,0.0,90,The M G ,0.0,90,Mgb,0.092,90,the,,90,The Mgb,0.092
91,er tv show,0.0464,91,about TV shows ,0.0003,91,TV show,0.0003,91,A television show  ,0.0,91,The TV show ,0.0003,91,television show,0.0,91,Television series,0.0,91,The TV show,0.0003,91,television shows,0.0,91,Our TV program,0.0,91,His television show,0.0
92,the wall,0.0004,92,The wall ,0.0004,92,The wall ,0.0004,92,The wall  ,0.0004,92,The wall ,0.0004,92,The wall,0.0004,92,The wall,0.0004,92,The wall  ,0.0004,92,The wall,0.0004,92,The wall,0.0004,92,wall,0.0004
93,raffles,0.0468,93,The lottery ,0.0,93,Lottery ,0.0,93,The cranks  ,0.0,93,The draw ,0.0,93,lotteries,0.0,93,Winning,0.0,93,The lottery,0.0,93,The vote,0.0,93,Laughs,0.0,93,the ballot,0.0
94,titan,0.0102,94,I m not sure ,0.0,94,The titans ,0.0102,94,The titans  ,0.0102,94,The Titan ,0.0102,94,Titanium,0.0,94,Titanium,0.0,94,The Titan,0.0102,94,The titans,0.0102,94,the titan,0.0102,94,Titanium,0.0
95,earn money at home,,95,Make money at home ,,95,I m making money from home ,,95,Make money at home ,,95,Make money at home,,95,making money at home,,95,Making money at home,,95,Make money at home,,95,Making money at home,,95,Making money at home,,95,making money at home,
96,rice,0.0917,96,A meter ,0.0,96,Rice ,0.0917,96,The rice ,0.0917,96,Rice ,0.0917,96,rice,0.0917,96,Rice,0.0917,96,rice,0.0917,96,Rice,0.0917,96,rice,0.0917,96,rice,0.0917
97,south africa,0.0248,97,South Africa ,0.0248,97,South Africa,0.0248,97,South Africa  ,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248
98,sat,0.0682,98,Sit down ,0.0,98,I m sitting here ,0.0,98,Sit down  ,0.0,98,He s sitting down ,0.0,98,He sits down ,0.0,98,Seating,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sitting down,0.0
99,satellite,0.017,99,Satellites are,0.017,99,Satellite,0.017,99,The satellite  ,0.017,99,The satellite ,0.017,99,Satellite,0.017,99,Satellites,0.017,99,the satellite,0.017,99,satellite,0.017,99,satellite,0.017,99,satellite,0.017
100,rincon puerto rico,,100,Rinco  Puerto Rico,,100,Rico Puerto Rico,,100,I  m not a Puerto Rican  ,,100,The Ricken of Puerto Rico,,100,The following is a list of the official languages of the United States ,,100,The following is a list of the countries of the European Union ,,100,The Rincón of Puerto Rico,,100,the Puerto Rico,,100,Rincón Puerto Rico,,100,Rincón Puerto Rico,
