qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
161,furniture for small spaces,0.0197,161,Small space furniture ,0.0197,161,Furniture in a small space ,0.0197,161,Furniture for small places  ,0.0082,161,Furniture for small spaces,0.0197,161,furniture for small spaces,0.0197,161,Furniture for small rooms,0.0035,161,furniture for small rooms,0.0035,161,furniture for small space,0.0197,161,Furniture for small spaces,0.0197,161,furniture for small space,0.0197
162,dnr,0.0356,162,Other things ,0.0,162,Double that ,0.0,162,A ,,162,This is it ,,162,Other,0.0,162,The Commission,0.0,162,The DNR,0.0356,162,DN,0.0,162,The D M C ,0.0,162,Dr ,0.0
163,arkansas,0.0293,163,The state of Arkansas  USA,0.007,163,Arkansas ,0.0293,163,Arkansas  ,0.0293,163,Arkansas ,0.0293,163,The Arkansas,0.0293,163,Arkansas,0.0293,163,Arkansas,0.0293,163,Arkansas,0.0293,163,Arkansas,0.0293,163,Arkansas,0.0293
164,hobby stores,0.0547,164,The hobby shop ,0.0221,164,It s a hobby shop ,0.0253,164,Interested shops,0.0,164,The entertainment shops,0.0,164,leisure business,0.0,164,Hobby shops,0.0221,164,Hobby shops,0.0221,164,hobby shop,0.0221,164,The entertainment shops,0.0,164,entertainment shops,0.0
165,blue throated hummingbird,0.002,165,The blue throated fellow humans ,0.0,165,Colliver with a blue neck ,0.0,165,The blue throated Alliance bird  ,0.0001,165,It s the same blue collar ,0.0,165,Blue throated hummingbird,0.002,165,Other  of a kind used for the manufacture of goods of heading     ,0.0,165,The blue throat of a cobbler,0.0,165,Blue footed hummingbirds,0.0003,165,The blue collared Olympic,0.0,165,blue throated hummingbird,0.002
166,computer programming,0.0058,166,Computer programming ,0.0058,166,Computer programming,0.0058,166,Computer programming,0.0058,166,Computer programming,0.0058,166,computer programming,0.0058,166,Computer programming,0.0058,166,computer programming,0.0058,166,Computer programming,0.0058,166,computer programming,0.0058,166,computer programs,0.0058
167,barbados,0.0178,167,Fish ,0.0,167,Barbados,0.0178,167,Barbados  ,0.0178,167,It s ruined ,0.0,167,The Beards,0.0,167,The following is the list of countries ,0.0,167,Barbados,0.0178,167,Armed,0.0,167,Barbados,0.0178,167,drug industries,0.0
168,lipoma,0.292,168,The tumor ,0.0,168,I have a lymphoma ,0.0,168,Aciditis  ,0.0,168,The lipum ,0.0,168,Lipoma,0.292,168,Lipomas and other,0.2583,168,liposomes,0.0,168,Lipomas,0.292,168,bone marrow,0.0,168,when the disease,0.0
169,battles in the civil war,0.1013,169,Civil War,0.0019,169,The Civil War ,0.0019,169,Your battles in the Civil War  ,0.0282,169,Civil War battles,0.1013,169,battles of the civil war,0.1013,169,Battles in the Civil War,0.1013,169,battles in the civil war,0.1013,169,The Civil War,0.0019,169,The Civil War was a period of civil war ,0.0002,169,civil war,0.0019
170,scooters,0.0055,170,The scooter ,0.0055,170,The scooter ,0.0055,170,The bikes  ,0.0,170,The scooters ,0.0055,170,the scooters,0.0055,170,Motor vehicles,0.0,170,The motorcycle,0.0,170,scooter,0.0055,170,scooters,0.0055,170,motorcycle,0.0
171,ron howard,0.1592,171,Ron Howard ,0.1592,171,  What ,0.0,171,Ron Howard  ,0.1592,171,Ron Howard ,0.1592,171,Ron Howard,0.1592,171,Ron Howard,0.1592,171,Ron Howard,0.1592,171,Ron Howard,0.1592,171,Ron Howard,0.1592,171,Ron Howard,0.1592
172,becoming a paralegal,0.22,172,I became a legal assistant ,0.0,172,The legal profession ,0.0008,172,Become a legal assistant  ,0.0898,172,Becoming a lawyer ,0.0018,172,become a paramilitary,0.0,172,Becoming a lawyer,0.0018,172,become a legal assistant,0.0898,172,Become a paralegal,0.22,172,Legal aid,0.0,172,to be a legal assistant,0.0084
173,hip fractures,0.3362,173,The fracture ,0.0484,173,A fracture of the hip ,0.3362,173,Broken hip  ,0.0226,173,Joint fractures,0.0165,173,fractures of the hip,0.3362,173,Hip fractures,0.3362,173,hip fractures,0.3362,173,a broken hip,0.0226,173,Hip fractures,0.3362,173,a broken ankle,0.0
174,rock art,0.1059,174,Rock art ,0.1059,174,Rock art,0.1059,174,The art of rock  ,0.1059,174,Rock art ,0.1059,174,Art rock,0.1059,174,Rock art,0.1059,174,Rock art,0.1059,174,Rock art,0.1059,174,rock art,0.1059,174,rock art,0.1059
175,signs of a heartattack,0.018,175,Signs of heart attack ,0.0896,175,Signs of a heart attack,0.0896,175,Signs of a heart attack  ,0.0896,175,Signs of a heart attack ,0.0896,175,signs of heart attack,0.0896,175,Signs of a Heart Attack,0.0896,175,signs of heart attack,0.0896,175,Signs of a heart attack,0.0896,175,The symptoms of a heart attack,0.0828,175,signs of heart attack,0.0896
176,weather strip,0.0011,176,Weather conditions ,0.0,176,Weather,0.0,176,The weather tape  ,0.0,176,The weather line ,0.0,176,Weather band,0.0,176,Weather strips,0.0011,176,weather band,0.0,176,Weather tracks,0.0,176,Weather trajectory,0.0,176,Weather line,0.0
177,best long term care insurance,0.0669,177,The best long term insurance ,0.0405,177,The best long term care insurance ,0.0669,177,Best long term care insurance  ,0.0669,177,The best long term care insurance ,0.0669,177,the best insurance for long term care,0.0669,177,Best long term care insurance,0.0669,177,Best long term care insurance,0.0669,177,the best long term care insurance,0.0669,177,Best long term care insurance,0.0669,177,Best long term insurance service,0.028
178,pork tenderloin,0.0886,178,The pork ,0.0038,178,It s a pig ,0.0,178,The pork ,0.0038,178,Pork ,0.0038,178,pork wool,0.0,178,Meat of swine,0.0,178,Pig meat,0.0,178,Pork,0.0038,178,Pork,0.0038,178,pork,0.0038
179,black history,0.0249,179,The history of the black people ,0.0029,179,The black market ,0.0,179,The history of the black people  ,0.0029,179,The black history ,0.0249,179,black story,0.0,179,The black history,0.0249,179,The black story,0.0,179,The history of black,0.0249,179,The history of the Black,0.0249,179,history of blacks,0.0249
180,newyork hotels,0.004,180,This is a hotel in New York City ,0.0004,180,Hotel in New York ,0.0041,180,The hotels in New York  ,0.0041,180,The hotels in New York ,0.0041,180,hotels in New York,0.0041,180,Hotels in New York,0.0041,180,hotels in New York,0.0041,180,hotel in New York,0.0041,180,New York hotels,0.0041,180,hotels in New York,0.0041
181,old coins,0.0391,181,It s old ,0.0,181,Old coins ,0.0391,181,Old coins  ,0.0391,181,Old coins ,0.0391,181,old coins,0.0391,181,Other coins,0.0029,181,old coins,0.0391,181,Old coins,0.0391,181,Old coins,0.0391,181,ancient coins,0.0
182,quit smoking,0.1328,182,Quit smoking ,0.1328,182,Stop smoking ,0.0327,182,Quit smoking  ,0.1328,182,Quit smoking,0.1328,182,quit smoking,0.1328,182,Quit Smoking,0.1328,182,to quit smoking,0.1328,182,Stop smoking,0.0327,182,Stop smoking,0.0327,182,quit smoking,0.1328
183,kansas city mo,0.0025,183,Kansas City ,0.0435,183,Kansas City  Mo ,0.0025,183,Kansas City  ,0.0435,183,Kansas City ,0.0435,183,Kansas City is not,0.0435,183,Kansas City Mo,0.0025,183,Kansas City,0.0435,183,Kansas City mo,0.0025,183,Kansas City,0.0435,183,Kansas City Mo,0.0025
184,civil right movement,0.1407,184,Civil rights movement,0.1407,184,The Civil Rights Movement,0.1407,184,The civil movement  ,0.1302,184,Civil rights movement,0.1407,184,civil rights movement,0.1407,184,The European Parliament,0.0,184,the civil law,0.0034,184,civil rights movement,0.1407,184,Civil rights movement,0.1407,184,civil rights movement,0.1407
185,credit report,0.0269,185,Credit reports ,0.0269,185,Credit reports ,0.0269,185,Credit report,0.0269,185,Credit report,0.0269,185,credit report,0.0269,185,Credit report,0.0269,185,credit reporting,0.0269,185,credit report,0.0269,185,credit report,0.0269,185,report on credit,0.0269
186,unc,0.0482,186,Select themes,0.0,186,I m not sure ,0.0,186,On the Sea  ,0.0,186,Unc ,0.0482,186,unc,0.0482,186,Unc,0.0482,186, c ,0.0,186,Unc,0.0482,186,A ,,186,the unc,0.0482
187,vanuatu,0.0888,187,This is Vanua ,0.0,187,I m going to Vanuatu ,0.0509,187,What is it ,0.0,187,The van ,0.0,187,the vanuatu,0.0888,187,of the,,187,The Venue,0.0,187,Vanuatu is a country,0.1326,187,forest,0.0,187,Who are they ,0.0
188,internet phone service,0.0171,188,Internet phone service,0.0171,188,Internet telephone service,0.0001,188,Internet telephone service,0.0001,188,Internet telephone service,0.0001,188,telephone and Internet service,0.0001,188,Internet telephone service,0.0001,188,Internet telephone service,0.0001,188,Internet service telephone,0.0001,188,Internet telephone service,0.0001,188,Internet telephone service,0.0001
189,gs pay rate,0.024,189,Gs  the salary rate ,0.0158,189,Gs wage rate,0.0446,189,The salary rate,0.0,189,The rate of pay,0.0011,189,rate of remuneration,0.0,189,Gs wages,0.0204,189,GC wage rate,0.0,189,Gs wage rate,0.0446,189,Gs wage rate,0.0446,189,the salary,0.0
190,brooks brothers clearance,0.1001,190,Brother Brook  license ,0.0029,190,The Brooks Brothers are promoted ,0.0802,190,The Brooks brothers are cleared  ,0.0027,190,The Brooks Brothers are licensed ,0.0029,190,Statement by the Brooks Brothers,0.0025,190,Brooks brothers departure,0.0032,190,Brooks Brothers is allowed  ,0.004,190,Application brooks,0.0,190,Brother Brooks allowed,0.004,190,brooks brother clearance,0.1001
191,churchill downs,0.0849,191,The hills are falling ,0.0,191,Down the church building ,0.0,191,Down in the church ,0.0,191,The church ,0.0,191,the church s descent,0.0,191,Strike the Church,0.0,191,The church s disbandment,0.0,191,Down the churchill,0.0849,191,The Church,0.0,191,churchill down,0.0849
192,condos in florida,0.0513,192,Apartment in Florida ,0.0001,192,Apartment in Florida ,0.0001,192,Apartment in Florida  ,0.0001,192,Apartment in Florida ,0.0001,192,Apartments in Florida,0.0001,192,Housing in Florida,0.0001,192,Apartments in Florida,0.0001,192,Apartment in Florida,0.0001,192,Apartments in Florida,0.0001,192,interior houses in Florida,0.0
193,dog clean up bags,0.1025,193,Dogs are cleaning bags ,0.0968,193,The dog cleaner ,0.0,193,The dog cleans the bags ,0.0968,193,Where to clean the hat ,0.0,193,Dog cleaning bags,0.0968,193,Cleaning Dogs,0.0024,193,The dog cleans the bags ,0.0968,193,Cleaning the dog bag,0.0968,193,Dog cleaning bags,0.0968,193,dog cleaning bags,0.0968
194,designer dog breeds,0.9121,194,Designed dog breeds ,0.9121,194,Designed Dog Breed,0.9121,194,Designed dog breeds,0.9121,194,Designers  dog breed,0.9121,194,design dog breeds,0.9121,194,Designers  breeds,0.8345,194,designers   dogs,0.3715,194,Design dog breed,0.9121,194,Designer dog breeds,0.9121,194,breeding dog,0.1576
195,pressure washers,0.0097,195,The pressure washer ,0.0097,195,Pressure washing machine,0.0003,195,Pressure washers  ,0.0097,195,The pressure washers ,0.0097,195,pressure washing machines,0.0003,195,Washing machines,0.0,195,washing machines,0.0,195,pressure washing machine,0.0003,195,Pressure washing machines,0.0003,195,Pressure washing machines,0.0003
196,sore throat,0.1938,196,My throat hurts ,0.0007,196,I m in a lot of pain ,0.0,196,Pain in the throat ,0.0462,196,Pain in the throat ,0.0462,196,sore throat,0.1938,196,Pain in the throat,0.0462,196,a sore throat,0.1938,196,A sore throat,0.1938,196,Throat pain,0.0462,196,back pain,0.0
197,idaho state flower,0.0425,197,Idaho flower ,0.0058,197,Idaho flower,0.0058,197,Idaho state flower  ,0.0425,197,Flower of Idaho ,0.0058,197,Idaho state flower,0.0425,197,Idaho flower,0.0058,197,I know ,0.0,197,Idaho state flower,0.0425,197,Idaho State Flower,0.0425,197,Idaho state flowers,0.0425
198,indiana state fairgrounds,0.1972,198,The Indiana Fair ,0.0399,198,The Indiana State Fair ,0.0902,198,The Indiana Department of Housing,0.0,198,The Indiana Fairgrounds ,0.1814,198,the Indiana State Fairgrounds,0.1972,198,Holidays in Indiana,0.0,198,India,0.0,198,Indiana state fair,0.0902,198,Exhibition grounds in Indiana,0.0012,198,exhibition sites of the state of Indiana,0.0083
199,fybromyalgia,0.0132,199,Myalgic diseases ,0.0077,199,I know ,0.0,199,My daughter is a fibromyalgia ,0.0063,199,Fibromyalgia,0.2031,199,the phybromyalgia,,199,Fibromyalgia,0.2031,199,Fibromyalgia,0.2031,199,Fibromyalgia,0.2031,199,The first is the fact that the patient is suffering from fibromyalgia ,0.0257,199,paralysis,0.0
200,ontario california airport,0.1879,200,Ontario  California Airport,0.1879,200,Ontario  California Airport,0.1879,200,Ontario  California airport,0.1879,200,The airport in Ontario  California ,0.1879,200,Airport of Ontario California,0.1879,200,Airport of Ontario,0.0972,200,Ontario airport in California,0.1879,200,Ontario california airport,0.1879,200,Ontario California Airport,0.1879,200,Ontario California airport,0.1879
