qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
111,lymphoma in dogs,1.0,111,Lymphoma in dogs ,1.0,111,The lymphoma of dogs,1.0,111,Lymphoma in dogs  ,1.0,111,Lymphoma in dogs ,1.0,111,lymphoma in dogs,1.0,111,Lymphoma in dogs,1.0,111,lymphoma in dogs,1.0,111,lymphoma in dogs,1.0,111,Lymphoma in dogs,1.0,111,lymphoma in dogs,1.0
112,kenmore gas water heater,0.0,112,Kenmore water heater ,0.0,112,Kenmore gas water heater ,0.0,112,The gas water temperature   Kenmore  ,0.0,112,The Kenmore gas heater ,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heating,0.0,112,Canmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0
113,hp mini 2140,0.0345,113,Super horsepower  the mini     ,0.0,113,Small      hp,0.0,113,A little horse         ,0.0,113,The Mini      Spy ,0.0,113,Minimum number of days,0.0,113,PS Mini     ,0.0,113,Min      hp,0.0,113,The mini      hp,0.0053,113,Mini      hp,0.0053,113,the hp mini     ,0.0053
114,adobe indian houses,0.1,114,Indian family ,0.0,114,The Adob Indian House ,0.1,114,Indian houses  ,0.0012,114,Indian houses ,0.0012,114,Indian houses,0.0012,114,Indian houses,0.0012,114,The Indian house  ,0.0012,114,Indian houses,0.0012,114,Adobe Indian Houses,0.1,114,Indian houses,0.0012
115,pacific northwest laboratory,0.5,115,Pacific Northwest Laboratory ,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory  ,0.5,115,Pacific Northwest Laboratory ,0.5,115,Northwest Pacific laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest laboratory,0.5
116,california franchise tax board,0.1111,116,The California Franchise Tax Agency,0.1667,116,The California Franchise Tax Commission,0.1,116,The California Privileges and Immunities Board  ,0.0028,116,The California franchise tax agency ,0.1667,116,California franchise tax board,0.1111,116,California Franchise Tax Board,0.1111,116,California Council on Franchise Taxes,0.25,116,California tax board franchises,0.1111,116,The California Board of Licensing,0.05,116,California franchise tax board,0.1111
117,dangers of asbestos,0.5,117,The dangers of asbestos ,0.5,117,The Dangers of Asbestos,0.5,117,The dangers of asbestos,0.5,117,The dangers of Asbestos ,0.5,117,dangers of asbestos,0.5,117,Hazards of asbestos,1.0,117,the risks of asbestos,0.3333,117,Asbestos hazards,1.0,117,The dangers of asbestos,0.5,117,The dangers of amnesia,0.0
118,poem in your pocket day,1.0,118,Poetry is in your pocket ,1.0,118,The poem is in my pocket ,0.3333,118,A poem in your pocket day ,1.0,118,Poetry in your pocket day ,1.0,118,Poem in your pocket,1.0,118,Poem in the Pocket Day,1.0,118,Poem in my pocket,0.3333,118,Poems in your pocket day,1.0,118,Your pocket day poem,1.0,118,Poetry in your day bag,0.0118
119,interview thank you,0.1111,119,Thank you for the interview ,0.1111,119,Thank you for the interview ,0.1111,119,Thanks for the interview ,0.1,119,Thank you for the interview ,0.1111,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thank you for the interview,0.1111,119,Thank you for the interview ,0.1111
120,tv on computer,0.0909,120,The TV is on the computer ,0.0909,120,TV on the computer ,0.0909,120,TV on the computer  ,0.0909,120,TV on the computer ,0.0909,120,television on computer,0.0263,120,Television on the computer,0.0263,120,TV on the computer,0.0909,120,TV on the computer,0.0909,120,TV on the computer,0.0909,120,television on a computer,0.0263
121,sit and reach test,0.25,121,The test was a test ,0.0,121,Sit and reach test,0.25,121,The seating and access test ,0.0,121,The seating and arrival test,0.0,121,seat and range test,0.0,121,The following information shall be provided ,0.0,121,Sitting and achievement testing,0.0435,121,Sit down and get the test,0.0909,121,The test of sitting,0.0256,121,the test of staying and reaching,0.003
122,culpeper national cemetery,0.0455,122,The Kappa National Cemetery,0.0,122,The National Cemetery of Culpeper,0.0455,122,The national cemetery of Collier  ,0.001,122,Culpeper National Cemetery,0.0455,122,the Culpeper National Cemetery,0.0455,122,Culpeper National Cemetery,0.0455,122,Culpeper National Cemetery,0.0455,122,Culpeper s national cemetery,0.0455,122,The National Cemetery of the Criminal,0.0041,122,national cemetery of the culpeper,0.0455
123,von willebrand disease,0.3333,123,This is the case with Woolwell Brand disease ,0.0,123,The Wilbland Poison,0.0,123,Von Wilbrand  s illness  ,0.0021,123,The illness of Von Wilbernd ,0.02,123,from von Willebrand s disease,0.3333,123,from Willebrand s disease,0.3333,123,The illness of von Wilbrand,0.0051,123,The illness of von Willebrand,1.0,123,One of the most common causes of death is the illness of the widow ,0.0,123,von Willebrand s disease,0.3333
124,bowflex power pro,0.5,124,Power is special ,0.0,124,Flex Power Pro ,0.0,124,The power of the moving bow  ,0.0,124,Believe in Peru,0.0,124,The pro of bowflex power,0.5,124,Bowflex Power Pro,0.5,124,Professional bowflex,0.5,124,Power pro bowflex,0.5,124,Curve power pro,0.0012,124,bowflex power pro,0.5
125,butter and margarine,0.5,125,Oil ,0.0,125,Butter and margarine ,0.5,125,Butter and margarine  ,0.5,125,And the corn and margarine ,0.0081,125,beef and margarine,0.0238,125,Butter and margarine,0.5,125,oil and margarine,0.0217,125,Butter and margarine,0.5,125,Ney and Margarine,0.0233,125,Oil and margarine,0.0217
126,us capitol map,0.0013,126,Map of the capital of the United States ,0.0,126,Map of the capital of the United States,0.0,126,Map of the United States,0.0,126,The map of the capital of the United States ,0.0,126,map of the capitol of the united states,0.0049,126,US chapter card,0.0,126,Map of the capital of the United States,0.0,126,map of the United States,0.0,126,Map of the U S  capital,0.0,126,map of the capital of the United States,0.0
127,dutchess county tourism,1.0,127,Tour of the Dutch province,0.0,127,Tourist of the Dutch county,0.0,127,Tourism in the province of Holland,0.0,127,Tourism in the Netherlands,0.0,127,tourism in the Dutch county,0.001,127,Tourism in the Dutch county,0.001,127,Tourism in the Dutch district,0.0,127,tourism in the Netherlands,0.0,127,Dutch county tourism,0.001,127,Tourist district of the Netherlands,0.0
128,atypical squamous cells,0.125,128,It is a homotypal cell ,0.0,128,It s an abnormal vertical cell ,0.0189,128,Stem cells are not typical  ,0.0,128,Unusual scarring cells,0.0,128,atypical squamous cells,0.125,128,Other non typical foam cells,0.0,128,Atypical flat cells,0.3333,128,Unusual squamous cells,0.0094,128,Atypical cooled cells,0.1,128,atypical squamous cells,0.125
129,iowa food stamp program,0.0109,129,The Iowa Food Tickets Program,0.0045,129,Iowa food stamp program,0.0109,129,The food card program  ,0.0,129,Eva s food schedule ,0.0,129,Iowa s good food program,0.0049,129,Iowa food stamp program,0.0109,129,Food stamps in Iowa,0.0167,129,Iowa food mining program,0.0062,129,Iowa Food Stamp Program,0.0109,129,Iowa food packaging program,0.0041
130,fact on uranus,1.0,130,The truth about amnesia ,0.0,130,The Facts About Uranus,0.1667,130,The truth about uranium ,0.0,130,The truth about Uranus ,0.1,130,made of uranium,0.0,130,The following is the list of the countries of the Union ,0.0,130,The fact about uranium,0.0,130,facts about uranium,0.0,130,The Truth About Uranus,0.1,130,The truth about uranium,0.0
131,equal opportunity employer,0.0217,131,Employers of same sex opportunities,0.0014,131,Employers with equal opportunities,0.0217,131,Equal employer in opportunity,0.0217,131,Employer of equal opportunity,0.0217,131,equal opportunities employer,0.0217,131,Employers with equal rights,0.003,131,Employer on equal opportunities,0.0217,131,Employers of equal opportunity,0.0217,131,Employer who provides equal opportunities,0.0078,131,equal opportunity employer,0.0217
132,mothers day songs,0.1,132,Mother s Day song,0.125,132,Mother sing me,1.0,132,Mother s day songs ,0.125,132,Mother s day songs ,0.125,132,songs of mother s day,0.125,132,Mother s day songs,0.125,132,Mother s Day songs,0.125,132,Mother s day song,0.125,132,Mother s Day songs,0.125,132,Mother s day songs,0.125
133,all men are created equal,1.0,133,We are all created equal ,0.1667,133,And every human being is created equal ,0.0244,133,All men are created equal  ,1.0,133,All men are created equal ,1.0,133,All men are created equal,1.0,133,All people are equal ,0.0175,133,All men are equal ,0.037,133,All men are created equal,1.0,133,All men are created equal ,1.0,133,All humans are created equal ,0.0667
134,electronic skeet shoot,0.0045,134,Electronic shoots ,0.0,134,Electronic skate shooting,0.0,134,Electronic firing  ,0.0,134,The electrical shot ,0.0,134,shooting the electronic hook,0.0,134,Electronic fire,0.0,134,The electronic sketch,0.0,134,Shoot the electronic skeleton,0.0,134,Shooting electronic skate,0.0,134,electronic skeet shot,0.0043
135,source of the nile,0.0085,135,The source of the Nile ,0.0085,135,The source of the Nile River,0.0031,135,The source of the Nile ,0.0085,135,The source of the Nile ,0.0085,135,source of the Nile,0.0085,135,Source of the Nile,0.0085,135,The source of the Nile,0.0085,135,source of the Nile,0.0085,135,The source of the Nile,0.0085,135,source of the Nile,0.0085
136,american military university,0.0011,136,The U S  Army,0.0,136,The U S  Military Academy,0.0,136,The U S  Military Academy  ,0.0,136,The U S  Military Academy,0.0,136,U S  military university,0.0,136,American Military University,0.0011,136,The American Military University,0.0011,136,The U S  Military University,0.0,136,The U S  Military University,0.0,136,U S  military university,0.0
137,rock and gem shows,1.0,137,The rock and the gem show ,1.0,137,Rock and jewelry show ,0.5,137,The rock and jewelry shows ,0.5,137,Stone and jewelry exhibits,0.0233,137,rock and precious stones,0.0,137,Rock and gem show,1.0,137,The rock and roll show ,0.25,137,Exhibition of stones and jewels,0.0021,137,Rock and rock shows,0.0667,137,exhibitions of stone and jewelry,0.0233
138,jax chemical company,1.0,138,Jax Chemical Co ,0.125,138,The Jax Chemical Company ,1.0,138,The Geeks Chemical Company  ,0.0,138,The Geeks Chemical Company ,0.0,138,chemical company jax,1.0,138,Jax chemical companies,1.0,138,chemical company jax,1.0,138,chemical company jax,1.0,138,The Jacks Institute of Chemistry,0.0,138,chemical company jax,1.0
139,rocky mountain news,0.0323,139,The Rock Mountain News,0.0,139,The news from the rock ,0.0,139,News from the Rockies  ,0.0769,139,The news of the Rocky Mountains ,0.0323,139,News from the Rocky Mountain,0.0417,139,Mountains from the Rocky Mountains,0.0052,139,News of the Rocky Mountains,0.0323,139,rock mountain news,0.0,139,Rock Mountain News,0.0,139,the story of the rocky mountains,0.0233
140,east ridge high school,0.0033,140,High school ,0.0,140,East Ridge High School ,0.0033,140,High school in East Ridge  ,0.0033,140,East Ridge High School ,0.0033,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033,140,Eastern High School,0.0,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033
141,va dmv registration,0.0833,141,The national product registration,0.0,141,Register the dmv,0.0769,141,Sign up at the   ,0.0,141,Registered,0.0,141,of registration by the Dmv,0.0385,141,V V  Registration,0.0,141,registration in the DMV,0.0385,141,dmv registration,0.0385,141,Air patent registration,0.0,141,registration of the dmv,0.0385
142,illinois state tax,0.25,142,Illinois tax ,0.2,142,Taxes in the state of Illinois ,0.25,142,Illinois state tax  ,0.25,142,Taxation in the state of Illinois,0.1667,142,taxation of the State of Illinois,0.1667,142,Tax of the State of Illinois,0.25,142,Tax on the state of Illinois,0.25,142,taxes of the state of Illinois,0.25,142,Illinois State Tax,0.25,142,taxation of the state of Illinois,0.1667
143,arkadelphia health club,0.0,143,The Arkadelphia Health Club,0.0,143,The Acadelphian Health Club ,0.0,143,The health club  ,0.0,143,The Archadelfia Health Club ,0.0,143,Arcadelphian health club,0.0,143,Arcadelphian health club,0.0,143,The Arcadelphian health club,0.0,143,the arkadelphia health club,0.0,143,The Arcadia Health Society is a nonprofit organization that provides health care services to children and youths ,0.0,143,Arkadelphia health club,0.0
144,trombone for sale,0.2,144,It s sold ,0.0,144,Tromone sales,0.0,144,Trampons for sale  ,0.0,144,Trampons for sale ,0.0,144,trombone for sale,0.2,144,Trombones for sale,0.2,144,Trombone for sale,0.2,144,trombone for sale,0.2,144,Trombone for sale,0.2,144,trombone for sale,0.2
145,vines for shade,0.2,145,It s the fruit ,0.0,145,A vine for shade,0.2,145,The grapes for the shade ,0.0323,145,Grapes for the Shade,0.0323,145,Vineyards in the shade,0.0,145,Vineyards for shade,0.0,145,Grapevine for shade,0.04,145,Vine for shade,0.2,145,The vineyards are suitable for shade,0.0,145,shady grapes,0.0196
146,sherwood regional library,0.5,146,Sherwood Regional Library,0.5,146,Sherwood County Library,0.0333,146,The regional library in Sherwood  ,0.5,146,The Sherwood District Library ,0.125,146,Sherwood Regional Library,0.5,146,The Scherwood Regional Library,0.0082,146,Sherwood Regional Library,0.5,146,the Sherwood regional library,0.5,146,The Sherwood Regional Library,0.5,146,sherwood strip library,0.0345
147,tangible personal property tax,1.0,147,Personal property tax,0.1429,147,Incidentally  personal property taxes are,0.2,147,Personal property tax,0.1429,147,Personal property tax,0.1429,147,Tax on tangible personal property,1.0,147,The amount of the adjustment shall be reported in the following column ,0.0023,147,tax on material property,0.25,147,real personal property tax,0.0455,147,A substantial personal property tax,0.0909,147,personal property tax,0.1429
148,martha stewart and imclone,1.0,148,Martha Stewart and Imclone ,1.0,148,Martha Stewart and the Imklone ,0.0345,148,Martha Stewart and Emklone ,0.0345,148,Martha Stewart and Umkhonto we are ,0.0333,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imklone,0.0345,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imklone,0.0345,148,Martha Stewart and Imclone,1.0
149,uplift at yellowstone national park,0.1667,149,The rise of Yellowstone National Park,0.0667,149,The elevator at the Yellowstone National Park ,0.1,149,He was raised in Yellowstone National Park ,0.0556,149,Promotion at Yellowstone National Park,0.0417,149,The elevator at Yellowstone National Park,0.1,149,The Yellowstone National Park is closed,0.0833,149,The climb in Yellowstone National Park,0.0476,149,Raised in Yellowstone National Park,0.0625,149,Rise in Yellowstone National Park,0.0667,149,uplift in Yellowstone National Park,0.1667
150,tn highway patrol,0.0244,150,TN Highway Patrol,0.0244,150,Highway patrol ,0.0031,150,Highway patrol  ,0.0031,150,Highway patrol,0.0031,150,Road patrol,0.0012,150,Tn motorway patrol,0.0025,150,TN of the road patrol,0.0204,150,The big tour,0.0,150,tn highway patrol,0.0244,150,tn road patrol,0.0204
