qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
189,gs pay rate,0.0323,189,Gs  the salary rate ,0.0106,189,Gs wage rate,0.02,189,The salary rate,0.0,189,The rate of pay,0.0104,189,rate of remuneration,0.0,189,Gs wages,0.0123,189,GC wage rate,0.0,189,Gs wage rate,0.02,189,Gs wage rate,0.02,189,the salary,0.0
190,brooks brothers clearance,0.2,190,Brother Brook  license ,0.0833,190,The Brooks Brothers are promoted ,1.0,190,The Brooks brothers are cleared  ,0.05,190,The Brooks Brothers are licensed ,0.0833,190,Statement by the Brooks Brothers,0.0714,190,Brooks brothers departure,0.0667,190,Brooks Brothers is allowed  ,0.0833,190,Application brooks,0.0012,190,Brother Brooks allowed,0.0833,190,brooks brother clearance,0.2
191,churchill downs,0.1429,191,The hills are falling ,0.0,191,Down the church building ,0.0,191,Down in the church ,0.0,191,The church ,0.0,191,the church s descent,0.0,191,Strike the Church,0.0,191,The church s disbandment,0.0,191,Down the churchill,0.1429,191,The Church,0.0,191,churchill down,0.1429
192,condos in florida,0.0588,192,Apartment in Florida ,0.004,192,Apartment in Florida ,0.004,192,Apartment in Florida  ,0.004,192,Apartment in Florida ,0.004,192,Apartments in Florida,0.004,192,Housing in Florida,0.0021,192,Apartments in Florida,0.004,192,Apartment in Florida,0.004,192,Apartments in Florida,0.004,192,interior houses in Florida,0.0
193,dog clean up bags,1.0,193,Dogs are cleaning bags ,1.0,193,The dog cleaner ,0.0028,193,The dog cleans the bags ,1.0,193,Where to clean the hat ,0.0,193,Dog cleaning bags,1.0,193,Cleaning Dogs,0.0091,193,The dog cleans the bags ,1.0,193,Cleaning the dog bag,1.0,193,Dog cleaning bags,1.0,193,dog cleaning bags,1.0
194,designer dog breeds,1.0,194,Designed dog breeds ,1.0,194,Designed Dog Breed,1.0,194,Designed dog breeds,1.0,194,Designers  dog breed,1.0,194,design dog breeds,1.0,194,Designers  breeds,0.5,194,designers   dogs,0.1667,194,Design dog breed,1.0,194,Designer dog breeds,1.0,194,breeding dog,0.0105
195,pressure washers,0.0093,195,The pressure washer ,0.0093,195,Pressure washing machine,0.0019,195,Pressure washers  ,0.0093,195,The pressure washers ,0.0093,195,pressure washing machines,0.0019,195,Washing machines,0.0,195,washing machines,0.0,195,pressure washing machine,0.0019,195,Pressure washing machines,0.0019,195,Pressure washing machines,0.0019
196,sore throat,0.5,196,My throat hurts ,0.025,196,I m in a lot of pain ,0.0,196,Pain in the throat ,0.0189,196,Pain in the throat ,0.0189,196,sore throat,0.5,196,Pain in the throat,0.0189,196,a sore throat,0.5,196,A sore throat,0.5,196,Throat pain,0.0189,196,back pain,0.0
197,idaho state flower,0.5,197,Idaho flower ,0.0286,197,Idaho flower,0.0286,197,Idaho state flower  ,0.5,197,Flower of Idaho ,0.0286,197,Idaho state flower,0.5,197,Idaho flower,0.0286,197,I know ,0.0,197,Idaho state flower,0.5,197,Idaho State Flower,0.5,197,Idaho state flowers,0.5
198,indiana state fairgrounds,0.25,198,The Indiana Fair ,0.125,198,The Indiana State Fair ,0.25,198,The Indiana Department of Housing,0.0,198,The Indiana Fairgrounds ,0.25,198,the Indiana State Fairgrounds,0.25,198,Holidays in Indiana,0.0,198,India,0.0,198,Indiana state fair,0.25,198,Exhibition grounds in Indiana,0.0137,198,exhibition sites of the state of Indiana,0.0588
199,fybromyalgia,0.3333,199,Myalgic diseases ,0.0303,199,I know ,0.0,199,My daughter is a fibromyalgia ,0.0263,199,Fibromyalgia,0.5,199,the phybromyalgia,,199,Fibromyalgia,0.5,199,Fibromyalgia,0.5,199,Fibromyalgia,0.5,199,The first is the fact that the patient is suffering from fibromyalgia ,0.5,199,paralysis,0.0
200,ontario california airport,0.1111,200,Ontario  California Airport,0.1111,200,Ontario  California Airport,0.1111,200,Ontario  California airport,0.1111,200,The airport in Ontario  California ,0.1111,200,Airport of Ontario California,0.1111,200,Airport of Ontario,0.0417,200,Ontario airport in California,0.1111,200,Ontario california airport,0.1111,200,Ontario California Airport,0.1111,200,Ontario California airport,0.1111
