qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
123,von willebrand disease,0.3333,4,backtranslation_zsm_latn,1.0,The illness of von Willebrand,backtranslation_fra_latn,0.5,from von Willebrand s disease,backtranslation_deu_latn,0.5,from Willebrand s disease,backtranslation_swh_latn,0.5,von Willebrand s disease,,,,,,,,,,,,,,,,,,
124,bowflex power pro,0.5,1,backtranslation_rus_cyrl,1.0,Professional bowflex,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,butter and margarine,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,us capitol map,0.003,1,backtranslation_fra_latn,0.0476,map of the capitol of the united states,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dutchess county tourism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,atypical squamous cells,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,iowa food stamp program,0.1,1,backtranslation_rus_cyrl,0.1111,Food stamps in Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,fact on uranus,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,equal opportunity employer,0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,mothers day songs,0.25,10,backtranslation_yue_hant,1.0,Mother s Day song,backtranslation_arb_arab,1.0,Mother s day songs ,backtranslation_pes_arab,1.0,Mother s day songs ,backtranslation_fra_latn,1.0,songs of mother s day,backtranslation_deu_latn,1.0,Mother s day songs,backtranslation_rus_cyrl,1.0,Mother s Day songs,backtranslation_zsm_latn,1.0,Mother s day song,backtranslation_tam_taml,1.0,Mother s Day songs,backtranslation_swh_latn,1.0,Mother s day songs,backtranslation_kor_hang,0.3333,Mother sing me
133,all men are created equal,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,electronic skeet shoot,0.0066,3,backtranslation_swh_latn,0.0114,electronic skeet shot,backtranslation_kor_hang,0.0078,Electronic skate shooting,backtranslation_tam_taml,0.0078,Shooting electronic skate,,,,,,,,,,,,,,,,,,,,,
135,source of the nile,0.0101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,american military university,0.0026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,rock and gem shows,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,jax chemical company,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,rocky mountain news,0.0333,2,backtranslation_arb_arab,0.3333,News from the Rockies  ,backtranslation_fra_latn,0.0435,News from the Rocky Mountain,,,,,,,,,,,,,,,,,,,,,,,,
140,east ridge high school,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,va dmv registration,0.0588,1,backtranslation_kor_hang,0.125,Register the dmv,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,illinois state tax,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arkadelphia health club,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,trombone for sale,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,vines for shade,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,sherwood regional library,0.5,1,backtranslation_pes_arab,1.0,The Sherwood District Library ,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,tangible personal property tax,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martha stewart and imclone,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,uplift at yellowstone national park,0.0833,4,backtranslation_yue_hant,0.25,The rise of Yellowstone National Park,backtranslation_tam_taml,0.25,Rise in Yellowstone National Park,backtranslation_deu_latn,0.2,The Yellowstone National Park is closed,backtranslation_arb_arab,0.0909,He was raised in Yellowstone National Park ,,,,,,,,,,,,,,,,,,
150,tn highway patrol,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
