qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
19,the current,0.0,19,The flow ,0.0,19,The current ,0.0,19,The current  ,0.0,19,The flow ,0.0,19,the current,0.0,19,The electricity,0.0,19,the current,0.0,19,Current,0.0,19,current,0.0,19,now,0.0
20,defender,0.0,20,The defender ,0.0,20,The guard ,0.0,20,The guns  ,0.0,20,Defence,0.0,20,defendant,0.0,20,Defender,0.0,20,The defendant,0.0,20,Defence,0.0,20,The guardian,0.0,20,a guard,0.0
21,volvo,0.2776,21,Volvo is a car ,0.0313,21,Let s see ,0.0,21,  What  ,0.0,21,The Volvo ,0.2776,21,back to,0.0,21,The Commission shall adopt implementing acts in accordance with Article    of this Regulation ,0.0,21,Volvo is,0.2776,21,Volvo,0.2776,21,The Volvo,0.2776,21,volvo,0.2776
22,rick warren,0.3364,22,Rick Warren is the author of,0.1751,22,Rick Warren  you know what ,0.1336,22,Rick Warren  ,0.3364,22,Rick Warren ,0.3364,22,Rick Warren,0.3364,22,Rick warren,0.3364,22,Rick Warren,0.3364,22,Rick Warren is,0.3364,22,Rick Warren,0.3364,22,Rick Warren,0.3364
23,yahoo,0.0046,23,The galaxy ,0.0,23,You know  Yahoo ,0.0001,23,Oh   yeah  ,0.0,23,You know  yahoo ,0.0001,23,the yahoo,0.0046,23,Yahoo,0.0046,23,Oh   my God  ,0.0,23,Yahoo ,0.0046,23,Yago,0.0,23,the yahoo,0.0046
24,diversity,0.0803,24,Diversity is a big thing ,0.0003,24,Diversity,0.0803,24,The diversity  ,0.0803,24,Diversity,0.0803,24,diversity,0.0803,24,The diversity,0.0803,24,The diversity,0.0803,24,Diversity,0.0803,24,diversity,0.0803,24,difference,0.0
25,euclid,0.1683,25,My son ,0.0,25,Euclid ,0.1683,25,The Oakleads  ,0.0,25,I m going to take a look ,0.0,25,The mill,0.0,25,The following is a list of the countries of the European Union ,0.0,25,Euclid,0.1683,25,Euclid,0.1683,25,Eclipse,0.0,25,Euclid,0.1683
26,lower heart rate,0.0321,26,It s a heartbeat ,0.0,26,And the heart rate is lower ,0.0321,26,Lower heart rate  ,0.0321,26,Lower heart rate ,0.0321,26,lower heart rate,0.0321,26,lower heart rate,0.0321,26,decreased heart rate,0.0068,26,lower heart rate,0.0321,26,Heart rate decreases,0.0068,26,low heart rate,0.0087
27,starbucks,0.1008,27,This is Starbucks ,0.1008,27,I m not going to stop ,0.0,27,I  m not  ,0.0,27,I m going to start ,0.0,27,the stars,0.0,27,Other articles of heading No ,0.0,27,The Sturbrooks,,27,Starbucks is a great place to start ,0.0179,27,The Starbucks,0.1008,27,Starbucks,0.1008
28,inuyasha,0.159,28,Inouasha ,,28,I m not going to lie ,0.0,28,Inuyasha  ,0.159,28,Inuyasha ,0.159,28,at the same time,0.0,28,inuyasha,0.159,28,Inuyasha,0.159,28,Inuyasha,0.159,28,Inuyasha,0.159,28,in the fire,0.0
29,ps 2 games,0.0064,29,PS   game ,0.004,29,PS  game,0.004,29,PS   games,0.004,29,PS  game,0.004,29,PS   games,0.004,29,PS   Games,0.004,29,PS  of the game,0.004,29,PS  game,0.004,29,ps   games,0.004,29,PS   games,0.004
30,diabetes education,0.1434,30,Diabetes education,0.1434,30,Education for Diabetes,0.1434,30,Diabetes education,0.1434,30,Diabetes education,0.1434,30,education in diabetes,0.1434,30,Education in the field of diabetes,0.0031,30,education in the field of diabetes,0.0031,30,education diabetes,0.1434,30,education in diabetes,0.1434,30,education of diabetes,0.1434
31,atari,0.2841,31,Itari ,0.0,31,Atari  please ,0.0079,31,I  m not going to  ,0.0,31,You re not ,0.0,31,the flow rate,0.0,31,  not,,31,The atrium,0.0,31,The atrium,0.0,31,the atrium,0.0,31,the heather,0.0
32,website design hosting,0.0358,32,Design  hosting  and hosting ,0.0077,32,Web design hosting,0.0076,32,Hosted site design,0.0097,32,Web design,0.0014,32,web design hosting,0.0076,32,Web design hosting,0.0076,32,Web hosting,0.0002,32,hosting website design,0.0358,32,Web design hosting,0.0076,32,Web design hosting,0.0076
33,elliptical trainer,0.2905,33,Formally trained cars ,0.0,33,The elevator trainer ,0.0001,33,The abdominal trainer  ,0.0054,33,Coach of the Jacuzzi ,0.0,33,Other,0.0,33,Other  of a kind used for the manufacture of electrical equipment,0.0,33,The elliptical coach,0.0288,33,elliptical trainer,0.2905,33,Elevator training,0.0,33,elliptical trainer,0.2905
34,cell phones,0.0192,34,The phone ,0.0048,34,I m going to call you ,0.0,34,Cell phones  ,0.0192,34,The cell phone ,0.0192,34,mobile phones,0.0001,34,Other mobile phones,0.0006,34,The mobile phones,0.0001,34,cell phone,0.0192,34,cell phone,0.0192,34,mobile phones,0.0001
35,hoboken,0.3284,35,It s not ,0.0,35,I m not sure ,0.0,35,The loaded one  ,0.0,35,The Hoboken ,0.3284,35,waste,0.0,35,Keyword,0.0,35,Overtime,0.0,35,Sweating,0.0,35,The man was paralyzed ,0.0,35,dreaming,0.0
36,gps,0.0464,36,GPS is the key ,0.0,36,GPS is the best ,0.0137,36,The information detectors,0.0,36,The GPS ,0.0464,36,GPS,0.0464,36,GPS,0.0464,36,GPS is,0.0464,36,GPS is on ,0.0464,36,GPS,0.0464,36,GPS,0.0464
37,pampered chef,0.0426,37,The teacher of eating ,0.0,37,A cook ,0.0,37,A cooking obsessed  ,0.0,37,She s a great cook ,0.0,37,lazy cook,0.0,37,Nice cook,0.0,37,The lost chef ,0.0,37,The Chef is taken care of,0.0014,37,The cook is a delightful cook ,0.0,37,A lovely chef,0.0
38,dogs for adoption,0.0615,38,Keeping dogs ,0.0,38,Adopted dog ,0.0615,38,Dogs that were adopted ,0.0004,38,Dogs for the pot ,0.0,38,dogs to adopt,0.0615,38,Dogs for adoption,0.0615,38,Dogs for adoption,0.0615,38,to adopt a dog,0.0615,38,Dogs to Be Raised,0.0,38,a breeding dog,0.0
39,disneyland hotel,0.0705,39,The Disneyland Hotel ,0.0705,39,The Disneyland Hotel ,0.0705,39,The Disneyland Hotel  ,0.0705,39,The Disneyland Hotel ,0.0705,39,Disneyland hotel,0.0705,39,The Disneyland Hotel,0.0705,39,The Disneyland Hotel,0.0705,39,Disneyland hotel,0.0705,39,The Disneyland Hotel,0.0705,39,Disneyland hotel,0.0705
40,michworks,0.0397,40,The factory ,0.0,40,Michino ,0.0,40,Projects,0.0,40,You do the work ,0.0,40,Manufacturing works,0.0,40,I work,0.0,40,Michelle  ,0.0,40,Work,0.0,40,Mycware,,40,michworks,0.0397
41,orange county convention center,0.147,41,The State Convention Center ,0.0011,41,The Orange County Convention Center,0.147,41,The convention center in Orange County,0.147,41,Orange County Convention Center,0.147,41,Orange County Convention Center,0.147,41,Orange County Convention Center,0.147,41,Orange County convention center,0.147,41,Orange district convention center,0.0165,41,Orange District Convention Center,0.0165,41,Orange County convention center,0.147
42,the music man,0.0068,42,Musicians ,0.0,42,I m a musician ,0.0,42,The music man ,0.0068,42,The music man ,0.0068,42,The man of music,0.0068,42,The musician,0.0,42,A musician,0.0,42,The music guy,0.0,42,Music man,0.0068,42,Music man,0.0068
43,the secret garden,0.2561,43,The secret garden ,0.2561,43,The secret garden ,0.2561,43,The secret garden  ,0.2561,43,The Secret Garden,0.2561,43,The Secret Garden,0.2561,43,The Secret Garden,0.2561,43,The Secret Garden,0.2561,43,Secret garden,0.2561,43,The Secret Garden,0.2561,43,a secret garden,0.2561
44,map of the united states,0.0337,44,Map of the United States,0.0337,44,Map of the United States,0.0337,44,Map of the United States,0.0337,44,The United States map,0.0337,44,map of the United States,0.0337,44,Map of the United States,0.0337,44,Map of the United States,0.0337,44,map of the United States,0.0337,44,Map of the United States,0.0337,44,map of the United States,0.0337
45,solar panels,0.1548,45,Solar panels ,0.1548,45,Solar panel,0.1548,45,The solar panels  ,0.1548,45,Solar panels,0.1548,45,solar panels,0.1548,45,Solar cells,0.002,45,The solar panels,0.1548,45,Solar panel,0.1548,45,Solar powered boxes,0.0067,45,Sunspots,0.0
46,alexian brothers hospital,0.3277,46,The Alexian Brothers Hospital ,0.3277,46,The Alexian Brothers Hospital ,0.3277,46,The Alexian Brothers Hospital  ,0.3277,46,The hospital of the Alexins ,0.0,46,The Alexia Brothers Hospital,0.0,46,The Alexian Brothers Hospital,0.3277,46,The Alexian Brothers Hospital,0.3277,46,hospital of the alexian brothers,0.3277,46,The hospital of the Brotherhood of Alexians,0.3124,46,Brother Alexia s hospital,0.0
47,indexed annuity,0.1705,47,The indexed annuity,0.1705,47,The yearly index,0.0,47,The revised annual,0.0,47,Indicated annually,0.0,47,indexed annuity,0.1705,47,Indexed annuity,0.1705,47,indexed annuity rate,0.1558,47,annuity index,0.1705,47,Indicative year,0.0,47,annuity indexed,0.1705
48,wilson antenna,0.0341,48,Wilson TV ,0.0,48,The Wilson antenna ,0.0341,48,I  m a fan of Wilson  ,0.0,48,It s not like that ,0.0,48,Wilson s antenna,0.0171,48,Antenna by Wilson,0.0341,48,The Wilson antenna,0.0341,48,Wilson antenna is,0.0341,48,Wilson radio,0.0447,48,Wilson antenna,0.0341
49,flame designs,0.2379,49,Design for burning ,0.0,49,Fire design,0.0,49,Fire designs  ,0.0,49,Fire designs ,0.0,49,patterns of flames,0.0,49,Flame designs,0.2379,49,flame fuelled structures,0.0,49,Fire design,0.0,49,How to Design Fire,0.0,49,fire structures,0.0
50,dog heat,0.0244,50,It s hot ,0.0,50,Ten dogs ,0.0001,50,The dog heat  ,0.0244,50,Hot dog ,0.0001,50,the dog s heat,0.0034,50,Hot dogs,0.0001,50,The dog  s warmth,0.0,50,Hot dogs,0.0001,50,Dog Heat,0.0244,50,hot dog,0.0001
