qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
174,rock art,0.1059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack,0.018,10,backtranslation_yue_hant,0.0896,Signs of heart attack ,backtranslation_kor_hang,0.0896,Signs of a heart attack,backtranslation_arb_arab,0.0896,Signs of a heart attack  ,backtranslation_pes_arab,0.0896,Signs of a heart attack ,backtranslation_fra_latn,0.0896,signs of heart attack,backtranslation_deu_latn,0.0896,Signs of a Heart Attack,backtranslation_rus_cyrl,0.0896,signs of heart attack,backtranslation_zsm_latn,0.0896,Signs of a heart attack,backtranslation_swh_latn,0.0896,signs of heart attack,backtranslation_tam_taml,0.0828,The symptoms of a heart attack
176,weather strip,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,best long term care insurance,0.0669,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin,0.0886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history,0.0249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels,0.004,9,backtranslation_kor_hang,0.0041,Hotel in New York ,backtranslation_arb_arab,0.0041,The hotels in New York  ,backtranslation_pes_arab,0.0041,The hotels in New York ,backtranslation_fra_latn,0.0041,hotels in New York,backtranslation_deu_latn,0.0041,Hotels in New York,backtranslation_rus_cyrl,0.0041,hotels in New York,backtranslation_zsm_latn,0.0041,hotel in New York,backtranslation_tam_taml,0.0041,New York hotels,backtranslation_swh_latn,0.0041,hotels in New York,,,
181,old coins,0.0391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking,0.1328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo,0.0025,6,backtranslation_yue_hant,0.0435,Kansas City ,backtranslation_arb_arab,0.0435,Kansas City  ,backtranslation_pes_arab,0.0435,Kansas City ,backtranslation_fra_latn,0.0435,Kansas City is not,backtranslation_rus_cyrl,0.0435,Kansas City,backtranslation_tam_taml,0.0435,Kansas City,,,,,,,,,,,,
184,civil right movement,0.1407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,credit report,0.0269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc,0.0482,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu,0.0888,1,backtranslation_zsm_latn,0.1326,Vanuatu is a country,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service,0.0171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate,0.024,3,backtranslation_kor_hang,0.0446,Gs wage rate,backtranslation_zsm_latn,0.0446,Gs wage rate,backtranslation_tam_taml,0.0446,Gs wage rate,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance,0.1001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs,0.0849,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida,0.0513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags,0.1025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds,0.9121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers,0.0097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat,0.1938,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower,0.0425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,indiana state fairgrounds,0.1972,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia,0.0132,5,backtranslation_pes_arab,0.2031,Fibromyalgia,backtranslation_deu_latn,0.2031,Fibromyalgia,backtranslation_rus_cyrl,0.2031,Fibromyalgia,backtranslation_zsm_latn,0.2031,Fibromyalgia,backtranslation_tam_taml,0.0257,The first is the fact that the patient is suffering from fibromyalgia ,,,,,,,,,,,,,,,
200,ontario california airport,0.1879,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
