qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
11,gmat prep classes,0.5,11,Primary school ,0.0,11,Gmat prep class,0.5,11,Teacher preparation classes,0.0,11,Preparatory classes,0.0,11,Preparatory school,0.0,11,Preparation hours for the Gmat study,0.3333,11,Classes on preparation for gymnasium,0.0,11,Gmat preparation class,1.0,11,Comat preparation classes,0.0,11,the preparation class for gmat,1.0
12,djs,0.25,12,Other things ,0.0,12,I m not sure ,0.0,12,The DGS  ,0.0,12,J J ,0.0,12,Other,0.0,12,DJs,0.25,12,  What  ,0.0,12,The Djs,0.25,12,JS,0.0,12,The D J S ,0.0
13,map,0.5,13,The picture ,0.0,13,Map of the world,0.0,13,A map  ,0.5,13,The plan ,0.0,13,map,0.5,13,Map,0.5,13,Map of the city,0.0133,13,Map,0.5,13,map,0.5,13,Map of the area,0.0114
14,dinosaurs,0.0303,14,The dinosaurs ,0.0303,14,The dinosaurs ,0.0303,14,The dinosaurs  ,0.0303,14,The dinosaurs ,0.0303,14,the dinosaurs,0.0303,14,Other animals,0.0,14,The dinosaurs,0.0303,14,The dinosaurs,0.0303,14,The Dinosaurs,0.0303,14,dinosaurs,0.0303
15,espn sports,0.25,15,Exercise,0.0,15,Sports,0.0,15,Sports  ,0.0,15,Sports,0.0,15,sports,0.0,15,Sports,0.0,15,sports,0.0,15,sports,0.0,15,games,0.0,15,sports spn,0.0
16,arizona game and fish,1.0,16,Arizona wildlife and fish ,0.5,16,Arizona  wildlife and fish ,0.5,16,Arizona fishing and boating  ,0.3333,16,And the Arizona fish ,0.5,16,Arizona hunting and fishing,0.5,16,Arizona Wild and Fish,0.3333,16,Fish and wild fish Arizona,0.1429,16,Arizona game and fish,1.0,16,Arizona hunting and fishing,0.5,16,Arizona game and fish,1.0
17,poker tournaments,0.1429,17,The poker tournament ,0.1429,17,The poker tournament ,0.1429,17,The poker tournaments  ,0.1429,17,Poker tournaments,0.1429,17,poker tournaments,0.1429,17,Poker tournaments,0.1429,17,poker tournaments,0.1429,17,poker tournaments,0.1429,17,Poker tournaments,0.1429,17,poker tournaments,0.1429
18,wedding budget calculator,1.0,18,A wedding budget calculator ,1.0,18,The wedding budget calculator,1.0,18,Accounting for the wedding budget,1.0,18,The wedding car budget account ,0.0769,18,wedding budget calculator,1.0,18,Wedding budget calculator,1.0,18,The wedding budget calculator,1.0,18,marriage estimate calculator,0.0,18,Marriage Budget Survey,0.0,18,budget calculator for a wedding,1.0
19,the current,0.0,19,The flow ,0.0,19,The current ,0.0,19,The current  ,0.0,19,The flow ,0.0,19,the current,0.0,19,The electricity,0.0,19,the current,0.0,19,Current,0.0,19,current,0.0,19,now,0.0
20,defender,0.0,20,The defender ,0.0,20,The guard ,0.0,20,The guns  ,0.0,20,Defence,0.0,20,defendant,0.0,20,Defender,0.0,20,The defendant,0.0,20,Defence,0.0,20,The guardian,0.0,20,a guard,0.0
21,volvo,0.25,21,Volvo is a car ,0.0714,21,Let s see ,0.0,21,  What  ,0.0,21,The Volvo ,0.25,21,back to,0.0,21,The Commission shall adopt implementing acts in accordance with Article    of this Regulation ,0.0,21,Volvo is,0.25,21,Volvo,0.25,21,The Volvo,0.25,21,volvo,0.25
22,rick warren,1.0,22,Rick Warren is the author of,1.0,22,Rick Warren  you know what ,1.0,22,Rick Warren  ,1.0,22,Rick Warren ,1.0,22,Rick Warren,1.0,22,Rick warren,1.0,22,Rick Warren,1.0,22,Rick Warren is,1.0,22,Rick Warren,1.0,22,Rick Warren,1.0
23,yahoo,0.0073,23,The galaxy ,0.0,23,You know  Yahoo ,0.0909,23,Oh   yeah  ,0.0,23,You know  yahoo ,0.0909,23,the yahoo,0.0073,23,Yahoo,0.0073,23,Oh   my God  ,0.0,23,Yahoo ,0.0073,23,Yago,0.0,23,the yahoo,0.0073
24,diversity,0.1667,24,Diversity is a big thing ,0.0526,24,Diversity,0.1667,24,The diversity  ,0.1667,24,Diversity,0.1667,24,diversity,0.1667,24,The diversity,0.1667,24,The diversity,0.1667,24,Diversity,0.1667,24,diversity,0.1667,24,difference,0.0
25,euclid,0.3333,25,My son ,0.0,25,Euclid ,0.3333,25,The Oakleads  ,0.0,25,I m going to take a look ,0.0,25,The mill,0.0,25,The following is a list of the countries of the European Union ,0.0,25,Euclid,0.3333,25,Euclid,0.3333,25,Eclipse,0.0,25,Euclid,0.3333
26,lower heart rate,0.3333,26,It s a heartbeat ,0.0,26,And the heart rate is lower ,0.3333,26,Lower heart rate  ,0.3333,26,Lower heart rate ,0.3333,26,lower heart rate,0.3333,26,lower heart rate,0.3333,26,decreased heart rate,0.3333,26,lower heart rate,0.3333,26,Heart rate decreases,0.3333,26,low heart rate,1.0
27,starbucks,0.0556,27,This is Starbucks ,0.0556,27,I m not going to stop ,0.0,27,I  m not  ,0.0,27,I m going to start ,0.0,27,the stars,0.0,27,Other articles of heading No ,0.0,27,The Sturbrooks,,27,Starbucks is a great place to start ,0.2,27,The Starbucks,0.0556,27,Starbucks,0.0556
28,inuyasha,0.3333,28,Inouasha ,,28,I m not going to lie ,0.0,28,Inuyasha  ,0.3333,28,Inuyasha ,0.3333,28,at the same time,0.0,28,inuyasha,0.3333,28,Inuyasha,0.3333,28,Inuyasha,0.3333,28,Inuyasha,0.3333,28,in the fire,0.0
29,ps 2 games,0.1429,29,PS   game ,0.25,29,PS  game,0.25,29,PS   games,0.25,29,PS  game,0.25,29,PS   games,0.25,29,PS   Games,0.25,29,PS  of the game,0.25,29,PS  game,0.25,29,ps   games,0.25,29,PS   games,0.25
30,diabetes education,0.25,30,Diabetes education,0.25,30,Education for Diabetes,0.25,30,Diabetes education,0.25,30,Diabetes education,0.25,30,education in diabetes,0.25,30,Education in the field of diabetes,0.2,30,education in the field of diabetes,0.2,30,education diabetes,0.25,30,education in diabetes,0.25,30,education of diabetes,0.25
31,atari,1.0,31,Itari ,0.0,31,Atari  please ,0.25,31,I  m not going to  ,0.0,31,You re not ,0.0,31,the flow rate,0.0,31,  not,,31,The atrium,0.0,31,The atrium,0.0,31,the atrium,0.0,31,the heather,0.0
32,website design hosting,0.5,32,Design  hosting  and hosting ,0.0526,32,Web design hosting,0.125,32,Hosted site design,0.25,32,Web design,0.0312,32,web design hosting,0.125,32,Web design hosting,0.125,32,Web hosting,0.0063,32,hosting website design,0.5,32,Web design hosting,0.125,32,Web design hosting,0.125
33,elliptical trainer,0.25,33,Formally trained cars ,0.0,33,The elevator trainer ,0.0161,33,The abdominal trainer  ,1.0,33,Coach of the Jacuzzi ,0.0,33,Other,0.0,33,Other  of a kind used for the manufacture of electrical equipment,0.0,33,The elliptical coach,0.0556,33,elliptical trainer,0.25,33,Elevator training,0.0,33,elliptical trainer,0.25
34,cell phones,0.0909,34,The phone ,0.0161,34,I m going to call you ,0.0,34,Cell phones  ,0.0909,34,The cell phone ,0.0909,34,mobile phones,0.004,34,Other mobile phones,0.0079,34,The mobile phones,0.004,34,cell phone,0.0909,34,cell phone,0.0909,34,mobile phones,0.004
35,hoboken,0.3333,35,It s not ,0.0,35,I m not sure ,0.0,35,The loaded one  ,0.0,35,The Hoboken ,0.3333,35,waste,0.0,35,Keyword,0.0,35,Overtime,0.0,35,Sweating,0.0,35,The man was paralyzed ,0.0,35,dreaming,0.0
36,gps,0.1429,36,GPS is the key ,0.0082,36,GPS is the best ,1.0,36,The information detectors,0.0,36,The GPS ,0.1429,36,GPS,0.1429,36,GPS,0.1429,36,GPS is,0.1429,36,GPS is on ,0.1429,36,GPS,0.1429,36,GPS,0.1429
37,pampered chef,0.1111,37,The teacher of eating ,0.0,37,A cook ,0.0,37,A cooking obsessed  ,0.0,37,She s a great cook ,0.0,37,lazy cook,0.0,37,Nice cook,0.0,37,The lost chef ,0.0,37,The Chef is taken care of,0.0041,37,The cook is a delightful cook ,0.0,37,A lovely chef,0.0
38,dogs for adoption,0.125,38,Keeping dogs ,0.0122,38,Adopted dog ,0.125,38,Dogs that were adopted ,0.1111,38,Dogs for the pot ,0.0,38,dogs to adopt,0.125,38,Dogs for adoption,0.125,38,Dogs for adoption,0.125,38,to adopt a dog,0.125,38,Dogs to Be Raised,0.0023,38,a breeding dog,0.0
39,disneyland hotel,0.3333,39,The Disneyland Hotel ,0.3333,39,The Disneyland Hotel ,0.3333,39,The Disneyland Hotel  ,0.3333,39,The Disneyland Hotel ,0.3333,39,Disneyland hotel,0.3333,39,The Disneyland Hotel,0.3333,39,The Disneyland Hotel,0.3333,39,Disneyland hotel,0.3333,39,The Disneyland Hotel,0.3333,39,Disneyland hotel,0.3333
40,michworks,0.5,40,The factory ,0.0,40,Michino ,0.0,40,Projects,0.0,40,You do the work ,0.0,40,Manufacturing works,0.0,40,I work,0.0,40,Michelle  ,0.0,40,Work,0.0,40,Mycware,,40,michworks,0.5
41,orange county convention center,1.0,41,The State Convention Center ,0.037,41,The Orange County Convention Center,1.0,41,The convention center in Orange County,1.0,41,Orange County Convention Center,1.0,41,Orange County Convention Center,1.0,41,Orange County Convention Center,1.0,41,Orange County convention center,1.0,41,Orange district convention center,0.2,41,Orange District Convention Center,0.2,41,Orange County convention center,1.0
42,the music man,0.0035,42,Musicians ,0.0,42,I m a musician ,0.0,42,The music man ,0.0035,42,The music man ,0.0035,42,The man of music,0.0035,42,The musician,0.0,42,A musician,0.0,42,The music guy,0.0,42,Music man,0.0035,42,Music man,0.0035
43,the secret garden,0.25,43,The secret garden ,0.25,43,The secret garden ,0.25,43,The secret garden  ,0.25,43,The Secret Garden,0.25,43,The Secret Garden,0.25,43,The Secret Garden,0.25,43,The Secret Garden,0.25,43,Secret garden,0.25,43,The Secret Garden,0.25,43,a secret garden,0.25
44,map of the united states,0.3333,44,Map of the United States,0.3333,44,Map of the United States,0.3333,44,Map of the United States,0.3333,44,The United States map,0.3333,44,map of the United States,0.3333,44,Map of the United States,0.3333,44,Map of the United States,0.3333,44,map of the United States,0.3333,44,Map of the United States,0.3333,44,map of the United States,0.3333
45,solar panels,0.3333,45,Solar panels ,0.3333,45,Solar panel,0.3333,45,The solar panels  ,0.3333,45,Solar panels,0.3333,45,solar panels,0.3333,45,Solar cells,0.0263,45,The solar panels,0.3333,45,Solar panel,0.3333,45,Solar powered boxes,0.0625,45,Sunspots,0.0
46,alexian brothers hospital,0.3333,46,The Alexian Brothers Hospital ,0.3333,46,The Alexian Brothers Hospital ,0.3333,46,The Alexian Brothers Hospital  ,0.3333,46,The hospital of the Alexins ,0.0,46,The Alexia Brothers Hospital,0.0,46,The Alexian Brothers Hospital,0.3333,46,The Alexian Brothers Hospital,0.3333,46,hospital of the alexian brothers,0.3333,46,The hospital of the Brotherhood of Alexians,0.2,46,Brother Alexia s hospital,0.0
47,indexed annuity,0.2,47,The indexed annuity,0.2,47,The yearly index,0.0084,47,The revised annual,0.0,47,Indicated annually,0.0,47,indexed annuity,0.2,47,Indexed annuity,0.2,47,indexed annuity rate,0.2,47,annuity index,0.2,47,Indicative year,0.0,47,annuity indexed,0.2
48,wilson antenna,0.3333,48,Wilson TV ,0.0019,48,The Wilson antenna ,0.3333,48,I  m a fan of Wilson  ,0.0,48,It s not like that ,0.0,48,Wilson s antenna,0.3333,48,Antenna by Wilson,0.3333,48,The Wilson antenna,0.3333,48,Wilson antenna is,0.3333,48,Wilson radio,1.0,48,Wilson antenna,0.3333
49,flame designs,0.1111,49,Design for burning ,0.0,49,Fire design,0.0,49,Fire designs  ,0.0,49,Fire designs ,0.0,49,patterns of flames,0.0069,49,Flame designs,0.1111,49,flame fuelled structures,0.0,49,Fire design,0.0,49,How to Design Fire,0.0,49,fire structures,0.0
50,dog heat,0.1,50,It s hot ,0.0,50,Ten dogs ,0.0046,50,The dog heat  ,0.1,50,Hot dog ,0.0023,50,the dog s heat,0.0833,50,Hot dogs,0.0023,50,The dog  s warmth,0.0064,50,Hot dogs,0.0023,50,Dog Heat,0.1,50,hot dog,0.0023
