qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
13,map,0.0537,13,The picture ,0.0,13,Map of the world,0.0,13,A map  ,0.0537,13,The plan ,0.0,13,map,0.0537,13,Map,0.0537,13,Map of the city,0.0012,13,Map,0.0537,13,map,0.0537,13,Map of the area,0.001
14,dinosaurs,0.0455,14,The dinosaurs ,0.0455,14,The dinosaurs ,0.0455,14,The dinosaurs  ,0.0455,14,The dinosaurs ,0.0455,14,the dinosaurs,0.0455,14,Other animals,0.0,14,The dinosaurs,0.0455,14,The dinosaurs,0.0455,14,The Dinosaurs,0.0455,14,dinosaurs,0.0455
15,espn sports,0.2217,15,Exercise,0.0,15,Sports,0.0,15,Sports  ,0.0,15,Sports,0.0,15,sports,0.0,15,Sports,0.0,15,sports,0.0,15,sports,0.0,15,games,0.0,15,sports spn,0.0
16,arizona game and fish,0.1585,16,Arizona wildlife and fish ,0.0414,16,Arizona  wildlife and fish ,0.0414,16,Arizona fishing and boating  ,0.0605,16,And the Arizona fish ,0.0952,16,Arizona hunting and fishing,0.0695,16,Arizona Wild and Fish,0.029,16,Fish and wild fish Arizona,0.032,16,Arizona game and fish,0.1585,16,Arizona hunting and fishing,0.0695,16,Arizona game and fish,0.1585
17,poker tournaments,0.0712,17,The poker tournament ,0.0712,17,The poker tournament ,0.0712,17,The poker tournaments  ,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712,17,poker tournaments,0.0712,17,Poker tournaments,0.0712,17,poker tournaments,0.0712
18,wedding budget calculator,0.101,18,A wedding budget calculator ,0.101,18,The wedding budget calculator,0.101,18,Accounting for the wedding budget,0.0433,18,The wedding car budget account ,0.0087,18,wedding budget calculator,0.101,18,Wedding budget calculator,0.101,18,The wedding budget calculator,0.101,18,marriage estimate calculator,0.0,18,Marriage Budget Survey,0.0,18,budget calculator for a wedding,0.101
19,the current,0.0,19,The flow ,0.0,19,The current ,0.0,19,The current  ,0.0,19,The flow ,0.0,19,the current,0.0,19,The electricity,0.0,19,the current,0.0,19,Current,0.0,19,current,0.0,19,now,0.0
20,defender,0.0,20,The defender ,0.0,20,The guard ,0.0,20,The guns  ,0.0,20,Defence,0.0,20,defendant,0.0,20,Defender,0.0,20,The defendant,0.0,20,Defence,0.0,20,The guardian,0.0,20,a guard,0.0
21,volvo,0.2773,21,Volvo is a car ,0.0469,21,Let s see ,0.0,21,  What  ,0.0,21,The Volvo ,0.2773,21,back to,0.0,21,The Commission shall adopt implementing acts in accordance with Article    of this Regulation ,0.0,21,Volvo is,0.2773,21,Volvo,0.2773,21,The Volvo,0.2773,21,volvo,0.2773
22,rick warren,0.3108,22,Rick Warren is the author of,0.2818,22,Rick Warren  you know what ,0.1997,22,Rick Warren  ,0.3108,22,Rick Warren ,0.3108,22,Rick Warren,0.3108,22,Rick warren,0.3108,22,Rick Warren,0.3108,22,Rick Warren is,0.3108,22,Rick Warren,0.3108,22,Rick Warren,0.3108
23,yahoo,0.0048,23,The galaxy ,0.0,23,You know  Yahoo ,0.0014,23,Oh   yeah  ,0.0,23,You know  yahoo ,0.0014,23,the yahoo,0.0048,23,Yahoo,0.0048,23,Oh   my God  ,0.0,23,Yahoo ,0.0048,23,Yago,0.0,23,the yahoo,0.0048
24,diversity,0.0808,24,Diversity is a big thing ,0.0052,24,Diversity,0.0808,24,The diversity  ,0.0808,24,Diversity,0.0808,24,diversity,0.0808,24,The diversity,0.0808,24,The diversity,0.0808,24,Diversity,0.0808,24,diversity,0.0808,24,difference,0.0
25,euclid,0.1694,25,My son ,0.0,25,Euclid ,0.1694,25,The Oakleads  ,0.0,25,I m going to take a look ,0.0,25,The mill,0.0,25,The following is a list of the countries of the European Union ,0.0,25,Euclid,0.1694,25,Euclid,0.1694,25,Eclipse,0.0,25,Euclid,0.1694
26,lower heart rate,0.1014,26,It s a heartbeat ,0.0,26,And the heart rate is lower ,0.1014,26,Lower heart rate  ,0.1014,26,Lower heart rate ,0.1014,26,lower heart rate,0.1014,26,lower heart rate,0.1014,26,decreased heart rate,0.0194,26,lower heart rate,0.1014,26,Heart rate decreases,0.0194,26,low heart rate,0.0242
27,starbucks,0.1012,27,This is Starbucks ,0.1012,27,I m not going to stop ,0.0,27,I  m not  ,0.0,27,I m going to start ,0.0,27,the stars,0.0,27,Other articles of heading No ,0.0,27,The Sturbrooks,,27,Starbucks is a great place to start ,0.0265,27,The Starbucks,0.1012,27,Starbucks,0.1012
28,inuyasha,0.1619,28,Inouasha ,,28,I m not going to lie ,0.0,28,Inuyasha  ,0.1619,28,Inuyasha ,0.1619,28,at the same time,0.0,28,inuyasha,0.1619,28,Inuyasha,0.1619,28,Inuyasha,0.1619,28,Inuyasha,0.1619,28,in the fire,0.0
29,ps 2 games,0.0101,29,PS   game ,0.013,29,PS  game,0.013,29,PS   games,0.013,29,PS  game,0.013,29,PS   games,0.013,29,PS   Games,0.013,29,PS  of the game,0.013,29,PS  game,0.013,29,ps   games,0.013,29,PS   games,0.013
30,diabetes education,0.1146,30,Diabetes education,0.1146,30,Education for Diabetes,0.1146,30,Diabetes education,0.1146,30,Diabetes education,0.1146,30,education in diabetes,0.1146,30,Education in the field of diabetes,0.0839,30,education in the field of diabetes,0.0839,30,education diabetes,0.1146,30,education in diabetes,0.1146,30,education of diabetes,0.1146
31,atari,0.2842,31,Itari ,0.0,31,Atari  please ,0.1706,31,I  m not going to  ,0.0,31,You re not ,0.0,31,the flow rate,0.0,31,  not,,31,The atrium,0.0,31,The atrium,0.0,31,the atrium,0.0,31,the heather,0.0
32,website design hosting,0.035,32,Design  hosting  and hosting ,0.0049,32,Web design hosting,0.007,32,Hosted site design,0.0088,32,Web design,0.0014,32,web design hosting,0.007,32,Web design hosting,0.007,32,Web hosting,0.0002,32,hosting website design,0.035,32,Web design hosting,0.007,32,Web design hosting,0.007
33,elliptical trainer,0.2794,33,Formally trained cars ,0.0,33,The elevator trainer ,0.0005,33,The abdominal trainer  ,0.0152,33,Coach of the Jacuzzi ,0.0,33,Other,0.0,33,Other  of a kind used for the manufacture of electrical equipment,0.0,33,The elliptical coach,0.0992,33,elliptical trainer,0.2794,33,Elevator training,0.0,33,elliptical trainer,0.2794
34,cell phones,0.0195,34,The phone ,0.0048,34,I m going to call you ,0.0,34,Cell phones  ,0.0195,34,The cell phone ,0.0195,34,mobile phones,0.0007,34,Other mobile phones,0.0006,34,The mobile phones,0.0007,34,cell phone,0.0195,34,cell phone,0.0195,34,mobile phones,0.0007
35,hoboken,0.3383,35,It s not ,0.0,35,I m not sure ,0.0,35,The loaded one  ,0.0,35,The Hoboken ,0.3383,35,waste,0.0,35,Keyword,0.0,35,Overtime,0.0,35,Sweating,0.0,35,The man was paralyzed ,0.0,35,dreaming,0.0
36,gps,0.0461,36,GPS is the key ,0.0041,36,GPS is the best ,0.0385,36,The information detectors,0.0,36,The GPS ,0.0461,36,GPS,0.0461,36,GPS,0.0461,36,GPS is,0.0461,36,GPS is on ,0.0461,36,GPS,0.0461,36,GPS,0.0461
37,pampered chef,0.0349,37,The teacher of eating ,0.0,37,A cook ,0.0,37,A cooking obsessed  ,0.0,37,She s a great cook ,0.0,37,lazy cook,0.0,37,Nice cook,0.0,37,The lost chef ,0.0,37,The Chef is taken care of,0.001,37,The cook is a delightful cook ,0.0,37,A lovely chef,0.0
38,dogs for adoption,0.0512,38,Keeping dogs ,0.0001,38,Adopted dog ,0.0512,38,Dogs that were adopted ,0.0322,38,Dogs for the pot ,0.0,38,dogs to adopt,0.0512,38,Dogs for adoption,0.0512,38,Dogs for adoption,0.0512,38,to adopt a dog,0.0512,38,Dogs to Be Raised,0.0,38,a breeding dog,0.0
39,disneyland hotel,0.0618,39,The Disneyland Hotel ,0.0618,39,The Disneyland Hotel ,0.0618,39,The Disneyland Hotel  ,0.0618,39,The Disneyland Hotel ,0.0618,39,Disneyland hotel,0.0618,39,The Disneyland Hotel,0.0618,39,The Disneyland Hotel,0.0618,39,Disneyland hotel,0.0618,39,The Disneyland Hotel,0.0618,39,Disneyland hotel,0.0618
40,michworks,0.0397,40,The factory ,0.0,40,Michino ,0.0,40,Projects,0.0,40,You do the work ,0.0,40,Manufacturing works,0.0,40,I work,0.0,40,Michelle  ,0.0,40,Work,0.0,40,Mycware,,40,michworks,0.0397
41,orange county convention center,0.0596,41,The State Convention Center ,0.0006,41,The Orange County Convention Center,0.0596,41,The convention center in Orange County,0.0596,41,Orange County Convention Center,0.0596,41,Orange County Convention Center,0.0596,41,Orange County Convention Center,0.0596,41,Orange County convention center,0.0596,41,Orange district convention center,0.0295,41,Orange District Convention Center,0.0295,41,Orange County convention center,0.0596
42,the music man,0.0037,42,Musicians ,0.0,42,I m a musician ,0.0,42,The music man ,0.0037,42,The music man ,0.0037,42,The man of music,0.0037,42,The musician,0.0,42,A musician,0.0,42,The music guy,0.0,42,Music man,0.0037,42,Music man,0.0037
43,the secret garden,0.2192,43,The secret garden ,0.2192,43,The secret garden ,0.2192,43,The secret garden  ,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,The Secret Garden,0.2192,43,Secret garden,0.2192,43,The Secret Garden,0.2192,43,a secret garden,0.2192
44,map of the united states,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,The United States map,0.0243,44,map of the United States,0.0243,44,Map of the United States,0.0243,44,Map of the United States,0.0243,44,map of the United States,0.0243,44,Map of the United States,0.0243,44,map of the United States,0.0243
45,solar panels,0.1316,45,Solar panels ,0.1316,45,Solar panel,0.1316,45,The solar panels  ,0.1316,45,Solar panels,0.1316,45,solar panels,0.1316,45,Solar cells,0.0033,45,The solar panels,0.1316,45,Solar panel,0.1316,45,Solar powered boxes,0.0104,45,Sunspots,0.0
46,alexian brothers hospital,0.322,46,The Alexian Brothers Hospital ,0.322,46,The Alexian Brothers Hospital ,0.322,46,The Alexian Brothers Hospital  ,0.322,46,The hospital of the Alexins ,0.0,46,The Alexia Brothers Hospital,0.0,46,The Alexian Brothers Hospital,0.322,46,The Alexian Brothers Hospital,0.322,46,hospital of the alexian brothers,0.322,46,The hospital of the Brotherhood of Alexians,0.186,46,Brother Alexia s hospital,0.0
47,indexed annuity,0.1519,47,The indexed annuity,0.1519,47,The yearly index,0.0004,47,The revised annual,0.0,47,Indicated annually,0.0,47,indexed annuity,0.1519,47,Indexed annuity,0.1519,47,indexed annuity rate,0.1272,47,annuity index,0.1519,47,Indicative year,0.0,47,annuity indexed,0.1519
48,wilson antenna,0.0287,48,Wilson TV ,0.0,48,The Wilson antenna ,0.0287,48,I  m a fan of Wilson  ,0.0,48,It s not like that ,0.0,48,Wilson s antenna,0.0271,48,Antenna by Wilson,0.0287,48,The Wilson antenna,0.0287,48,Wilson antenna is,0.0287,48,Wilson radio,0.0455,48,Wilson antenna,0.0287
49,flame designs,0.1548,49,Design for burning ,0.0,49,Fire design,0.0,49,Fire designs  ,0.0,49,Fire designs ,0.0,49,patterns of flames,0.0008,49,Flame designs,0.1548,49,flame fuelled structures,0.0,49,Fire design,0.0,49,How to Design Fire,0.0,49,fire structures,0.0
50,dog heat,0.0183,50,It s hot ,0.0,50,Ten dogs ,0.0001,50,The dog heat  ,0.0183,50,Hot dog ,0.0002,50,the dog s heat,0.015,50,Hot dogs,0.0002,50,The dog  s warmth,0.0004,50,Hot dogs,0.0002,50,Dog Heat,0.0183,50,hot dog,0.0002
