qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
345,Overseas Tobacco Sales ,0.1139,2,backtranslation_fra_latn,0.1194,Tobacco sales abroad ,backtranslation_dan_latn,0.1194,Sales of tobacco abroad ,,,,,,,,,
346,Educational Standards ,0.0916,0,,,,,,,,,,,,,,,
347,Wildlife Extinction ,0.1688,1,backtranslation_yue_hant,0.1714,Wildlife is disappearing ,,,,,,,,,,,,
348,Agoraphobia ,0.81,0,,,,,,,,,,,,,,,
349,Metabolism ,0.184,0,,,,,,,,,,,,,,,
350,Health and Computer Terminals ,0.0875,0,,,,,,,,,,,,,,,
351,Falkland petroleum exploration ,0.3996,3,backtranslation_deu_latn,0.6481,Oil exploration in the Falkland Islands ,backtranslation_pes_arab,0.6017,The Falkland oil exploration ,backtranslation_yue_hant,0.6017,The Falkland oil exploration ,,,,,,
352,British Chunnel impact ,0.0466,3,backtranslation_pes_arab,0.1163,The impact of the British Channel ,backtranslation_fra_latn,0.1163,The impact of the British Channel ,backtranslation_deu_latn,0.0582,The influence of the British Channel ,,,,,,
353,Antarctica exploration ,0.2344,2,backtranslation_yue_hant,0.3449,Exploring the Antarctic ,backtranslation_fra_latn,0.3449,Exploration of the Antarctic ,,,,,,,,,
354,journalist risks ,0.0423,0,,,,,,,,,,,,,,,
355,ocean remote sensing ,0.1362,0,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain ,0.0063,3,backtranslation_dan_latn,0.0735,postmenopausal oestrogen UK ,backtranslation_yue_hant,0.0496,The post menopausal estrogen in England ,backtranslation_pes_arab,0.0104,Estrogen after the British monopoly ,,,,,,
357,territorial waters dispute ,0.2593,0,,,,,,,,,,,,,,,
358,blood-alcohol fatalities ,0.2399,5,backtranslation_deu_latn,0.3539,Blood alcohol deaths ,backtranslation_pes_arab,0.3389,Deaths from blood alcohol ,backtranslation_fra_latn,0.3389,death from alcohol in the blood ,backtranslation_yue_hant,0.2799,Blood alcohol is dead ,backtranslation_dan_latn,0.2725,fatal cases of alcohol in the blood 
359,mutual fund predictors ,0.02,2,backtranslation_yue_hant,0.0207,Mutual fund forecasts ,backtranslation_fra_latn,0.0207,forecasters of mutual funds ,,,,,,,,,
360,drug legalization benefits ,0.1698,0,,,,,,,,,,,,,,,
361,clothing sweatshops ,0.36,0,,,,,,,,,,,,,,,
362,human smuggling ,0.0899,0,,,,,,,,,,,,,,,
363,transportation tunnel disasters ,0.0205,0,,,,,,,,,,,,,,,
364,rabies ,0.5537,0,,,,,,,,,,,,,,,
365,El Nino ,0.6218,0,,,,,,,,,,,,,,,
366,commercial cyanide uses ,0.4254,0,,,,,,,,,,,,,,,
367,piracy ,0.0624,0,,,,,,,,,,,,,,,
368,in vitro fertilization ,0.3683,0,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia ,0.2633,0,,,,,,,,,,,,,,,
370,food/drug laws ,0.006,1,backtranslation_pes_arab,0.0258,Food and Drug regulations ,,,,,,,,,,,,
371,health insurance holistic ,0.0017,3,backtranslation_pes_arab,0.0593,Health insurance coverage ,backtranslation_yue_hant,0.0028,Health insurance as a whole ,backtranslation_deu_latn,0.0019,State health insurance ,,,,,,
372,Native American casino ,0.1169,0,,,,,,,,,,,,,,,
373,encryption equipment export ,0.1072,2,backtranslation_yue_hant,0.1219,Exporting the encrypted device ,backtranslation_deu_latn,0.1219,Exports of encryption devices ,,,,,,,,,
374,Nobel prize winners ,0.2745,1,backtranslation_fra_latn,0.5047,Nobel Prize for his work ,,,,,,,,,,,,
375,hydrogen energy ,0.2136,0,,,,,,,,,,,,,,,
376,World Court ,0.0226,0,,,,,,,,,,,,,,,
377,cigar smoking ,0.3225,0,,,,,,,,,,,,,,,
378,euro opposition ,0.0079,0,,,,,,,,,,,,,,,
379,mainstreaming ,0.0285,0,,,,,,,,,,,,,,,
380,obesity medical treatment ,0.1958,1,backtranslation_yue_hant,0.3338,Obesity treatment ,,,,,,,,,,,,
381,alternative medicine ,0.0558,0,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles ,0.5459,0,,,,,,,,,,,,,,,
383,mental illness drugs ,0.0245,1,backtranslation_yue_hant,0.0435,Psychiatric drugs ,,,,,,,,,,,,
384,space station moon ,0.2062,0,,,,,,,,,,,,,,,
385,hybrid fuel cars ,0.3361,0,,,,,,,,,,,,,,,
386,teaching disabled children ,0.032,2,backtranslation_pes_arab,0.0572,Education of handicapped children ,backtranslation_yue_hant,0.0388,Learning disabled children ,,,,,,,,,
387,radioactive waste ,0.1303,0,,,,,,,,,,,,,,,
388,organic soil enhancement ,0.0263,5,backtranslation_yue_hant,0.0621,Organic soil is growing ,backtranslation_pes_arab,0.0499,Increased organic soil ,backtranslation_fra_latn,0.0421,organic improvement of soil ,backtranslation_dan_latn,0.0421,organic soil improvement ,backtranslation_deu_latn,0.0305,organic soil extraction 
389,illegal technology transfer ,0.021,0,,,,,,,,,,,,,,,
390,orphan drugs ,0.08,0,,,,,,,,,,,,,,,
391,R&D drug prices ,0.2543,2,backtranslation_pes_arab,0.415,Costs of drug research and development ,backtranslation_yue_hant,0.3389,The cost of drug development ,,,,,,,,,
392,robotics ,0.4736,0,,,,,,,,,,,,,,,
393,mercy killing ,0.0551,0,,,,,,,,,,,,,,,
394,home schooling ,0.0174,3,backtranslation_yue_hant,0.0455,Family education ,backtranslation_fra_latn,0.0335,home education ,backtranslation_dan_latn,0.0335,home education ,,,,,,
395,tourism ,0.1345,0,,,,,,,,,,,,,,,
396,sick building syndrome ,0.152,0,,,,,,,,,,,,,,,
397,automobile recalls ,0.0179,0,,,,,,,,,,,,,,,
398,dismantling Europe's arsenal ,0.0189,2,backtranslation_dan_latn,0.0308,The Commission is also concerned about the need to reduce the number of nuclear weapons in the European Union ,backtranslation_yue_hant,0.024,To destroy the European arsenal ,,,,,,,,,
399,oceanographic vessels ,0.1489,1,backtranslation_pes_arab,0.172,Oceanographic ships ,,,,,,,,,,,,
400,Amazon rain forest ,0.3971,5,backtranslation_pes_arab,0.4111,The Amazon rainforest ,backtranslation_yue_hant,0.4111,The Amazon rainforest ,backtranslation_fra_latn,0.4111,The Amazon Rainforest ,backtranslation_deu_latn,0.4111,The Amazon rainforest ,backtranslation_dan_latn,0.4111,The Amazon rainforest 
401,"foreign minorities, Germany ",0.0311,0,,,,,,,,,,,,,,,
402,behavioral genetics ,0.1344,0,,,,,,,,,,,,,,,
403,osteoporosis ,0.4423,0,,,,,,,,,,,,,,,
404,"Ireland, peace talks ",0.169,0,,,,,,,,,,,,,,,
405,cosmic events ,0.0616,0,,,,,,,,,,,,,,,
406,Parkinson's disease ,0.3929,4,backtranslation_pes_arab,0.4123,Parkinson s disease is not a disease ,backtranslation_yue_hant,0.4123,Parkinson s disease is a disease ,backtranslation_fra_latn,0.4042,Parkinson s disease is ,backtranslation_dan_latn,0.4042,Parkinson s disease is not ,,,
407,"poaching, wildlife preserves ",0.2801,0,,,,,,,,,,,,,,,
408,tropical storms ,0.0929,0,,,,,,,,,,,,,,,
409,"legal, Pan Am, 103 ",0.1422,0,,,,,,,,,,,,,,,
410,Schengen agreement ,0.8547,0,,,,,,,,,,,,,,,
411,"salvaging, shipwreck, treasure ",0.2342,0,,,,,,,,,,,,,,,
412,airport security ,0.332,0,,,,,,,,,,,,,,,
413,steel production ,0.0807,0,,,,,,,,,,,,,,,
414,"Cuba, sugar, exports ",0.2562,0,,,,,,,,,,,,,,,
415,"drugs, Golden Triangle ",0.2426,0,,,,,,,,,,,,,,,
416,Three Gorges Project ,0.3534,0,,,,,,,,,,,,,,,
417,creativity ,0.3074,0,,,,,,,,,,,,,,,
418,"quilts, income ",0.4239,0,,,,,,,,,,,,,,,
419,"recycle, automobile tires ",0.0477,5,backtranslation_fra_latn,0.3173,recycling tyres  automotive tyres ,backtranslation_deu_latn,0.283,Recycling  vehicle tyres ,backtranslation_dan_latn,0.2584,Recycling  car tyres ,backtranslation_pes_arab,0.0853,Recycling  car tires ,backtranslation_yue_hant,0.0531,Recycling machines  car tires 
420,carbon monoxide poisoning ,0.4522,0,,,,,,,,,,,,,,,
421,industrial waste disposal ,0.0484,2,backtranslation_yue_hant,0.0804,Industrial waste management ,backtranslation_dan_latn,0.0639,industrial waste pollution ,,,,,,,,,
422,"art, stolen, forged ",0.3042,0,,,,,,,,,,,,,,,
423,"Milosevic, Mirjana Markovic ",0.6341,0,,,,,,,,,,,,,,,
424,suicides ,0.1341,0,,,,,,,,,,,,,,,
425,counterfeiting money ,0.4559,0,,,,,,,,,,,,,,,
426,"law enforcement, dogs ",0.0475,1,backtranslation_fra_latn,0.3362,The police  the dogs ,,,,,,,,,,,,
427,"UV damage, eyes ",0.1522,0,,,,,,,,,,,,,,,
428,declining birth rates ,0.2436,0,,,,,,,,,,,,,,,
429,Legionnaires' disease ,0.4669,2,backtranslation_pes_arab,0.4937,Legionnaire s disease ,backtranslation_dan_latn,0.4937,Legionnaire s disease ,,,,,,,,,
430,killer bee attacks ,0.6502,0,,,,,,,,,,,,,,,
431,robotic technology ,0.5346,0,,,,,,,,,,,,,,,
432,"profiling, motorists, police ",0.002,1,backtranslation_yue_hant,0.0021,The driver  the police ,,,,,,,,,,,,
433,"Greek, philosophy, stoicism ",0.0483,1,backtranslation_dan_latn,0.0752,Greece  philosophy  stoicism ,,,,,,,,,,,,
434,"Estonia, economy ",0.4266,0,,,,,,,,,,,,,,,
435,curbing population growth ,0.0477,2,backtranslation_pes_arab,0.1131,Decreasing population growth ,backtranslation_fra_latn,0.0479,limiting population growth ,,,,,,,,,
436,railway accidents ,0.0614,2,backtranslation_pes_arab,0.1398,Railroad accidents ,backtranslation_yue_hant,0.1398,A railroad accident ,,,,,,,,,
437,"deregulation, gas, electric ",0.0288,0,,,,,,,,,,,,,,,
438,"tourism, increase ",0.255,0,,,,,,,,,,,,,,,
439,"inventions, scientific discoveries ",0.0181,1,backtranslation_fra_latn,0.0214,Inventors  scientific discoveries ,,,,,,,,,,,,
440,child labor ,0.1313,4,backtranslation_yue_hant,0.1451,Child labour ,backtranslation_fra_latn,0.1451,child labour ,backtranslation_deu_latn,0.1451,Child labour ,backtranslation_dan_latn,0.1451,Child labour ,,,
441,Lyme disease ,0.4564,0,,,,,,,,,,,,,,,
442,heroic acts ,0.0126,1,backtranslation_deu_latn,0.0386,Heroic Deeds ,,,,,,,,,,,,
443,"U.S., investment, Africa ",0.1325,0,,,,,,,,,,,,,,,
444,supercritical fluids ,0.3675,1,backtranslation_yue_hant,0.405,It s a supercritical liquid ,,,,,,,,,,,,
445,women clergy ,0.1862,1,backtranslation_fra_latn,0.3486,women priests ,,,,,,,,,,,,
446,"tourists, violence ",0.1953,0,,,,,,,,,,,,,,,
447,Stirling engine ,0.076,0,,,,,,,,,,,,,,,
448,ship losses ,0.0209,0,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness ,0.0657,2,backtranslation_deu_latn,0.0922,Effectiveness of antibiotics ,backtranslation_pes_arab,0.0879,The lack of antibiotics ,,,,,,,,,
450,"King Hussein, peace ",0.3105,0,,,,,,,,,,,,,,,
601,Turkey Iraq water ,0.5318,0,,,,,,,,,,,,,,,
602,"Czech, Slovak sovereignty ",0.3082,1,backtranslation_pes_arab,0.3368,The Czech  the Slovak ,,,,,,,,,,,,
603,Tobacco cigarette lawsuit ,0.2648,2,backtranslation_fra_latn,0.3541,The case against tobacco ,backtranslation_pes_arab,0.2902,The smoking suit ,,,,,,,,,
604,Lyme disease arthritis ,0.7396,1,backtranslation_fra_latn,0.7409,Arthritis from Lyme disease ,,,,,,,,,,,,
605,Great Britain health care ,0.0833,0,,,,,,,,,,,,,,,
606,leg traps ban ,0.3297,0,,,,,,,,,,,,,,,
607,human genetic code ,0.1997,0,,,,,,,,,,,,,,,
608,taxing social security ,0.0683,0,,,,,,,,,,,,,,,
609,per capita alcohol consumption ,0.3252,0,,,,,,,,,,,,,,,
610,minimum wage adverse impact ,0.0332,4,backtranslation_pes_arab,0.1071,The negative impact on the minimum wage ,backtranslation_fra_latn,0.1071,the negative impact of the minimum wage ,backtranslation_deu_latn,0.1071,Negative impact on the minimum wage ,backtranslation_yue_hant,0.076,The minimum wage is negative ,,,
611,Kurds Germany violence ,0.2084,0,,,,,,,,,,,,,,,
612,Tibet protesters ,0.5306,0,,,,,,,,,,,,,,,
613,Berlin wall disposal ,0.1897,0,,,,,,,,,,,,,,,
614,Flavr Savr tomato ,0.0553,0,,,,,,,,,,,,,,,
615,timber exports Asia ,0.0888,0,,,,,,,,,,,,,,,
616,Volkswagen Mexico ,0.7629,0,,,,,,,,,,,,,,,
617,Russia Cuba economy ,0.2996,0,,,,,,,,,,,,,,,
618,Ayatollah Khomeini death ,0.1792,2,backtranslation_yue_hant,0.1907,Ayatollah Khomeini is dead ,backtranslation_dan_latn,0.1907,Ayatollah Khomeini is dead ,,,,,,,,,
619,Winnie Mandela scandal ,0.6311,0,,,,,,,,,,,,,,,
620,France nuclear testing ,0.0603,2,backtranslation_pes_arab,0.0897,French nuclear tests ,backtranslation_yue_hant,0.0897,French nuclear tests ,,,,,,,,,
621,women ordained Church of England ,0.4259,1,backtranslation_yue_hant,0.6501,Women in the Church of England ,,,,,,,,,,,,
622,price fixing ,0.0489,0,,,,,,,,,,,,,,,
623,toxic chemical weapon ,0.2514,0,,,,,,,,,,,,,,,
624,SDI Star Wars ,0.2589,0,,,,,,,,,,,,,,,
625,arrests bombing WTC ,0.0397,1,backtranslation_deu_latn,0.2238,Arrested in the bombing of the World Trade Center ,,,,,,,,,,,,
626,human stampede ,0.2168,0,,,,,,,,,,,,,,,
627,Russian food crisis ,0.0122,0,,,,,,,,,,,,,,,
628,U.S. invasion of Panama ,0.2577,0,,,,,,,,,,,,,,,
629,abortion clinic attack ,0.1674,0,,,,,,,,,,,,,,,
630,Gulf War Syndrome ,0.6957,0,,,,,,,,,,,,,,,
631,Mandela South Africa President ,0.1729,0,,,,,,,,,,,,,,,
632,southeast Asia tin mining ,0.2404,0,,,,,,,,,,,,,,,
633,Welsh devolution ,0.4698,0,,,,,,,,,,,,,,,
634,L-tryptophan deaths ,0.7262,0,,,,,,,,,,,,,,,
635,doctor assisted suicides ,0.5608,0,,,,,,,,,,,,,,,
636,jury duty exemptions ,0.1253,0,,,,,,,,,,,,,,,
637,human growth hormone (HGH) ,0.4223,0,,,,,,,,,,,,,,,
638,wrongful convictions ,0.0338,0,,,,,,,,,,,,,,,
639,consumer on-line shopping ,0.1323,4,backtranslation_pes_arab,0.1569,Consumer shopping online ,backtranslation_yue_hant,0.1569,Consumers shop online ,backtranslation_deu_latn,0.1569,Consumer online shopping ,backtranslation_dan_latn,0.1569,consumer online shopping ,,,
640,maternity leave policies ,0.3221,1,backtranslation_deu_latn,0.3884,maternity leave ,,,,,,,,,,,,
641,Valdez wildlife marine life ,0.2835,3,backtranslation_fra_latn,0.3061,Wildlife in Valdez ,backtranslation_deu_latn,0.3061,Wildlife of Valdez ,backtranslation_dan_latn,0.3054,Wildlife of the Valdez Marine ,,,,,,
642,Tiananmen Square protesters ,0.148,0,,,,,,,,,,,,,,,
643,salmon dams Pacific northwest ,0.1315,0,,,,,,,,,,,,,,,
644,exotic animals import ,0.0491,0,,,,,,,,,,,,,,,
645,software piracy ,0.6276,0,,,,,,,,,,,,,,,
646,food stamps increase ,0.1748,0,,,,,,,,,,,,,,,
647,windmill electricity ,0.2067,3,backtranslation_pes_arab,0.2325,Windmill power ,backtranslation_fra_latn,0.2127,electricity from windmills ,backtranslation_yue_hant,0.2106,Power supply for wind turbines ,,,,,,
648,family leave law ,0.0966,1,backtranslation_deu_latn,0.2914,Family leave ,,,,,,,,,,,,
649,computer viruses ,0.5672,0,,,,,,,,,,,,,,,
650,tax evasion indicted ,0.0984,3,backtranslation_fra_latn,0.1509,charge of tax evasion ,backtranslation_deu_latn,0.1509,Charged with tax evasion ,backtranslation_dan_latn,0.1262,the alleged tax evasion ,,,,,,
651,U.S. ethnic population ,0.0585,0,,,,,,,,,,,,,,,
652,OIC Balkans 1990s ,0.2761,0,,,,,,,,,,,,,,,
653,ETA Basque terrorism ,0.5898,1,backtranslation_yue_hant,0.6062,Basque terrorist ETA ,,,,,,,,,,,,
654,same-sex schools ,0.2072,0,,,,,,,,,,,,,,,
655,ADD diagnosis treatment ,0.0007,0,,,,,,,,,,,,,,,
656,lead poisoning children ,0.0572,0,,,,,,,,,,,,,,,
657,school prayer banned ,0.4127,0,,,,,,,,,,,,,,,
658,teenage pregnancy ,0.0414,2,backtranslation_fra_latn,0.098,pregnancy in adolescents ,backtranslation_deu_latn,0.0484,Pregnancy in the teenage years ,,,,,,,,,
659,cruise health safety ,0.3221,2,backtranslation_pes_arab,0.3385,Cruise safety ,backtranslation_dan_latn,0.3385,the safety of cruises ,,,,,,,,,
660,whale watching California ,0.6295,0,,,,,,,,,,,,,,,
661,melanoma treatment causes ,0.5717,2,backtranslation_pes_arab,0.6498,The Cause of Melanoma ,backtranslation_deu_latn,0.5923,Treatment of melanoma ,,,,,,,,,
662,telemarketer protection ,0.5936,0,,,,,,,,,,,,,,,
663,Agent Orange exposure ,0.2491,0,,,,,,,,,,,,,,,
664,American Indian Museum ,0.4954,0,,,,,,,,,,,,,,,
665,poverty Africa sub-Sahara ,0.2663,0,,,,,,,,,,,,,,,
666,Thatcher resignation impact ,0.0085,0,,,,,,,,,,,,,,,
667,unmarried-partner households ,0.3517,1,backtranslation_dan_latn,0.3624,Household relationships with unmarried partners ,,,,,,,,,,,,
668,"poverty, disease ",0.3735,0,,,,,,,,,,,,,,,
669,Islamic Revolution ,0.1445,0,,,,,,,,,,,,,,,
670,U.S. elections apathy ,0.1008,1,backtranslation_dan_latn,0.1365,American election apathy ,,,,,,,,,,,,
671,Salvation Army benefits ,0.2782,0,,,,,,,,,,,,,,,
672,NRA membership profile ,,0,,,,,,,,,,,,,,,
673,Soviet withdrawal Afghanistan ,0.2733,4,backtranslation_pes_arab,0.293,Withdrawal of the Soviet Union from Afghanistan ,backtranslation_dan_latn,0.293,Withdrawal of the Soviet Union from Afghanistan ,backtranslation_fra_latn,0.276,The Soviet withdrawal from Afghanistan ,backtranslation_deu_latn,0.276,Soviet withdrawal from Afghanistan ,,,
674,Greenpeace prosecuted ,0.1278,1,backtranslation_pes_arab,0.2075,The Greenpeace trial ,,,,,,,,,,,,
675,Olympics training swimming ,0.2832,0,,,,,,,,,,,,,,,
676,poppy cultivation ,0.2633,0,,,,,,,,,,,,,,,
677,Leaning Tower of Pisa ,0.9087,0,,,,,,,,,,,,,,,
678,joint custody impact ,0.2097,0,,,,,,,,,,,,,,,
679,opening adoption records ,0.8556,1,backtranslation_yue_hant,0.8708,Adoption records ,,,,,,,,,,,,
680,immigrants Spanish school ,0.0802,1,backtranslation_yue_hant,0.1103,Immigrant Spanish College ,,,,,,,,,,,,
681,wind power location ,0.2734,2,backtranslation_fra_latn,0.3302,location of wind energy ,backtranslation_deu_latn,0.3302,Location of wind energy ,,,,,,,,,
682,adult immigrants English ,0.2444,0,,,,,,,,,,,,,,,
683,Czechoslovakia breakup ,0.0356,2,backtranslation_fra_latn,0.06,The division of Czechoslovakia ,backtranslation_yue_hant,0.053,Czechoslovakia was divided ,,,,,,,,,
684,part-time benefits ,0.0859,0,,,,,,,,,,,,,,,
685,Oscar winner selection ,0.2775,0,,,,,,,,,,,,,,,
686,Argentina pegging dollar ,0.3016,0,,,,,,,,,,,,,,,
687,Northern Ireland industry ,0.3446,0,,,,,,,,,,,,,,,
688,non-U.S. media bias ,0.0835,1,backtranslation_yue_hant,0.0924,Media bias outside the United States ,,,,,,,,,,,,
689,family-planning aid ,0.066,0,,,,,,,,,,,,,,,
690,college education advantage ,0.0035,0,,,,,,,,,,,,,,,
691,clear-cutting forests ,0.2914,0,,,,,,,,,,,,,,,
692,prostate cancer detection treatment ,0.3846,3,backtranslation_pes_arab,0.4196,Treatment for prostate cancer ,backtranslation_fra_latn,0.4196,treatment for prostate cancer ,backtranslation_dan_latn,0.4196,Treatment of prostate cancer ,,,,,,
693,newspapers electronic media ,0.2964,0,,,,,,,,,,,,,,,
694,compost pile ,0.4007,3,backtranslation_yue_hant,0.5098,Compost ,backtranslation_pes_arab,0.4524,The mass of compost ,backtranslation_fra_latn,0.4163,compost stacks ,,,,,,
695,white collar crime sentence ,0.2748,0,,,,,,,,,,,,,,,
696,safety plastic surgery ,0.292,0,,,,,,,,,,,,,,,
697,air traffic controller ,0.0722,0,,,,,,,,,,,,,,,
698,literacy rates Africa ,0.4468,1,backtranslation_yue_hant,0.5088,Literacy in Africa ,,,,,,,,,,,,
699,term limits ,0.4906,0,,,,,,,,,,,,,,,
700,gasoline tax U.S. ,0.2224,0,,,,,,,,,,,,,,,
