qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
INEX_LD-20120521,electronic music genres,0.2179,0,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.2696,0,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,0.701,0,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.0974,1,backtranslation_deu_latn,0.098,Lobby for intellectual property,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,0.1251,1,backtranslation_dan_latn,0.1349,Szechwan dishes,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,0.1552,0,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3336,0,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,0.3136,0,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.0096,1,backtranslation_yue_hant,0.1106,Social networking groups,,,,,,,,,,,,
INEX_LD-2009063,D-Day normandy invasion,0.1721,0,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.1886,2,backtranslation_pes_arab,0.2698,Web ranking algorithm,backtranslation_fra_latn,0.2698,web ranking algorithm,,,,,,,,,
INEX_LD-2009096,Eiffel,0.337,0,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.0935,5,backtranslation_pes_arab,0.2257,European solar power plants,backtranslation_fra_latn,0.2257,European solar power plant,backtranslation_yue_hant,0.1237,Solar powered plants in Europe,backtranslation_deu_latn,0.1237,Europe solar power plant,backtranslation_dan_latn,0.1237,Europe solar power plants
INEX_LD-2009115,virtual museums,0.57,0,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,0.2721,0,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.0417,0,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0014,1,backtranslation_yue_hant,0.002,Roman architecture in Paris,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.0658,0,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,0.1646,0,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,0.133,3,backtranslation_pes_arab,0.1597,List of Surrealist films,backtranslation_fra_latn,0.1597,List of films in the Surrealist category,backtranslation_deu_latn,0.1597,List of films in the Surrealist category,,,,,,
INEX_LD-2010057,Einstein Relativity theory,0.3808,0,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.0492,0,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,0.0782,0,,,,,,,,,,,,,,,
INEX_LD-2010106,organic food advantages disadvantages,0.0,5,backtranslation_yue_hant,0.0061,The disadvantages of organic food,backtranslation_pes_arab,0.0011,Benefits of Organic Foods,backtranslation_fra_latn,0.0004,Benefits of organic food disadvantages,backtranslation_deu_latn,0.0004,Benefits of organic food Disadvantages,backtranslation_dan_latn,0.0004,Benefits of organic food disadvantages
INEX_LD-2012301,Niagara falls origin lake,0.2162,0,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.2649,0,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota's lowest river of another colour,0.024,1,backtranslation_yue_hant,0.053,Lower rivers in North Dakota,,,,,,,,,,,,
INEX_LD-2012307," July, 1850  president died Millard Fillmore sworn following day",0.126,1,backtranslation_yue_hant,0.2486,In July       President Millard Fillmore died,,,,,,,,,,,,
INEX_LD-2012309,residents small island city-state  Malay Peninsula Chinese,0.0397,0,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,0.5083,0,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro 1991 Coen Brothers film,0.6014,3,backtranslation_fra_latn,0.6041,John Turturro      film by the Coen brothers,backtranslation_deu_latn,0.6041,John Turturro      film by the Coen Brothers,backtranslation_dan_latn,0.6041,John Turturro      film by the Coen Brothers,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence 1945,0.036,0,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.0862,0,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space,0.2248,0,,,,,,,,,,,,,,,
INEX_LD-2012319, 1994 short story collection Alice Munro is Open,0.631,0,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state-city Sir Stamford Raffles,0.1712,1,backtranslation_deu_latn,0.2404,The port city of Sir Stamford Raffles,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.0161,3,backtranslation_dan_latn,0.0308,The main glaciers are the island nation of Langjokull Hofsjokull Vatnajokull,backtranslation_fra_latn,0.0176,Large glaciers island country Langjokull Hofsjokull Vatnajokull,backtranslation_pes_arab,0.0175,The great glaciers of the Langokull island nation of Hofsjokull Vatnajokull,,,,,,
INEX_LD-2012325,successor James G. Blaine studied law,0.3259,0,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African-American Nobel Prize Literature,0.1911,0,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,0.1383,2,backtranslation_yue_hant,0.2008,Swedish currency,backtranslation_fra_latn,0.2008,Swedish currency,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0085,0,,,,,,,,,,,,,,,
INEX_LD-2012333,Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term,0.1751,0,,,,,,,,,,,,,,,
INEX_LD-2012335,U.S. president authorise nuclear weapons against Japan,0.1833,4,backtranslation_deu_latn,0.4191,US presidents approve nuclear weapons against Japan,backtranslation_dan_latn,0.3243,The President of the United States authorizes the use of nuclear weapons against Japan,backtranslation_pes_arab,0.3135,The US President authorizes nuclear weapons against Japan,backtranslation_fra_latn,0.3135,US President authorizes nuclear weapons against Japan,,,
INEX_LD-2012336,1906 territory Papua island Australian,0.1092,4,backtranslation_fra_latn,0.1207,     territory of the island of Papua Australia,backtranslation_deu_latn,0.1207,     Territory of Papua Island Australia,backtranslation_dan_latn,0.1207,     Territory of Papua Island Australia,backtranslation_pes_arab,0.112,     Territory of the Australian island of Papua,,,
INEX_LD-2012337,Texas city Baylor University tornado 1953,0.2532,0,,,,,,,,,,,,,,,
INEX_LD-2012339,Nelson Mandela John Dube,0.1707,0,,,,,,,,,,,,,,,
INEX_LD-2012341,1997  Houston airport president,0.2703,4,backtranslation_yue_hant,0.442,     Houston Airport President,backtranslation_fra_latn,0.442,     President of Houston Airport,backtranslation_deu_latn,0.442,     Houston Airport President,backtranslation_dan_latn,0.442,     Houston airport president,,,
INEX_LD-2012343,The Heart of a Woman poet's autobiography,0.4643,1,backtranslation_dan_latn,0.5581,The autobiography of the female heart poet,,,,,,,,,,,,
INEX_LD-2012345,Kennedy assassination governor of Texas seriously injured,0.2292,2,backtranslation_deu_latn,0.2972,Kennedy assassination  Texas governor seriously wounded,backtranslation_yue_hant,0.2303,President Kennedy of Texas was assassinated and seriously wounded,,,,,,,,,
INEX_LD-2012347,seat Florida country Dade,0.2963,0,,,,,,,,,,,,,,,
INEX_LD-2012349,Alexander Nevsky Cathedral Bulgarian city liberation Turks,0.1131,1,backtranslation_yue_hant,0.1263,Alexander Nevsky Cathedral  the liberated city of Bulgaria  the Turkish people,,,,,,,,,,,,
INEX_LD-2012351,Indian Cuisine dish rice dhal vegetables roti papad,0.4433,0,,,,,,,,,,,,,,,
INEX_LD-2012353,country German language,0.1847,1,backtranslation_dan_latn,0.303,German language,,,,,,,,,,,,
INEX_LD-2012354,greatest guitarist,0.3209,0,,,,,,,,,,,,,,,
INEX_LD-2012355,England football player highest paid,0.1507,0,,,,,,,,,,,,,,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,0.1359,1,backtranslation_pes_arab,0.2034,Perma Baller of the Bolshoi Theatre of,,,,,,,,,,,,
INEX_LD-2012359, Bob Ricker Executive Director the latest front group for the anti-gun movement,1.0,0,,,,,,,,,,,,,,,
INEX_LD-2012361,most famous award winning actor singer,0.1195,0,,,,,,,,,,,,,,,
INEX_LD-2012363,American twins famous  American professional tennis double players,0.6082,0,,,,,,,,,,,,,,,
INEX_LD-2012365,mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows,0.1206,1,backtranslation_deu_latn,0.1268,Mathematician and computer scientist  six MacVicar faculty fellows at MIT,,,,,,,,,,,,
INEX_LD-2012367,invented telescope,0.2773,0,,,,,,,,,,,,,,,
INEX_LD-2012369,most famous civic-military airports,0.016,5,backtranslation_pes_arab,0.0876,The most famous civil and military airports,backtranslation_yue_hant,0.0876,The most famous civil and military airports,backtranslation_fra_latn,0.0876,the most famous civil and military airports,backtranslation_deu_latn,0.0876,most famous civil and military airports,backtranslation_dan_latn,0.0876,most famous civil military airports
INEX_LD-2012371,most beautiful railway stations world cities located,0.0157,0,,,,,,,,,,,,,,,
INEX_LD-2012372,famous historical battlefields opponents fought,0.2328,1,backtranslation_fra_latn,0.2483,The famous historical battlefields opposers fought,,,,,,,,,,,,
INEX_LD-2012373,birds cannot fly,0.4667,0,,,,,,,,,,,,,,,
INEX_LD-2012375,animals lay eggs mammals,0.3532,0,,,,,,,,,,,,,,,
INEX_LD-2012377,allegedly caused World War I,0.005,1,backtranslation_fra_latn,0.0641,would have caused World War I,,,,,,,,,,,,
INEX_LD-2012381,movie directors directed a block buster,0.238,0,,,,,,,,,,,,,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,0.5,0,,,,,,,,,,,,,,,
INEX_LD-2012385,famous politicians vegetarians,0.2415,1,backtranslation_yue_hant,0.2715,He was a famous politician  a vegetarian,,,,,,,,,,,,
INEX_LD-2012387,famous river confluence dam constructed,0.1153,0,,,,,,,,,,,,,,,
INEX_LD-2012389,frequently visited sharks gulf Indian Ocean,0.1318,2,backtranslation_deu_latn,0.2557,Common Sharks in the Indian Ocean,backtranslation_pes_arab,0.1942,Repeated shark in the Indian Ocean,,,,,,,,,
INEX_LD-2012390,baseball player most homeruns national league,0.0815,3,backtranslation_fra_latn,0.2782,Most home runs by a baseball player in the National League,backtranslation_deu_latn,0.2782,Baseball player with the most home runs in the National League,backtranslation_dan_latn,0.1471,Baseball plays the most home runs in the National League,,,,,,
INEX_XER-60,olympic classes dinghy sailing,0.384,0,,,,,,,,,,,,,,,
INEX_XER-62,Neil Gaiman novels,0.7769,0,,,,,,,,,,,,,,,
INEX_XER-63,Hugo awarded best novels,0.458,0,,,,,,,,,,,,,,,
INEX_XER-64,Alan Moore graphic novels adapted to film,0.5068,0,,,,,,,,,,,,,,,
INEX_XER-65,Pacific navigators Australia explorers,0.2021,1,backtranslation_pes_arab,0.2054,Pacific voyages to Australia by explorers,,,,,,,,,,,,
INEX_XER-67,Ferris and observation wheels,0.5567,1,backtranslation_deu_latn,0.6999,Ferris wheels and observation wheels,,,,,,,,,,,,
INEX_XER-72,films shot in Venice,0.354,0,,,,,,,,,,,,,,,
INEX_XER-73,magazines about indie-music,0.0406,1,backtranslation_fra_latn,0.0543,magazines on independent music,,,,,,,,,,,,
INEX_XER-74,circus mammals,0.0392,0,,,,,,,,,,,,,,,
INEX_XER-79,Works by Charles Rennie Mackintosh,0.5759,0,,,,,,,,,,,,,,,
INEX_XER-81,Movies about English hooligans,0.2661,3,backtranslation_fra_latn,0.4908,Films about English hooligans,backtranslation_deu_latn,0.4908,Films about English hooligans,backtranslation_dan_latn,0.4908,Films about English hooligans,,,,,,
INEX_XER-86,List of countries in World War Two,0.0016,5,backtranslation_yue_hant,0.056,List of countries from World War II,backtranslation_fra_latn,0.055,List of countries of World War II,backtranslation_deu_latn,0.055,List of countries in World War II,backtranslation_dan_latn,0.055,List of countries in World War II,backtranslation_pes_arab,0.0064,List of countries involved in World War II
INEX_XER-87,Axis powers of World War II,0.2965,0,,,,,,,,,,,,,,,
INEX_XER-88,Nordic authors who are known for children's literature,0.0842,0,,,,,,,,,,,,,,,
INEX_XER-91,Paul Auster novels,0.8213,0,,,,,,,,,,,,,,,
INEX_XER-94,Hybrid cars sold in Europe,0.3096,1,backtranslation_deu_latn,0.3542,Hybrid vehicles sold in Europe,,,,,,,,,,,,
INEX_XER-95,Tom Hanks movies where he plays a leading role.,0.1235,3,backtranslation_yue_hant,0.2007,Tom Hanks plays the lead role in the movie,backtranslation_fra_latn,0.2007,Tom Hanks plays a leading role in movies,backtranslation_pes_arab,0.1886,Tom Hanks in the movies he plays,,,,,,
INEX_XER-96,Pure object-oriented programing languages,0.0726,0,,,,,,,,,,,,,,,
INEX_XER-97,Compilers that can compile both C and C++,0.1086,0,,,,,,,,,,,,,,,
INEX_XER-98,Makers of lawn tennis rackets,0.0545,3,backtranslation_fra_latn,0.2005,Manufacturers of lawn tennis rackets,backtranslation_deu_latn,0.2005,Manufacturers of lawn tennis rackets,backtranslation_dan_latn,0.0718,Manufacturers of tennis rackets for lawn mowers,,,,,,
INEX_XER-99,Computer systems that have a recursive acronym for the name,0.4443,1,backtranslation_fra_latn,0.5126,Computer systems with a recursive acronym for the name,,,,,,,,,,,,
INEX_XER-100,Operating systems to which Steve Jobs related,0.1709,3,backtranslation_pes_arab,0.2994,The operating systems that Steve Jobs is associated with,backtranslation_fra_latn,0.2994,Operating systems associated with Steve Jobs,backtranslation_dan_latn,0.1849,Operating systems that Steve Jobs was related to,,,,,,
INEX_XER-106,Noble english person from the Hundred Years' War,0.1006,0,,,,,,,,,,,,,,,
INEX_XER-108,State capitals of the United States of America,0.0105,4,backtranslation_pes_arab,0.1677,Capital cities of the United States,backtranslation_fra_latn,0.049,Capital cities of the United States of America,backtranslation_deu_latn,0.049,Capital cities of the United States of America,backtranslation_dan_latn,0.0383,State capitals in the United States,,,
INEX_XER-109,National capitals situated on islands,0.0098,5,backtranslation_pes_arab,0.0327,National capitals on the islands,backtranslation_yue_hant,0.0327,The capital of the island nation,backtranslation_dan_latn,0.0327,National capitals of islands,backtranslation_fra_latn,0.031,National capitals located on islands,backtranslation_deu_latn,0.0283,Capital cities located on islands
INEX_XER-110,Nobel Prize in Literature winners who were also poets,0.1576,1,backtranslation_yue_hant,0.1659,Nobel Prize winner and poet,,,,,,,,,,,,
INEX_XER-113,Formula 1 drivers that won the Monaco Grand Prix,0.3564,0,,,,,,,,,,,,,,,
INEX_XER-114,Formula one races in Europe,0.2034,1,backtranslation_yue_hant,0.2266,The European Formula One race,,,,,,,,,,,,
INEX_XER-115,Formula One World Constructors' Champions,0.2898,0,,,,,,,,,,,,,,,
INEX_XER-116,Italian nobel prize winners,0.2282,4,backtranslation_fra_latn,0.5765,Italian Nobel Prize,backtranslation_pes_arab,0.5665,Italian Nobel laureates,backtranslation_deu_latn,0.5665,Italian Nobel laureates,backtranslation_dan_latn,0.5665,Italian Nobel laureates,,,
INEX_XER-117,Musicians who appeared in the Blues Brothers movies,0.0651,1,backtranslation_yue_hant,0.1425,The musicians in the Blue Brothers movies,,,,,,,,,,,,
INEX_XER-118,French car models in 1960's,0.1155,0,,,,,,,,,,,,,,,
INEX_XER-119,Swiss cantons where they speak German,0.0779,3,backtranslation_fra_latn,0.1315,Swiss cantons where German is spoken,backtranslation_deu_latn,0.1315,Swiss cantons where German is spoken,backtranslation_pes_arab,0.1049,Swiss cantons that speak German,,,,,,
INEX_XER-121,US presidents since 1960,0.029,1,backtranslation_yue_hant,0.1192,President of the United States in,,,,,,,,,,,,
INEX_XER-122,Movies with eight or more Academy Awards,0.0125,1,backtranslation_pes_arab,0.0128,Films that have won eight or more Academy Awards,,,,,,,,,,,,
INEX_XER-123,FIFA world cup national team winners since 1974,0.0637,0,,,,,,,,,,,,,,,
INEX_XER-124,Novels that won the Booker Prize,0.5158,0,,,,,,,,,,,,,,,
INEX_XER-125,countries which have won the FIFA world cup,0.0962,3,backtranslation_fra_latn,0.1379,countries that have won the FIFA World Cup,backtranslation_deu_latn,0.1379,Countries that have won the FIFA World Cup,backtranslation_dan_latn,0.1379,countries that have won the FIFA World Cup,,,,,,
INEX_XER-126,toy train manufacturers that are still in business,0.1639,3,backtranslation_yue_hant,0.1989,Toy train manufacturers are still producing,backtranslation_pes_arab,0.1786,Toys train manufacturers still operating,backtranslation_fra_latn,0.1786,manufacturers of toy trains that are still in operation,,,,,,
INEX_XER-127,german female politicians,0.23,0,,,,,,,,,,,,,,,
INEX_XER-128,Bond girls,0.4077,0,,,,,,,,,,,,,,,
INEX_XER-129,Science fiction book written in the 1980,0.2026,0,,,,,,,,,,,,,,,
INEX_XER-130,Star Trek Captains,0.415,0,,,,,,,,,,,,,,,
INEX_XER-132,living nordic classical composers,0.1138,0,,,,,,,,,,,,,,,
INEX_XER-133,EU countries,0.1208,0,,,,,,,,,,,,,,,
INEX_XER-134,record-breaking sprinters in male 100-meter sprints,0.1097,0,,,,,,,,,,,,,,,
INEX_XER-135,professional baseball team in Japan,0.4059,0,,,,,,,,,,,,,,,
INEX_XER-136,Japanese players in Major League Baseball,0.7363,0,,,,,,,,,,,,,,,
INEX_XER-138,National Parks East Coast Canada US,0.0095,4,backtranslation_dan_latn,0.0183,National parks East coast Canada USA,backtranslation_pes_arab,0.0128,National parks along the east coast of Canada,backtranslation_yue_hant,0.0107,National parks  the east coast of Canada  the United States,backtranslation_fra_latn,0.0107,National parks on the east coast of Canada United States,,,
INEX_XER-139,Films directed by Akira Kurosawa,0.9074,0,,,,,,,,,,,,,,,
INEX_XER-140,Airports in Germany,0.3623,0,,,,,,,,,,,,,,,
INEX_XER-141,Universities in Catalunya,0.0877,4,backtranslation_deu_latn,0.2963,Higher education in Catalonia,backtranslation_yue_hant,0.2783,The University of Catalonia,backtranslation_fra_latn,0.2783,Universities in Catalonia,backtranslation_dan_latn,0.2783,Universities in Catalonia,,,
INEX_XER-143,Hanseatic league in Germany in the Netherlands Circle,0.1094,1,backtranslation_dan_latn,0.1183,Hanseatic League in Germany in the Netherlands,,,,,,,,,,,,
INEX_XER-144,chess world champions,0.5702,0,,,,,,,,,,,,,,,
INEX_XER-147,Chemical elements that are named after people,0.0702,0,,,,,,,,,,,,,,,
QALD2_te-1,Which German cities have more than 250000 inhabitants?,0.0012,3,backtranslation_yue_hant,0.0448,Which city in Germany has more than         people,backtranslation_pes_arab,0.0239,Which German cities have a population of more than,backtranslation_fra_latn,0.0037,Which German cities have more than         inhabitants,,,,,,
QALD2_te-2,Who was the successor of John F. Kennedy?,0.0,5,backtranslation_pes_arab,0.002,Who was John F  Kennedy s successor,backtranslation_fra_latn,0.002,Who was John F  Kennedy s successor,backtranslation_deu_latn,0.002,Who was John F  Kennedy s successor,backtranslation_dan_latn,0.002,Who was John F  Kennedy s successor,backtranslation_yue_hant,0.0004,Who was John Kennedy s successor
QALD2_te-3,Who is the mayor of Berlin?,0.1422,0,,,,,,,,,,,,,,,
QALD2_te-5,What is the second highest mountain on Earth?,0.1148,0,,,,,,,,,,,,,,,
QALD2_te-6,Give me all professional skateboarders from Sweden.,0.0746,3,backtranslation_yue_hant,0.4169,To all the professional skateboarders from Sweden,backtranslation_pes_arab,0.2908,Give me all the Swedish professional skateboards,backtranslation_fra_latn,0.0827,Give me all the professional skateboarders in Sweden,,,,,,
QALD2_te-8,To which countries does the Himalayan mountain system extend?,0.1839,0,,,,,,,,,,,,,,,
QALD2_te-9,Give me a list of all trumpet players that were bandleaders.,0.292,0,,,,,,,,,,,,,,,
QALD2_te-11,Who is the Formula 1 race driver with the most races?,0.0153,0,,,,,,,,,,,,,,,
QALD2_te-12,Give me all world heritage sites designated within the past five years.,0.0113,1,backtranslation_fra_latn,0.0136,Give me all the designated World Heritage sites in the last five years,,,,,,,,,,,,
QALD2_te-13,Who is the youngest player in the Premier League?,0.2814,0,,,,,,,,,,,,,,,
QALD2_te-14,Give me all members of Prodigy.,0.0152,0,,,,,,,,,,,,,,,
QALD2_te-15,What is the longest river?,0.0867,0,,,,,,,,,,,,,,,
QALD2_te-17,Give me all cars that are produced in Germany.,0.001,1,backtranslation_dan_latn,0.0011,Give me all the cars that were made in Germany,,,,,,,,,,,,
QALD2_te-19,Give me all people that were born in Vienna and died in Berlin.,0.002,1,backtranslation_yue_hant,0.0029,To all of me who were born in Vienna and died in Berlin,,,,,,,,,,,,
QALD2_te-21,What is the capital of Canada?,0.0028,0,,,,,,,,,,,,,,,
QALD2_te-22,Who is the governor of Texas?,0.149,0,,,,,,,,,,,,,,,
QALD2_te-24,Who was the father of Queen Elizabeth II?,0.0319,0,,,,,,,,,,,,,,,
QALD2_te-25,Which U.S. state has been admitted latest?,0.0024,0,,,,,,,,,,,,,,,
QALD2_te-27,Sean Parnell is the governor of which U.S. state?,0.4889,1,backtranslation_fra_latn,0.7917,Sean Parnell is the governor of what state,,,,,,,,,,,,
QALD2_te-28,Give me all movies directed by Francis Ford Coppola.,0.3878,4,backtranslation_pes_arab,0.5104,Give me all the films directed by Francis Ford Coppola,backtranslation_fra_latn,0.5104,Give me all the films directed by Francis Ford Coppola,backtranslation_dan_latn,0.5104,Give me all the films directed by Francis Ford Coppola,backtranslation_yue_hant,0.4542,Show me all the films directed by Francis Ford Coppola,,,
QALD2_te-29,Give me all actors starring in movies directed by and starring William Shatner.,0.1048,0,,,,,,,,,,,,,,,
QALD2_te-31,Give me all current Methodist national leaders.,0.0383,0,,,,,,,,,,,,,,,
QALD2_te-33,Give me all Australian nonprofit organizations.,0.0188,0,,,,,,,,,,,,,,,
QALD2_te-34,In which military conflicts did Lawrence of Arabia participate?,0.0421,2,backtranslation_yue_hant,0.1357,What war did Lawrence of Arabia fight,backtranslation_deu_latn,0.0665,In what military conflicts was Lawrence of Arabia involved,,,,,,,,,
QALD2_te-35,Who developed Skype?,0.1414,0,,,,,,,,,,,,,,,
QALD2_te-39,Give me all companies in Munich.,0.0007,1,backtranslation_yue_hant,0.169,And all the companies in Munich,,,,,,,,,,,,
QALD2_te-40,List all boardgames by GMT.,0.2356,4,backtranslation_pes_arab,0.8401,List all board games by GMT,backtranslation_fra_latn,0.8401,List all board games by GMT,backtranslation_deu_latn,0.8401,List all board games by GMT,backtranslation_dan_latn,0.8401,List all the board games by GMT,,,
QALD2_te-41,Who founded Intel?,0.0083,1,backtranslation_pes_arab,0.1673,Founded the Intel,,,,,,,,,,,,
QALD2_te-42,Who is the husband of Amanda Palmer?,0.0237,5,backtranslation_pes_arab,0.0411,Who is Amanda Palmer s husband,backtranslation_yue_hant,0.0411,Who was Amanda Palmer s husband,backtranslation_fra_latn,0.0411,Who is Amanda Palmer s husband,backtranslation_deu_latn,0.0411,Who is Amanda Palmer s husband,backtranslation_dan_latn,0.0411,Who is Amanda Palmer s husband
QALD2_te-43,Give me all breeds of the German Shepherd dog.,0.3233,1,backtranslation_pes_arab,0.4996,Give me the whole German Shepherd dog breed,,,,,,,,,,,,
QALD2_te-44,Which cities does the Weser flow through?,0.1586,3,backtranslation_fra_latn,0.2455,Which cities do the Weser flow into,backtranslation_yue_hant,0.1727,Which city is Weser going through,backtranslation_dan_latn,0.1727,Which city is Weser going through,,,,,,
QALD2_te-45,Which countries are connected by the Rhine?,0.0775,0,,,,,,,,,,,,,,,
QALD2_te-46,Which professional surfers were born on the Philippines?,0.0263,5,backtranslation_deu_latn,0.0833,What kind of professional surfers are born in the Philippines,backtranslation_dan_latn,0.0833,What kind of professional surfers are born in the Philippines,backtranslation_pes_arab,0.0455,What professional surfers were born in the Philippines,backtranslation_yue_hant,0.0357,Who is a professional surfer born in the Philippines,backtranslation_fra_latn,0.0294,What kind of professional surfers were born in the Philippines
QALD2_te-48,In which UK city are the headquarters of the MI6?,0.0011,0,,,,,,,,,,,,,,,
QALD2_te-49,Which other weapons did the designer of the Uzi develop?,0.1325,4,backtranslation_pes_arab,0.3414,What other weapons did designer Uzi make,backtranslation_fra_latn,0.1431,What other weapons did the designer of the Uzi develop,backtranslation_deu_latn,0.1431,What other weapons did the designer of the Uzi develop,backtranslation_dan_latn,0.1373,What other weapons did Uzi s designers develop,,,
QALD2_te-51,Give me all Frisian islands that belong to the Netherlands.,0.35,0,,,,,,,,,,,,,,,
QALD2_te-53,What is the ruling party in Lisbon?,0.0012,4,backtranslation_fra_latn,0.0222,What is the party in power in Lisbon,backtranslation_yue_hant,0.0127,What is the political party in Lisbon,backtranslation_pes_arab,0.0015,Who is the ruling party in Lisbon,backtranslation_dan_latn,0.0014,What kind of party is this in Lisbon,,,
QALD2_te-55,Which Greek goddesses dwelt on Mount Olympus?,0.5342,0,,,,,,,,,,,,,,,
