qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120432,bicycle benefits environment,0.2936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.3734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,0.6162,1,backtranslation_yue_hant,0.6302,The Korean girl group,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,0.2803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.3634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,0.6111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.1899,1,backtranslation_tam_taml,0.2933,Intellectual property rights,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,0.1322,2,backtranslation_arb_arab,0.1646,The food of Sichuan,backtranslation_swh_latn,0.1349,Szechwan dishes,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,0.2269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,0.2196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.1326,1,backtranslation_yue_hant,0.2612,Social networking groups,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D-Day normandy invasion,0.1847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.2663,6,backtranslation_kor_hang,0.3003,The algorithm for ranking web,backtranslation_arb_arab,0.3003,The algorithm for ranking the web,backtranslation_pes_arab,0.3003,Web ranking algorithm,backtranslation_fra_latn,0.3003,web ranking algorithm,backtranslation_zsm_latn,0.3003,web ranking algorithm,backtranslation_rus_cyrl,0.2682,The ranking algorithm of websites,,,,,,,,,,,,
INEX_LD-2009096,Eiffel,0.3614,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.1571,9,backtranslation_kor_hang,0.2876,European solar power plants,backtranslation_arb_arab,0.2876,The European solar power plant,backtranslation_pes_arab,0.2876,European solar power plants,backtranslation_fra_latn,0.2876,European solar power plant,backtranslation_rus_cyrl,0.2876,European solar power plant,backtranslation_zsm_latn,0.2022,European solar power facilities,backtranslation_tam_taml,0.2022,European solar power facility,backtranslation_yue_hant,0.1932,Solar powered plants in Europe,backtranslation_deu_latn,0.1932,Europe solar power plant,,,
INEX_LD-2009115,virtual museums,0.4387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,0.2618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.0392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0034,1,backtranslation_yue_hant,0.0042,Roman architecture in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.0434,1,backtranslation_tam_taml,0.1476,Electricity in France,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,0.2355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,0.2614,6,backtranslation_pes_arab,0.2854,List of Surrealist films,backtranslation_kor_hang,0.2794,List of films in the surrealist category,backtranslation_arb_arab,0.2794,List of films of the Surrealist category,backtranslation_fra_latn,0.2794,List of films in the Surrealist category,backtranslation_deu_latn,0.2794,List of films in the Surrealist category,backtranslation_rus_cyrl,0.2794,List of films in the surrealist category,,,,,,,,,,,,
INEX_LD-2010057,Einstein Relativity theory,0.3846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,0.1472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010106,organic food advantages disadvantages,0.0022,7,backtranslation_zsm_latn,0.04,The advantages of organic food,backtranslation_pes_arab,0.0222,Benefits of Organic Foods,backtranslation_tam_taml,0.0222,The benefits of organic food,backtranslation_yue_hant,0.0147,The disadvantages of organic food,backtranslation_swh_latn,0.0125,benefits of organic food loss,backtranslation_fra_latn,0.0051,Benefits of organic food disadvantages,backtranslation_deu_latn,0.0051,Benefits of organic food Disadvantages,,,,,,,,,
INEX_LD-2012301,Niagara falls origin lake,0.4122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.2698,2,backtranslation_tam_taml,0.425,The Valley Fever Fungus Disease San Joaquin,backtranslation_arb_arab,0.2846,Fungal fever in the San Joaquin Valley,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota's lowest river of another colour,0.068,3,backtranslation_yue_hant,0.1198,Lower rivers in North Dakota,backtranslation_zsm_latn,0.0915,The lower North Dakota River is a different color,backtranslation_swh_latn,0.0895,The lower North Dakota River of other colors,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012307," July, 1850  president died Millard Fillmore sworn following day",0.2307,2,backtranslation_yue_hant,0.3928,In July       President Millard Fillmore died,backtranslation_tam_taml,0.2775,July       President Millard Fillmore died and was sworn in the next day,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012309,residents small island city-state  Malay Peninsula Chinese,0.0858,1,backtranslation_tam_taml,0.2643,The small island city state Malaysian peninsula Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,0.5339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro 1991 Coen Brothers film,0.722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence 1945,0.0833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.1524,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space,0.2591,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012319, 1994 short story collection Alice Munro is Open,0.5054,3,backtranslation_zsm_latn,0.5828,     collection of short stories Alice Munro is Open,backtranslation_deu_latn,0.5804,     Alice Munro s collection of short stories is open,backtranslation_rus_cyrl,0.5804,     Alice Munro s collection of short stories is opened,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state-city Sir Stamford Raffles,0.2632,1,backtranslation_arb_arab,0.3265,The Asian port city   Mr  Stamford Raffles,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.0182,6,backtranslation_tam_taml,0.0982,The Great Glacier Island Nation of Langjökul Hofsjökul and Watnökul,backtranslation_rus_cyrl,0.0346,Large glaciers island nation of Langoculus Hojjoculus Vatnajökull,backtranslation_zsm_latn,0.0273,The largest glacier of the island country is Langjokull Hofsjokull Vatnajokull,backtranslation_kor_hang,0.0243,The island of the great glacier country Langjokull Hofsjokull Vatnajokull,backtranslation_fra_latn,0.0238,Large glaciers island country Langjokull Hofsjokull Vatnajokull,backtranslation_pes_arab,0.0209,The great glaciers of the Langokull island nation of Hofsjokull Vatnajokull,,,,,,,,,,,,
INEX_LD-2012325,successor James G. Blaine studied law,0.6717,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African-American Nobel Prize Literature,0.1714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,0.1426,6,backtranslation_yue_hant,0.2109,Swedish currency,backtranslation_kor_hang,0.2109,Swedish currency,backtranslation_arb_arab,0.2109,Swedish currency,backtranslation_fra_latn,0.2109,Swedish currency,backtranslation_rus_cyrl,0.2109,Swedish currency,backtranslation_tam_taml,0.2109,Swedish currency,,,,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0563,5,backtranslation_arb_arab,0.2274,The name of the Seoul River is Korea,backtranslation_swh_latn,0.1209,Seoul Korea name of river China,backtranslation_kor_hang,0.0747,South Korean river name ethnic group China,backtranslation_pes_arab,0.0607,The name of the Seoul River is Korean for the ethnic group of China,backtranslation_yue_hant,0.0573,South Korean name of the river  ethnic group  Chinese,,,,,,,,,,,,,,,
INEX_LD-2012333,Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term,0.2531,1,backtranslation_deu_latn,0.3478,The Prime Minister of Canada was nicknamed   Silver Tonged Laurier,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012335,U.S. president authorise nuclear weapons against Japan,0.082,10,backtranslation_tam_taml,0.35,The President of the United States authorizes nuclear weapons against Japan,backtranslation_swh_latn,0.3274,U S  president to allow nuclear weapons against Japan,backtranslation_deu_latn,0.2771,US presidents approve nuclear weapons against Japan,backtranslation_kor_hang,0.2619,The President of the United States has approved nuclear weapons against Japan,backtranslation_pes_arab,0.2595,The US President authorizes nuclear weapons against Japan,backtranslation_fra_latn,0.2595,US President authorizes nuclear weapons against Japan,backtranslation_zsm_latn,0.2595,The US president authorized nuclear weapons against Japan,backtranslation_arb_arab,0.2572,The US president allows nuclear weapons against Japan,backtranslation_yue_hant,0.2512,The US President authorized Japanese nuclear weapons,backtranslation_rus_cyrl,0.1674,The President of the United States has authorized nuclear weapons against Japan
INEX_LD-2012336,1906 territory Papua island Australian,0.1748,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012337,Texas city Baylor University tornado 1953,0.2147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012339,Nelson Mandela John Dube,0.195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012341,1997  Houston airport president,0.4497,8,backtranslation_yue_hant,0.619,     Houston Airport President,backtranslation_kor_hang,0.619,     Houston Airport President,backtranslation_fra_latn,0.619,     President of Houston Airport,backtranslation_deu_latn,0.619,     Houston Airport President,backtranslation_rus_cyrl,0.619,     Houston airport president,backtranslation_zsm_latn,0.619,     Houston airport president,backtranslation_tam_taml,0.619,     Houston Airport President,backtranslation_swh_latn,0.619,Houston airport president,,,,,,
INEX_LD-2012343,The Heart of a Woman poet's autobiography,0.4693,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012345,Kennedy assassination governor of Texas seriously injured,0.2391,5,backtranslation_swh_latn,0.4444,Kennedy was assassinated by the governor of Texas badly wounded,backtranslation_zsm_latn,0.4324,Kennedy s assassination  the governor of Texas was badly wounded,backtranslation_pes_arab,0.344,Kennedy s assassination of the Texas commander was a serious injury,backtranslation_deu_latn,0.3369,Kennedy assassination  Texas governor seriously wounded,backtranslation_yue_hant,0.3018,President Kennedy of Texas was assassinated and seriously wounded,,,,,,,,,,,,,,,
INEX_LD-2012347,seat Florida country Dade,0.7562,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012349,Alexander Nevsky Cathedral Bulgarian city liberation Turks,0.2934,4,backtranslation_tam_taml,0.3853,Alexander Nevsky Cathedral in Balkar city liberated the Turks,backtranslation_swh_latn,0.3139,Alexander Nevsky Cathedral Turkey Bulgaria city of redemption,backtranslation_zsm_latn,0.3054,Alexander Nevsky Cathedral of the Turkish liberation of the city of Bulgaria,backtranslation_yue_hant,0.2967,Alexander Nevsky Cathedral  the liberated city of Bulgaria  the Turkish people,,,,,,,,,,,,,,,,,,
INEX_LD-2012351,Indian Cuisine dish rice dhal vegetables roti papad,0.4488,1,backtranslation_yue_hant,0.4588,Indian dishes rice dhal vegetables roti papad,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012353,country German language,0.3028,2,backtranslation_fra_latn,0.3992,German national language,backtranslation_swh_latn,0.3173,German language,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012354,greatest guitarist,0.3698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012355,England football player highest paid,0.1681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,0.0559,7,backtranslation_kor_hang,0.2032,The Bolshoi Theatre in,backtranslation_tam_taml,0.2032,The Bolshoi Theatre of Primalina in,backtranslation_arb_arab,0.2029,The pioneer of the Bolshoi Theatre of the     s,backtranslation_pes_arab,0.2019,Perma Baller of the Bolshoi Theatre of,backtranslation_yue_hant,0.1143,A dancer at the Bolshoi Theatre in,backtranslation_deu_latn,0.1142,Primo dancer of the Bolshoi Theatre,backtranslation_fra_latn,0.0628,First dancer of the Bolshoi Theatre,,,,,,,,,
INEX_LD-2012359, Bob Ricker Executive Director the latest front group for the anti-gun movement,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012361,most famous award winning actor singer,0.1501,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012363,American twins famous  American professional tennis double players,0.5348,1,backtranslation_pes_arab,0.5405,American twins  professional tennis  famous American doubles,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012365,mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows,0.0894,4,backtranslation_fra_latn,0.2,The first six MacVicar faculty fellows,backtranslation_arb_arab,0.1735,Mathematician and computer scientist at MIT  Six MacVicer College fellows,backtranslation_rus_cyrl,0.1217,Mathematician  computer scientist at MIT  first six MacVicar fellows,backtranslation_deu_latn,0.0973,Mathematician and computer scientist  six MacVicar faculty fellows at MIT,,,,,,,,,,,,,,,,,,
INEX_LD-2012367,invented telescope,0.284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012369,most famous civic-military airports,0.0499,7,backtranslation_yue_hant,0.0955,The most famous civil and military airports,backtranslation_arb_arab,0.0955,The most famous civil and military airports,backtranslation_pes_arab,0.0955,The most famous civil and military airports,backtranslation_fra_latn,0.0955,the most famous civil and military airports,backtranslation_deu_latn,0.0955,most famous civil and military airports,backtranslation_rus_cyrl,0.0955,most famous civil military airports,backtranslation_tam_taml,0.0955,The most famous civil military airports,,,,,,,,,
INEX_LD-2012371,most beautiful railway stations world cities located,0.1071,1,backtranslation_rus_cyrl,0.1285,The most beautiful railway stations in the world are located in,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012372,famous historical battlefields opponents fought,0.3209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012373,birds cannot fly,0.6667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012375,animals lay eggs mammals,0.355,1,backtranslation_zsm_latn,0.3955,laying mammals eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012377,allegedly caused World War I,0.1498,5,backtranslation_rus_cyrl,0.3404,It was the cause of World War I,backtranslation_tam_taml,0.2707,The first world war was the cause of the war,backtranslation_zsm_latn,0.2188,Accused of causing World War I,backtranslation_fra_latn,0.2041,would have caused World War I,backtranslation_pes_arab,0.1832,He said it caused World War I,,,,,,,,,,,,,,,
INEX_LD-2012381,movie directors directed a block buster,0.1165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012385,famous politicians vegetarians,0.1323,1,backtranslation_yue_hant,0.1691,He was a famous politician  a vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012387,famous river confluence dam constructed,0.1502,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012389,frequently visited sharks gulf Indian Ocean,0.1503,2,backtranslation_deu_latn,0.2468,Common Sharks in the Indian Ocean,backtranslation_tam_taml,0.174,The most frequented sharks are the Indian Ocean Gulf,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012390,baseball player most homeruns national league,0.0856,7,backtranslation_arb_arab,0.3064,Baseball player most of the home runs of the National League,backtranslation_fra_latn,0.3064,Most home runs by a baseball player in the National League,backtranslation_deu_latn,0.3064,Baseball player with the most home runs in the National League,backtranslation_tam_taml,0.3064,National League Baseball player with most home runs,backtranslation_swh_latn,0.3064,baseball player home runs most national league,backtranslation_rus_cyrl,0.2409,Major league baseball player with the most home runs,backtranslation_kor_hang,0.128,Most home runs in baseball,,,,,,,,,
INEX_XER-60,olympic classes dinghy sailing,0.2831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-62,Neil Gaiman novels,0.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-63,Hugo awarded best novels,0.4165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-64,Alan Moore graphic novels adapted to film,0.5863,5,backtranslation_kor_hang,0.6167,Alan Moore s graphic novel adapted from the movie,backtranslation_swh_latn,0.6163,Alan Moore graphic novels related to film,backtranslation_rus_cyrl,0.5887,Alan Moore s graphic novels adapted for the film,backtranslation_zsm_latn,0.5887,Alan Moore s graphic novel adapted for film,backtranslation_tam_taml,0.5887,Alan Moore s graphic novels adapted for film,,,,,,,,,,,,,,,
INEX_XER-65,Pacific navigators Australia explorers,0.2712,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-67,Ferris and observation wheels,0.7469,2,backtranslation_deu_latn,0.8172,Ferris wheels and observation wheels,backtranslation_swh_latn,0.7834,Ferries and scouting wheels,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-72,films shot in Venice,0.3334,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-73,magazines about indie-music,0.2396,2,backtranslation_rus_cyrl,0.4036,The magazine on indie music,backtranslation_tam_taml,0.4036,The magazine in Indie music,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-74,circus mammals,0.0488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-79,Works by Charles Rennie Mackintosh,0.6993,1,backtranslation_zsm_latn,0.8146,By Charles Rennie Mackintosh,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-81,Movies about English hooligans,0.2196,3,backtranslation_swh_latn,0.5295,A film about British hooligans,backtranslation_fra_latn,0.5021,Films about English hooligans,backtranslation_deu_latn,0.5021,Films about English hooligans,,,,,,,,,,,,,,,,,,,,,
INEX_XER-86,List of countries in World War Two,0.0415,9,backtranslation_yue_hant,0.0825,List of countries from World War II,backtranslation_kor_hang,0.0699,List of countries of World War II,backtranslation_arb_arab,0.0699,List of countries in World War II,backtranslation_fra_latn,0.0699,List of countries of World War II,backtranslation_deu_latn,0.0699,List of countries in World War II,backtranslation_zsm_latn,0.0699,List of countries in World War II,backtranslation_swh_latn,0.0597,List of countries that participated in World War II,backtranslation_pes_arab,0.0499,List of countries involved in World War II,backtranslation_tam_taml,0.0499,List of countries involved in World War II,,,
INEX_XER-87,Axis powers of World War II,0.2731,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-88,Nordic authors who are known for children's literature,0.0813,3,backtranslation_arb_arab,0.0836,Nordic authors known for children  s literature,backtranslation_fra_latn,0.0836,Nordic authors known for their children s literature,backtranslation_deu_latn,0.0836,Nordic authors known for children s literature,,,,,,,,,,,,,,,,,,,,,
INEX_XER-91,Paul Auster novels,0.9085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-94,Hybrid cars sold in Europe,0.315,2,backtranslation_deu_latn,0.3387,Hybrid vehicles sold in Europe,backtranslation_tam_taml,0.3387,Hybrid vehicles sold in Europe,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-95,Tom Hanks movies where he plays a leading role.,0.1686,8,backtranslation_pes_arab,0.2938,Tom Hanks in the movies he plays,backtranslation_tam_taml,0.289,He plays a major role in Tom Hanks films,backtranslation_rus_cyrl,0.249,Tom Hanks in the movies where he plays the lead,backtranslation_yue_hant,0.2283,Tom Hanks plays the lead role in the movie,backtranslation_fra_latn,0.2283,Tom Hanks plays a leading role in movies,backtranslation_arb_arab,0.2186,Tom Hanks films where he plays the lead role,backtranslation_swh_latn,0.2186,Tom Hanks film where he plays the lead role,backtranslation_zsm_latn,0.2131,Tom Hanks film in which he plays the lead role,,,,,,
INEX_XER-96,Pure object-oriented programing languages,0.1598,1,backtranslation_yue_hant,0.1607,It s a pure object oriented programming language,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-97,Compilers that can compile both C and C++,0.3371,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-98,Makers of lawn tennis rackets,0.0624,7,backtranslation_fra_latn,0.2219,Manufacturers of lawn tennis rackets,backtranslation_deu_latn,0.2219,Manufacturers of lawn tennis rackets,backtranslation_zsm_latn,0.2219,Manufacturer of lawn tennis rackets,backtranslation_tam_taml,0.2219,The manufacturers of lawn tennis rackets,backtranslation_swh_latn,0.2219,Manufacturers of lawn tennis rackets,backtranslation_kor_hang,0.0948,We re a manufacturer of lawn tennis racquets,backtranslation_rus_cyrl,0.0868,Manufacturers of lawn tennis rockets,,,,,,,,,
INEX_XER-99,Computer systems that have a recursive acronym for the name,0.4587,3,backtranslation_fra_latn,0.5031,Computer systems with a recursive acronym for the name,backtranslation_rus_cyrl,0.5031,Computer systems with a recursive acronym for the name,backtranslation_zsm_latn,0.5031,Computer systems with recursive acronyms for name,,,,,,,,,,,,,,,,,,,,,
INEX_XER-100,Operating systems to which Steve Jobs related,0.1735,10,backtranslation_pes_arab,0.3449,The operating systems that Steve Jobs is associated with,backtranslation_fra_latn,0.3449,Operating systems associated with Steve Jobs,backtranslation_swh_latn,0.2929,Operating systems that Steve Jobs was involved in,backtranslation_zsm_latn,0.2376,The operating system related to Steve Jobs,backtranslation_tam_taml,0.2376,Steve Jobs related operating systems,backtranslation_arb_arab,0.2207,The operating systems Steve Jobs was connected to,backtranslation_deu_latn,0.2207,Operating systems that Steve Jobs was connected to,backtranslation_rus_cyrl,0.2207,The operating systems that Steve Jobs was connecting to,backtranslation_yue_hant,0.2049,Steve Jobs s related operating system,backtranslation_kor_hang,0.2049,Steve Jobs s related operating system
INEX_XER-106,Noble english person from the Hundred Years' War,0.182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
