qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120311,tango culture movies,0.0983,7,backtranslation_kor_hang,0.2845,The Tango culture film,backtranslation_arb_arab,0.2845,The tango culture films,backtranslation_fra_latn,0.2845,films of tango culture,backtranslation_deu_latn,0.2845,Cultural films of tango,backtranslation_rus_cyrl,0.2845,The film of tango culture,backtranslation_zsm_latn,0.2845,tango culture film,backtranslation_tam_taml,0.2845,The Tangos cultural films,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.1468,2,backtranslation_pes_arab,0.3214,Tangos of the Tangos,backtranslation_kor_hang,0.1486,Tangos culture nation,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,0.3455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,0.2908,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,0.5484,1,backtranslation_fra_latn,0.5919,dance of tango,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,0.2658,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,0.278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,0.2103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.0475,4,backtranslation_arb_arab,0.1022,The nature of the bike holiday,backtranslation_pes_arab,0.1022,The nature of the bike holiday,backtranslation_tam_taml,0.0714,Cycling holiday nature,backtranslation_rus_cyrl,0.0635,nature of cycling,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.0625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,0.2825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.3605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,0.6038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,0.2179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.2696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,0.701,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.0974,4,backtranslation_tam_taml,0.2683,Intellectual property rights,backtranslation_kor_hang,0.098,Intellectual property lobby,backtranslation_deu_latn,0.098,Lobby for intellectual property,backtranslation_zsm_latn,0.098,Intellectual property lobby,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,0.1251,2,backtranslation_arb_arab,0.1655,The food of Sichuan,backtranslation_swh_latn,0.1349,Szechwan dishes,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,0.1552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,0.3136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.0096,1,backtranslation_yue_hant,0.1106,Social networking groups,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D-Day normandy invasion,0.1721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.1886,6,backtranslation_kor_hang,0.2698,The algorithm for ranking web,backtranslation_arb_arab,0.2698,The algorithm for ranking the web,backtranslation_pes_arab,0.2698,Web ranking algorithm,backtranslation_fra_latn,0.2698,web ranking algorithm,backtranslation_zsm_latn,0.2698,web ranking algorithm,backtranslation_rus_cyrl,0.2475,The ranking algorithm of websites,,,,,,,,,,,,
INEX_LD-2009096,Eiffel,0.337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.0935,10,backtranslation_kor_hang,0.2257,European solar power plants,backtranslation_arb_arab,0.2257,The European solar power plant,backtranslation_pes_arab,0.2257,European solar power plants,backtranslation_fra_latn,0.2257,European solar power plant,backtranslation_rus_cyrl,0.2257,European solar power plant,backtranslation_zsm_latn,0.1661,European solar power facilities,backtranslation_tam_taml,0.1661,European solar power facility,backtranslation_yue_hant,0.1237,Solar powered plants in Europe,backtranslation_deu_latn,0.1237,Europe solar power plant,backtranslation_swh_latn,0.1202,Europe solar power station
INEX_LD-2009115,virtual museums,0.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,0.2721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.0417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0014,1,backtranslation_yue_hant,0.002,Roman architecture in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.0658,1,backtranslation_tam_taml,0.119,Electricity in France,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,0.1646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,0.133,6,backtranslation_kor_hang,0.1597,List of films in the surrealist category,backtranslation_arb_arab,0.1597,List of films of the Surrealist category,backtranslation_pes_arab,0.1597,List of Surrealist films,backtranslation_fra_latn,0.1597,List of films in the Surrealist category,backtranslation_deu_latn,0.1597,List of films in the Surrealist category,backtranslation_rus_cyrl,0.1597,List of films in the surrealist category,,,,,,,,,,,,
INEX_LD-2010057,Einstein Relativity theory,0.3808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.0492,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,0.0782,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010106,organic food advantages disadvantages,0.0,7,backtranslation_yue_hant,0.0061,The disadvantages of organic food,backtranslation_zsm_latn,0.0059,The advantages of organic food,backtranslation_pes_arab,0.0011,Benefits of Organic Foods,backtranslation_tam_taml,0.0011,The benefits of organic food,backtranslation_swh_latn,0.0006,benefits of organic food loss,backtranslation_fra_latn,0.0004,Benefits of organic food disadvantages,backtranslation_deu_latn,0.0004,Benefits of organic food Disadvantages,,,,,,,,,
INEX_LD-2012301,Niagara falls origin lake,0.2162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.2649,1,backtranslation_tam_taml,0.373,The Valley Fever Fungus Disease San Joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota's lowest river of another colour,0.024,1,backtranslation_yue_hant,0.053,Lower rivers in North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012307," July, 1850  president died Millard Fillmore sworn following day",0.126,1,backtranslation_yue_hant,0.2486,In July       President Millard Fillmore died,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012309,residents small island city-state  Malay Peninsula Chinese,0.0397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,0.5083,2,backtranslation_zsm_latn,0.5212,John Lennon Yoko Ono album is started,backtranslation_rus_cyrl,0.5176,John Lennon s Yoko Ono album  Standing up,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro 1991 Coen Brothers film,0.6014,6,backtranslation_kor_hang,0.6041,John Turturro      film by the Coen brothers,backtranslation_fra_latn,0.6041,John Turturro      film by the Coen brothers,backtranslation_deu_latn,0.6041,John Turturro      film by the Coen Brothers,backtranslation_rus_cyrl,0.6041,John Turturro      film The Coen Brothers,backtranslation_zsm_latn,0.6041,John Turturro      Coen Brothers film,backtranslation_swh_latn,0.6041,John Turturro      Coen Brothers film,,,,,,,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence 1945,0.036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.0862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space,0.2248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012319, 1994 short story collection Alice Munro is Open,0.631,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state-city Sir Stamford Raffles,0.1712,3,backtranslation_deu_latn,0.2404,The port city of Sir Stamford Raffles,backtranslation_zsm_latn,0.2278,The port city of Asia Sir Stamford Raffles,backtranslation_swh_latn,0.2278,Asia port city Sir Stamford Raffles,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.0161,5,backtranslation_tam_taml,0.0646,The Great Glacier Island Nation of Langjökul Hofsjökul and Watnökul,backtranslation_rus_cyrl,0.0287,Large glaciers island nation of Langoculus Hojjoculus Vatnajökull,backtranslation_zsm_latn,0.0209,The largest glacier of the island country is Langjokull Hofsjokull Vatnajokull,backtranslation_fra_latn,0.0176,Large glaciers island country Langjokull Hofsjokull Vatnajokull,backtranslation_pes_arab,0.0175,The great glaciers of the Langokull island nation of Hofsjokull Vatnajokull,,,,,,,,,,,,,,,
INEX_LD-2012325,successor James G. Blaine studied law,0.3259,1,backtranslation_swh_latn,0.3276,His successor  James G  Blaine  studied law,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African-American Nobel Prize Literature,0.1911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,0.1383,6,backtranslation_yue_hant,0.2008,Swedish currency,backtranslation_kor_hang,0.2008,Swedish currency,backtranslation_arb_arab,0.2008,Swedish currency,backtranslation_fra_latn,0.2008,Swedish currency,backtranslation_rus_cyrl,0.2008,Swedish currency,backtranslation_tam_taml,0.2008,Swedish currency,,,,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0085,2,backtranslation_arb_arab,0.2822,The name of the Seoul River is Korea,backtranslation_swh_latn,0.0204,Seoul Korea name of river China,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012333,Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term,0.1751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012335,U.S. president authorise nuclear weapons against Japan,0.1833,8,backtranslation_swh_latn,0.4542,U S  president to allow nuclear weapons against Japan,backtranslation_kor_hang,0.4524,The President of the United States has approved nuclear weapons against Japan,backtranslation_deu_latn,0.4191,US presidents approve nuclear weapons against Japan,backtranslation_pes_arab,0.3135,The US President authorizes nuclear weapons against Japan,backtranslation_fra_latn,0.3135,US President authorizes nuclear weapons against Japan,backtranslation_zsm_latn,0.3135,The US president authorized nuclear weapons against Japan,backtranslation_tam_taml,0.2339,The President of the United States authorizes nuclear weapons against Japan,backtranslation_rus_cyrl,0.2048,The President of the United States has authorized nuclear weapons against Japan,,,,,,
INEX_LD-2012336,1906 territory Papua island Australian,0.1092,7,backtranslation_kor_hang,0.1207,     Territory of the islands of Papua Australia,backtranslation_fra_latn,0.1207,     territory of the island of Papua Australia,backtranslation_deu_latn,0.1207,     Territory of Papua Island Australia,backtranslation_rus_cyrl,0.1207,     Territory of the island of Papua Australia,backtranslation_tam_taml,0.1207,     Territory of Papua Island Australia,backtranslation_pes_arab,0.112,     Territory of the Australian island of Papua,backtranslation_zsm_latn,0.112,     Australian island territory of Papua,,,,,,,,,
INEX_LD-2012337,Texas city Baylor University tornado 1953,0.2532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012339,Nelson Mandela John Dube,0.1707,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012341,1997  Houston airport president,0.2703,8,backtranslation_yue_hant,0.442,     Houston Airport President,backtranslation_kor_hang,0.442,     Houston Airport President,backtranslation_fra_latn,0.442,     President of Houston Airport,backtranslation_deu_latn,0.442,     Houston Airport President,backtranslation_rus_cyrl,0.442,     Houston airport president,backtranslation_zsm_latn,0.442,     Houston airport president,backtranslation_tam_taml,0.442,     Houston Airport President,backtranslation_swh_latn,0.442,Houston airport president,,,,,,
INEX_LD-2012343,The Heart of a Woman poet's autobiography,0.4643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012345,Kennedy assassination governor of Texas seriously injured,0.2292,4,backtranslation_swh_latn,0.3383,Kennedy was assassinated by the governor of Texas badly wounded,backtranslation_deu_latn,0.2972,Kennedy assassination  Texas governor seriously wounded,backtranslation_zsm_latn,0.2862,Kennedy s assassination  the governor of Texas was badly wounded,backtranslation_yue_hant,0.2303,President Kennedy of Texas was assassinated and seriously wounded,,,,,,,,,,,,,,,,,,
INEX_LD-2012347,seat Florida country Dade,0.2963,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012349,Alexander Nevsky Cathedral Bulgarian city liberation Turks,0.1131,5,backtranslation_arb_arab,0.2048,The cathedral of Alexander Nevsky is the Bulgarian liberation,backtranslation_swh_latn,0.1393,Alexander Nevsky Cathedral Turkey Bulgaria city of redemption,backtranslation_yue_hant,0.1263,Alexander Nevsky Cathedral  the liberated city of Bulgaria  the Turkish people,backtranslation_rus_cyrl,0.1196,Alexander Nevsky Cathedral The Bulgarian liberation of the city of Turki,backtranslation_zsm_latn,0.1158,Alexander Nevsky Cathedral of the Turkish liberation of the city of Bulgaria,,,,,,,,,,,,,,,
INEX_LD-2012351,Indian Cuisine dish rice dhal vegetables roti papad,0.4433,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012353,country German language,0.1847,1,backtranslation_swh_latn,0.303,German language,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012354,greatest guitarist,0.3209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012355,England football player highest paid,0.1507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,0.1359,3,backtranslation_kor_hang,0.2045,The Bolshoi Theatre in,backtranslation_tam_taml,0.2045,The Bolshoi Theatre of Primalina in,backtranslation_pes_arab,0.2034,Perma Baller of the Bolshoi Theatre of,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012359, Bob Ricker Executive Director the latest front group for the anti-gun movement,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012361,most famous award winning actor singer,0.1195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012363,American twins famous  American professional tennis double players,0.6082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012365,mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows,0.1206,3,backtranslation_arb_arab,0.445,Mathematician and computer scientist at MIT  Six MacVicer College fellows,backtranslation_rus_cyrl,0.1451,Mathematician  computer scientist at MIT  first six MacVicar fellows,backtranslation_deu_latn,0.1268,Mathematician and computer scientist  six MacVicar faculty fellows at MIT,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012367,invented telescope,0.2773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012369,most famous civic-military airports,0.016,7,backtranslation_yue_hant,0.0876,The most famous civil and military airports,backtranslation_arb_arab,0.0876,The most famous civil and military airports,backtranslation_pes_arab,0.0876,The most famous civil and military airports,backtranslation_fra_latn,0.0876,the most famous civil and military airports,backtranslation_deu_latn,0.0876,most famous civil and military airports,backtranslation_rus_cyrl,0.0876,most famous civil military airports,backtranslation_tam_taml,0.0876,The most famous civil military airports,,,,,,,,,
INEX_LD-2012371,most beautiful railway stations world cities located,0.0157,1,backtranslation_rus_cyrl,0.0253,The most beautiful railway stations in the world are located in,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012372,famous historical battlefields opponents fought,0.2328,1,backtranslation_fra_latn,0.2483,The famous historical battlefields opposers fought,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012373,birds cannot fly,0.4667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012375,animals lay eggs mammals,0.3532,1,backtranslation_zsm_latn,0.4267,laying mammals eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012377,allegedly caused World War I,0.005,3,backtranslation_tam_taml,0.1112,The first world war was the cause of the war,backtranslation_rus_cyrl,0.11,It was the cause of World War I,backtranslation_fra_latn,0.0641,would have caused World War I,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012381,movie directors directed a block buster,0.238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,0.5,1,backtranslation_swh_latn,1.0,famous computer scientists lost in the sea,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012385,famous politicians vegetarians,0.2415,1,backtranslation_yue_hant,0.2715,He was a famous politician  a vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012387,famous river confluence dam constructed,0.1153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012389,frequently visited sharks gulf Indian Ocean,0.1318,3,backtranslation_deu_latn,0.2557,Common Sharks in the Indian Ocean,backtranslation_pes_arab,0.1942,Repeated shark in the Indian Ocean,backtranslation_tam_taml,0.1492,The most frequented sharks are the Indian Ocean Gulf,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012390,baseball player most homeruns national league,0.0815,7,backtranslation_arb_arab,0.2782,Baseball player most of the home runs of the National League,backtranslation_fra_latn,0.2782,Most home runs by a baseball player in the National League,backtranslation_deu_latn,0.2782,Baseball player with the most home runs in the National League,backtranslation_tam_taml,0.2782,National League Baseball player with most home runs,backtranslation_swh_latn,0.2782,baseball player home runs most national league,backtranslation_rus_cyrl,0.2182,Major league baseball player with the most home runs,backtranslation_kor_hang,0.1676,Most home runs in baseball,,,,,,,,,
INEX_XER-60,olympic classes dinghy sailing,0.384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-62,Neil Gaiman novels,0.7769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-63,Hugo awarded best novels,0.458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-64,Alan Moore graphic novels adapted to film,0.5068,2,backtranslation_swh_latn,0.5433,Alan Moore graphic novels related to film,backtranslation_kor_hang,0.5209,Alan Moore s graphic novel adapted from the movie,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-65,Pacific navigators Australia explorers,0.2021,1,backtranslation_pes_arab,0.2054,Pacific voyages to Australia by explorers,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-67,Ferris and observation wheels,0.5567,2,backtranslation_deu_latn,0.6999,Ferris wheels and observation wheels,backtranslation_swh_latn,0.6483,Ferries and scouting wheels,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-72,films shot in Venice,0.354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-73,magazines about indie-music,0.0406,3,backtranslation_rus_cyrl,0.1273,The magazine on indie music,backtranslation_tam_taml,0.1273,The magazine in Indie music,backtranslation_fra_latn,0.0543,magazines on independent music,,,,,,,,,,,,,,,,,,,,,
INEX_XER-74,circus mammals,0.0392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-79,Works by Charles Rennie Mackintosh,0.5759,1,backtranslation_zsm_latn,0.8096,By Charles Rennie Mackintosh,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-81,Movies about English hooligans,0.2661,3,backtranslation_swh_latn,0.4994,A film about British hooligans,backtranslation_fra_latn,0.4908,Films about English hooligans,backtranslation_deu_latn,0.4908,Films about English hooligans,,,,,,,,,,,,,,,,,,,,,
INEX_XER-86,List of countries in World War Two,0.0016,10,backtranslation_yue_hant,0.056,List of countries from World War II,backtranslation_kor_hang,0.055,List of countries of World War II,backtranslation_arb_arab,0.055,List of countries in World War II,backtranslation_fra_latn,0.055,List of countries of World War II,backtranslation_deu_latn,0.055,List of countries in World War II,backtranslation_zsm_latn,0.055,List of countries in World War II,backtranslation_pes_arab,0.0064,List of countries involved in World War II,backtranslation_tam_taml,0.0064,List of countries involved in World War II,backtranslation_rus_cyrl,0.0048,List of countries in the Second World War,backtranslation_swh_latn,0.0048,List of countries that participated in World War II
INEX_XER-87,Axis powers of World War II,0.2965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-88,Nordic authors who are known for children's literature,0.0842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-91,Paul Auster novels,0.8213,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-94,Hybrid cars sold in Europe,0.3096,2,backtranslation_deu_latn,0.3542,Hybrid vehicles sold in Europe,backtranslation_tam_taml,0.3542,Hybrid vehicles sold in Europe,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-95,Tom Hanks movies where he plays a leading role.,0.1235,4,backtranslation_yue_hant,0.2007,Tom Hanks plays the lead role in the movie,backtranslation_fra_latn,0.2007,Tom Hanks plays a leading role in movies,backtranslation_pes_arab,0.1886,Tom Hanks in the movies he plays,backtranslation_rus_cyrl,0.1429,Tom Hanks in the movies where he plays the lead,,,,,,,,,,,,,,,,,,
INEX_XER-96,Pure object-oriented programing languages,0.0726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-97,Compilers that can compile both C and C++,0.1086,1,backtranslation_tam_taml,0.4048,C and C   compilers,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-98,Makers of lawn tennis rackets,0.0545,6,backtranslation_fra_latn,0.2005,Manufacturers of lawn tennis rackets,backtranslation_deu_latn,0.2005,Manufacturers of lawn tennis rackets,backtranslation_zsm_latn,0.2005,Manufacturer of lawn tennis rackets,backtranslation_tam_taml,0.2005,The manufacturers of lawn tennis rackets,backtranslation_swh_latn,0.2005,Manufacturers of lawn tennis rackets,backtranslation_kor_hang,0.1492,We re a manufacturer of lawn tennis racquets,,,,,,,,,,,,
INEX_XER-99,Computer systems that have a recursive acronym for the name,0.4443,3,backtranslation_fra_latn,0.5126,Computer systems with a recursive acronym for the name,backtranslation_rus_cyrl,0.5126,Computer systems with a recursive acronym for the name,backtranslation_zsm_latn,0.5126,Computer systems with recursive acronyms for name,,,,,,,,,,,,,,,,,,,,,
INEX_XER-100,Operating systems to which Steve Jobs related,0.1709,5,backtranslation_pes_arab,0.2994,The operating systems that Steve Jobs is associated with,backtranslation_fra_latn,0.2994,Operating systems associated with Steve Jobs,backtranslation_swh_latn,0.2306,Operating systems that Steve Jobs was involved in,backtranslation_zsm_latn,0.1849,The operating system related to Steve Jobs,backtranslation_tam_taml,0.1849,Steve Jobs related operating systems,,,,,,,,,,,,,,,
INEX_XER-106,Noble english person from the Hundred Years' War,0.1006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-108,State capitals of the United States of America,0.0105,7,backtranslation_pes_arab,0.1677,Capital cities of the United States,backtranslation_fra_latn,0.049,Capital cities of the United States of America,backtranslation_deu_latn,0.049,Capital cities of the United States of America,backtranslation_rus_cyrl,0.049,Capital cities of the United States of America,backtranslation_zsm_latn,0.0307,Capital of the United States,backtranslation_tam_taml,0.0307,The capitals of the United States,backtranslation_swh_latn,0.0307,The capital of the United States,,,,,,,,,
