qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
INEX_LD-20120231,guitar origin Russia,0.0263,INEX_LD-20120231,The origin of the kitta is in Russia,0.0,INEX_LD-20120231,The origin of the guitar is Russian,0.1346,INEX_LD-20120231,The origin of the guitar is Russian,0.1346,INEX_LD-20120231,The origins of the Russian guitar,0.1346,INEX_LD-20120231,origin of the guitar Russia,0.0263,INEX_LD-20120231,Origin of guitar Russia,0.0263,INEX_LD-20120231,The origin of the guitar Russia,0.0263,INEX_LD-20120231,Guitar of Russian origin,0.1346,INEX_LD-20120231,Origin of Russia,0.0,INEX_LD-20120231,the origin of the Russian guitar,0.1346
INEX_LD-20120232,guitar origin blues,0.1203,INEX_LD-20120232,The guitar is blue,0.134,INEX_LD-20120232,Guitar and blues,0.134,INEX_LD-20120232,The origin of the blues guitar,0.1203,INEX_LD-20120232,Guitar pots and pans,0.0,INEX_LD-20120232,origin of the guitar,0.0082,INEX_LD-20120232,Other instruments,0.0,INEX_LD-20120232,The guitar blues,0.134,INEX_LD-20120232,Blues guitar origin,0.1203,INEX_LD-20120232,guitar blues,0.134,INEX_LD-20120232,The blue nature of the guitar,0.0154
INEX_LD-20120311,tango culture movies,0.0983,INEX_LD-20120311,Tang culture film,0.0,INEX_LD-20120311,The Tango culture film,0.2845,INEX_LD-20120311,The tango culture films,0.2845,INEX_LD-20120311,The Tangos,0.0859,INEX_LD-20120311,films of tango culture,0.2845,INEX_LD-20120311,Cultural films of tango,0.2845,INEX_LD-20120311,The film of tango culture,0.2845,INEX_LD-20120311,tango culture film,0.2845,INEX_LD-20120311,The Tangos cultural films,0.2845,INEX_LD-20120311,the film culture of the cucumber,0.0
INEX_LD-20120312,tango culture countries,0.1468,INEX_LD-20120312,The country of the tango culture,0.1468,INEX_LD-20120312,Tangos culture nation,0.1486,INEX_LD-20120312,Countries of the tango culture,0.1468,INEX_LD-20120312,Tangos of the Tangos,0.3214,INEX_LD-20120312,country of tango culture,0.1468,INEX_LD-20120312,Countries with tangos,0.0641,INEX_LD-20120312,countries of tango culture,0.1468,INEX_LD-20120312,Countries of tango culture,0.1468,INEX_LD-20120312,The countries of the Tang culture,0.0,INEX_LD-20120312,countries of the cucumber culture,0.0
INEX_LD-20120321,tango music  composers,0.3455,INEX_LD-20120321,Tango music composer,0.3455,INEX_LD-20120321,A composer of tango music,0.3455,INEX_LD-20120321,Tangos and Tango musicians,0.1257,INEX_LD-20120321,Tangos are composers,0.3091,INEX_LD-20120321,composers of tango music,0.3455,INEX_LD-20120321,Tango music composers,0.3455,INEX_LD-20120321,The composers of the tango,0.3091,INEX_LD-20120321,composer of tango music,0.3455,INEX_LD-20120321,The first is the  Tango  song,0.0141,INEX_LD-20120321,Composers of the cucumber music,0.0
INEX_LD-20120322,tango music instruments,0.2908,INEX_LD-20120322,The instrument,0.0039,INEX_LD-20120322,A tango musical instrument,0.2908,INEX_LD-20120322,Tangos and instruments,0.2109,INEX_LD-20120322,Tangos are musical instruments,0.2908,INEX_LD-20120322,instruments of tango,0.2109,INEX_LD-20120322,Other instruments for the musical use of instruments,0.0,INEX_LD-20120322,Tangos and other musical instruments,0.2305,INEX_LD-20120322,Tangos and instruments,0.2109,INEX_LD-20120322,The tangos are the instruments of the world,0.1299,INEX_LD-20120322,Cucumber musical instruments,0.0001
INEX_LD-20120331,tango dance styles,0.5484,INEX_LD-20120331,The style of tango dance,0.5484,INEX_LD-20120331,The style of the tango dance,0.5484,INEX_LD-20120331,The tango dance styles,0.5484,INEX_LD-20120331,The style of tango,0.3287,INEX_LD-20120331,dance of tango,0.5919,INEX_LD-20120331,Dancing style,0.0446,INEX_LD-20120331,dance styles of tango,0.5484,INEX_LD-20120331,dance style of tango,0.5484,INEX_LD-20120331,Tang dance styles,0.0055,INEX_LD-20120331,styles of the tango dance,0.5484
INEX_LD-20120332,tango dance history,0.2658,INEX_LD-20120332,The history of dance,0.0405,INEX_LD-20120332,The history of tango dance,0.2658,INEX_LD-20120332,The history of tango dance,0.2658,INEX_LD-20120332,The history of tango dance,0.2658,INEX_LD-20120332,history of tango dance,0.2658,INEX_LD-20120332,History of the Tango,0.096,INEX_LD-20120332,The history of the tango,0.096,INEX_LD-20120332,History of the tango dance,0.2658,INEX_LD-20120332,The history of the tango dance,0.2658,INEX_LD-20120332,The history of the cucumber dance,0.0003
INEX_LD-20120411,bicycle sport races,0.278,INEX_LD-20120411,Cycling races,0.0629,INEX_LD-20120411,Cycling sports race,0.1399,INEX_LD-20120411,The biking races,0.0147,INEX_LD-20120411,Cycling races,0.0629,INEX_LD-20120411,cycling races,0.0629,INEX_LD-20120411,Cycling,0.0078,INEX_LD-20120411,The bicycle race,0.1663,INEX_LD-20120411,cycling races,0.0629,INEX_LD-20120411,Cycling competitions,0.0092,INEX_LD-20120411,cycling races,0.0629
INEX_LD-20120412,bicycle sport disciplines,0.2103,INEX_LD-20120412,Cycling,0.0052,INEX_LD-20120412,Cycling sports,0.0547,INEX_LD-20120412,Cycling,0.0052,INEX_LD-20120412,Cycling sports,0.0547,INEX_LD-20120412,cycling sports,0.0547,INEX_LD-20120412,Cycling disciplines,0.0999,INEX_LD-20120412,sports disciplines on bicycles,0.2103,INEX_LD-20120412,cycling discipline,0.0999,INEX_LD-20120412,Cycling sports fields,0.0017,INEX_LD-20120412,Cycling classes,0.0001
INEX_LD-20120421,bicycle holiday towns,0.0153,INEX_LD-20120421,Cycling cities,0.001,INEX_LD-20120421,A bicycle resort town,0.0036,INEX_LD-20120421,Bike holiday towns,0.0073,INEX_LD-20120421,Cycle holiday towns,0.0025,INEX_LD-20120421,cities for holiday by bicycle,0.0064,INEX_LD-20120421,Cycling towns,0.0001,INEX_LD-20120421,cities for cycling,0.001,INEX_LD-20120421,city bike holiday,0.0027,INEX_LD-20120421,Cycling holiday cities,0.0042,INEX_LD-20120421,holiday villages for bicycles,0.0118
INEX_LD-20120422,bicycle holiday nature,0.0475,INEX_LD-20120422,The nature of cycling vacation,0.0036,INEX_LD-20120422,The nature of the bicycle holiday,0.0475,INEX_LD-20120422,The nature of the bike holiday,0.1022,INEX_LD-20120422,The nature of the bike holiday,0.1022,INEX_LD-20120422,nature of the holiday on a bicycle,0.0475,INEX_LD-20120422,Cycling leave,0.0008,INEX_LD-20120422,nature of cycling,0.0635,INEX_LD-20120422,nature of bicycle holidays,0.0475,INEX_LD-20120422,Cycling holiday nature,0.0714,INEX_LD-20120422,the origin of bicycle holidays,0.0008
INEX_LD-20120431,bicycle benefits health,0.0625,INEX_LD-20120431,The health benefits of cycling,0.0167,INEX_LD-20120431,Bicycle Health Benefits,0.0625,INEX_LD-20120431,The benefits of walking well,0.0,INEX_LD-20120431,The Health Benefits of Cycling,0.0167,INEX_LD-20120431,health benefits,0.0,INEX_LD-20120431,Bicycle health,0.0114,INEX_LD-20120431,health benefits of bicycles,0.0625,INEX_LD-20120431,health benefits of bicycles,0.0625,INEX_LD-20120431,Bicycle Health Benefits,0.0625,INEX_LD-20120431,health benefits of cycling,0.0167
INEX_LD-20120432,bicycle benefits environment,0.2825,INEX_LD-20120432,Bicycles are environmental benefits,0.0748,INEX_LD-20120432,The Benefits of Cycling,0.104,INEX_LD-20120432,The benefits of bicycles,0.0928,INEX_LD-20120432,The Environmental Benefits of Cycling,0.025,INEX_LD-20120432,environmental benefits,0.0004,INEX_LD-20120432,Bicycle benefits Environment,0.2825,INEX_LD-20120432,The benefits of bicycles for the environment,0.2825,INEX_LD-20120432,environmental benefits of bicycles,0.0748,INEX_LD-20120432,Bicycle Benefits Environment,0.2825,INEX_LD-20120432,environmental benefits of bicycles,0.0748
INEX_LD-20120511,female rock singers,0.3605,INEX_LD-20120511,She is a female rock singer,0.2117,INEX_LD-20120511,Female rock singer,0.3605,INEX_LD-20120511,A female rock song,0.0804,INEX_LD-20120511,The female rock singers,0.3605,INEX_LD-20120511,rock singers,0.0911,INEX_LD-20120511,Female rock singer,0.3605,INEX_LD-20120511,female rock singers,0.3605,INEX_LD-20120511,female rock singer,0.3605,INEX_LD-20120511,Female rock singers,0.3605,INEX_LD-20120511,rock musicians,0.0032
INEX_LD-20120512,south korean girl groups,0.6038,INEX_LD-20120512,The Korean girl group,0.5713,INEX_LD-20120512,South Korean girl group,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,South Korean girl group,0.6038,INEX_LD-20120512,South Korean girl groups,0.6038,INEX_LD-20120512,groups of South Korean girls,0.6038
INEX_LD-20120521,electronic music genres,0.2179,INEX_LD-20120521,Electronic music is a genre,0.2179,INEX_LD-20120521,Electronic music genre,0.2179,INEX_LD-20120521,Electronic music genres,0.2179,INEX_LD-20120521,Electronic music,0.1175,INEX_LD-20120521,Genres of electronic music,0.2179,INEX_LD-20120521,Music genres,0.0289,INEX_LD-20120521,electronic music genres,0.2179,INEX_LD-20120521,genre of electronic music,0.2179,INEX_LD-20120521,Electronic music genres,0.2179,INEX_LD-20120521,electronic music,0.1175
INEX_LD-20120522,digital music notation formats,0.2696,INEX_LD-20120522,Digital music labeling format,0.0,INEX_LD-20120522,Digital music label format,0.0,INEX_LD-20120522,Digital music forms,0.0003,INEX_LD-20120522,Digital music formats,0.0151,INEX_LD-20120522,digital music notation formats,0.2696,INEX_LD-20120522,Digital music notation formats,0.2696,INEX_LD-20120522,the format of digital music notation,0.2696,INEX_LD-20120522,digital music notation format,0.2696,INEX_LD-20120522,Digital music reference forms,0.0003,INEX_LD-20120522,Digital notation music,0.1609
INEX_LD-20120531,music conferences,0.701,INEX_LD-20120531,The concert,0.0012,INEX_LD-20120531,A music conference,0.701,INEX_LD-20120531,The music conferences,0.701,INEX_LD-20120531,Music conferences,0.701,INEX_LD-20120531,music lectures,0.0,INEX_LD-20120531,Music conferences,0.701,INEX_LD-20120531,music conferences,0.701,INEX_LD-20120531,A music conference,0.701,INEX_LD-20120531,Music conventions,0.0001,INEX_LD-20120531,music meetings,0.0001
INEX_LD-20120532,intellectual property rights lobby,0.0974,INEX_LD-20120532,The intellectual property movement,0.0479,INEX_LD-20120532,Intellectual property lobby,0.098,INEX_LD-20120532,Lobby for intellectual property rights,0.0974,INEX_LD-20120532,The lobby for intellectual property rights,0.0974,INEX_LD-20120532,lobby of intellectual property rights,0.0974,INEX_LD-20120532,Lobby for intellectual property,0.098,INEX_LD-20120532,lobby of intellectual property rights,0.0974,INEX_LD-20120532,Intellectual property lobby,0.098,INEX_LD-20120532,Intellectual property rights,0.2683,INEX_LD-20120532,lobby for intellectual property rights,0.0974
INEX_LD-2009022,Szechwan dish food cuisine,0.1251,INEX_LD-2009022,The recipe,0.0,INEX_LD-2009022,Cooking the food of the dishes,0.0036,INEX_LD-2009022,The food of Sichuan,0.1655,INEX_LD-2009022,Cooking Sheep s Meals,0.0004,INEX_LD-2009022,Cooking of Szechwan dishes,0.1127,INEX_LD-2009022,Other  of a kind used for the manufacture of foodstuffs,0.0004,INEX_LD-2009022,The kitchen of the sequoia,0.0,INEX_LD-2009022,Szechwan cuisine,0.1059,INEX_LD-2009022,The food is cooked by a schuan,0.0003,INEX_LD-2009022,Szechwan dishes,0.1349
INEX_LD-2009039,roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552,INEX_LD-2009039,Roman architecture,0.1552
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3336,INEX_LD-2009053,Finnish car manufacturer Saab sisu,0.2762,INEX_LD-2009053,Finnish car manufacturer Sava Saassu,0.0255,INEX_LD-2009053,Finnish car manufacturing plant SAP SESO,0.0274,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.2762,INEX_LD-2009053,Finnish manufacturer of cars saab sisu,0.2762,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.2762,INEX_LD-2009053,Finnish manufacturer of cars saab sisu,0.2762,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.2762,INEX_LD-2009053,Sappha Sysu  Finnish automotive manufacturer,0.0609,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.2762
INEX_LD-2009061,france second world war normandy,0.3136,INEX_LD-2009061,France  the Second World War  Normandy,0.3136,INEX_LD-2009061,France during World War II  Normandy,0.1977,INEX_LD-2009061,France   World War II   Normandy   and the French and Indian War,0.0877,INEX_LD-2009061,France  the Second World War  Normandy,0.3136,INEX_LD-2009061,France Second World War Normandy,0.3136,INEX_LD-2009061,France Second World War Normandy,0.3136,INEX_LD-2009061,France Second World War Normandy,0.3136,INEX_LD-2009061,French World War II Normandy,0.1186,INEX_LD-2009061,France World War II Normandy,0.2177,INEX_LD-2009061,France second world war Normandy,0.3136
INEX_LD-2009062,social network group selection,0.0096,INEX_LD-2009062,Social networking groups,0.1106,INEX_LD-2009062,Choose a social network group,0.0056,INEX_LD-2009062,Choosing social network groups,0.0056,INEX_LD-2009062,Choosing a social media group,0.0007,INEX_LD-2009062,selection of social network group,0.0096,INEX_LD-2009062,Selection of groups in the social network,0.0096,INEX_LD-2009062,selecting groups in social networks,0.0096,INEX_LD-2009062,Choice of social networking group,0.0025,INEX_LD-2009062,Social networking group selection,0.0096,INEX_LD-2009062,Choosing a social networking group,0.0056
INEX_LD-2009063,D-Day normandy invasion,0.1721,INEX_LD-2009063,The Norman Empire invaded D Day,0.0002,INEX_LD-2009063,D Day invasion of Normandy,0.1721,INEX_LD-2009063,The Normandy invasion on D Day,0.1721,INEX_LD-2009063,The Normandy attack on D Day,0.0687,INEX_LD-2009063,Invasion of Normandy on D Day,0.1721,INEX_LD-2009063,The invasion of Normandy on D Day,0.1721,INEX_LD-2009063,The invasion of Normandy on D Day,0.1721,INEX_LD-2009063,D Day invasion of Normandy,0.1721,INEX_LD-2009063,The D Day Norman invasion,0.0071,INEX_LD-2009063,D Day invasion of Normandy,0.1721
INEX_LD-2009074,web ranking scoring algorithm,0.1886,INEX_LD-2009074,The ranking algorithm of the site,0.1565,INEX_LD-2009074,The algorithm for ranking web,0.2698,INEX_LD-2009074,The algorithm for ranking the web,0.2698,INEX_LD-2009074,Web ranking algorithm,0.2698,INEX_LD-2009074,web ranking algorithm,0.2698,INEX_LD-2009074,The following is the list of the categories of users,0.0,INEX_LD-2009074,The ranking algorithm of websites,0.2475,INEX_LD-2009074,web ranking algorithm,0.2698,INEX_LD-2009074,Web ranking score algorithm,0.1886,INEX_LD-2009074,web ranking scoring algorithm,0.1886
INEX_LD-2009096,Eiffel,0.337,INEX_LD-2009096,I m not sure,0.0,INEX_LD-2009096,The Epel,0.0,INEX_LD-2009096,I  m not,0.0,INEX_LD-2009096,I m going to the hospital,0.0,INEX_LD-2009096,The Eiffel fire,0.1192,INEX_LD-2009096,Eggs,0.0,INEX_LD-2009096,The Eiffel,0.337,INEX_LD-2009096,The Eiffel,0.337,INEX_LD-2009096,the ifel,0.0,INEX_LD-2009096,Eiffel,0.337
INEX_LD-2009111,europe solar power facility,0.0935,INEX_LD-2009111,Solar powered plants in Europe,0.1237,INEX_LD-2009111,European solar power plants,0.2257,INEX_LD-2009111,The European solar power plant,0.2257,INEX_LD-2009111,European solar power plants,0.2257,INEX_LD-2009111,European solar power plant,0.2257,INEX_LD-2009111,Europe solar power plant,0.1237,INEX_LD-2009111,European solar power plant,0.2257,INEX_LD-2009111,European solar power facilities,0.1661,INEX_LD-2009111,European solar power facility,0.1661,INEX_LD-2009111,Europe solar power station,0.1202
INEX_LD-2009115,virtual museums,0.57,INEX_LD-2009115,A virtual museum,0.57,INEX_LD-2009115,Virtual museum,0.57,INEX_LD-2009115,Virtual museums,0.57,INEX_LD-2009115,Virtual museums,0.57,INEX_LD-2009115,virtual museums,0.57,INEX_LD-2009115,Virtual museums,0.57,INEX_LD-2009115,virtual museums,0.57,INEX_LD-2009115,The Mayan Museum,0.0,INEX_LD-2009115,Virtual museums,0.57,INEX_LD-2009115,virtual museums,0.57
INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian food,0.2721,INEX_LD-2010004,Indian Food,0.2721
INEX_LD-2010014,composer museum,0.0417,INEX_LD-2010014,The Musicians  Museum,0.0002,INEX_LD-2010014,The Composer s Museum,0.0045,INEX_LD-2010014,The author s museum,0.0,INEX_LD-2010014,The Musical Museum,0.0049,INEX_LD-2010014,museum of the composer,0.0417,INEX_LD-2010014,The composer s museum,0.0045,INEX_LD-2010014,The composer s museum,0.0045,INEX_LD-2010014,The Composer s Museum,0.0045,INEX_LD-2010014,The Musical Museum,0.0049,INEX_LD-2010014,the writer s memorial,0.0
INEX_LD-2010019,gallo roman architecture in paris,0.0014,INEX_LD-2010019,Roman architecture in Paris,0.002,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,Romanesque architecture in Paris,0.0,INEX_LD-2010019,The Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0014,INEX_LD-2010019,The Colosseum in Paris was built in the Romanesque style,0.0,INEX_LD-2010019,architecture gallo roma in paris,0.0
INEX_LD-2010020,electricity source in France,0.0658,INEX_LD-2010020,French power supply,0.0014,INEX_LD-2010020,The electricity supply in France,0.0091,INEX_LD-2010020,Electricity supply in France,0.0091,INEX_LD-2010020,Power supply in France,0.0058,INEX_LD-2010020,source of electricity in France,0.0658,INEX_LD-2010020,Source of electricity in France,0.0658,INEX_LD-2010020,source of electricity in France,0.0658,INEX_LD-2010020,electricity sources in France,0.0658,INEX_LD-2010020,Electricity in France,0.119,INEX_LD-2010020,source of electricity in France,0.0658
INEX_LD-2010037,social network API,0.1646,INEX_LD-2010037,The social networking API,0.1646,INEX_LD-2010037,Social networking API,0.1646,INEX_LD-2010037,The social network API,0.1646,INEX_LD-2010037,Social networking API,0.1646,INEX_LD-2010037,The social networking API,0.1646,INEX_LD-2010037,API for social networks,0.1646,INEX_LD-2010037,API of social networks,0.1646,INEX_LD-2010037,Social networking API,0.1646,INEX_LD-2010037,The social networking API,0.1646,INEX_LD-2010037,API of social networking,0.1646
INEX_LD-2010043,List of films from the surrealist category,0.133,INEX_LD-2010043,A list of movies in the surrealist category,0.0551,INEX_LD-2010043,List of films in the surrealist category,0.1597,INEX_LD-2010043,List of films of the Surrealist category,0.1597,INEX_LD-2010043,List of Surrealist films,0.1597,INEX_LD-2010043,List of films in the Surrealist category,0.1597,INEX_LD-2010043,List of films in the Surrealist category,0.1597,INEX_LD-2010043,List of films in the surrealist category,0.1597,INEX_LD-2010043,List of films from the surrealist category,0.133,INEX_LD-2010043,List of films of the Surrealist genre,0.0857,INEX_LD-2010043,List of films from the surrealist community,0.0849
INEX_LD-2010057,Einstein Relativity theory,0.3808,INEX_LD-2010057,Einstein s theory of relativity is,0.2089,INEX_LD-2010057,Einstein s theory of relativity is,0.2089,INEX_LD-2010057,The theory of relativity   Einstein,0.3808,INEX_LD-2010057,The theory of relativity of Einstein,0.3808,INEX_LD-2010057,Einstein s theory of relativity,0.2089,INEX_LD-2010057,Einstein s theory of relativity,0.2089,INEX_LD-2010057,Einstein s theory of relativity,0.2089,INEX_LD-2010057,The theory of relativity of Einstein,0.3808,INEX_LD-2010057,Einstein s theory of space,0.0984,INEX_LD-2010057,Einstein s Theory of Relation,0.0668
INEX_LD-2010069,summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,Summer spring,0.0003,INEX_LD-2010069,Summer flowers,0.0492,INEX_LD-2010069,summer flowers,0.0492
