qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-2012309,residents small island city-state  Malay Peninsula Chinese,0.1111,4,backtranslation_tam_taml,1.0,The small island city state Malaysian peninsula Chinese,backtranslation_kor_hang,0.1667,Small island city state Malay Peninsula China,backtranslation_zsm_latn,0.1429,small island nation city state of the Malay Peninsula of China,backtranslation_deu_latn,0.125,Inhabitants of small island city state Malay Peninsula Chinese,,,,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro 1991 Coen Brothers film,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence 1945,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.2,2,backtranslation_arb_arab,0.25,The animated tends to use the animated novel Sons and Lovers,backtranslation_tam_taml,0.25,The knife novel Sons and Lovers would like to use,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space,0.2,5,backtranslation_arb_arab,0.25,Director Bella Glenn Glinda is the bug party of Plan   Outer Space,backtranslation_fra_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,backtranslation_deu_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan   Space,backtranslation_zsm_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,backtranslation_swh_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,,,,,,,,,,,,,,,
INEX_LD-2012319, 1994 short story collection Alice Munro is Open,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state-city Sir Stamford Raffles,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.1667,3,backtranslation_tam_taml,0.3333,The Great Glacier Island Nation of Langjökul Hofsjökul and Watnökul,backtranslation_pes_arab,0.2,The great glaciers of the Langokull island nation of Hofsjokull Vatnajokull,backtranslation_swh_latn,0.2,The largest island nation is Langjokull Hofsjokull Vatnajokull,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012325,successor James G. Blaine studied law,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African-American Nobel Prize Literature,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,0.5,6,backtranslation_yue_hant,1.0,Swedish currency,backtranslation_kor_hang,1.0,Swedish currency,backtranslation_arb_arab,1.0,Swedish currency,backtranslation_fra_latn,1.0,Swedish currency,backtranslation_rus_cyrl,1.0,Swedish currency,backtranslation_tam_taml,1.0,Swedish currency,,,,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0909,5,backtranslation_arb_arab,1.0,The name of the Seoul River is Korea,backtranslation_swh_latn,0.5,Seoul Korea name of river China,backtranslation_kor_hang,0.3333,South Korean river name ethnic group China,backtranslation_yue_hant,0.25,South Korean name of the river  ethnic group  Chinese,backtranslation_pes_arab,0.2,The name of the Seoul River is Korean for the ethnic group of China,,,,,,,,,,,,,,,
INEX_LD-2012333,Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012335,U.S. president authorise nuclear weapons against Japan,0.125,10,backtranslation_tam_taml,1.0,The President of the United States authorizes nuclear weapons against Japan,backtranslation_swh_latn,1.0,U S  president to allow nuclear weapons against Japan,backtranslation_yue_hant,0.5,The US President authorized Japanese nuclear weapons,backtranslation_kor_hang,0.5,The President of the United States has approved nuclear weapons against Japan,backtranslation_arb_arab,0.5,The US president allows nuclear weapons against Japan,backtranslation_pes_arab,0.5,The US President authorizes nuclear weapons against Japan,backtranslation_fra_latn,0.5,US President authorizes nuclear weapons against Japan,backtranslation_zsm_latn,0.5,The US president authorized nuclear weapons against Japan,backtranslation_deu_latn,0.3333,US presidents approve nuclear weapons against Japan,backtranslation_rus_cyrl,0.3333,The President of the United States has authorized nuclear weapons against Japan
INEX_LD-2012336,1906 territory Papua island Australian,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012337,Texas city Baylor University tornado 1953,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012339,Nelson Mandela John Dube,0.2,3,backtranslation_rus_cyrl,0.5,Nelson Mandela and John Dub,backtranslation_pes_arab,0.3333,Nelson Mandela and John Dubey,backtranslation_kor_hang,0.25,Nelson Mandela  John Dewey  and the,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012341,1997  Houston airport president,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012343,The Heart of a Woman poet's autobiography,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012345,Kennedy assassination governor of Texas seriously injured,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012347,seat Florida country Dade,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012349,Alexander Nevsky Cathedral Bulgarian city liberation Turks,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012351,Indian Cuisine dish rice dhal vegetables roti papad,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012353,country German language,0.5,2,backtranslation_fra_latn,1.0,German national language,backtranslation_swh_latn,1.0,German language,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012354,greatest guitarist,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012355,England football player highest paid,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,0.1,7,backtranslation_kor_hang,1.0,The Bolshoi Theatre in,backtranslation_arb_arab,1.0,The pioneer of the Bolshoi Theatre of the     s,backtranslation_pes_arab,1.0,Perma Baller of the Bolshoi Theatre of,backtranslation_tam_taml,1.0,The Bolshoi Theatre of Primalina in,backtranslation_yue_hant,0.5,A dancer at the Bolshoi Theatre in,backtranslation_deu_latn,0.5,Primo dancer of the Bolshoi Theatre,backtranslation_fra_latn,0.25,First dancer of the Bolshoi Theatre,,,,,,,,,
INEX_LD-2012359, Bob Ricker Executive Director the latest front group for the anti-gun movement,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012361,most famous award winning actor singer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012363,American twins famous  American professional tennis double players,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012365,mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows,0.0769,4,backtranslation_fra_latn,1.0,The first six MacVicar faculty fellows,backtranslation_arb_arab,0.5,Mathematician and computer scientist at MIT  Six MacVicer College fellows,backtranslation_rus_cyrl,0.0909,Mathematician  computer scientist at MIT  first six MacVicar fellows,backtranslation_deu_latn,0.0833,Mathematician and computer scientist  six MacVicar faculty fellows at MIT,,,,,,,,,,,,,,,,,,
INEX_LD-2012367,invented telescope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012369,most famous civic-military airports,0.5,7,backtranslation_yue_hant,1.0,The most famous civil and military airports,backtranslation_arb_arab,1.0,The most famous civil and military airports,backtranslation_pes_arab,1.0,The most famous civil and military airports,backtranslation_fra_latn,1.0,the most famous civil and military airports,backtranslation_deu_latn,1.0,most famous civil and military airports,backtranslation_rus_cyrl,1.0,most famous civil military airports,backtranslation_tam_taml,1.0,The most famous civil military airports,,,,,,,,,
INEX_LD-2012371,most beautiful railway stations world cities located,0.3333,2,backtranslation_rus_cyrl,1.0,The most beautiful railway stations in the world are located in,backtranslation_tam_taml,0.5,The world s most beautiful railway stations are located in cities,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012372,famous historical battlefields opponents fought,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012373,birds cannot fly,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012375,animals lay eggs mammals,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012377,allegedly caused World War I,0.5,4,backtranslation_fra_latn,1.0,would have caused World War I,backtranslation_rus_cyrl,1.0,It was the cause of World War I,backtranslation_zsm_latn,1.0,Accused of causing World War I,backtranslation_tam_taml,1.0,The first world war was the cause of the war,,,,,,,,,,,,,,,,,,
INEX_LD-2012381,movie directors directed a block buster,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012385,famous politicians vegetarians,0.2,1,backtranslation_yue_hant,0.25,He was a famous politician  a vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012387,famous river confluence dam constructed,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012389,frequently visited sharks gulf Indian Ocean,0.125,3,backtranslation_deu_latn,1.0,Common Sharks in the Indian Ocean,backtranslation_pes_arab,0.3333,Repeated shark in the Indian Ocean,backtranslation_tam_taml,0.2,The most frequented sharks are the Indian Ocean Gulf,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012390,baseball player most homeruns national league,0.0833,8,backtranslation_arb_arab,1.0,Baseball player most of the home runs of the National League,backtranslation_fra_latn,1.0,Most home runs by a baseball player in the National League,backtranslation_deu_latn,1.0,Baseball player with the most home runs in the National League,backtranslation_rus_cyrl,1.0,Major league baseball player with the most home runs,backtranslation_tam_taml,1.0,National League Baseball player with most home runs,backtranslation_swh_latn,1.0,baseball player home runs most national league,backtranslation_kor_hang,0.5,Most home runs in baseball,backtranslation_yue_hant,0.2,Baseball players are the most dominant players in the National League,,,,,,
INEX_XER-60,olympic classes dinghy sailing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-62,Neil Gaiman novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-63,Hugo awarded best novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-64,Alan Moore graphic novels adapted to film,0.5,4,backtranslation_yue_hant,1.0,Alan Moore s graphic novel was made into a movie,backtranslation_kor_hang,1.0,Alan Moore s graphic novel adapted from the movie,backtranslation_arb_arab,1.0,Alan Moore s graphic novels are being made into a movie,backtranslation_swh_latn,1.0,Alan Moore graphic novels related to film,,,,,,,,,,,,,,,,,,
INEX_XER-65,Pacific navigators Australia explorers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-67,Ferris and observation wheels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-72,films shot in Venice,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-73,magazines about indie-music,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-74,circus mammals,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-79,Works by Charles Rennie Mackintosh,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-81,Movies about English hooligans,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-86,List of countries in World War Two,0.3333,9,backtranslation_yue_hant,1.0,List of countries from World War II,backtranslation_kor_hang,1.0,List of countries of World War II,backtranslation_arb_arab,1.0,List of countries in World War II,backtranslation_fra_latn,1.0,List of countries of World War II,backtranslation_deu_latn,1.0,List of countries in World War II,backtranslation_zsm_latn,1.0,List of countries in World War II,backtranslation_swh_latn,1.0,List of countries that participated in World War II,backtranslation_pes_arab,0.5,List of countries involved in World War II,backtranslation_tam_taml,0.5,List of countries involved in World War II,,,
INEX_XER-87,Axis powers of World War II,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-88,Nordic authors who are known for children's literature,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-91,Paul Auster novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-94,Hybrid cars sold in Europe,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-95,Tom Hanks movies where he plays a leading role.,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-96,Pure object-oriented programing languages,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-97,Compilers that can compile both C and C++,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-98,Makers of lawn tennis rackets,0.1667,7,backtranslation_fra_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_deu_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_rus_cyrl,1.0,Manufacturers of lawn tennis rockets,backtranslation_zsm_latn,1.0,Manufacturer of lawn tennis rackets,backtranslation_tam_taml,1.0,The manufacturers of lawn tennis rackets,backtranslation_swh_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_kor_hang,0.25,We re a manufacturer of lawn tennis racquets,,,,,,,,,
INEX_XER-99,Computer systems that have a recursive acronym for the name,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-100,Operating systems to which Steve Jobs related,0.2,5,backtranslation_pes_arab,1.0,The operating systems that Steve Jobs is associated with,backtranslation_fra_latn,1.0,Operating systems associated with Steve Jobs,backtranslation_swh_latn,0.5,Operating systems that Steve Jobs was involved in,backtranslation_zsm_latn,0.25,The operating system related to Steve Jobs,backtranslation_tam_taml,0.25,Steve Jobs related operating systems,,,,,,,,,,,,,,,
INEX_XER-106,Noble english person from the Hundred Years' War,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-108,State capitals of the United States of America,0.1667,9,backtranslation_pes_arab,1.0,Capital cities of the United States,backtranslation_fra_latn,1.0,Capital cities of the United States of America,backtranslation_deu_latn,1.0,Capital cities of the United States of America,backtranslation_rus_cyrl,1.0,Capital cities of the United States of America,backtranslation_zsm_latn,0.5,Capital of the United States,backtranslation_tam_taml,0.5,The capitals of the United States,backtranslation_swh_latn,0.5,The capital of the United States,backtranslation_kor_hang,0.2,The capital of the United States of America,backtranslation_arb_arab,0.2,The capitals of the United States of America,,,
INEX_XER-109,National capitals situated on islands,0.0833,5,backtranslation_yue_hant,0.125,The capital of the island nation,backtranslation_arb_arab,0.125,National capitals on the islands,backtranslation_pes_arab,0.125,National capitals on the islands,backtranslation_zsm_latn,0.125,The capital of the island nation,backtranslation_swh_latn,0.125,The capital of the island nation,,,,,,,,,,,,,,,
INEX_XER-110,Nobel Prize in Literature winners who were also poets,0.1429,2,backtranslation_kor_hang,0.3333,Nobel Prize winner in literature  also poet,backtranslation_zsm_latn,0.25,Nobel Prize winner in Literature who was also a poet,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-113,Formula 1 drivers that won the Monaco Grand Prix,0.1111,8,backtranslation_yue_hant,1.0,The Monaco Grand Prix F  racer,backtranslation_deu_latn,0.5,Formula One drivers who have won the Monaco Grand Prix,backtranslation_kor_hang,0.125,Formula One driver who won the Monaco Grand Prix,backtranslation_arb_arab,0.125,The Formula One drivers who won the Monaco Grand Prix,backtranslation_pes_arab,0.125,Formula One drivers who won the Monaco Grand Prix,backtranslation_fra_latn,0.125,Formula One drivers who won the Monaco Grand Prix,backtranslation_rus_cyrl,0.125,Formula One drivers who won the Monaco Grand Prix,backtranslation_zsm_latn,0.125,Formula One driver who won the Monaco Grand Prix,,,,,,
INEX_XER-114,Formula one races in Europe,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-115,Formula One World Constructors' Champions,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-116,Italian nobel prize winners,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-117,Musicians who appeared in the Blues Brothers movies,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-118,French car models in 1960's,0.0833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-119,Swiss cantons where they speak German,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-121,US presidents since 1960,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-122,Movies with eight or more Academy Awards,0.1111,2,backtranslation_arb_arab,0.5,Movies that have won eight or more Academy Awards,backtranslation_tam_taml,0.3333,The film won eight or more Academy Awards,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-123,FIFA world cup national team winners since 1974,0.25,8,backtranslation_yue_hant,0.5,The national team that has won the FIFA World Cup since,backtranslation_pes_arab,0.5,The winners of the FIFA World Cup since,backtranslation_rus_cyrl,0.5,Winners of the world cup since,backtranslation_kor_hang,0.3333,National team winner of the FIFA World Cup since,backtranslation_arb_arab,0.3333,National team winner of the FIFA World Cup since,backtranslation_zsm_latn,0.3333,National team winner of the FIFA World Cup since,backtranslation_tam_taml,0.3333,National team winners of the FIFA World Cup since,backtranslation_swh_latn,0.3333,Winners of the national team of the FIFA World Cup since,,,,,,
INEX_XER-124,Novels that won the Booker Prize,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-125,countries which have won the FIFA world cup,0.3333,10,backtranslation_pes_arab,1.0,FIFA World Cup winners,backtranslation_tam_taml,1.0,FIFA World Cup winners,backtranslation_yue_hant,0.5,The country that won the World Cup,backtranslation_kor_hang,0.5,The country that won the FIFA World Cup,backtranslation_arb_arab,0.5,Countries that have won the FIFA World Cup,backtranslation_fra_latn,0.5,countries that have won the FIFA World Cup,backtranslation_deu_latn,0.5,Countries that have won the FIFA World Cup,backtranslation_rus_cyrl,0.5,countries that have won the World Cup,backtranslation_zsm_latn,0.5,countries that have won the FIFA World Cup,backtranslation_swh_latn,0.5,countries that have won the FIFA World Cup
INEX_XER-126,toy train manufacturers that are still in business,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-127,german female politicians,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-128,Bond girls,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-129,Science fiction book written in the 1980,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-130,Star Trek Captains,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
