qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
INEX_LD-20120231,guitar origin Russia,0.1,INEX_LD-20120231,The origin of the kitta is in Russia,0.0,INEX_LD-20120231,The origin of the guitar is Russian,1.0,INEX_LD-20120231,The origin of the guitar is Russian,1.0,INEX_LD-20120231,The origins of the Russian guitar,1.0,INEX_LD-20120231,origin of the guitar Russia,0.1,INEX_LD-20120231,Origin of guitar Russia,0.1,INEX_LD-20120231,The origin of the guitar Russia,0.1,INEX_LD-20120231,Guitar of Russian origin,1.0,INEX_LD-20120231,Origin of Russia,0.0,INEX_LD-20120231,the origin of the Russian guitar,1.0
INEX_LD-20120232,guitar origin blues,1.0,INEX_LD-20120232,The guitar is blue,1.0,INEX_LD-20120232,Guitar and blues,1.0,INEX_LD-20120232,The origin of the blues guitar,1.0,INEX_LD-20120232,Guitar pots and pans,0.0,INEX_LD-20120232,origin of the guitar,0.1111,INEX_LD-20120232,Other instruments,0.0012,INEX_LD-20120232,The guitar blues,1.0,INEX_LD-20120232,Blues guitar origin,1.0,INEX_LD-20120232,guitar blues,1.0,INEX_LD-20120232,The blue nature of the guitar,0.0769
INEX_LD-20120311,tango culture movies,0.5,INEX_LD-20120311,Tang culture film,0.0,INEX_LD-20120311,The Tango culture film,1.0,INEX_LD-20120311,The tango culture films,1.0,INEX_LD-20120311,The Tangos,0.5,INEX_LD-20120311,films of tango culture,1.0,INEX_LD-20120311,Cultural films of tango,1.0,INEX_LD-20120311,The film of tango culture,1.0,INEX_LD-20120311,tango culture film,1.0,INEX_LD-20120311,The Tangos cultural films,1.0,INEX_LD-20120311,the film culture of the cucumber,0.0
INEX_LD-20120312,tango culture countries,1.0,INEX_LD-20120312,The country of the tango culture,1.0,INEX_LD-20120312,Tangos culture nation,1.0,INEX_LD-20120312,Countries of the tango culture,1.0,INEX_LD-20120312,Tangos of the Tangos,1.0,INEX_LD-20120312,country of tango culture,1.0,INEX_LD-20120312,Countries with tangos,1.0,INEX_LD-20120312,countries of tango culture,1.0,INEX_LD-20120312,Countries of tango culture,1.0,INEX_LD-20120312,The countries of the Tang culture,0.0,INEX_LD-20120312,countries of the cucumber culture,0.0
INEX_LD-20120321,tango music  composers,1.0,INEX_LD-20120321,Tango music composer,1.0,INEX_LD-20120321,A composer of tango music,1.0,INEX_LD-20120321,Tangos and Tango musicians,0.2,INEX_LD-20120321,Tangos are composers,1.0,INEX_LD-20120321,composers of tango music,1.0,INEX_LD-20120321,Tango music composers,1.0,INEX_LD-20120321,The composers of the tango,1.0,INEX_LD-20120321,composer of tango music,1.0,INEX_LD-20120321,The first is the  Tango  song,0.5,INEX_LD-20120321,Composers of the cucumber music,0.0
INEX_LD-20120322,tango music instruments,1.0,INEX_LD-20120322,The instrument,0.0526,INEX_LD-20120322,A tango musical instrument,1.0,INEX_LD-20120322,Tangos and instruments,1.0,INEX_LD-20120322,Tangos are musical instruments,1.0,INEX_LD-20120322,instruments of tango,1.0,INEX_LD-20120322,Other instruments for the musical use of instruments,0.0095,INEX_LD-20120322,Tangos and other musical instruments,0.5,INEX_LD-20120322,Tangos and instruments,1.0,INEX_LD-20120322,The tangos are the instruments of the world,1.0,INEX_LD-20120322,Cucumber musical instruments,0.0078
INEX_LD-20120331,tango dance styles,1.0,INEX_LD-20120331,The style of tango dance,1.0,INEX_LD-20120331,The style of the tango dance,1.0,INEX_LD-20120331,The tango dance styles,1.0,INEX_LD-20120331,The style of tango,1.0,INEX_LD-20120331,dance of tango,1.0,INEX_LD-20120331,Dancing style,0.3333,INEX_LD-20120331,dance styles of tango,1.0,INEX_LD-20120331,dance style of tango,1.0,INEX_LD-20120331,Tang dance styles,0.1429,INEX_LD-20120331,styles of the tango dance,1.0
INEX_LD-20120332,tango dance history,1.0,INEX_LD-20120332,The history of dance,1.0,INEX_LD-20120332,The history of tango dance,1.0,INEX_LD-20120332,The history of tango dance,1.0,INEX_LD-20120332,The history of tango dance,1.0,INEX_LD-20120332,history of tango dance,1.0,INEX_LD-20120332,History of the Tango,1.0,INEX_LD-20120332,The history of the tango,1.0,INEX_LD-20120332,History of the tango dance,1.0,INEX_LD-20120332,The history of the tango dance,1.0,INEX_LD-20120332,The history of the cucumber dance,0.0256
INEX_LD-20120411,bicycle sport races,1.0,INEX_LD-20120411,Cycling races,1.0,INEX_LD-20120411,Cycling sports race,1.0,INEX_LD-20120411,The biking races,1.0,INEX_LD-20120411,Cycling races,1.0,INEX_LD-20120411,cycling races,1.0,INEX_LD-20120411,Cycling,0.0526,INEX_LD-20120411,The bicycle race,1.0,INEX_LD-20120411,cycling races,1.0,INEX_LD-20120411,Cycling competitions,1.0,INEX_LD-20120411,cycling races,1.0
INEX_LD-20120412,bicycle sport disciplines,1.0,INEX_LD-20120412,Cycling,0.05,INEX_LD-20120412,Cycling sports,1.0,INEX_LD-20120412,Cycling,0.05,INEX_LD-20120412,Cycling sports,1.0,INEX_LD-20120412,cycling sports,1.0,INEX_LD-20120412,Cycling disciplines,1.0,INEX_LD-20120412,sports disciplines on bicycles,1.0,INEX_LD-20120412,cycling discipline,1.0,INEX_LD-20120412,Cycling sports fields,0.1667,INEX_LD-20120412,Cycling classes,0.0263
INEX_LD-20120421,bicycle holiday towns,0.05,INEX_LD-20120421,Cycling cities,0.005,INEX_LD-20120421,A bicycle resort town,0.0213,INEX_LD-20120421,Bike holiday towns,0.0167,INEX_LD-20120421,Cycle holiday towns,0.0286,INEX_LD-20120421,cities for holiday by bicycle,0.04,INEX_LD-20120421,Cycling towns,0.0,INEX_LD-20120421,cities for cycling,0.005,INEX_LD-20120421,city bike holiday,0.0052,INEX_LD-20120421,Cycling holiday cities,0.04,INEX_LD-20120421,holiday villages for bicycles,0.1667
INEX_LD-20120422,bicycle holiday nature,0.3333,INEX_LD-20120422,The nature of cycling vacation,0.0588,INEX_LD-20120422,The nature of the bicycle holiday,0.3333,INEX_LD-20120422,The nature of the bike holiday,1.0,INEX_LD-20120422,The nature of the bike holiday,1.0,INEX_LD-20120422,nature of the holiday on a bicycle,0.3333,INEX_LD-20120422,Cycling leave,0.0059,INEX_LD-20120422,nature of cycling,0.3333,INEX_LD-20120422,nature of bicycle holidays,0.3333,INEX_LD-20120422,Cycling holiday nature,0.3333,INEX_LD-20120422,the origin of bicycle holidays,0.006
INEX_LD-20120431,bicycle benefits health,0.1111,INEX_LD-20120431,The health benefits of cycling,0.1111,INEX_LD-20120431,Bicycle Health Benefits,0.1111,INEX_LD-20120431,The benefits of walking well,0.0,INEX_LD-20120431,The Health Benefits of Cycling,0.1111,INEX_LD-20120431,health benefits,0.0,INEX_LD-20120431,Bicycle health,0.0385,INEX_LD-20120431,health benefits of bicycles,0.1111,INEX_LD-20120431,health benefits of bicycles,0.1111,INEX_LD-20120431,Bicycle Health Benefits,0.1111,INEX_LD-20120431,health benefits of cycling,0.1111
INEX_LD-20120432,bicycle benefits environment,1.0,INEX_LD-20120432,Bicycles are environmental benefits,0.3333,INEX_LD-20120432,The Benefits of Cycling,1.0,INEX_LD-20120432,The benefits of bicycles,0.1667,INEX_LD-20120432,The Environmental Benefits of Cycling,0.1429,INEX_LD-20120432,environmental benefits,0.0019,INEX_LD-20120432,Bicycle benefits Environment,1.0,INEX_LD-20120432,The benefits of bicycles for the environment,1.0,INEX_LD-20120432,environmental benefits of bicycles,0.3333,INEX_LD-20120432,Bicycle Benefits Environment,1.0,INEX_LD-20120432,environmental benefits of bicycles,0.3333
INEX_LD-20120511,female rock singers,0.5,INEX_LD-20120511,She is a female rock singer,1.0,INEX_LD-20120511,Female rock singer,0.5,INEX_LD-20120511,A female rock song,0.3333,INEX_LD-20120511,The female rock singers,0.5,INEX_LD-20120511,rock singers,0.3333,INEX_LD-20120511,Female rock singer,0.5,INEX_LD-20120511,female rock singers,0.5,INEX_LD-20120511,female rock singer,0.5,INEX_LD-20120511,Female rock singers,0.5,INEX_LD-20120511,rock musicians,0.0417
INEX_LD-20120512,south korean girl groups,1.0,INEX_LD-20120512,The Korean girl group,1.0,INEX_LD-20120512,South Korean girl group,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,South Korean girl group,1.0,INEX_LD-20120512,South Korean girl groups,1.0,INEX_LD-20120512,groups of South Korean girls,1.0
INEX_LD-20120521,electronic music genres,1.0,INEX_LD-20120521,Electronic music is a genre,1.0,INEX_LD-20120521,Electronic music genre,1.0,INEX_LD-20120521,Electronic music genres,1.0,INEX_LD-20120521,Electronic music,1.0,INEX_LD-20120521,Genres of electronic music,1.0,INEX_LD-20120521,Music genres,0.25,INEX_LD-20120521,electronic music genres,1.0,INEX_LD-20120521,genre of electronic music,1.0,INEX_LD-20120521,Electronic music genres,1.0,INEX_LD-20120521,electronic music,1.0
INEX_LD-20120522,digital music notation formats,0.3333,INEX_LD-20120522,Digital music labeling format,0.0244,INEX_LD-20120522,Digital music label format,0.0244,INEX_LD-20120522,Digital music forms,0.0111,INEX_LD-20120522,Digital music formats,0.1429,INEX_LD-20120522,digital music notation formats,0.3333,INEX_LD-20120522,Digital music notation formats,0.3333,INEX_LD-20120522,the format of digital music notation,0.3333,INEX_LD-20120522,digital music notation format,0.3333,INEX_LD-20120522,Digital music reference forms,0.0022,INEX_LD-20120522,Digital notation music,0.2
INEX_LD-20120531,music conferences,1.0,INEX_LD-20120531,The concert,0.0435,INEX_LD-20120531,A music conference,1.0,INEX_LD-20120531,The music conferences,1.0,INEX_LD-20120531,Music conferences,1.0,INEX_LD-20120531,music lectures,0.0016,INEX_LD-20120531,Music conferences,1.0,INEX_LD-20120531,music conferences,1.0,INEX_LD-20120531,A music conference,1.0,INEX_LD-20120531,Music conventions,0.0039,INEX_LD-20120531,music meetings,0.0023
INEX_LD-20120532,intellectual property rights lobby,0.5,INEX_LD-20120532,The intellectual property movement,1.0,INEX_LD-20120532,Intellectual property lobby,0.2,INEX_LD-20120532,Lobby for intellectual property rights,0.5,INEX_LD-20120532,The lobby for intellectual property rights,0.5,INEX_LD-20120532,lobby of intellectual property rights,0.5,INEX_LD-20120532,Lobby for intellectual property,0.2,INEX_LD-20120532,lobby of intellectual property rights,0.5,INEX_LD-20120532,Intellectual property lobby,0.2,INEX_LD-20120532,Intellectual property rights,1.0,INEX_LD-20120532,lobby for intellectual property rights,0.5
INEX_LD-2009022,Szechwan dish food cuisine,1.0,INEX_LD-2009022,The recipe,0.0,INEX_LD-2009022,Cooking the food of the dishes,0.0066,INEX_LD-2009022,The food of Sichuan,0.5,INEX_LD-2009022,Cooking Sheep s Meals,0.0061,INEX_LD-2009022,Cooking of Szechwan dishes,1.0,INEX_LD-2009022,Other  of a kind used for the manufacture of foodstuffs,0.0213,INEX_LD-2009022,The kitchen of the sequoia,0.0,INEX_LD-2009022,Szechwan cuisine,1.0,INEX_LD-2009022,The food is cooked by a schuan,0.0034,INEX_LD-2009022,Szechwan dishes,1.0
INEX_LD-2009039,roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0,INEX_LD-2009039,Roman architecture,1.0
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3333,INEX_LD-2009053,Finnish car manufacturer Saab sisu,0.5,INEX_LD-2009053,Finnish car manufacturer Sava Saassu,0.1111,INEX_LD-2009053,Finnish car manufacturing plant SAP SESO,0.1667,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.5,INEX_LD-2009053,Finnish manufacturer of cars saab sisu,0.5,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.5,INEX_LD-2009053,Finnish manufacturer of cars saab sisu,0.5,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.5,INEX_LD-2009053,Sappha Sysu  Finnish automotive manufacturer,1.0,INEX_LD-2009053,Finnish car manufacturer saab sisu,0.5
INEX_LD-2009061,france second world war normandy,1.0,INEX_LD-2009061,France  the Second World War  Normandy,1.0,INEX_LD-2009061,France during World War II  Normandy,0.3333,INEX_LD-2009061,France   World War II   Normandy   and the French and Indian War,0.5,INEX_LD-2009061,France  the Second World War  Normandy,1.0,INEX_LD-2009061,France Second World War Normandy,1.0,INEX_LD-2009061,France Second World War Normandy,1.0,INEX_LD-2009061,France Second World War Normandy,1.0,INEX_LD-2009061,French World War II Normandy,0.5,INEX_LD-2009061,France World War II Normandy,1.0,INEX_LD-2009061,France second world war Normandy,1.0
INEX_LD-2009062,social network group selection,0.1667,INEX_LD-2009062,Social networking groups,0.5,INEX_LD-2009062,Choose a social network group,0.0385,INEX_LD-2009062,Choosing social network groups,0.0385,INEX_LD-2009062,Choosing a social media group,0.1429,INEX_LD-2009062,selection of social network group,0.1667,INEX_LD-2009062,Selection of groups in the social network,0.1667,INEX_LD-2009062,selecting groups in social networks,0.1667,INEX_LD-2009062,Choice of social networking group,0.0667,INEX_LD-2009062,Social networking group selection,0.1667,INEX_LD-2009062,Choosing a social networking group,0.0385
INEX_LD-2009063,D-Day normandy invasion,1.0,INEX_LD-2009063,The Norman Empire invaded D Day,0.0115,INEX_LD-2009063,D Day invasion of Normandy,1.0,INEX_LD-2009063,The Normandy invasion on D Day,1.0,INEX_LD-2009063,The Normandy attack on D Day,1.0,INEX_LD-2009063,Invasion of Normandy on D Day,1.0,INEX_LD-2009063,The invasion of Normandy on D Day,1.0,INEX_LD-2009063,The invasion of Normandy on D Day,1.0,INEX_LD-2009063,D Day invasion of Normandy,1.0,INEX_LD-2009063,The D Day Norman invasion,0.1429,INEX_LD-2009063,D Day invasion of Normandy,1.0
INEX_LD-2009074,web ranking scoring algorithm,1.0,INEX_LD-2009074,The ranking algorithm of the site,1.0,INEX_LD-2009074,The algorithm for ranking web,1.0,INEX_LD-2009074,The algorithm for ranking the web,1.0,INEX_LD-2009074,Web ranking algorithm,1.0,INEX_LD-2009074,web ranking algorithm,1.0,INEX_LD-2009074,The following is the list of the categories of users,0.0,INEX_LD-2009074,The ranking algorithm of websites,1.0,INEX_LD-2009074,web ranking algorithm,1.0,INEX_LD-2009074,Web ranking score algorithm,1.0,INEX_LD-2009074,web ranking scoring algorithm,1.0
INEX_LD-2009096,Eiffel,1.0,INEX_LD-2009096,I m not sure,0.0,INEX_LD-2009096,The Epel,0.0,INEX_LD-2009096,I  m not,0.0,INEX_LD-2009096,I m going to the hospital,0.0,INEX_LD-2009096,The Eiffel fire,0.125,INEX_LD-2009096,Eggs,0.0,INEX_LD-2009096,The Eiffel,1.0,INEX_LD-2009096,The Eiffel,1.0,INEX_LD-2009096,the ifel,0.0,INEX_LD-2009096,Eiffel,1.0
INEX_LD-2009111,europe solar power facility,1.0,INEX_LD-2009111,Solar powered plants in Europe,1.0,INEX_LD-2009111,European solar power plants,1.0,INEX_LD-2009111,The European solar power plant,1.0,INEX_LD-2009111,European solar power plants,1.0,INEX_LD-2009111,European solar power plant,1.0,INEX_LD-2009111,Europe solar power plant,1.0,INEX_LD-2009111,European solar power plant,1.0,INEX_LD-2009111,European solar power facilities,1.0,INEX_LD-2009111,European solar power facility,1.0,INEX_LD-2009111,Europe solar power station,0.3333
INEX_LD-2009115,virtual museums,1.0,INEX_LD-2009115,A virtual museum,1.0,INEX_LD-2009115,Virtual museum,1.0,INEX_LD-2009115,Virtual museums,1.0,INEX_LD-2009115,Virtual museums,1.0,INEX_LD-2009115,virtual museums,1.0,INEX_LD-2009115,Virtual museums,1.0,INEX_LD-2009115,virtual museums,1.0,INEX_LD-2009115,The Mayan Museum,0.0,INEX_LD-2009115,Virtual museums,1.0,INEX_LD-2009115,virtual museums,1.0
INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian food,1.0,INEX_LD-2010004,Indian Food,1.0
INEX_LD-2010014,composer museum,0.1667,INEX_LD-2010014,The Musicians  Museum,0.0714,INEX_LD-2010014,The Composer s Museum,0.0286,INEX_LD-2010014,The author s museum,0.0043,INEX_LD-2010014,The Musical Museum,0.0385,INEX_LD-2010014,museum of the composer,0.1667,INEX_LD-2010014,The composer s museum,0.0286,INEX_LD-2010014,The composer s museum,0.0286,INEX_LD-2010014,The Composer s Museum,0.0286,INEX_LD-2010014,The Musical Museum,0.0385,INEX_LD-2010014,the writer s memorial,0.0
INEX_LD-2010019,gallo roman architecture in paris,0.0137,INEX_LD-2010019,Roman architecture in Paris,0.025,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,Romanesque architecture in Paris,0.0,INEX_LD-2010019,The Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,Gallo Roman architecture in Paris,0.0137,INEX_LD-2010019,The Colosseum in Paris was built in the Romanesque style,0.0,INEX_LD-2010019,architecture gallo roma in paris,0.0
INEX_LD-2010020,electricity source in France,0.2,INEX_LD-2010020,French power supply,0.0769,INEX_LD-2010020,The electricity supply in France,0.0323,INEX_LD-2010020,Electricity supply in France,0.0323,INEX_LD-2010020,Power supply in France,0.1667,INEX_LD-2010020,source of electricity in France,0.2,INEX_LD-2010020,Source of electricity in France,0.2,INEX_LD-2010020,source of electricity in France,0.2,INEX_LD-2010020,electricity sources in France,0.2,INEX_LD-2010020,Electricity in France,1.0,INEX_LD-2010020,source of electricity in France,0.2
INEX_LD-2010037,social network API,1.0,INEX_LD-2010037,The social networking API,1.0,INEX_LD-2010037,Social networking API,1.0,INEX_LD-2010037,The social network API,1.0,INEX_LD-2010037,Social networking API,1.0,INEX_LD-2010037,The social networking API,1.0,INEX_LD-2010037,API for social networks,1.0,INEX_LD-2010037,API of social networks,1.0,INEX_LD-2010037,Social networking API,1.0,INEX_LD-2010037,The social networking API,1.0,INEX_LD-2010037,API of social networking,1.0
INEX_LD-2010043,List of films from the surrealist category,1.0,INEX_LD-2010043,A list of movies in the surrealist category,0.1667,INEX_LD-2010043,List of films in the surrealist category,1.0,INEX_LD-2010043,List of films of the Surrealist category,1.0,INEX_LD-2010043,List of Surrealist films,1.0,INEX_LD-2010043,List of films in the Surrealist category,1.0,INEX_LD-2010043,List of films in the Surrealist category,1.0,INEX_LD-2010043,List of films in the surrealist category,1.0,INEX_LD-2010043,List of films from the surrealist category,1.0,INEX_LD-2010043,List of films of the Surrealist genre,0.5,INEX_LD-2010043,List of films from the surrealist community,1.0
INEX_LD-2010057,Einstein Relativity theory,1.0,INEX_LD-2010057,Einstein s theory of relativity is,1.0,INEX_LD-2010057,Einstein s theory of relativity is,1.0,INEX_LD-2010057,The theory of relativity   Einstein,1.0,INEX_LD-2010057,The theory of relativity of Einstein,1.0,INEX_LD-2010057,Einstein s theory of relativity,1.0,INEX_LD-2010057,Einstein s theory of relativity,1.0,INEX_LD-2010057,Einstein s theory of relativity,1.0,INEX_LD-2010057,The theory of relativity of Einstein,1.0,INEX_LD-2010057,Einstein s theory of space,1.0,INEX_LD-2010057,Einstein s Theory of Relation,0.1667
INEX_LD-2010069,summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,Summer spring,0.0323,INEX_LD-2010069,Summer flowers,0.2,INEX_LD-2010069,summer flowers,0.2
INEX_LD-2010100,house concrete wood,1.0,INEX_LD-2010100,Concrete for the house,0.04,INEX_LD-2010100,Concrete wood for the house,1.0,INEX_LD-2010100,Wood from wood,0.0,INEX_LD-2010100,The house is concrete,0.04,INEX_LD-2010100,wood of house concrete,1.0,INEX_LD-2010100,Concrete wood for houses,1.0,INEX_LD-2010100,wood of concrete,0.0769,INEX_LD-2010100,house concrete wood,1.0,INEX_LD-2010100,The house is concrete wood,1.0,INEX_LD-2010100,a concrete wooden house,0.0025
