qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
INEX_LD-20120311,tango culture movies,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120312,tango culture countries,0.3333,3,backtranslation_pes_arab,1.0,Tangos of the Tangos,backtranslation_kor_hang,0.5,Tangos culture nation,backtranslation_deu_latn,0.5,Countries with tangos,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120321,tango music  composers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120322,tango music instruments,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120331,tango dance styles,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120332,tango dance history,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120411,bicycle sport races,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120412,bicycle sport disciplines,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120421,bicycle holiday towns,0.0435,1,backtranslation_swh_latn,0.0667,holiday villages for bicycles,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120422,bicycle holiday nature,0.5,3,backtranslation_arb_arab,1.0,The nature of the bike holiday,backtranslation_pes_arab,1.0,The nature of the bike holiday,backtranslation_rus_cyrl,1.0,nature of cycling,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120431,bicycle benefits health,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120432,bicycle benefits environment,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120511,female rock singers,0.5,1,backtranslation_yue_hant,1.0,She is a female rock singer,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120512,south korean girl groups,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120521,electronic music genres,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120522,digital music notation formats,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120531,music conferences,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-20120532,intellectual property rights lobby,0.1,4,backtranslation_tam_taml,1.0,Intellectual property rights,backtranslation_kor_hang,0.25,Intellectual property lobby,backtranslation_deu_latn,0.25,Lobby for intellectual property,backtranslation_zsm_latn,0.25,Intellectual property lobby,,,,,,,,,,,,,,,,,,
INEX_LD-2009022,Szechwan dish food cuisine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009039,roman architecture,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009053,finland car industry manufacturer saab sisu,0.3333,2,backtranslation_tam_taml,1.0,Sappha Sysu  Finnish automotive manufacturer,backtranslation_arb_arab,0.5,Finnish car manufacturing plant SAP SESO,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009061,france second world war normandy,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009062,social network group selection,0.0625,1,backtranslation_yue_hant,0.5,Social networking groups,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009063,D-Day normandy invasion,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009074,web ranking scoring algorithm,0.25,7,backtranslation_yue_hant,1.0,The ranking algorithm of the site,backtranslation_kor_hang,1.0,The algorithm for ranking web,backtranslation_arb_arab,1.0,The algorithm for ranking the web,backtranslation_pes_arab,1.0,Web ranking algorithm,backtranslation_fra_latn,1.0,web ranking algorithm,backtranslation_rus_cyrl,1.0,The ranking algorithm of websites,backtranslation_zsm_latn,1.0,web ranking algorithm,,,,,,,,,
INEX_LD-2009096,Eiffel,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2009111,europe solar power facility,0.5,7,backtranslation_kor_hang,1.0,European solar power plants,backtranslation_arb_arab,1.0,The European solar power plant,backtranslation_pes_arab,1.0,European solar power plants,backtranslation_fra_latn,1.0,European solar power plant,backtranslation_rus_cyrl,1.0,European solar power plant,backtranslation_zsm_latn,1.0,European solar power facilities,backtranslation_tam_taml,1.0,European solar power facility,,,,,,,,,
INEX_LD-2009115,virtual museums,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010004,Indian food,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010014,composer museum,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010019,gallo roman architecture in paris,0.0069,1,backtranslation_yue_hant,0.0139,Roman architecture in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010020,electricity source in France,0.125,1,backtranslation_tam_taml,1.0,Electricity in France,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010037,social network API,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010043,List of films from the surrealist category,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010057,Einstein Relativity theory,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010069,summer flowers,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010100,house concrete wood,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2010106,organic food advantages disadvantages,0.0,7,backtranslation_pes_arab,0.0179,Benefits of Organic Foods,backtranslation_tam_taml,0.0179,The benefits of organic food,backtranslation_swh_latn,0.0103,benefits of organic food loss,backtranslation_fra_latn,0.0067,Benefits of organic food disadvantages,backtranslation_deu_latn,0.0067,Benefits of organic food Disadvantages,backtranslation_zsm_latn,0.0021,The advantages of organic food,backtranslation_yue_hant,0.0019,The disadvantages of organic food,,,,,,,,,
INEX_LD-2012301,Niagara falls origin lake,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012303, Valley fever fungal infection San Joaquin,0.3333,1,backtranslation_tam_taml,0.5,The Valley Fever Fungus Disease San Joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012305,North Dakota's lowest river of another colour,0.0058,3,backtranslation_yue_hant,0.3333,Lower rivers in North Dakota,backtranslation_zsm_latn,0.0769,The lower North Dakota River is a different color,backtranslation_swh_latn,0.0476,The lower North Dakota River of other colors,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012307," July, 1850  president died Millard Fillmore sworn following day",0.1667,1,backtranslation_yue_hant,0.5,In July       President Millard Fillmore died,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012309,residents small island city-state  Malay Peninsula Chinese,0.0909,1,backtranslation_tam_taml,0.125,The small island city state Malaysian peninsula Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012311,John Lennon Yoko Ono album Starting Over,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012313,John Turturro 1991 Coen Brothers film,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012315,Baguio Quezon City  Manila official independence 1945,0.0714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012317,daggeroso inclined to use a dagger novel Sons and Lovers,0.0769,1,backtranslation_fra_latn,0.1111,The daggeroso used to use a dagger novel Sons and Lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012318,Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space,0.2,5,backtranslation_fra_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,backtranslation_deu_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan   Space,backtranslation_zsm_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,backtranslation_tam_taml,0.25,Directed by Bella Klein Glenda Bride Animal Project   outer space,backtranslation_swh_latn,0.25,Directed by Bela Glen Glenda Bride Monster Plan,,,,,,,,,,,,,,,
INEX_LD-2012319, 1994 short story collection Alice Munro is Open,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012321,Asian port state-city Sir Stamford Raffles,0.3333,3,backtranslation_deu_latn,1.0,The port city of Sir Stamford Raffles,backtranslation_zsm_latn,1.0,The port city of Asia Sir Stamford Raffles,backtranslation_swh_latn,1.0,Asia port city Sir Stamford Raffles,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012323,Large glaciers island nation Langjokull Hofsjokull Vatnajokull,0.2,3,backtranslation_tam_taml,0.3333,The Great Glacier Island Nation of Langjökul Hofsjökul and Watnökul,backtranslation_pes_arab,0.25,The great glaciers of the Langokull island nation of Hofsjokull Vatnajokull,backtranslation_rus_cyrl,0.25,Large glaciers island nation of Langoculus Hojjoculus Vatnajökull,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012325,successor James G. Blaine studied law,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012327,Beloved author African-American Nobel Prize Literature,0.3333,4,backtranslation_kor_hang,0.5,The beloved African American writer  the Nobel Prize for Literature,backtranslation_zsm_latn,0.5,Beloved writer   African American Nobel Prize in Literature,backtranslation_tam_taml,0.5,The beloved writer African American Nobel Prize in Literature,backtranslation_swh_latn,0.5,Beloved African American writer Nobel Prize in Literature,,,,,,,,,,,,,,,,,,
INEX_LD-2012329,Sweden Iceland currency,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012331,Seoul Korea river name ethnic group China,0.0123,4,backtranslation_arb_arab,1.0,The name of the Seoul River is Korea,backtranslation_swh_latn,0.0556,Seoul Korea name of river China,backtranslation_kor_hang,0.0208,South Korean river name ethnic group China,backtranslation_yue_hant,0.0161,South Korean name of the river  ethnic group  Chinese,,,,,,,,,,,,,,,,,,
INEX_LD-2012333,Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012335,U.S. president authorise nuclear weapons against Japan,0.3333,9,backtranslation_kor_hang,1.0,The President of the United States has approved nuclear weapons against Japan,backtranslation_pes_arab,1.0,The US President authorizes nuclear weapons against Japan,backtranslation_fra_latn,1.0,US President authorizes nuclear weapons against Japan,backtranslation_deu_latn,1.0,US presidents approve nuclear weapons against Japan,backtranslation_zsm_latn,1.0,The US president authorized nuclear weapons against Japan,backtranslation_swh_latn,1.0,U S  president to allow nuclear weapons against Japan,backtranslation_yue_hant,0.5,The US President authorized Japanese nuclear weapons,backtranslation_rus_cyrl,0.5,The President of the United States has authorized nuclear weapons against Japan,backtranslation_tam_taml,0.5,The President of the United States authorizes nuclear weapons against Japan,,,
INEX_LD-2012336,1906 territory Papua island Australian,0.3333,7,backtranslation_kor_hang,0.5,     Territory of the islands of Papua Australia,backtranslation_pes_arab,0.5,     Territory of the Australian island of Papua,backtranslation_fra_latn,0.5,     territory of the island of Papua Australia,backtranslation_deu_latn,0.5,     Territory of Papua Island Australia,backtranslation_rus_cyrl,0.5,     Territory of the island of Papua Australia,backtranslation_zsm_latn,0.5,     Australian island territory of Papua,backtranslation_tam_taml,0.5,     Territory of Papua Island Australia,,,,,,,,,
INEX_LD-2012337,Texas city Baylor University tornado 1953,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012339,Nelson Mandela John Dube,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012341,1997  Houston airport president,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012343,The Heart of a Woman poet's autobiography,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012345,Kennedy assassination governor of Texas seriously injured,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012347,seat Florida country Dade,0.5,1,backtranslation_arb_arab,1.0,Florida state seat,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012349,Alexander Nevsky Cathedral Bulgarian city liberation Turks,0.25,6,backtranslation_arb_arab,1.0,The cathedral of Alexander Nevsky is the Bulgarian liberation,backtranslation_yue_hant,0.5,Alexander Nevsky Cathedral  the liberated city of Bulgaria  the Turkish people,backtranslation_swh_latn,0.5,Alexander Nevsky Cathedral Turkey Bulgaria city of redemption,backtranslation_kor_hang,0.3333,Alexander Nevsky Cathedral Bulgaria city liberation Turkey,backtranslation_rus_cyrl,0.3333,Alexander Nevsky Cathedral The Bulgarian liberation of the city of Turki,backtranslation_zsm_latn,0.3333,Alexander Nevsky Cathedral of the Turkish liberation of the city of Bulgaria,,,,,,,,,,,,
INEX_LD-2012351,Indian Cuisine dish rice dhal vegetables roti papad,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012353,country German language,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012354,greatest guitarist,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012355,England football player highest paid,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012357, prima ballerina Bolshoi Theatre 1960,0.5,3,backtranslation_kor_hang,1.0,The Bolshoi Theatre in,backtranslation_pes_arab,1.0,Perma Baller of the Bolshoi Theatre of,backtranslation_tam_taml,1.0,The Bolshoi Theatre of Primalina in,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012359, Bob Ricker Executive Director the latest front group for the anti-gun movement,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012361,most famous award winning actor singer,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012363,American twins famous  American professional tennis double players,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012365,mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows,0.125,3,backtranslation_arb_arab,1.0,Mathematician and computer scientist at MIT  Six MacVicer College fellows,backtranslation_fra_latn,0.5,The first six MacVicar faculty fellows,backtranslation_rus_cyrl,0.2,Mathematician  computer scientist at MIT  first six MacVicar fellows,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012367,invented telescope,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012369,most famous civic-military airports,0.1667,7,backtranslation_yue_hant,1.0,The most famous civil and military airports,backtranslation_arb_arab,1.0,The most famous civil and military airports,backtranslation_pes_arab,1.0,The most famous civil and military airports,backtranslation_fra_latn,1.0,the most famous civil and military airports,backtranslation_deu_latn,1.0,most famous civil and military airports,backtranslation_rus_cyrl,1.0,most famous civil military airports,backtranslation_tam_taml,1.0,The most famous civil military airports,,,,,,,,,
INEX_LD-2012371,most beautiful railway stations world cities located,0.0312,9,backtranslation_tam_taml,0.25,The world s most beautiful railway stations are located in cities,backtranslation_rus_cyrl,0.2,The most beautiful railway stations in the world are located in,backtranslation_yue_hant,0.125,The most beautiful train station in the world,backtranslation_fra_latn,0.125,the most beautiful train stations in the world,backtranslation_swh_latn,0.0714,The most beautiful railway stations in the world s cities,backtranslation_kor_hang,0.0667,The most beautiful railway station in the world,backtranslation_arb_arab,0.0667,The most beautiful railway stations in the world,backtranslation_zsm_latn,0.0385,The most beautiful train stations in the world cities are located,backtranslation_deu_latn,0.037,The most beautiful train stations in the world  Cities,,,
INEX_LD-2012372,famous historical battlefields opponents fought,0.125,4,backtranslation_fra_latn,0.3333,The famous historical battlefields opposers fought,backtranslation_rus_cyrl,0.3333,The famous historical battlefields were fought by the enemy,backtranslation_pes_arab,0.2,Famous historical battlefields where their opponents fought,backtranslation_deu_latn,0.2,Famous historical battlefields where opponents fought,,,,,,,,,,,,,,,,,,
INEX_LD-2012373,birds cannot fly,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012375,animals lay eggs mammals,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012377,allegedly caused World War I,0.0169,3,backtranslation_rus_cyrl,1.0,It was the cause of World War I,backtranslation_tam_taml,1.0,The first world war was the cause of the war,backtranslation_fra_latn,0.5,would have caused World War I,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012381,movie directors directed a block buster,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012383,famous computer scientists disappeared at sea,0.5,1,backtranslation_swh_latn,1.0,famous computer scientists lost in the sea,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012385,famous politicians vegetarians,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012387,famous river confluence dam constructed,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_LD-2012389,frequently visited sharks gulf Indian Ocean,0.0625,4,backtranslation_deu_latn,1.0,Common Sharks in the Indian Ocean,backtranslation_pes_arab,0.5,Repeated shark in the Indian Ocean,backtranslation_tam_taml,0.2,The most frequented sharks are the Indian Ocean Gulf,backtranslation_kor_hang,0.0909,The most frequent shark is the Indian Ocean,,,,,,,,,,,,,,,,,,
INEX_LD-2012390,baseball player most homeruns national league,0.0556,8,backtranslation_arb_arab,1.0,Baseball player most of the home runs of the National League,backtranslation_fra_latn,1.0,Most home runs by a baseball player in the National League,backtranslation_deu_latn,1.0,Baseball player with the most home runs in the National League,backtranslation_rus_cyrl,1.0,Major league baseball player with the most home runs,backtranslation_tam_taml,1.0,National League Baseball player with most home runs,backtranslation_swh_latn,1.0,baseball player home runs most national league,backtranslation_kor_hang,0.5,Most home runs in baseball,backtranslation_yue_hant,0.2,Baseball players are the most dominant players in the National League,,,,,,
INEX_XER-60,olympic classes dinghy sailing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-62,Neil Gaiman novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-63,Hugo awarded best novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-64,Alan Moore graphic novels adapted to film,0.5,3,backtranslation_kor_hang,1.0,Alan Moore s graphic novel adapted from the movie,backtranslation_arb_arab,1.0,Alan Moore s graphic novels are being made into a movie,backtranslation_swh_latn,1.0,Alan Moore graphic novels related to film,,,,,,,,,,,,,,,,,,,,,
INEX_XER-65,Pacific navigators Australia explorers,0.5,1,backtranslation_arb_arab,1.0,The Pacific sailors are exploring Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-67,Ferris and observation wheels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-72,films shot in Venice,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-73,magazines about indie-music,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-74,circus mammals,0.0588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-79,Works by Charles Rennie Mackintosh,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-81,Movies about English hooligans,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-86,List of countries in World War Two,0.0333,9,backtranslation_yue_hant,1.0,List of countries from World War II,backtranslation_kor_hang,1.0,List of countries of World War II,backtranslation_arb_arab,1.0,List of countries in World War II,backtranslation_fra_latn,1.0,List of countries of World War II,backtranslation_deu_latn,1.0,List of countries in World War II,backtranslation_zsm_latn,1.0,List of countries in World War II,backtranslation_pes_arab,0.3333,List of countries involved in World War II,backtranslation_tam_taml,0.3333,List of countries involved in World War II,backtranslation_swh_latn,0.3333,List of countries that participated in World War II,,,
INEX_XER-87,Axis powers of World War II,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-88,Nordic authors who are known for children's literature,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-91,Paul Auster novels,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-94,Hybrid cars sold in Europe,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-95,Tom Hanks movies where he plays a leading role.,0.5,5,backtranslation_yue_hant,1.0,Tom Hanks plays the lead role in the movie,backtranslation_arb_arab,1.0,Tom Hanks films where he plays the lead role,backtranslation_fra_latn,1.0,Tom Hanks plays a leading role in movies,backtranslation_zsm_latn,1.0,Tom Hanks film in which he plays the lead role,backtranslation_swh_latn,1.0,Tom Hanks film where he plays the lead role,,,,,,,,,,,,,,,
INEX_XER-96,Pure object-oriented programing languages,0.25,1,backtranslation_rus_cyrl,0.3333,Clean object oriented programming languages,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-97,Compilers that can compile both C and C++,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-98,Makers of lawn tennis rackets,0.1111,7,backtranslation_kor_hang,1.0,We re a manufacturer of lawn tennis racquets,backtranslation_fra_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_deu_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_zsm_latn,1.0,Manufacturer of lawn tennis rackets,backtranslation_tam_taml,1.0,The manufacturers of lawn tennis rackets,backtranslation_swh_latn,1.0,Manufacturers of lawn tennis rackets,backtranslation_rus_cyrl,0.5,Manufacturers of lawn tennis rockets,,,,,,,,,
INEX_XER-99,Computer systems that have a recursive acronym for the name,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-100,Operating systems to which Steve Jobs related,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-106,Noble english person from the Hundred Years' War,0.25,3,backtranslation_yue_hant,0.5,The English nobility of the Hundred Years  War,backtranslation_kor_hang,0.5,The English nobility of the Hundred Years  War,backtranslation_fra_latn,0.3333,A British nobleman from the Hundred Years  War,,,,,,,,,,,,,,,,,,,,,
INEX_XER-108,State capitals of the United States of America,0.0667,7,backtranslation_pes_arab,1.0,Capital cities of the United States,backtranslation_zsm_latn,1.0,Capital of the United States,backtranslation_tam_taml,1.0,The capitals of the United States,backtranslation_swh_latn,1.0,The capital of the United States,backtranslation_fra_latn,0.3333,Capital cities of the United States of America,backtranslation_deu_latn,0.3333,Capital cities of the United States of America,backtranslation_rus_cyrl,0.3333,Capital cities of the United States of America,,,,,,,,,
INEX_XER-109,National capitals situated on islands,0.0769,9,backtranslation_kor_hang,0.25,The national capital is located on the island,backtranslation_fra_latn,0.25,National capitals located on islands,backtranslation_rus_cyrl,0.25,National capitals located on the islands,backtranslation_tam_taml,0.25,National capitals located on the islands,backtranslation_yue_hant,0.1,The capital of the island nation,backtranslation_arb_arab,0.1,National capitals on the islands,backtranslation_pes_arab,0.1,National capitals on the islands,backtranslation_zsm_latn,0.1,The capital of the island nation,backtranslation_swh_latn,0.1,The capital of the island nation,,,
INEX_XER-110,Nobel Prize in Literature winners who were also poets,0.5,1,backtranslation_tam_taml,1.0,The Nobel Prize in Literature was awarded to Nobel Prize winning poets,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-113,Formula 1 drivers that won the Monaco Grand Prix,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-114,Formula one races in Europe,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-115,Formula One World Constructors' Champions,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-116,Italian nobel prize winners,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-117,Musicians who appeared in the Blues Brothers movies,0.3333,8,backtranslation_yue_hant,1.0,The musicians in the Blue Brothers movies,backtranslation_kor_hang,1.0,He was a musician in the Blues Brothers,backtranslation_deu_latn,1.0,Musicians who have appeared in the Blues Brothers films,backtranslation_rus_cyrl,1.0,Musicians who appeared in the Blues Brothers films,backtranslation_zsm_latn,1.0,Musicians who appeared in the Blues Brothers films,backtranslation_tam_taml,1.0,The musicians who appeared in the Blues Brothers films,backtranslation_swh_latn,1.0,Musicians who appeared in the Blues Brothers films,backtranslation_arb_arab,0.5,Musicians who have appeared in the Brothers Blues movies,,,,,,
INEX_XER-118,French car models in 1960's,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-119,Swiss cantons where they speak German,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INEX_XER-121,US presidents since 1960,0.1667,1,backtranslation_yue_hant,1.0,President of the United States in,,,,,,,,,,,,,,,,,,,,,,,,,,,
