qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count
20746,borg warner,,0
20747,very short dress,,0
20748,carolina speedway,,0
20749,hospital acquired pneumonia,,0
20752,brian nord,,0
20754,eagle airport colorado,,0
20756,make a bird bath,,0
20757,obesity hypoventilation syndrome,,0
20762,hrsa nursing scholarship,,0
20764,green darner dragonfly,,0
20766,prescription diet pills,,0
20768,mileage tax credit,,0
20771,newport university california,,0
20772,bree olson,,0
20773,football,,0
20774,extreme dating,,0
20776,nissan pickup gas mileage,,0
20777,spain weather conditions,,0
20781,exercises to lose weight,,0
20783,tewksbury mass,,0
20785,warrant officer,,0
20786,bbq rubs,,0
20795,all earthquake list,,0
20796,poseidon industries,,0
20797,firefly bus,,0
20799,riverbend park,,0
20803,kentucky lemon law,,0
20805,simmons and rockwell,,0
20806,solar roof vent,,0
20808,healthy recipes,,0
20809,quality of life measures,,0
20810,the tides at charleston on staten island,,0
20812,free email directory,,0
20815,dreamland inc,,0
20816,credit card debt consolidation loan,,0
20817,alternative medicine,,0
20819,work from home data entry jobs,,0
20822,keflex for animals,,0
20824,stevens jonson syndrome,,0
20830,toyota corolla,,0
20831,health recipes,,0
20832,orlando sentinel,,0
20834,4th amendment,,0
20837,huntsville alabama,,0
20839,nj dmv,,0
20845,bryman school phoenix,,0
20849,enrique iglesias songs,,0
20851,skirvin hotel oklahoma,,0
20852,when is take your child to work day,,0
20854,hidden cove golf course,,0
20855,rotor disease,,0
20859,blackrock depths,,0
20860,wktv,,0
20863,free translation,,0
20864,annual vehicle inspection report,,0
20866,palmer community center,,0
20870,free cell phones,,0
20872,tru chocolate,,0
20873,hillside strangler,,0
20874,seattle city council,,0
20875,virginia department of education,,0
20879,taylor manor hospital,,0
20882,weight management,,0
20883,west coast fossil park,,0
20886,indocrin,,0
20889,moakley building,,0
20890,trust funds,,0
20891,5 food groups,,0
20895,center solar system,,0
20897,bbc science news,,0
20898,weather tampa bay,,0
20899,jack nicholson movies,,0
20906,tea,,0
20910,yersinia,,0
20912,burger king,,0
20914,buckeye police department,,0
20915,cash gifting programs,,0
20916,doughton park,,0
20921,campaign contribution limits,,0
20923,elevated right hemidiaphragm,,0
20925,western quilt patterns,,0
20927,humana health care,,0
20930,britney spears tattoo,,0
20932,translate german to english,,0
20935,heskin hall,,0
20936,stuff magazine online,,0
20937,oil gas scams,,0
20938,chemistry set,,0
20944,craigslist nh,,0
20945,belle isle detroit,,0
20950,berkshire hathaway,,0
20955,matt ferber,,0
20956,dental hygiene schools,,0
20960,pest control education,,0
20962,diy+audio,,0
20964,treatment for renal cell cancer,,0
20965,ritz camera,,0
20967,seal team 6,,0
20969,oregon employment,,0
20972,vice president residence,,0
20973,oh dmv,,0
20975,michaels craft store,,0
20976,sudoku,,0
20977,fc kerbeck,,0
20978,william clark,,0
20985,official dart board measurements,,0
20988,get directions,,0
20991,hostage rescue team,,0
20994,the oregonian newspaper,,0
20996,guillermo venegas lloveras,,0
20998,tamaxifen,,0
20999,detroit things to do,,0
21000,madd michigan victim impact panel,,0
21532,bridges in michigan,,0
21593,rutledge georgia,,0
21745,almeria,,0
22952,rosary hill ny,,0
23912,collegeville pennsylvania,,0
24991,dictionary of american naval fighting ships,,0
25122,birthplace of george washington,,0
