qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
327,Modern Slavery,0.0795,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications,0.6635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution,0.1167,8,backtranslation_yue_hant,0.206,Air pollution in Mexico,backtranslation_kor_hang,0.206,Air Pollution in Mexico,backtranslation_pes_arab,0.206,Air pollution in Mexico,backtranslation_fra_latn,0.206,Air pollution in Mexico,backtranslation_deu_latn,0.206,Air pollution in Mexico,backtranslation_rus_cyrl,0.206,Air pollution in Mexico,backtranslation_zsm_latn,0.206,Air Pollution in Mexico,backtranslation_swh_latn,0.206,Air Pollution in Mexico,,,
330,Iran-Iraq Cooperation,0.1013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism,0.2178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion,0.0749,3,backtranslation_arb_arab,0.0917,Tax evasion,backtranslation_pes_arab,0.0917,Tax evasion,backtranslation_fra_latn,0.0917,Tax evasion,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease,0.2845,1,backtranslation_fra_latn,0.3029,Antibiotics for bacteria,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography,0.0556,2,backtranslation_tam_taml,0.5245,Encryption of export controls,backtranslation_yue_hant,0.1296,Export controls  passwords,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents,0.3336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks,0.0897,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis,0.275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin,0.4212,2,backtranslation_pes_arab,0.5044,The risks of aspirin use,backtranslation_rus_cyrl,0.5044,Risks of using aspirin,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer's Drug Treatment,0.2208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban,0.0754,2,backtranslation_deu_latn,0.1031,Prohibition of landmines,backtranslation_tam_taml,0.0897,Mining ban,,,,,,,,,,,,,,,,,,,,,
341,Airport Security,0.2279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion,0.143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths,0.0134,1,backtranslation_swh_latn,0.0249,The Death of a Police Officer,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E-Mail,0.2864,1,backtranslation_zsm_latn,0.3197,Breach of e mail,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales,0.1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Educational Standards,0.0675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction,0.1379,1,backtranslation_yue_hant,0.1433,Wildlife is disappearing,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism,0.1893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration,0.3956,8,backtranslation_arb_arab,0.6284,Exploring oil in the Falkland Islands,backtranslation_deu_latn,0.6284,Oil exploration in the Falkland Islands,backtranslation_rus_cyrl,0.6284,Oil exploration in the Falkland Islands,backtranslation_yue_hant,0.5764,The Falkland oil exploration,backtranslation_pes_arab,0.5764,The Falkland oil exploration,backtranslation_tam_taml,0.5764,The Falkland oil exploration,backtranslation_zsm_latn,0.5415,Confirmation of the Falkland oil,backtranslation_swh_latn,0.5393,The Falkland oil field,,,
352,British Chunnel impact,0.0489,4,backtranslation_zsm_latn,0.2618,The effects of the British tunnel,backtranslation_pes_arab,0.0689,The impact of the British Channel,backtranslation_fra_latn,0.0689,The impact of the British Channel,backtranslation_swh_latn,0.0689,The Impact of the British Channel,,,,,,,,,,,,,,,
353,Antarctica exploration,0.2341,7,backtranslation_zsm_latn,0.4198,Confirmation of the Antarctic,backtranslation_swh_latn,0.4109,The Antarctic,backtranslation_kor_hang,0.3814,The Antarctic Reconnaissance,backtranslation_yue_hant,0.3227,Exploring the Antarctic,backtranslation_fra_latn,0.3227,Exploration of the Antarctic,backtranslation_rus_cyrl,0.3227,Exploring the Antarctic,backtranslation_tam_taml,0.3065,The study of Antarctica,,,,,,
354,journalist risks,0.0473,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing,0.1292,1,backtranslation_rus_cyrl,0.1557,distance observation of the ocean,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain,0.0062,6,backtranslation_arb_arab,0.0784,Oestrogen after the age of despair Britain,backtranslation_yue_hant,0.0501,The post menopausal estrogen in England,backtranslation_swh_latn,0.0501,Post menopausal estrogen in England,backtranslation_kor_hang,0.0475,After menopause  estrogen in England,backtranslation_tam_taml,0.047,Estrogen Britain after the end of menopause,backtranslation_pes_arab,0.007,Estrogen after the British monopoly,,,,,,,,,
357,territorial waters dispute,0.1578,2,backtranslation_deu_latn,0.1676,Dispute over territorial waters,backtranslation_yue_hant,0.1579,The sea is a dispute,,,,,,,,,,,,,,,,,,,,,
358,blood-alcohol fatalities,0.1925,9,backtranslation_deu_latn,0.275,Blood alcohol deaths,backtranslation_kor_hang,0.2671,Deaths from blood alcohol,backtranslation_arb_arab,0.2671,Deaths from blood alcohol,backtranslation_pes_arab,0.2671,Deaths from blood alcohol,backtranslation_fra_latn,0.2671,death from alcohol in the blood,backtranslation_rus_cyrl,0.2671,death from alcohol in the blood,backtranslation_zsm_latn,0.2671,death from blood alcohol,backtranslation_swh_latn,0.2671,blood deaths from alcohol,backtranslation_yue_hant,0.2168,Blood alcohol is dead
359,mutual fund predictors,0.0166,4,backtranslation_rus_cyrl,0.0417,forecast indicators of mutual funds,backtranslation_yue_hant,0.0413,Mutual fund forecasts,backtranslation_kor_hang,0.0413,Mutual fund forecasts,backtranslation_fra_latn,0.0413,forecasters of mutual funds,,,,,,,,,,,,,,,
360,drug legalization benefits,0.2287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops,0.4398,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling,0.1076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters,0.0727,1,backtranslation_kor_hang,0.0817,Traffic tunnel crash,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies,0.5831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino,0.6171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses,0.4483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy,0.0628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization,0.4256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia,0.2704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food/drug laws,0.0075,1,backtranslation_pes_arab,0.0268,Food and Drug regulations,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic,0.0015,8,backtranslation_pes_arab,0.0595,Health insurance coverage,backtranslation_deu_latn,0.0101,State health insurance,backtranslation_swh_latn,0.0041,general health insurance,backtranslation_arb_arab,0.004,Health insurance,backtranslation_rus_cyrl,0.004,health insurance,backtranslation_yue_hant,0.0033,Health insurance as a whole,backtranslation_kor_hang,0.0033,The whole health insurance,backtranslation_tam_taml,0.003,Health insurance is complete,,,
372,Native American casino,0.0874,1,backtranslation_fra_latn,0.0917,American casino,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export,0.0939,1,backtranslation_rus_cyrl,0.1617,Export of encryption,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners,0.3221,1,backtranslation_fra_latn,0.5099,Nobel Prize for his work,,,,,,,,,,,,,,,,,,,,,,,,
375,hydrogen energy,0.2577,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court,0.0054,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking,0.3294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition,0.0073,1,backtranslation_arb_arab,0.0216,Opposition to the European Union,,,,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming,0.0225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment,0.1557,2,backtranslation_tam_taml,0.2898,Obesity is a medical condition,backtranslation_yue_hant,0.2376,Obesity treatment,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine,0.0528,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles,0.6122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs,0.0216,1,backtranslation_yue_hant,0.0451,Psychiatric drugs,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon,0.2178,4,backtranslation_pes_arab,0.2344,The lunar space station,backtranslation_fra_latn,0.2344,the lunar space station,backtranslation_zsm_latn,0.2344,The lunar space station,backtranslation_swh_latn,0.2344,The lunar space station,,,,,,,,,,,,,,,
385,hybrid fuel cars,0.302,3,backtranslation_rus_cyrl,0.3552,hybrid fuel vehicles,backtranslation_tam_taml,0.3552,Hybrid fuel vehicles,backtranslation_swh_latn,0.3552,hybrid fuel vehicles,,,,,,,,,,,,,,,,,,
386,teaching disabled children,0.0289,2,backtranslation_pes_arab,0.0502,Education of handicapped children,backtranslation_yue_hant,0.0432,Learning disabled children,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste,0.1361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement,0.0275,9,backtranslation_pes_arab,0.0558,Increased organic soil,backtranslation_zsm_latn,0.0558,organic soil increase,backtranslation_yue_hant,0.0497,Organic soil is growing,backtranslation_tam_taml,0.039,Organic Soil Development,backtranslation_fra_latn,0.0366,organic improvement of soil,backtranslation_rus_cyrl,0.0366,organic improvement of soil,backtranslation_kor_hang,0.0361,Organic Soil Promotion,backtranslation_deu_latn,0.0338,organic soil extraction,backtranslation_swh_latn,0.0329,strengthening organic soil
389,illegal technology transfer,0.0074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs,0.0813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R&D drug prices,0.1488,4,backtranslation_kor_hang,0.2654,Research and development drug prices,backtranslation_pes_arab,0.2568,Costs of drug research and development,backtranslation_yue_hant,0.2519,The cost of drug development,backtranslation_tam_taml,0.2253,Pharmaceutical R   D prices,,,,,,,,,,,,,,,
392,robotics,0.4766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing,0.0557,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling,0.0086,4,backtranslation_yue_hant,0.0212,Family education,backtranslation_kor_hang,0.0095,Home education,backtranslation_fra_latn,0.0095,home education,backtranslation_swh_latn,0.0095,home education,,,,,,,,,,,,,,,
395,tourism,0.1396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome,0.163,1,backtranslation_swh_latn,0.1692,building sickness,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls,0.019,1,backtranslation_tam_taml,0.0821,Vehicle recall,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe's arsenal,0.0202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels,0.1586,3,backtranslation_pes_arab,0.1587,Oceanographic ships,backtranslation_rus_cyrl,0.1587,oceanographic ships,backtranslation_zsm_latn,0.1587,oceanographic ships,,,,,,,,,,,,,,,,,,
400,Amazon rain forest,0.3891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,"foreign minorities, Germany",0.0331,1,backtranslation_swh_latn,0.0416,Foreign heads  Germany,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics,0.1386,1,backtranslation_tam_taml,0.1482,The study of behavior genetics,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis,0.4664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Ireland, peace talks",0.1507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,cosmic events,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson's disease,0.4301,5,backtranslation_fra_latn,0.4493,Parkinson s disease is,backtranslation_rus_cyrl,0.4493,Parkinson s disease is,backtranslation_zsm_latn,0.4493,Parkinson s disease is,backtranslation_tam_taml,0.4493,Parkinson s disease,backtranslation_swh_latn,0.4493,Parkinson s disease,,,,,,,,,,,,
407,"poaching, wildlife preserves",0.3118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms,0.0896,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"legal, Pan Am, 103",0.1024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement,0.8313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"salvaging, shipwreck, treasure",0.223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,airport security,0.214,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,steel production,0.1128,2,backtranslation_rus_cyrl,0.1388,Steel manufacturing,backtranslation_zsm_latn,0.1388,Manufacture of steel,,,,,,,,,,,,,,,,,,,,,
414,"Cuba, sugar, exports",0.2246,1,backtranslation_swh_latn,0.2577,Cuba  sugar  sales,,,,,,,,,,,,,,,,,,,,,,,,
415,"drugs, Golden Triangle",0.2181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Three Gorges Project,0.3626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,creativity,0.3155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"quilts, income",0.4258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"recycle, automobile tires",0.0975,2,backtranslation_fra_latn,0.2677,recycling tyres  automotive tyres,backtranslation_deu_latn,0.1857,Recycling  vehicle tyres,,,,,,,,,,,,,,,,,,,,,
420,carbon monoxide poisoning,0.4075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,industrial waste disposal,0.0599,2,backtranslation_zsm_latn,0.138,Industrial waste,backtranslation_yue_hant,0.091,Industrial waste management,,,,,,,,,,,,,,,,,,,,,
422,"art, stolen, forged",0.1669,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,"Milosevic, Mirjana Markovic",0.6526,1,backtranslation_arb_arab,0.6974,Milosevic  Mirjana Markovic  you know what,,,,,,,,,,,,,,,,,,,,,,,,
424,suicides,0.1392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,counterfeiting money,0.4444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"law enforcement, dogs",0.0332,4,backtranslation_fra_latn,0.2879,The police  the dogs,backtranslation_swh_latn,0.2879,police  dogs,backtranslation_deu_latn,0.0338,Law enforcement agencies  dogs,backtranslation_rus_cyrl,0.0338,law enforcement agencies  dogs,,,,,,,,,,,,,,,
427,"UV damage, eyes",0.1582,1,backtranslation_rus_cyrl,0.2485,Damage to ultraviolet light  eyes,,,,,,,,,,,,,,,,,,,,,,,,
428,declining birth rates,0.2168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Legionnaires' disease,0.4432,4,backtranslation_pes_arab,0.4735,Legionnaire s disease,backtranslation_zsm_latn,0.4735,Legionnaire s disease,backtranslation_tam_taml,0.4735,Legionnaire s disease,backtranslation_kor_hang,0.4614,Legionnaire s disease is a disease,,,,,,,,,,,,,,,
430,killer bee attacks,0.603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,robotic technology,0.4749,3,backtranslation_tam_taml,0.5596,Robotics,backtranslation_kor_hang,0.5019,Robotics is a thing,backtranslation_yue_hant,0.4924,Robotics is the answer,,,,,,,,,,,,,,,,,,
432,"profiling, motorists, police",0.0018,7,backtranslation_yue_hant,0.0026,The driver  the police,backtranslation_pes_arab,0.0024,Profiling  drivers  police,backtranslation_fra_latn,0.0024,the profile  the drivers  the police,backtranslation_deu_latn,0.0024,Profiling  drivers  police,backtranslation_tam_taml,0.0024,Profile  drivers  police,backtranslation_swh_latn,0.0022,Vehicles  police profile,backtranslation_zsm_latn,0.0021,Profile planning  drivers  police,,,,,,
433,"Greek, philosophy, stoicism",0.1381,1,backtranslation_rus_cyrl,0.1975,Greece  philosophy  stoicism,,,,,,,,,,,,,,,,,,,,,,,,
434,"Estonia, economy",0.3882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,curbing population growth,0.0693,7,backtranslation_tam_taml,0.2,Controlling population growth,backtranslation_rus_cyrl,0.1938,population growth,backtranslation_swh_latn,0.1537,preventing population growth,backtranslation_kor_hang,0.1507,The population growth is contained,backtranslation_pes_arab,0.1378,Decreasing population growth,backtranslation_arb_arab,0.1341,Reducing population growth,backtranslation_fra_latn,0.0987,limiting population growth,,,,,,
436,railway accidents,0.0488,7,backtranslation_kor_hang,0.2049,The train crash,backtranslation_zsm_latn,0.2049,train crash,backtranslation_tam_taml,0.1921,Train accidents,backtranslation_yue_hant,0.1196,A railroad accident,backtranslation_arb_arab,0.1196,Railroad accidents,backtranslation_pes_arab,0.1196,Railroad accidents,backtranslation_rus_cyrl,0.1196,railroad accidents,,,,,,
437,"deregulation, gas, electric",0.0346,2,backtranslation_rus_cyrl,0.0513,De regulation  gas  electricity,backtranslation_tam_taml,0.0428,The government has also been able to regulate the supply of gas and electricity,,,,,,,,,,,,,,,,,,,,,
438,"tourism, increase",0.222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,"inventions, scientific discoveries",0.0146,1,backtranslation_fra_latn,0.0227,Inventors  scientific discoveries,,,,,,,,,,,,,,,,,,,,,,,,
440,child labor,0.0867,8,backtranslation_yue_hant,0.1494,Child labour,backtranslation_kor_hang,0.1494,Child labour,backtranslation_fra_latn,0.1494,child labour,backtranslation_deu_latn,0.1494,Child labour,backtranslation_rus_cyrl,0.1494,child labour,backtranslation_zsm_latn,0.1494,Child labour,backtranslation_tam_taml,0.1494,Child labour,backtranslation_swh_latn,0.1494,child labour,,,
441,Lyme disease,0.4443,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,heroic acts,0.0179,1,backtranslation_deu_latn,0.0414,Heroic Deeds,,,,,,,,,,,,,,,,,,,,,,,,
443,"U.S., investment, Africa",0.1299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,supercritical fluids,0.476,1,backtranslation_yue_hant,0.5054,It s a supercritical liquid,,,,,,,,,,,,,,,,,,,,,,,,
445,women clergy,0.1793,1,backtranslation_fra_latn,0.2689,women priests,,,,,,,,,,,,,,,,,,,,,,,,
446,"tourists, violence",0.1689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Stirling engine,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ship losses,0.0159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness,0.0654,4,backtranslation_kor_hang,0.1035,Antibiotic effects,backtranslation_deu_latn,0.1035,Effectiveness of antibiotics,backtranslation_zsm_latn,0.1035,Antibiotics are not effective,backtranslation_pes_arab,0.0754,The lack of antibiotics,,,,,,,,,,,,,,,
450,"King Hussein, peace",0.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Turkey Iraq water,0.51,1,backtranslation_fra_latn,0.5137,Turkey water from Iraq,,,,,,,,,,,,,,,,,,,,,,,,
602,"Czech, Slovak sovereignty",0.2671,2,backtranslation_pes_arab,0.2899,The Czech  the Slovak,backtranslation_zsm_latn,0.2899,The Czech  Slovak,,,,,,,,,,,,,,,,,,,,,
603,Tobacco cigarette lawsuit,0.2562,4,backtranslation_kor_hang,0.4789,The tobacco lawsuit,backtranslation_fra_latn,0.3029,The case against tobacco,backtranslation_zsm_latn,0.2785,Trial of Tobacco,backtranslation_pes_arab,0.2589,The smoking suit,,,,,,,,,,,,,,,
604,Lyme disease arthritis,0.8264,2,backtranslation_swh_latn,0.8763,Joint pain from Lyme disease,backtranslation_tam_taml,0.8449,Lyme disease is a joint disease,,,,,,,,,,,,,,,,,,,,,
605,Great Britain health care,0.0605,4,backtranslation_fra_latn,0.149,Health in Britain,backtranslation_zsm_latn,0.121,British health services,backtranslation_tam_taml,0.0925,UK Health Service,backtranslation_kor_hang,0.075,British health,,,,,,,,,,,,,,,
606,leg traps ban,0.3045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,human genetic code,0.2341,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,taxing social security,0.0483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,per capita alcohol consumption,0.3102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,minimum wage adverse impact,0.0387,9,backtranslation_yue_hant,0.071,The minimum wage is negative,backtranslation_kor_hang,0.0658,The negative impact on the minimum wage,backtranslation_arb_arab,0.0658,The negative impact on the minimum wage,backtranslation_pes_arab,0.0658,The negative impact on the minimum wage,backtranslation_fra_latn,0.0658,the negative impact of the minimum wage,backtranslation_deu_latn,0.0658,Negative impact on the minimum wage,backtranslation_rus_cyrl,0.0658,negative impact of minimum wage,backtranslation_tam_taml,0.0658,The negative impact of the minimum wage,backtranslation_zsm_latn,0.0397,negative effects on the minimum wage
611,Kurds Germany violence,0.2621,1,backtranslation_rus_cyrl,0.2837,Germany s Kurds are violent,,,,,,,,,,,,,,,,,,,,,,,,
612,Tibet protesters,0.45,2,backtranslation_yue_hant,0.5016,Tibetans are demonstrating,backtranslation_swh_latn,0.4918,Tibetans marching in the streets,,,,,,,,,,,,,,,,,,,,,
613,Berlin wall disposal,0.2095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Flavr Savr tomato,0.0537,1,backtranslation_kor_hang,0.1517,The Flavour of the Sabre Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,
615,timber exports Asia,0.128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Volkswagen Mexico,0.7257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Russia Cuba economy,0.2581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Ayatollah Khomeini death,0.1995,2,backtranslation_yue_hant,0.2199,Ayatollah Khomeini is dead,backtranslation_zsm_latn,0.2199,Ayatollah Khomeini is dead,,,,,,,,,,,,,,,,,,,,,
619,Winnie Mandela scandal,0.5909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,France nuclear testing,0.0499,4,backtranslation_yue_hant,0.0841,French nuclear tests,backtranslation_kor_hang,0.0841,French nuclear test,backtranslation_pes_arab,0.0841,French nuclear tests,backtranslation_zsm_latn,0.0841,French nuclear tests,,,,,,,,,,,,,,,
621,women ordained Church of England,0.3047,3,backtranslation_kor_hang,0.4817,Women priests in the Church of England,backtranslation_yue_hant,0.4415,Women in the Church of England,backtranslation_rus_cyrl,0.4415,The women of the Church of England,,,,,,,,,,,,,,,,,,
622,price fixing,0.0281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,toxic chemical weapon,0.3162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,SDI Star Wars,0.2452,1,backtranslation_kor_hang,0.2575,SDI Star Wars is on the way,,,,,,,,,,,,,,,,,,,,,,,,
625,arrests bombing WTC,0.0317,2,backtranslation_deu_latn,0.1179,Arrested in the bombing of the World Trade Center,backtranslation_arb_arab,0.0616,Arrested bombs at the center of the world,,,,,,,,,,,,,,,,,,,,,
626,human stampede,0.1372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
