qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
330,Iran-Iraq Cooperation,0.0956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism,0.2462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion,0.1219,3,backtranslation_arb_arab,0.1386,Tax evasion,backtranslation_pes_arab,0.1386,Tax evasion,backtranslation_fra_latn,0.1386,Tax evasion,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease,0.2798,1,backtranslation_fra_latn,0.2921,Antibiotics for bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography,0.1111,2,backtranslation_tam_taml,0.5976,Encryption of export controls,backtranslation_yue_hant,0.1852,Export controls  passwords,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents,0.3128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks,0.0459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis,0.2965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin,0.4212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer's Drug Treatment,0.2328,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban,0.0993,2,backtranslation_deu_latn,0.1159,Prohibition of landmines,backtranslation_tam_taml,0.1011,Mining ban,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security,0.2754,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion,0.1331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths,0.0118,1,backtranslation_swh_latn,0.0313,The Death of a Police Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Abuses of E-Mail,0.1513,4,backtranslation_zsm_latn,0.3126,Breach of e mail,backtranslation_tam_taml,0.162,The use of e mail is misused,backtranslation_deu_latn,0.1552,Misuse of e mail,backtranslation_swh_latn,0.1552,Misuse of E mail,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales,0.1139,5,backtranslation_arb_arab,0.1247,Tobacco sales outside,backtranslation_fra_latn,0.1194,Tobacco sales abroad,backtranslation_rus_cyrl,0.1194,The sale of tobacco abroad,backtranslation_zsm_latn,0.1194,Tobacco sales abroad,backtranslation_tam_taml,0.1194,The sale of tobacco abroad,,,,,,,,,,,,,,,
346,Educational Standards,0.0916,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction,0.1688,1,backtranslation_yue_hant,0.1714,Wildlife is disappearing,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Agoraphobia,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism,0.184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals,0.0875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration,0.3996,8,backtranslation_arb_arab,0.6481,Exploring oil in the Falkland Islands,backtranslation_deu_latn,0.6481,Oil exploration in the Falkland Islands,backtranslation_rus_cyrl,0.6481,Oil exploration in the Falkland Islands,backtranslation_yue_hant,0.6017,The Falkland oil exploration,backtranslation_pes_arab,0.6017,The Falkland oil exploration,backtranslation_tam_taml,0.6017,The Falkland oil exploration,backtranslation_zsm_latn,0.5627,Confirmation of the Falkland oil,backtranslation_swh_latn,0.5559,The Falkland oil field,,,,,,
352,British Chunnel impact,0.0466,7,backtranslation_zsm_latn,0.2915,The effects of the British tunnel,backtranslation_pes_arab,0.1163,The impact of the British Channel,backtranslation_fra_latn,0.1163,The impact of the British Channel,backtranslation_swh_latn,0.1163,The Impact of the British Channel,backtranslation_arb_arab,0.0582,The influence of the British Channel,backtranslation_deu_latn,0.0582,The influence of the British Channel,backtranslation_rus_cyrl,0.0582,The influence of the British Channel,,,,,,,,,
353,Antarctica exploration,0.2344,7,backtranslation_zsm_latn,0.4316,Confirmation of the Antarctic,backtranslation_swh_latn,0.4135,The Antarctic,backtranslation_yue_hant,0.3449,Exploring the Antarctic,backtranslation_fra_latn,0.3449,Exploration of the Antarctic,backtranslation_rus_cyrl,0.3449,Exploring the Antarctic,backtranslation_tam_taml,0.303,The study of Antarctica,backtranslation_kor_hang,0.2938,The Antarctic Reconnaissance,,,,,,,,,
354,journalist risks,0.0423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing,0.1362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain,0.0063,6,backtranslation_arb_arab,0.0686,Oestrogen after the age of despair Britain,backtranslation_yue_hant,0.0496,The post menopausal estrogen in England,backtranslation_swh_latn,0.0496,Post menopausal estrogen in England,backtranslation_kor_hang,0.0495,After menopause  estrogen in England,backtranslation_tam_taml,0.0483,Estrogen Britain after the end of menopause,backtranslation_pes_arab,0.0104,Estrogen after the British monopoly,,,,,,,,,,,,
357,territorial waters dispute,0.2593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood-alcohol fatalities,0.2399,9,backtranslation_deu_latn,0.3539,Blood alcohol deaths,backtranslation_kor_hang,0.3389,Deaths from blood alcohol,backtranslation_arb_arab,0.3389,Deaths from blood alcohol,backtranslation_pes_arab,0.3389,Deaths from blood alcohol,backtranslation_fra_latn,0.3389,death from alcohol in the blood,backtranslation_rus_cyrl,0.3389,death from alcohol in the blood,backtranslation_zsm_latn,0.3389,death from blood alcohol,backtranslation_swh_latn,0.3389,blood deaths from alcohol,backtranslation_yue_hant,0.2799,Blood alcohol is dead,,,
359,mutual fund predictors,0.02,4,backtranslation_rus_cyrl,0.0261,forecast indicators of mutual funds,backtranslation_yue_hant,0.0207,Mutual fund forecasts,backtranslation_kor_hang,0.0207,Mutual fund forecasts,backtranslation_fra_latn,0.0207,forecasters of mutual funds,,,,,,,,,,,,,,,,,,
360,drug legalization benefits,0.1698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling,0.0899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters,0.0205,4,backtranslation_tam_taml,0.0708,Traffic subway disasters,backtranslation_kor_hang,0.064,Traffic tunnel crash,backtranslation_rus_cyrl,0.047,accidents in transport tunnels,backtranslation_arb_arab,0.0458,The disasters of the tunnels,,,,,,,,,,,,,,,,,,
364,rabies,0.5537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino,0.6218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses,0.4254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy,0.0624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization,0.3683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia,0.2633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food/drug laws,0.006,1,backtranslation_pes_arab,0.0258,Food and Drug regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic,0.0017,7,backtranslation_pes_arab,0.0593,Health insurance coverage,backtranslation_swh_latn,0.0047,general health insurance,backtranslation_yue_hant,0.0028,Health insurance as a whole,backtranslation_kor_hang,0.0028,The whole health insurance,backtranslation_arb_arab,0.0019,Health insurance,backtranslation_deu_latn,0.0019,State health insurance,backtranslation_rus_cyrl,0.0019,health insurance,,,,,,,,,
372,Native American casino,0.1169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export,0.1072,3,backtranslation_rus_cyrl,0.1535,Export of encryption,backtranslation_yue_hant,0.1219,Exporting the encrypted device,backtranslation_deu_latn,0.1219,Exports of encryption devices,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners,0.2745,1,backtranslation_fra_latn,0.5047,Nobel Prize for his work,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hydrogen energy,0.2136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court,0.0226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking,0.3225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition,0.0079,1,backtranslation_arb_arab,0.019,Opposition to the European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming,0.0285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment,0.1958,2,backtranslation_tam_taml,0.3712,Obesity is a medical condition,backtranslation_yue_hant,0.3338,Obesity treatment,,,,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine,0.0558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles,0.5459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs,0.0245,1,backtranslation_yue_hant,0.0435,Psychiatric drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon,0.2062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars,0.3361,3,backtranslation_rus_cyrl,0.3818,hybrid fuel vehicles,backtranslation_tam_taml,0.3818,Hybrid fuel vehicles,backtranslation_swh_latn,0.3818,hybrid fuel vehicles,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children,0.032,2,backtranslation_pes_arab,0.0572,Education of handicapped children,backtranslation_yue_hant,0.0388,Learning disabled children,,,,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste,0.1303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement,0.0263,9,backtranslation_yue_hant,0.0621,Organic soil is growing,backtranslation_tam_taml,0.0566,Organic Soil Development,backtranslation_pes_arab,0.0499,Increased organic soil,backtranslation_zsm_latn,0.0499,organic soil increase,backtranslation_fra_latn,0.0421,organic improvement of soil,backtranslation_rus_cyrl,0.0421,organic improvement of soil,backtranslation_swh_latn,0.0374,strengthening organic soil,backtranslation_deu_latn,0.0305,organic soil extraction,backtranslation_arb_arab,0.0297,Organic soil reinforcement,,,
389,illegal technology transfer,0.021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R&D drug prices,0.2543,4,backtranslation_kor_hang,0.4371,Research and development drug prices,backtranslation_pes_arab,0.415,Costs of drug research and development,backtranslation_yue_hant,0.3389,The cost of drug development,backtranslation_tam_taml,0.3061,Pharmaceutical R   D prices,,,,,,,,,,,,,,,,,,
392,robotics,0.4736,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing,0.0551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling,0.0174,4,backtranslation_yue_hant,0.0455,Family education,backtranslation_kor_hang,0.0335,Home education,backtranslation_fra_latn,0.0335,home education,backtranslation_swh_latn,0.0335,home education,,,,,,,,,,,,,,,,,,
395,tourism,0.1345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome,0.152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls,0.0179,1,backtranslation_tam_taml,0.1165,Vehicle recall,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe's arsenal,0.0189,3,backtranslation_kor_hang,0.0313,The dismantling of Europe s defenseless forces,backtranslation_yue_hant,0.024,To destroy the European arsenal,backtranslation_tam_taml,0.024,The European arsenal was destroyed,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels,0.1489,3,backtranslation_pes_arab,0.172,Oceanographic ships,backtranslation_rus_cyrl,0.172,oceanographic ships,backtranslation_zsm_latn,0.172,oceanographic ships,,,,,,,,,,,,,,,,,,,,,
400,Amazon rain forest,0.3971,10,backtranslation_yue_hant,0.4111,The Amazon rainforest,backtranslation_kor_hang,0.4111,The Amazon rainforest,backtranslation_arb_arab,0.4111,The Amazon rainforest,backtranslation_pes_arab,0.4111,The Amazon rainforest,backtranslation_fra_latn,0.4111,The Amazon Rainforest,backtranslation_deu_latn,0.4111,The Amazon rainforest,backtranslation_rus_cyrl,0.4111,The Amazon rainforest,backtranslation_zsm_latn,0.4111,The Amazon rainforest,backtranslation_tam_taml,0.4111,The Amazon Rainforest,backtranslation_swh_latn,0.4111,The Amazon rainforest
401,"foreign minorities, Germany",0.0311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics,0.1344,1,backtranslation_tam_taml,0.1567,The study of behavior genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis,0.4423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Ireland, peace talks",0.169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,cosmic events,0.0616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson's disease,0.3929,9,backtranslation_yue_hant,0.4123,Parkinson s disease is a disease,backtranslation_kor_hang,0.4123,Parkinson s disease is not a disease,backtranslation_arb_arab,0.4123,Parkinson s disease is not a disease,backtranslation_pes_arab,0.4123,Parkinson s disease is not a disease,backtranslation_fra_latn,0.4042,Parkinson s disease is,backtranslation_rus_cyrl,0.4042,Parkinson s disease is,backtranslation_zsm_latn,0.4042,Parkinson s disease is,backtranslation_tam_taml,0.4042,Parkinson s disease,backtranslation_swh_latn,0.4042,Parkinson s disease,,,
407,"poaching, wildlife preserves",0.2801,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms,0.0929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"legal, Pan Am, 103",0.1422,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement,0.8547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"salvaging, shipwreck, treasure",0.2342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,airport security,0.332,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,steel production,0.0807,2,backtranslation_rus_cyrl,0.1119,Steel manufacturing,backtranslation_zsm_latn,0.1119,Manufacture of steel,,,,,,,,,,,,,,,,,,,,,,,,
414,"Cuba, sugar, exports",0.2562,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"drugs, Golden Triangle",0.2426,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Three Gorges Project,0.3534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,creativity,0.3074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"quilts, income",0.4239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"recycle, automobile tires",0.0477,9,backtranslation_fra_latn,0.3173,recycling tyres  automotive tyres,backtranslation_deu_latn,0.283,Recycling  vehicle tyres,backtranslation_kor_hang,0.0853,Recycling  car tires,backtranslation_arb_arab,0.0853,Recycling  car tires,backtranslation_pes_arab,0.0853,Recycling  car tires,backtranslation_zsm_latn,0.0853,Recycling  car tires,backtranslation_swh_latn,0.0853,Recycling  car tires,backtranslation_yue_hant,0.0531,Recycling machines  car tires,backtranslation_rus_cyrl,0.0522,recycling  automotive tires,,,
420,carbon monoxide poisoning,0.4522,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,industrial waste disposal,0.0484,2,backtranslation_zsm_latn,0.128,Industrial waste,backtranslation_yue_hant,0.0804,Industrial waste management,,,,,,,,,,,,,,,,,,,,,,,,
422,"art, stolen, forged",0.3042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,"Milosevic, Mirjana Markovic",0.6341,1,backtranslation_arb_arab,0.6705,Milosevic  Mirjana Markovic  you know what,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,suicides,0.1341,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,counterfeiting money,0.4559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"law enforcement, dogs",0.0475,2,backtranslation_fra_latn,0.3362,The police  the dogs,backtranslation_swh_latn,0.3362,police  dogs,,,,,,,,,,,,,,,,,,,,,,,,
427,"UV damage, eyes",0.1522,1,backtranslation_rus_cyrl,0.2203,Damage to ultraviolet light  eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,declining birth rates,0.2436,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Legionnaires' disease,0.4669,4,backtranslation_pes_arab,0.4937,Legionnaire s disease,backtranslation_zsm_latn,0.4937,Legionnaire s disease,backtranslation_tam_taml,0.4937,Legionnaire s disease,backtranslation_kor_hang,0.4932,Legionnaire s disease is a disease,,,,,,,,,,,,,,,,,,
430,killer bee attacks,0.6502,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,robotic technology,0.5346,1,backtranslation_tam_taml,0.5487,Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"profiling, motorists, police",0.002,2,backtranslation_swh_latn,0.0036,Vehicles  police profile,backtranslation_yue_hant,0.0021,The driver  the police,,,,,,,,,,,,,,,,,,,,,,,,
433,"Greek, philosophy, stoicism",0.0483,1,backtranslation_rus_cyrl,0.0752,Greece  philosophy  stoicism,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,"Estonia, economy",0.4266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,curbing population growth,0.0477,8,backtranslation_tam_taml,0.2094,Controlling population growth,backtranslation_rus_cyrl,0.1961,population growth,backtranslation_pes_arab,0.1131,Decreasing population growth,backtranslation_swh_latn,0.085,preventing population growth,backtranslation_kor_hang,0.0817,The population growth is contained,backtranslation_arb_arab,0.0731,Reducing population growth,backtranslation_zsm_latn,0.0704,impeding population growth,backtranslation_fra_latn,0.0479,limiting population growth,,,,,,
436,railway accidents,0.0614,7,backtranslation_kor_hang,0.2126,The train crash,backtranslation_zsm_latn,0.2126,train crash,backtranslation_tam_taml,0.1964,Train accidents,backtranslation_yue_hant,0.1398,A railroad accident,backtranslation_arb_arab,0.1398,Railroad accidents,backtranslation_pes_arab,0.1398,Railroad accidents,backtranslation_rus_cyrl,0.1398,railroad accidents,,,,,,,,,
437,"deregulation, gas, electric",0.0288,2,backtranslation_rus_cyrl,0.0455,De regulation  gas  electricity,backtranslation_tam_taml,0.042,The government has also been able to regulate the supply of gas and electricity,,,,,,,,,,,,,,,,,,,,,,,,
438,"tourism, increase",0.255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,"inventions, scientific discoveries",0.0181,1,backtranslation_fra_latn,0.0214,Inventors  scientific discoveries,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,child labor,0.1313,8,backtranslation_yue_hant,0.1451,Child labour,backtranslation_kor_hang,0.1451,Child labour,backtranslation_fra_latn,0.1451,child labour,backtranslation_deu_latn,0.1451,Child labour,backtranslation_rus_cyrl,0.1451,child labour,backtranslation_zsm_latn,0.1451,Child labour,backtranslation_tam_taml,0.1451,Child labour,backtranslation_swh_latn,0.1451,child labour,,,,,,
441,Lyme disease,0.4564,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,heroic acts,0.0126,2,backtranslation_deu_latn,0.0386,Heroic Deeds,backtranslation_rus_cyrl,0.0166,heroic actions,,,,,,,,,,,,,,,,,,,,,,,,
443,"U.S., investment, Africa",0.1325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,supercritical fluids,0.3675,1,backtranslation_yue_hant,0.405,It s a supercritical liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,women clergy,0.1862,1,backtranslation_fra_latn,0.3486,women priests,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"tourists, violence",0.1953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Stirling engine,0.076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ship losses,0.0209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness,0.0657,4,backtranslation_kor_hang,0.0922,Antibiotic effects,backtranslation_deu_latn,0.0922,Effectiveness of antibiotics,backtranslation_zsm_latn,0.0922,Antibiotics are not effective,backtranslation_pes_arab,0.0879,The lack of antibiotics,,,,,,,,,,,,,,,,,,
450,"King Hussein, peace",0.3105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Turkey Iraq water,0.5318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,"Czech, Slovak sovereignty",0.3082,2,backtranslation_pes_arab,0.3368,The Czech  the Slovak,backtranslation_zsm_latn,0.3368,The Czech  Slovak,,,,,,,,,,,,,,,,,,,,,,,,
603,Tobacco cigarette lawsuit,0.2648,5,backtranslation_kor_hang,0.4393,The tobacco lawsuit,backtranslation_fra_latn,0.3541,The case against tobacco,backtranslation_zsm_latn,0.2954,Trial of Tobacco,backtranslation_pes_arab,0.2902,The smoking suit,backtranslation_swh_latn,0.2882,The case of tobacco,,,,,,,,,,,,,,,
604,Lyme disease arthritis,0.7396,4,backtranslation_swh_latn,0.8409,Joint pain from Lyme disease,backtranslation_tam_taml,0.8271,Lyme disease is a joint disease,backtranslation_fra_latn,0.7409,Arthritis from Lyme disease,backtranslation_zsm_latn,0.7409,Arthritis from Lyme disease,,,,,,,,,,,,,,,,,,
605,Great Britain health care,0.0833,1,backtranslation_zsm_latn,0.1049,British health services,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,leg traps ban,0.3297,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,human genetic code,0.1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,taxing social security,0.0683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,per capita alcohol consumption,0.3252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,minimum wage adverse impact,0.0332,8,backtranslation_kor_hang,0.1071,The negative impact on the minimum wage,backtranslation_arb_arab,0.1071,The negative impact on the minimum wage,backtranslation_pes_arab,0.1071,The negative impact on the minimum wage,backtranslation_fra_latn,0.1071,the negative impact of the minimum wage,backtranslation_deu_latn,0.1071,Negative impact on the minimum wage,backtranslation_rus_cyrl,0.1071,negative impact of minimum wage,backtranslation_tam_taml,0.1071,The negative impact of the minimum wage,backtranslation_yue_hant,0.076,The minimum wage is negative,,,,,,
611,Kurds Germany violence,0.2084,1,backtranslation_rus_cyrl,0.2626,Germany s Kurds are violent,,,,,,,,,,,,,,,,,,,,,,,,,,,
