qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
387,radioactive waste,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement,0.0769,9,backtranslation_yue_hant,1.0,Organic soil is growing,backtranslation_tam_taml,1.0,Organic Soil Development,backtranslation_pes_arab,0.5,Increased organic soil,backtranslation_deu_latn,0.5,organic soil extraction,backtranslation_zsm_latn,0.5,organic soil increase,backtranslation_fra_latn,0.25,organic improvement of soil,backtranslation_rus_cyrl,0.25,organic improvement of soil,backtranslation_swh_latn,0.25,strengthening organic soil,backtranslation_arb_arab,0.1667,Organic soil reinforcement
389,illegal technology transfer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R&D drug prices,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,robotics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling,0.2,1,backtranslation_yue_hant,0.5,Family education,,,,,,,,,,,,,,,,,,,,,,,,
395,tourism,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls,0.1429,1,backtranslation_tam_taml,0.5,Vehicle recall,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe's arsenal,0.3333,2,backtranslation_yue_hant,1.0,To destroy the European arsenal,backtranslation_tam_taml,1.0,The European arsenal was destroyed,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels,0.5,3,backtranslation_pes_arab,1.0,Oceanographic ships,backtranslation_rus_cyrl,1.0,oceanographic ships,backtranslation_zsm_latn,1.0,oceanographic ships,,,,,,,,,,,,,,,,,,
400,Amazon rain forest,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,"foreign minorities, Germany",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Ireland, peace talks",0.2,6,backtranslation_yue_hant,0.3333,Ireland  peace negotiations,backtranslation_kor_hang,0.3333,Ireland  peace negotiations,backtranslation_pes_arab,0.3333,Ireland  peace negotiations,backtranslation_fra_latn,0.3333,Ireland  peace negotiations,backtranslation_rus_cyrl,0.3333,Ireland  peace negotiations,backtranslation_zsm_latn,0.3333,Ireland  peace negotiations,,,,,,,,,
405,cosmic events,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson's disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,"poaching, wildlife preserves",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"legal, Pan Am, 103",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"salvaging, shipwreck, treasure",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,airport security,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,steel production,0.1667,4,backtranslation_rus_cyrl,1.0,Steel manufacturing,backtranslation_zsm_latn,1.0,Manufacture of steel,backtranslation_kor_hang,0.25,Production of iron and steel,backtranslation_swh_latn,0.25,iron production,,,,,,,,,,,,,,,
414,"Cuba, sugar, exports",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"drugs, Golden Triangle",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Three Gorges Project,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,creativity,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"quilts, income",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"recycle, automobile tires",0.3333,8,backtranslation_kor_hang,1.0,Recycling  car tires,backtranslation_arb_arab,1.0,Recycling  car tires,backtranslation_pes_arab,1.0,Recycling  car tires,backtranslation_fra_latn,1.0,recycling tyres  automotive tyres,backtranslation_deu_latn,1.0,Recycling  vehicle tyres,backtranslation_zsm_latn,1.0,Recycling  car tires,backtranslation_swh_latn,1.0,Recycling  car tires,backtranslation_rus_cyrl,0.5,recycling  automotive tires,,,
420,carbon monoxide poisoning,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,industrial waste disposal,0.0435,2,backtranslation_yue_hant,0.5,Industrial waste management,backtranslation_zsm_latn,0.5,Industrial waste,,,,,,,,,,,,,,,,,,,,,
422,"art, stolen, forged",0.5,2,backtranslation_arb_arab,1.0,Art  theft  faking,backtranslation_swh_latn,1.0,art  theft  faking,,,,,,,,,,,,,,,,,,,,,
423,"Milosevic, Mirjana Markovic",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,suicides,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,counterfeiting money,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"law enforcement, dogs",0.25,4,backtranslation_fra_latn,1.0,The police  the dogs,backtranslation_deu_latn,1.0,Law enforcement agencies  dogs,backtranslation_rus_cyrl,1.0,law enforcement agencies  dogs,backtranslation_swh_latn,1.0,police  dogs,,,,,,,,,,,,,,,
427,"UV damage, eyes",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,declining birth rates,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Legionnaires' disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,killer bee attacks,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,robotic technology,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"profiling, motorists, police",0.0192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,"Greek, philosophy, stoicism",0.3333,1,backtranslation_rus_cyrl,0.5,Greece  philosophy  stoicism,,,,,,,,,,,,,,,,,,,,,,,,
434,"Estonia, economy",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,curbing population growth,0.25,5,backtranslation_pes_arab,1.0,Decreasing population growth,backtranslation_rus_cyrl,1.0,population growth,backtranslation_tam_taml,1.0,Controlling population growth,backtranslation_swh_latn,1.0,preventing population growth,backtranslation_kor_hang,0.5,The population growth is contained,,,,,,,,,,,,
436,railway accidents,0.5,7,backtranslation_yue_hant,1.0,A railroad accident,backtranslation_kor_hang,1.0,The train crash,backtranslation_arb_arab,1.0,Railroad accidents,backtranslation_pes_arab,1.0,Railroad accidents,backtranslation_rus_cyrl,1.0,railroad accidents,backtranslation_zsm_latn,1.0,train crash,backtranslation_tam_taml,1.0,Train accidents,,,,,,
437,"deregulation, gas, electric",0.0909,2,backtranslation_arb_arab,0.5,The organization  the gas  the electricity,backtranslation_rus_cyrl,0.5,De regulation  gas  electricity,,,,,,,,,,,,,,,,,,,,,
438,"tourism, increase",0.25,4,backtranslation_kor_hang,1.0,Tourism  growth,backtranslation_deu_latn,1.0,Tourism  growth,backtranslation_rus_cyrl,1.0,Tourism  growth,backtranslation_swh_latn,1.0,Tourism  growth,,,,,,,,,,,,,,,
439,"inventions, scientific discoveries",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,child labor,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Lyme disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,heroic acts,0.0769,5,backtranslation_deu_latn,0.5,Heroic Deeds,backtranslation_arb_arab,0.2,The heroic business,backtranslation_rus_cyrl,0.2,heroic actions,backtranslation_tam_taml,0.1429,courageous acts,backtranslation_swh_latn,0.1429,courageous acts,,,,,,,,,,,,
443,"U.S., investment, Africa",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,supercritical fluids,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,women clergy,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,"tourists, violence",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Stirling engine,0.3333,3,backtranslation_zsm_latn,1.0,The Stirling machine,backtranslation_tam_taml,1.0,Stirling machine,backtranslation_swh_latn,1.0,The Stirling Machine,,,,,,,,,,,,,,,,,,
448,ship losses,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness,0.25,4,backtranslation_kor_hang,0.5,Antibiotic effects,backtranslation_pes_arab,0.5,The lack of antibiotics,backtranslation_deu_latn,0.5,Effectiveness of antibiotics,backtranslation_zsm_latn,0.5,Antibiotics are not effective,,,,,,,,,,,,,,,
450,"King Hussein, peace",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Turkey Iraq water,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,"Czech, Slovak sovereignty",0.5,1,backtranslation_tam_taml,1.0,The Czech and Slovak Autonomy,,,,,,,,,,,,,,,,,,,,,,,,
603,Tobacco cigarette lawsuit,0.3333,7,backtranslation_kor_hang,1.0,The tobacco lawsuit,backtranslation_pes_arab,1.0,The smoking suit,backtranslation_fra_latn,1.0,The case against tobacco,backtranslation_rus_cyrl,1.0,The trial of tobacco cigarettes,backtranslation_zsm_latn,1.0,Trial of Tobacco,backtranslation_tam_taml,1.0,tobacco cigarette case,backtranslation_swh_latn,1.0,The case of tobacco,,,,,,
604,Lyme disease arthritis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Great Britain health care,0.0833,4,backtranslation_arb_arab,1.0,Healthcare in Great Britain,backtranslation_fra_latn,0.5,Health in Britain,backtranslation_tam_taml,0.5,UK Health Service,backtranslation_zsm_latn,0.3333,British health services,,,,,,,,,,,,,,,
606,leg traps ban,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,human genetic code,0.5,1,backtranslation_rus_cyrl,1.0,The genetic code of a person,,,,,,,,,,,,,,,,,,,,,,,,
608,taxing social security,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,per capita alcohol consumption,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,minimum wage adverse impact,0.0385,9,backtranslation_kor_hang,0.5,The negative impact on the minimum wage,backtranslation_arb_arab,0.5,The negative impact on the minimum wage,backtranslation_pes_arab,0.5,The negative impact on the minimum wage,backtranslation_fra_latn,0.5,the negative impact of the minimum wage,backtranslation_deu_latn,0.5,Negative impact on the minimum wage,backtranslation_rus_cyrl,0.5,negative impact of minimum wage,backtranslation_tam_taml,0.5,The negative impact of the minimum wage,backtranslation_yue_hant,0.2,The minimum wage is negative,backtranslation_zsm_latn,0.0435,negative effects on the minimum wage
611,Kurds Germany violence,0.3333,5,backtranslation_kor_hang,1.0,Kurdish Germany violence,backtranslation_fra_latn,1.0,Kurdish Germany violence,backtranslation_deu_latn,1.0,Kurdish Germany Violence,backtranslation_rus_cyrl,1.0,Germany s Kurds are violent,backtranslation_tam_taml,1.0,Kurdish Germany Violence,,,,,,,,,,,,
612,Tibet protesters,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Berlin wall disposal,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Flavr Savr tomato,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,timber exports Asia,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Volkswagen Mexico,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Russia Cuba economy,0.5,3,backtranslation_kor_hang,1.0,The Russian economy of Cuba,backtranslation_fra_latn,1.0,Russia Cuban economy,backtranslation_zsm_latn,1.0,The Russian economy Cuba,,,,,,,,,,,,,,,,,,
618,Ayatollah Khomeini death,0.1111,3,backtranslation_arb_arab,0.2,The death of the goddess Khomeini,backtranslation_yue_hant,0.1667,Ayatollah Khomeini is dead,backtranslation_zsm_latn,0.1667,Ayatollah Khomeini is dead,,,,,,,,,,,,,,,,,,
619,Winnie Mandela scandal,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,France nuclear testing,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,women ordained Church of England,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,price fixing,0.25,1,backtranslation_kor_hang,0.5,Price decision,,,,,,,,,,,,,,,,,,,,,,,,
623,toxic chemical weapon,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,SDI Star Wars,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,arrests bombing WTC,0.25,5,backtranslation_deu_latn,1.0,Arrested in the bombing of the World Trade Center,backtranslation_fra_latn,0.5,Stop the bombing of the WTC,backtranslation_zsm_latn,0.5,The WTC bombing,backtranslation_rus_cyrl,0.3333,The arrest of the WTC explosion,backtranslation_tam_taml,0.3333,Arrested for carrying out bombing of the WTC,,,,,,,,,,,,
626,human stampede,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Russian food crisis,0.0417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,U.S. invasion of Panama,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,abortion clinic attack,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Gulf War Syndrome,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Mandela South Africa President,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,southeast Asia tin mining,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Welsh devolution,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,L-tryptophan deaths,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,doctor assisted suicides,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,jury duty exemptions,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,human growth hormone (HGH),1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,wrongful convictions,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,consumer on-line shopping,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,maternity leave policies,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Valdez wildlife marine life,0.3333,5,backtranslation_rus_cyrl,1.0,The wild nature of Valdez,backtranslation_swh_latn,1.0,The marine mammals of Valdez,backtranslation_fra_latn,0.5,Wildlife in Valdez,backtranslation_deu_latn,0.5,Wildlife of Valdez,backtranslation_zsm_latn,0.5,The wildlife of Valdez,,,,,,,,,,,,
642,Tiananmen Square protesters,0.5,1,backtranslation_yue_hant,1.0,Demonstrators at the Tiananmen Square,,,,,,,,,,,,,,,,,,,,,,,,
643,salmon dams Pacific northwest,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,exotic animals import,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,software piracy,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,food stamps increase,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,windmill electricity,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,family leave law,0.5,3,backtranslation_kor_hang,1.0,Family leave,backtranslation_fra_latn,1.0,right to family leave,backtranslation_deu_latn,1.0,Family leave,,,,,,,,,,,,,,,,,,
649,computer viruses,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,tax evasion indicted,0.125,6,backtranslation_kor_hang,0.5,Charged with tax evasion,backtranslation_arb_arab,0.5,Charges of tax evasion,backtranslation_fra_latn,0.5,charge of tax evasion,backtranslation_deu_latn,0.5,Charged with tax evasion,backtranslation_swh_latn,0.5,tax evasion charges,backtranslation_zsm_latn,0.1429,tax evasion,,,,,,,,,
