qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
316,Polygamy Polyandry Polygyny,0.579,316,Polygamy is polygamy,0.6569,316,I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married  and I m married,0.0002,316,The marriage of the spouse to the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse of the spouse,0.0002,316,A few wives  a few wives,0.0013,316,Polygamy and polygamy,0.6569,316,Polygamy and polygamy,0.6569,316,Polygamy of Polyandria Polygania,0.6569,316,Polygamy Polygamy,0.6569,316,The number of times a person is called a multiple,0.0,316,Parenting,0.0
317,Unsolicited Faxes,0.5054,317,Unsolicited fax,0.5054,317,Unsolicited Parks,0.1701,317,The unwanted fax,0.1484,317,Faxes unsolicited,0.5054,317,Faxes not requested,0.0338,317,Faxes not requested,0.0338,317,Unwanted Faxes,0.1484,317,Fax not requested,0.0338,317,Unnecessary Faxes,0.0116,317,Faxes not requested,0.0338
318,Best Retirement Country,0.0075,318,The best retired countries,0.0075,318,The best retirement country,0.0075,318,The best retirement state,0.0023,318,The best country is retired,0.0075,318,The best country for retirement,0.0075,318,Best retirement country,0.0075,318,The best country to retire,0.0075,318,The Best Retirement Countries,0.0075,318,The country with the best pension,0.0026,318,A Better Country to Leave,0.0033
319,New Fuel Sources,0.1185,319,The new fuel source,0.1185,319,A new fuel source,0.1185,319,New fuel sources,0.1185,319,New fuel sources,0.1185,319,New sources of fuel,0.1185,319,New fuels,0.1198,319,New sources of fuel,0.1185,319,Renewable Fuel,0.091,319,New sources of fuel,0.1185,319,A New Source of Oil,0.0049
320,Undersea Fiber Optic Cable,0.0509,320,Subsea fiber,0.0022,320,Undersea fiber optic cable,0.0509,320,Sea fiber cable underwater,0.0607,320,Subsea fiber optic cables,0.0217,320,Submarine fibre optic cable,0.0895,320,Subsea optical cables,0.0373,320,Subsea optical cable made of fibres,0.0341,320,Underwater fiber optic cables,0.042,320,Sea glass fiber cable,0.0242,320,Before the eyelids of the seabed,0.0
321,Women in Parliaments,0.2545,321,Women in the Parliament,0.2545,321,Women in Congress,0.059,321,Women in parliaments,0.2545,321,Women in Parliament,0.2545,321,Women in Parliament,0.2545,321,Women in parliaments,0.2545,321,Women in parliaments,0.2545,321,Women in Parliament,0.2545,321,Women in parliaments,0.2545,321,Women in Parliament,0.2545
322,International Art Crime,0.0009,322,International art crime,0.0009,322,International art crime,0.0009,322,International art crime,0.0009,322,International crime of art,0.0009,322,International crime against art,0.0004,322,International art crime,0.0009,322,International crime in the field of art,0.0006,322,International art crime,0.0009,322,International art crime,0.0009,322,Modern Art Crime,0.0002
323,Literary/Journalistic Plagiarism,0.2525,323,Literary and news copying,0.0104,323,Literary and historical parallels,0.003,323,Literary and journalistic manipulation,0.0009,323,A literary journalistic plug,0.0009,323,Literary and journalistic plagiarism,0.2525,323,Literary and journalistic plagiarism,0.2525,323,The literary journalistic plagiarism,0.2525,323,Literary plagiarism,0.3235,323,Literary fictional literature,0.0004,323,Literary journalistic fraud,0.0031
324,Argentine/British Relations,0.4124,324,Argentina and the United Kingdom,0.1298,324,Relations between Argentina and the United Kingdom,0.0937,324,Argentine British relations,0.4124,324,Relations between Argentina and Britain,0.343,324,Relations between Argentina and the United Kingdom,0.0937,324,Argentina and the United Kingdom,0.1298,324,Argentine British relations,0.4124,324,Argentina England relations,0.1025,324,The United States and Argentina have a long history of cooperation,0.0227,324,Argentina s relationship with Britain,0.2645
325,Cult Lifestyles,0.0718,325,The cult s way of life,0.0471,325,Religious way of life,0.0011,325,The cult s way of life,0.0471,325,Religious lifestyle,0.0,325,Worship,0.0,325,The cult lifestyle,0.0718,325,Sect lifestyle,0.0034,325,Sect Lifestyle,0.0034,325,What is the meaning of this article,0.0,325,A Life of Worship,0.0
326,Ferry Sinkings,0.6287,326,The ferry sank,0.4339,326,Ferry pounding,0.0681,326,Sink in the ferry,0.6287,326,The ship sank,0.0641,326,Ferry Sinkings,0.6287,326,The Commission shall adopt implementing acts,0.0,326,The boat sinks,0.016,326,Ferry stop,0.0942,326,The boat is sinking,0.016,326,Boats to land,0.0001
327,Modern Slavery,0.0795,327,Modern slavery,0.0795,327,Modern slaves,0.004,327,Modern slavery,0.0795,327,Modern slavery,0.0795,327,Modern Slavery,0.0795,327,Modern Slavery,0.0795,327,Modern slavery,0.0795,327,Modern slavery,0.0795,327,Modern slavery,0.0795,327,Modern Slavery,0.0795
328,Pope Beatifications,0.6635,328,The Pope declared him a saint,0.1716,328,Blessings from the Pope,0.0268,328,The Pope s reforms,0.0128,328,Congratulations  Pop,0.0,328,Blessings from the Pope,0.0268,328,Beatification by the Pope,0.6635,328,The Blessing of the Father,0.0008,328,The Preaching of God by the Pope,0.0073,328,The Pope Blessed,0.026,328,The Will of the Pope,0.0272
329,Mexican Air Pollution,0.1167,329,Air pollution in Mexico,0.206,329,Air Pollution in Mexico,0.206,329,Mexican air pollution,0.1167,329,Air pollution in Mexico,0.206,329,Air pollution in Mexico,0.206,329,Air pollution in Mexico,0.206,329,Air pollution in Mexico,0.206,329,Air Pollution in Mexico,0.206,329,Mexican air pollution,0.1167,329,Air Pollution in Mexico,0.206
330,Iran-Iraq Cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Cooperation between Iran and Iraq,0.0843,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq cooperation,0.1013,330,Iran Iraq Cooperation,0.1013
331,World Bank Criticism,0.2178,331,The World Bank is critical,0.2178,331,Criticism of the World Bank,0.2178,331,Criticism of the World Bank,0.2178,331,Criticism of the World Bank,0.2178,331,The criticism of the World Bank,0.2178,331,Criticism of the World Bank,0.2178,331,The World Bank s criticism,0.0529,331,Criticism of the World Bank,0.2178,331,World Bank Review,0.1558,331,The World Bank s Analysis,0.0095
332,Income Tax Evasion,0.0749,332,Tax avoidance,0.0017,332,Avoiding Income Tax,0.0019,332,Tax evasion,0.0917,332,Tax evasion,0.0917,332,Tax evasion,0.0917,332,Income tax protection,0.0005,332,Withdrawal from income tax,0.0003,332,Income Tax Rewards,0.0002,332,Income tax evasion,0.0749,332,Avoiding Income Taxes,0.0019
333,Antibiotics Bacteria Disease,0.2845,333,Antibiotics  bacterial diseases  and other diseases,0.2078,333,Antibiotic bacteria disease,0.2845,333,Antibiotics are bacterial diseases,0.2319,333,Antibiotics are a bacterial disease,0.2319,333,Antibiotics for bacteria,0.3029,333,Antibiotics and bacterial diseases,0.2319,333,Antibiotics and bacterial disease,0.2319,333,Antibiotics and Diseases,0.2665,333,Bacterial disease,0.0641,333,Antibiotics and Bacterial Diseases,0.2319
334,Export Controls Cryptography,0.0556,334,Export controls  passwords,0.1296,334,Export control code,0.0067,334,Export controls,0.0,334,Control of crypto exports,0.0,334,Control of exports,0.0,334,Cryptography for export controls,0.0556,334,Cryptocurrencies of export controls,0.0,334,Export control of cryptography,0.0556,334,Encryption of export controls,0.5245,334,The following is a list of the countries of the European Union,0.0
335,Adoptive Biological Parents,0.3336,335,The biological parents,0.1852,335,Adopted biological parents,0.3336,335,Adopted biological parents,0.3336,335,Adoptive parents,0.3053,335,Adoptive biological parents,0.3336,335,Adoptive biological parents,0.3336,335,Adopters,0.1625,335,Adoptive biological parents,0.3336,335,Adoptive parents,0.3053,335,Spiritual Parents,0.0026
336,Black Bear Attacks,0.0897,336,Black bear attacks,0.0897,336,Black bear attack,0.0897,336,Black bear attacks,0.0897,336,The attack of the black bear,0.0897,336,Attacks by Black Bears,0.0897,336,Black bear attacks,0.0897,336,Black bear attacks,0.0897,336,Black bear attacks,0.0897,336,Black bear attacks,0.0897,336,Attacks by Steel,0.0
337,Viral Hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Viral hepatitis,0.275,337,Hepatitis is a viral disease,0.249,337,Insect Infection,0.0033
338,Risk of Aspirin,0.4212,338,It s dangerous,0.0,338,The Dangers of Aspirin,0.1854,338,The dangers of aspirin,0.1854,338,The risks of aspirin use,0.5044,338,The Risks of Aspirin,0.4212,338,Risks of aspirin,0.4212,338,Risks of using aspirin,0.5044,338,The risks of aspirin,0.4212,338,The danger of asparagus,0.0,338,The Dangers of Aspirin,0.1854
339,Alzheimer's Drug Treatment,0.2208,339,The cure for Alzheimer s disease is drugs,0.1434,339,The treatment of Alzheimer s disease is medicated,0.0379,339,The cure for Alzheimer s,0.0638,339,Treatment for Alzheimer s,0.0861,339,Treatment of Alzheimer s,0.0861,339,Treatment of Alzheimer s with drugs,0.179,339,Treatment of Alzheimer s,0.0861,339,Treatment of Alzheimer s,0.0861,339,The medication for Alzheimer s disease is not a cure for Alzheimer s disease,0.0462,339,Drug Treatment,0.0076
340,Land Mine Ban,0.0754,340,Mining land is prohibited,0.0195,340,Mining is off limits,0.005,340,Mining land ban,0.0754,340,Mining ground ban,0.0514,340,Prohibition of mining,0.0146,340,Prohibition of landmines,0.1031,340,Prohibition of mining,0.0146,340,Prohibition of Mining Land,0.0195,340,Mining ban,0.0897,340,Preventing the Dams,0.0
341,Airport Security,0.2279,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport safety,0.0138,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport security,0.2279,341,Airport Safety,0.0138
342,Diplomatic Expulsion,0.143,342,Diplomatic expulsion,0.143,342,Diplomatic expulsion,0.143,342,The diplomatic overthrow,0.0,342,Diplomatic firing,0.0021,342,Diplomatic expulsion,0.143,342,The Council of Ministers,0.0,342,Diplomatic eviction,0.0002,342,Diplomatic expulsion,0.143,342,Diplomatic expulsion,0.143,342,International Exclusion,0.0
343,Police Deaths,0.0134,343,The police are dead,0.0121,343,Police dead,0.0121,343,Police deaths,0.0134,343,Death of the police,0.0134,343,The deaths of the police,0.0134,343,Police deaths,0.0134,343,The police are dead,0.0121,343,Death of a cop,0.0034,343,Police deaths,0.0134,343,The Death of a Police Officer,0.0249
344,Abuses of E-Mail,0.2864,344,The abuse of e mail,0.2864,344,Abuse of email,0.0,344,Email abuse,0.0,344,Misuse of email,0.0005,344,Abuse of e mail,0.2864,344,Misuse of e mail,0.166,344,The perversion of email,0.0,344,Breach of e mail,0.3197,344,The use of e mail is misused,0.209,344,Misuse of E mail,0.166
345,Overseas Tobacco Sales,0.1024,345,I sell cigarettes abroad,0.0976,345,Foreign sale of tobacco,0.0738,345,Tobacco sales outside,0.0978,345,Smoking sales abroad,0.0574,345,Tobacco sales abroad,0.09,345,Overseas tobacco sales,0.1024,345,The sale of tobacco abroad,0.09,345,Tobacco sales abroad,0.09,345,The sale of tobacco abroad,0.09,345,The Importance of Tobacco,0.0467
346,Educational Standards,0.0675,346,The standard of education,0.0675,346,Standard education,0.0675,346,Educational standards,0.0675,346,Educational standards,0.0675,346,Educational standards,0.0675,346,Education standards,0.0675,346,Education standards,0.0675,346,Education standards,0.0675,346,Educational standards,0.0675,346,Educational Standards,0.0675
347,Wildlife Extinction,0.1379,347,Wildlife is disappearing,0.1433,347,Extinction of the Wild,0.1169,347,Extinction of wildlife,0.1379,347,Extinction of the wild,0.1169,347,Extinction of the Wildlife,0.1379,347,Extinction of the wildlife,0.1379,347,Extinction of the wild,0.1169,347,Extinction of the wild,0.1169,347,The destruction of wild animals,0.063,347,The Extinction of Animals,0.0567
348,Agoraphobia,0.81,348,It s a phobia,0.0,348,Agoraphobia,0.81,348,Terrorism,0.0,348,Agora phobia,0.0,348,Agoraphobia,0.81,348,Agoraphobia,0.81,348,The Agoraphobia,0.81,348,Agoraphobia,0.81,348,Acrophobia,0.0,348,The disease of fear,0.0
349,Metabolism,0.1893,349,Thank you,0.0,349,The newcomer,0.0,349,Food representation,0.0002,349,I m a metabolic,0.119,349,The metabolism,0.1893,349,The metabolism,0.1893,349,The metabolism,0.1893,349,The metabolism,0.1893,349,The effect of metabolism,0.159,349,The warmth,0.0
350,Health and Computer Terminals,0.05,350,Health and the computer end,0.0223,350,Health and computer terminals,0.05,350,Health and computer products,0.0217,350,Health terminals and computers,0.05,350,Health and computer terminals,0.05,350,Health and computer terminals,0.05,350,Healthcare terminals and computers,0.0044,350,Health and Computer Terminals,0.05,350,Health and computer terminals,0.05,350,Healthcare Devices and Computers,0.0007
351,Falkland petroleum exploration,0.3956,351,The Falkland oil exploration,0.5764,351,The exploration of the land,0.0005,351,Exploring oil in the Falkland Islands,0.6284,351,The Falkland oil exploration,0.5764,351,Oil exploration in the Maldives,0.006,351,Oil exploration in the Falkland Islands,0.6284,351,Oil exploration in the Falkland Islands,0.6284,351,Confirmation of the Falkland oil,0.5415,351,The Falkland oil exploration,0.5764,351,The Falkland oil field,0.5393
352,British Chunnel impact,0.0489,352,The road crashes,0.0,352,The influence of British fortunes,0.0,352,The influence of the British Channel,0.0299,352,The impact of the British Channel,0.0689,352,The impact of the British Channel,0.0689,352,The influence of the British Channel,0.0299,352,The influence of the British Channel,0.0299,352,The effects of the British tunnel,0.2618,352,The impact of the British subway,0.0001,352,The Impact of the British Channel,0.0689
353,Antarctica exploration,0.2341,353,Exploring the Antarctic,0.3227,353,The Antarctic Reconnaissance,0.3814,353,Exploring the South Pole,0.0009,353,Exploration of the South Pole,0.0009,353,Exploration of the Antarctic,0.3227,353,The discovery of Antarctica,0.2307,353,Exploring the Antarctic,0.3227,353,Confirmation of the Antarctic,0.4198,353,The study of Antarctica,0.3065,353,The Antarctic,0.4109
354,journalist risks,0.0473,354,The risk of journalists,0.0473,354,The risk of journalism,0.0,354,The risks of journalists,0.0473,354,The risk of journalism,0.0,354,risks for journalists,0.0473,354,Risks for journalists,0.0473,354,The risks for journalists,0.0473,354,The risk of journalists,0.0473,354,The dangers of journalism,0.0006,354,The risks of writer,0.0005
355,ocean remote sensing,0.1292,355,Remote sensing of the ocean,0.1292,355,Remote sensing of the sea,0.0552,355,Remote sensing of the oceans,0.1292,355,A countdown from the ocean,0.0023,355,remote sensing from the ocean,0.1256,355,Remote sensing of seas,0.0552,355,distance observation of the ocean,0.1557,355,remote ocean detector,0.0937,355,The feeling of being far away from the sea,0.0,355,A distant knowledge of the sea,0.0
356,postmenopausal estrogen Britain,0.0062,356,The post menopausal estrogen in England,0.0501,356,After menopause  estrogen in England,0.0475,356,Oestrogen after the age of despair Britain,0.0784,356,Estrogen after the British monopoly,0.007,356,postmenopausal estrogen in the UK,0.0062,356,Postmenopausal estrogen in the UK,0.0062,356,postmenopausal estrogen of the UK,0.0062,356,postmenopausal estrogen in Britain,0.0062,356,Estrogen Britain after the end of menopause,0.047,356,Post menopausal estrogen in England,0.0501
357,territorial waters dispute,0.1578,357,The sea is a dispute,0.1579,357,Territorial disputes,0.0562,357,The territorial water dispute,0.1578,357,Regional water differences,0.0002,357,territorial waters dispute,0.1578,357,Dispute over territorial waters,0.1676,357,The territorial waters dispute,0.1578,357,territorial water disputes,0.1578,357,The problem of land based water,0.0001,357,District water discussion,0.0001
358,blood-alcohol fatalities,0.1925,358,Blood alcohol is dead,0.2168,358,Deaths from blood alcohol,0.2671,358,Deaths from blood alcohol,0.2671,358,Deaths from blood alcohol,0.2671,358,death from alcohol in the blood,0.2671,358,Blood alcohol deaths,0.275,358,death from alcohol in the blood,0.2671,358,death from blood alcohol,0.2671,358,The deaths were caused by blood alcohol,0.1692,358,blood deaths from alcohol,0.2671
359,mutual fund predictors,0.0166,359,Mutual fund forecasts,0.0413,359,Mutual fund forecasts,0.0413,359,The expectations for investment funds,0.014,359,The forecasters of investment funds,0.0164,359,forecasters of mutual funds,0.0413,359,The following table shows the main factors,0.0019,359,forecast indicators of mutual funds,0.0417,359,Predictions of joint funds,0.004,359,Mutual financial forecasters,0.0065,359,common money predictors,0.001
360,drug legalization benefits,0.2287,360,The benefits of legalizing drugs,0.2287,360,Benefits of Legalizing Drugs,0.2287,360,The legal benefits of drugs,0.2287,360,The Benefits of Legalizing Drugs,0.2287,360,Benefits of legalizing drugs,0.2287,360,Benefits of legalizing drugs,0.2287,360,The benefits of legalizing drugs,0.2287,360,benefits of drug legalization,0.2287,360,The benefits of legalizing drugs,0.2287,360,legal benefits of medicines,0.001
361,clothing sweatshops,0.4398,361,The clothing factory,0.0037,361,The clothes,0.003,361,Clothing factories,0.0037,361,Clothing stores,0.0015,361,clothing workshops,0.0016,361,Clothing stores,0.0015,361,The clothes,0.003,361,Clothing store,0.0015,361,Clothing factories,0.0037,361,clothing stores,0.0015
362,human smuggling,0.1076,362,Human trafficking,0.0035,362,Trafficking people,0.0068,362,Human trafficking,0.0035,362,Human trafficking,0.0035,362,Trafficking in persons,0.0129,362,Human trafficking,0.0035,362,smuggling of people,0.0646,362,human trafficking,0.0035,362,Human trafficking,0.0035,362,Human trafficking,0.0035
363,transportation tunnel disasters,0.0727,363,Traffic accidents,0.0,363,Traffic tunnel crash,0.0817,363,The disasters of the tunnels,0.0674,363,The disaster of the transportation tunnel,0.0727,363,disasters in transport tunnels,0.0727,363,Damage to transport channels,0.0008,363,accidents in transport tunnels,0.0444,363,transport tunnel disaster,0.0727,363,Traffic subway disasters,0.0422,363,disasters of pipeline transport,0.0004
364,rabies,0.5831,364,Rabies,0.5831,364,The Legion of Honor,0.0,364,The irony,0.0,364,Your anger,0.0,364,The rage,0.0,364,Rabies,0.5831,364,The rage,0.0,364,rabies,0.5831,364,Kelly,0.0,364,paralysis,0.0
365,El Nino,0.6171,365,El Niño is the one,0.0015,365,El Nino,0.6171,365,What,0.0,365,The Nino,0.3861,365,The neon,0.0,365,The El Nino,0.6171,365,El Nino,0.6171,365,The El Nino,0.6171,365,El Nino,0.6171,365,El Nino,0.6171
366,commercial cyanide uses,0.4483,366,Commercial use,0.0,366,Commercial use of cyanide,0.4483,366,Commercial uses of cyanide,0.4483,366,Commercial use of cyanide,0.4483,366,commercial use of cyanide,0.4483,366,commercial use of cyanide,0.4483,366,commercial use of cyanide,0.4483,366,commercial use of cyanide,0.4483,366,Commercial use of cyanide,0.4483,366,commercial use of cyanide,0.4483
367,piracy,0.0628,367,The act of piracy,0.0574,367,The act of piracy,0.0574,367,The pirate,0.0092,367,A pirate,0.0092,367,The Pirate,0.0092,367,The Commission,0.0,367,The Pirate,0.0092,367,The robbers,0.0001,367,Navy,0.002,367,Crime,0.0
368,in vitro fertilization,0.4256,368,Outdoor fertilization,0.0128,368,Fixed by bit,0.0,368,Fertilization in the class,0.02,368,Fertilization in the case of testing,0.1346,368,In vitro fertilization,0.4256,368,In vitro fertilization,0.4256,368,fertilization in vitro,0.4256,368,In vitro fertilization,0.4256,368,in vitro fertilization,0.4256,368,The reproduction of creatures,0.0057
369,anorexia nervosa bulimia,0.2704,369,I m not going to say that,0.0045,369,I have a nervous breakdown,0.0,369,Neural dysfunction of the polymerase chain reaction,0.0003,369,Nervous and untiring sleeplessness,0.0004,369,bulimia anorexia nervosa,0.2704,369,anorexia nervosa bulimia and other,0.2653,369,Anorexia and bulimia nervosa,0.2704,369,anorexia nervosa bulimia,0.2704,369,The following article will help you to understand the benefits of anorexia nervosa,0.1154,369,anorexia nervosa bulimia,0.2704
