qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
320,Undersea Fiber Optic Cable,0.125,320,Subsea fiber,0.0056,320,Undersea fiber optic cable,0.125,320,Sea fiber cable underwater,0.3333,320,Subsea fiber optic cables,0.0357,320,Submarine fibre optic cable,0.0714,320,Subsea optical cables,0.0556,320,Subsea optical cable made of fibres,0.125,320,Underwater fiber optic cables,0.1667,320,Sea glass fiber cable,0.1,320,Before the eyelids of the seabed,0.0
321,Women in Parliaments,1.0,321,Women in the Parliament,1.0,321,Women in Congress,1.0,321,Women in parliaments,1.0,321,Women in Parliament,1.0,321,Women in Parliament,1.0,321,Women in parliaments,1.0,321,Women in parliaments,1.0,321,Women in Parliament,1.0,321,Women in parliaments,1.0,321,Women in Parliament,1.0
322,International Art Crime,0.0073,322,International art crime,0.0073,322,International art crime,0.0073,322,International art crime,0.0073,322,International crime of art,0.0073,322,International crime against art,0.0056,322,International art crime,0.0073,322,International crime in the field of art,0.0058,322,International art crime,0.0073,322,International art crime,0.0073,322,Modern Art Crime,0.0016
323,Literary/Journalistic Plagiarism,1.0,323,Literary and news copying,0.5,323,Literary and historical parallels,0.0588,323,Literary and journalistic manipulation,0.0099,323,A literary journalistic plug,0.0106,323,Literary and journalistic plagiarism,1.0,323,Literary and journalistic plagiarism,1.0,323,The literary journalistic plagiarism,1.0,323,Literary plagiarism,1.0,323,Literary fictional literature,0.0061,323,Literary journalistic fraud,0.125
324,Argentine/British Relations,1.0,324,Argentina and the United Kingdom,1.0,324,Relations between Argentina and the United Kingdom,0.5,324,Argentine British relations,1.0,324,Relations between Argentina and Britain,1.0,324,Relations between Argentina and the United Kingdom,0.5,324,Argentina and the United Kingdom,1.0,324,Argentine British relations,1.0,324,Argentina England relations,0.5,324,The United States and Argentina have a long history of cooperation,0.0833,324,Argentina s relationship with Britain,1.0
325,Cult Lifestyles,0.0833,325,The cult s way of life,0.0345,325,Religious way of life,0.009,325,The cult s way of life,0.0345,325,Religious lifestyle,0.0,325,Worship,0.0,325,The cult lifestyle,0.0833,325,Sect lifestyle,0.0213,325,Sect Lifestyle,0.0213,325,What is the meaning of this article,0.0,325,A Life of Worship,0.0
326,Ferry Sinkings,1.0,326,The ferry sank,1.0,326,Ferry pounding,0.0625,326,Sink in the ferry,1.0,326,The ship sank,0.1667,326,Ferry Sinkings,1.0,326,The Commission shall adopt implementing acts,0.0,326,The boat sinks,0.025,326,Ferry stop,1.0,326,The boat is sinking,0.025,326,Boats to land,0.0048
327,Modern Slavery,0.0909,327,Modern slavery,0.0909,327,Modern slaves,0.0051,327,Modern slavery,0.0909,327,Modern slavery,0.0909,327,Modern Slavery,0.0909,327,Modern Slavery,0.0909,327,Modern slavery,0.0909,327,Modern slavery,0.0909,327,Modern slavery,0.0909,327,Modern Slavery,0.0909
328,Pope Beatifications,1.0,328,The Pope declared him a saint,1.0,328,Blessings from the Pope,0.0833,328,The Pope s reforms,0.0303,328,Congratulations  Pop,0.0,328,Blessings from the Pope,0.0833,328,Beatification by the Pope,1.0,328,The Blessing of the Father,0.0063,328,The Preaching of God by the Pope,0.0238,328,The Pope Blessed,0.0833,328,The Will of the Pope,0.1111
329,Mexican Air Pollution,1.0,329,Air pollution in Mexico,1.0,329,Air Pollution in Mexico,1.0,329,Mexican air pollution,1.0,329,Air pollution in Mexico,1.0,329,Air pollution in Mexico,1.0,329,Air pollution in Mexico,1.0,329,Air pollution in Mexico,1.0,329,Air Pollution in Mexico,1.0,329,Mexican air pollution,1.0,329,Air Pollution in Mexico,1.0
330,Iran-Iraq Cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Cooperation between Iran and Iraq,0.3333,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq cooperation,1.0,330,Iran Iraq Cooperation,1.0
331,World Bank Criticism,1.0,331,The World Bank is critical,1.0,331,Criticism of the World Bank,1.0,331,Criticism of the World Bank,1.0,331,Criticism of the World Bank,1.0,331,The criticism of the World Bank,1.0,331,Criticism of the World Bank,1.0,331,The World Bank s criticism,0.0909,331,Criticism of the World Bank,1.0,331,World Bank Review,1.0,331,The World Bank s Analysis,0.0667
332,Income Tax Evasion,0.0455,332,Tax avoidance,0.0185,332,Avoiding Income Tax,0.0909,332,Tax evasion,0.0625,332,Tax evasion,0.0625,332,Tax evasion,0.0625,332,Income tax protection,0.0114,332,Withdrawal from income tax,0.0073,332,Income Tax Rewards,0.0079,332,Income tax evasion,0.0455,332,Avoiding Income Taxes,0.0909
333,Antibiotics Bacteria Disease,1.0,333,Antibiotics  bacterial diseases  and other diseases,1.0,333,Antibiotic bacteria disease,1.0,333,Antibiotics are bacterial diseases,1.0,333,Antibiotics are a bacterial disease,1.0,333,Antibiotics for bacteria,1.0,333,Antibiotics and bacterial diseases,1.0,333,Antibiotics and bacterial disease,1.0,333,Antibiotics and Diseases,1.0,333,Bacterial disease,0.5,333,Antibiotics and Bacterial Diseases,1.0
334,Export Controls Cryptography,0.5,334,Export controls  passwords,0.5,334,Export control code,0.05,334,Export controls,0.0,334,Control of crypto exports,0.0,334,Control of exports,0.0,334,Cryptography for export controls,0.5,334,Cryptocurrencies of export controls,0.0,334,Export control of cryptography,0.5,334,Encryption of export controls,1.0,334,The following is a list of the countries of the European Union,0.0
335,Adoptive Biological Parents,1.0,335,The biological parents,0.5,335,Adopted biological parents,1.0,335,Adopted biological parents,1.0,335,Adoptive parents,1.0,335,Adoptive biological parents,1.0,335,Adoptive biological parents,1.0,335,Adopters,1.0,335,Adoptive biological parents,1.0,335,Adoptive parents,1.0,335,Spiritual Parents,0.0034
336,Black Bear Attacks,1.0,336,Black bear attacks,1.0,336,Black bear attack,1.0,336,Black bear attacks,1.0,336,The attack of the black bear,1.0,336,Attacks by Black Bears,1.0,336,Black bear attacks,1.0,336,Black bear attacks,1.0,336,Black bear attacks,1.0,336,Black bear attacks,1.0,336,Attacks by Steel,0.0
337,Viral Hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Viral hepatitis,1.0,337,Hepatitis is a viral disease,1.0,337,Insect Infection,0.0333
338,Risk of Aspirin,1.0,338,It s dangerous,0.0,338,The Dangers of Aspirin,0.3333,338,The dangers of aspirin,0.3333,338,The risks of aspirin use,1.0,338,The Risks of Aspirin,1.0,338,Risks of aspirin,1.0,338,Risks of using aspirin,1.0,338,The risks of aspirin,1.0,338,The danger of asparagus,0.0,338,The Dangers of Aspirin,0.3333
339,Alzheimer's Drug Treatment,0.5,339,The cure for Alzheimer s disease is drugs,0.3333,339,The treatment of Alzheimer s disease is medicated,0.0385,339,The cure for Alzheimer s,0.1429,339,Treatment for Alzheimer s,0.2,339,Treatment of Alzheimer s,0.2,339,Treatment of Alzheimer s with drugs,0.5,339,Treatment of Alzheimer s,0.2,339,Treatment of Alzheimer s,0.2,339,The medication for Alzheimer s disease is not a cure for Alzheimer s disease,0.0588,339,Drug Treatment,0.0323
340,Land Mine Ban,1.0,340,Mining land is prohibited,0.2,340,Mining is off limits,0.0068,340,Mining land ban,1.0,340,Mining ground ban,0.5,340,Prohibition of mining,0.25,340,Prohibition of landmines,1.0,340,Prohibition of mining,0.25,340,Prohibition of Mining Land,0.2,340,Mining ban,1.0,340,Preventing the Dams,0.0
341,Airport Security,1.0,341,Airport security,1.0,341,Airport security,1.0,341,Airport security,1.0,341,Airport security,1.0,341,Airport security,1.0,341,Airport safety,0.0345,341,Airport security,1.0,341,Airport security,1.0,341,Airport security,1.0,341,Airport Safety,0.0345
342,Diplomatic Expulsion,0.5,342,Diplomatic expulsion,0.5,342,Diplomatic expulsion,0.5,342,The diplomatic overthrow,0.0,342,Diplomatic firing,0.005,342,Diplomatic expulsion,0.5,342,The Council of Ministers,0.0,342,Diplomatic eviction,0.0012,342,Diplomatic expulsion,0.5,342,Diplomatic expulsion,0.5,342,International Exclusion,0.0
343,Police Deaths,0.0909,343,The police are dead,0.0417,343,Police dead,0.0417,343,Police deaths,0.0909,343,Death of the police,0.0909,343,The deaths of the police,0.0909,343,Police deaths,0.0909,343,The police are dead,0.0417,343,Death of a cop,0.0714,343,Police deaths,0.0909,343,The Death of a Police Officer,0.25
344,Abuses of E-Mail,1.0,344,The abuse of e mail,1.0,344,Abuse of email,0.0,344,Email abuse,0.0,344,Misuse of email,0.0026,344,Abuse of e mail,1.0,344,Misuse of e mail,0.3333,344,The perversion of email,0.0,344,Breach of e mail,1.0,344,The use of e mail is misused,0.5,344,Misuse of E mail,0.3333
345,Overseas Tobacco Sales,0.1667,345,I sell cigarettes abroad,1.0,345,Foreign sale of tobacco,0.0714,345,Tobacco sales outside,0.25,345,Smoking sales abroad,1.0,345,Tobacco sales abroad,0.5,345,Overseas tobacco sales,0.1667,345,The sale of tobacco abroad,0.5,345,Tobacco sales abroad,0.5,345,The sale of tobacco abroad,0.5,345,The Importance of Tobacco,0.0333
346,Educational Standards,0.5,346,The standard of education,0.5,346,Standard education,0.5,346,Educational standards,0.5,346,Educational standards,0.5,346,Educational standards,0.5,346,Education standards,0.5,346,Education standards,0.5,346,Education standards,0.5,346,Educational standards,0.5,346,Educational Standards,0.5
347,Wildlife Extinction,0.1111,347,Wildlife is disappearing,0.2,347,Extinction of the Wild,1.0,347,Extinction of wildlife,0.1111,347,Extinction of the wild,1.0,347,Extinction of the Wildlife,0.1111,347,Extinction of the wildlife,0.1111,347,Extinction of the wild,1.0,347,Extinction of the wild,1.0,347,The destruction of wild animals,0.5,347,The Extinction of Animals,0.5
348,Agoraphobia,1.0,348,It s a phobia,0.0,348,Agoraphobia,1.0,348,Terrorism,0.0,348,Agora phobia,0.0,348,Agoraphobia,1.0,348,Agoraphobia,1.0,348,The Agoraphobia,1.0,348,Agoraphobia,1.0,348,Acrophobia,0.0,348,The disease of fear,0.0
349,Metabolism,1.0,349,Thank you,0.0,349,The newcomer,0.0,349,Food representation,0.0038,349,I m a metabolic,1.0,349,The metabolism,1.0,349,The metabolism,1.0,349,The metabolism,1.0,349,The metabolism,1.0,349,The effect of metabolism,1.0,349,The warmth,0.0
350,Health and Computer Terminals,1.0,350,Health and the computer end,0.1667,350,Health and computer terminals,1.0,350,Health and computer products,0.1429,350,Health terminals and computers,1.0,350,Health and computer terminals,1.0,350,Health and computer terminals,1.0,350,Healthcare terminals and computers,0.0833,350,Health and Computer Terminals,1.0,350,Health and computer terminals,1.0,350,Healthcare Devices and Computers,0.0088
351,Falkland petroleum exploration,1.0,351,The Falkland oil exploration,1.0,351,The exploration of the land,0.0034,351,Exploring oil in the Falkland Islands,1.0,351,The Falkland oil exploration,1.0,351,Oil exploration in the Maldives,0.0062,351,Oil exploration in the Falkland Islands,1.0,351,Oil exploration in the Falkland Islands,1.0,351,Confirmation of the Falkland oil,1.0,351,The Falkland oil exploration,1.0,351,The Falkland oil field,1.0
352,British Chunnel impact,1.0,352,The road crashes,0.008,352,The influence of British fortunes,0.0011,352,The influence of the British Channel,1.0,352,The impact of the British Channel,1.0,352,The impact of the British Channel,1.0,352,The influence of the British Channel,1.0,352,The influence of the British Channel,1.0,352,The effects of the British tunnel,0.5,352,The impact of the British subway,0.0022,352,The Impact of the British Channel,1.0
353,Antarctica exploration,1.0,353,Exploring the Antarctic,0.5,353,The Antarctic Reconnaissance,1.0,353,Exploring the South Pole,0.0588,353,Exploration of the South Pole,0.0588,353,Exploration of the Antarctic,0.5,353,The discovery of Antarctica,1.0,353,Exploring the Antarctic,0.5,353,Confirmation of the Antarctic,1.0,353,The study of Antarctica,1.0,353,The Antarctic,1.0
354,journalist risks,0.3333,354,The risk of journalists,0.3333,354,The risk of journalism,0.0036,354,The risks of journalists,0.3333,354,The risk of journalism,0.0036,354,risks for journalists,0.3333,354,Risks for journalists,0.3333,354,The risks for journalists,0.3333,354,The risk of journalists,0.3333,354,The dangers of journalism,0.0333,354,The risks of writer,0.0263
355,ocean remote sensing,1.0,355,Remote sensing of the ocean,1.0,355,Remote sensing of the sea,1.0,355,Remote sensing of the oceans,1.0,355,A countdown from the ocean,0.0192,355,remote sensing from the ocean,1.0,355,Remote sensing of seas,1.0,355,distance observation of the ocean,1.0,355,remote ocean detector,1.0,355,The feeling of being far away from the sea,0.0011,355,A distant knowledge of the sea,0.0
356,postmenopausal estrogen Britain,0.0476,356,The post menopausal estrogen in England,0.0417,356,After menopause  estrogen in England,0.0455,356,Oestrogen after the age of despair Britain,1.0,356,Estrogen after the British monopoly,0.0909,356,postmenopausal estrogen in the UK,0.0476,356,Postmenopausal estrogen in the UK,0.0476,356,postmenopausal estrogen of the UK,0.0476,356,postmenopausal estrogen in Britain,0.0476,356,Estrogen Britain after the end of menopause,0.0476,356,Post menopausal estrogen in England,0.0417
357,territorial waters dispute,1.0,357,The sea is a dispute,1.0,357,Territorial disputes,0.2,357,The territorial water dispute,1.0,357,Regional water differences,0.0056,357,territorial waters dispute,1.0,357,Dispute over territorial waters,1.0,357,The territorial waters dispute,1.0,357,territorial water disputes,1.0,357,The problem of land based water,0.0024,357,District water discussion,0.0032
358,blood-alcohol fatalities,0.3333,358,Blood alcohol is dead,1.0,358,Deaths from blood alcohol,1.0,358,Deaths from blood alcohol,1.0,358,Deaths from blood alcohol,1.0,358,death from alcohol in the blood,1.0,358,Blood alcohol deaths,1.0,358,death from alcohol in the blood,1.0,358,death from blood alcohol,1.0,358,The deaths were caused by blood alcohol,0.2,358,blood deaths from alcohol,1.0
359,mutual fund predictors,0.0667,359,Mutual fund forecasts,0.1667,359,Mutual fund forecasts,0.1667,359,The expectations for investment funds,0.0208,359,The forecasters of investment funds,0.0435,359,forecasters of mutual funds,0.1667,359,The following table shows the main factors,0.0189,359,forecast indicators of mutual funds,0.3333,359,Predictions of joint funds,0.037,359,Mutual financial forecasters,0.0278,359,common money predictors,0.0098
360,drug legalization benefits,1.0,360,The benefits of legalizing drugs,1.0,360,Benefits of Legalizing Drugs,1.0,360,The legal benefits of drugs,1.0,360,The Benefits of Legalizing Drugs,1.0,360,Benefits of legalizing drugs,1.0,360,Benefits of legalizing drugs,1.0,360,The benefits of legalizing drugs,1.0,360,benefits of drug legalization,1.0,360,The benefits of legalizing drugs,1.0,360,legal benefits of medicines,0.0204
361,clothing sweatshops,1.0,361,The clothing factory,0.0053,361,The clothes,0.0101,361,Clothing factories,0.0053,361,Clothing stores,0.0075,361,clothing workshops,0.0067,361,Clothing stores,0.0075,361,The clothes,0.0101,361,Clothing store,0.0075,361,Clothing factories,0.0053,361,clothing stores,0.0075
362,human smuggling,0.5,362,Human trafficking,0.0175,362,Trafficking people,0.25,362,Human trafficking,0.0175,362,Human trafficking,0.0175,362,Trafficking in persons,0.5,362,Human trafficking,0.0175,362,smuggling of people,1.0,362,human trafficking,0.0175,362,Human trafficking,0.0175,362,Human trafficking,0.0175
363,transportation tunnel disasters,1.0,363,Traffic accidents,0.0,363,Traffic tunnel crash,0.25,363,The disasters of the tunnels,0.5,363,The disaster of the transportation tunnel,1.0,363,disasters in transport tunnels,1.0,363,Damage to transport channels,0.0094,363,accidents in transport tunnels,0.1111,363,transport tunnel disaster,1.0,363,Traffic subway disasters,0.5,363,disasters of pipeline transport,0.0057
364,rabies,1.0,364,Rabies,1.0,364,The Legion of Honor,0.0,364,The irony,0.0,364,Your anger,0.0,364,The rage,0.0,364,Rabies,1.0,364,The rage,0.0,364,rabies,1.0,364,Kelly,0.0,364,paralysis,0.0
365,El Nino,1.0,365,El Niño is the one,0.0175,365,El Nino,1.0,365,What,0.0,365,The Nino,1.0,365,The neon,0.0,365,The El Nino,1.0,365,El Nino,1.0,365,The El Nino,1.0,365,El Nino,1.0,365,El Nino,1.0
366,commercial cyanide uses,1.0,366,Commercial use,0.0,366,Commercial use of cyanide,1.0,366,Commercial uses of cyanide,1.0,366,Commercial use of cyanide,1.0,366,commercial use of cyanide,1.0,366,commercial use of cyanide,1.0,366,commercial use of cyanide,1.0,366,commercial use of cyanide,1.0,366,Commercial use of cyanide,1.0,366,commercial use of cyanide,1.0
367,piracy,0.25,367,The act of piracy,0.5,367,The act of piracy,0.5,367,The pirate,0.0526,367,A pirate,0.0526,367,The Pirate,0.0526,367,The Commission,0.0,367,The Pirate,0.0526,367,The robbers,0.0042,367,Navy,0.1111,367,Crime,0.0
368,in vitro fertilization,1.0,368,Outdoor fertilization,0.0161,368,Fixed by bit,0.0,368,Fertilization in the class,0.0357,368,Fertilization in the case of testing,1.0,368,In vitro fertilization,1.0,368,In vitro fertilization,1.0,368,fertilization in vitro,1.0,368,In vitro fertilization,1.0,368,in vitro fertilization,1.0,368,The reproduction of creatures,0.0192
369,anorexia nervosa bulimia,1.0,369,I m not going to say that,0.0588,369,I have a nervous breakdown,0.0,369,Neural dysfunction of the polymerase chain reaction,0.0038,369,Nervous and untiring sleeplessness,0.005,369,bulimia anorexia nervosa,1.0,369,anorexia nervosa bulimia and other,1.0,369,Anorexia and bulimia nervosa,1.0,369,anorexia nervosa bulimia,1.0,369,The following article will help you to understand the benefits of anorexia nervosa,0.5,369,anorexia nervosa bulimia,1.0
370,food/drug laws,0.1429,370,Food and Drug Law,0.1429,370,Food and Drug Law,0.1429,370,Food and drug laws,0.1429,370,Food and Drug regulations,0.3333,370,Food and Drug Law,0.1429,370,Food and drug laws,0.1429,370,Food and Drug Law,0.1429,370,food drug law,0.1429,370,Food drug laws,0.1429,370,food blood laws,0.1111
371,health insurance holistic,0.0072,371,Health insurance as a whole,0.0159,371,The whole health insurance,0.0159,371,Health insurance,0.025,371,Health insurance coverage,1.0,371,holistic health insurance,0.0072,371,State health insurance,0.1429,371,health insurance,0.025,371,holistic health insurance,0.0072,371,Health insurance is complete,0.0196,371,general health insurance,0.027
