qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
143833,What is the difference between coolant and anti-freeze?,0.6561,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910925,Why is yawning contagious?,0.6244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643507,why does milk cost more than gas per gallon?,0.5116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502604,how do crooks  make  fake   passports  ?,0.3548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283542,i have had loose stools for a week...how do i make it stop?,0.0556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.1475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313308,how can I enjoy my time alone?,0.0546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357460,how to make my car faster?,0.1831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582920,What is the difference in a dried plum and a dried prune?,0.7404,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462511,How do i know if my gold fish is pregnant?,0.3738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,0.2009,1,backtranslation_kor_hang,0.2029,Why do people drink curbo when it tastes like going up and down,,,,,,,,,,,,,,,,,,,,,,,,
312215,how good is apple pie when it is cold?,0.5558,2,backtranslation_kor_hang,0.576,How good is cold apple pie,backtranslation_swh_latn,0.576,How good is apple pie in the cold,,,,,,,,,,,,,,,,,,,,,
3363149,Why do Arabs and Mexicans look alike?,0.4655,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944018,Why can't teenagers vote?,0.072,8,backtranslation_yue_hant,0.1621,Why can t teenagers vote,backtranslation_kor_hang,0.1621,Why can t teenagers vote,backtranslation_arb_arab,0.1621,Why can t teenagers vote,backtranslation_pes_arab,0.1621,Why can t teenagers vote,backtranslation_fra_latn,0.1621,Why can t teenagers vote,backtranslation_deu_latn,0.1621,Why can t teenagers vote,backtranslation_rus_cyrl,0.1621,Why can t teenagers vote,backtranslation_zsm_latn,0.1621,Why can t teenagers vote,,,
788976,Why did the Bush Admin cover up 9/11?,0.4475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385316,How do I keep black birds out of my bar-b-que grill?,0.3573,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
551239,how do i find out if someone left me a life insurance policy?,0.5796,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499881,Why is Gordon Ramsey so popular?,0.244,1,backtranslation_pes_arab,0.3242,Why is Gordon Ramsey so fond of you,,,,,,,,,,,,,,,,,,,,,,,,
4311093,Why hot air rises up?,0.6637,6,backtranslation_kor_hang,0.6741,Why is the hot air rising,backtranslation_arb_arab,0.6741,Why is the hot air rising,backtranslation_fra_latn,0.6741,Why is the hot air rising,backtranslation_deu_latn,0.6741,Why is the hot air rising,backtranslation_rus_cyrl,0.6741,Why is the hot air rising,backtranslation_tam_taml,0.6741,Why is the hot air rising,,,,,,,,,
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,0.6332,1,backtranslation_kor_hang,0.6498,How do you remove SIMM cards from your LG VX     phone,,,,,,,,,,,,,,,,,,,,,,,,
1017690,what is the history of indian music?,0.5575,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
667488,how soon can you drive on a newly paved driveway?,0.4868,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507491,Why is religious freedom more important today?,0.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",0.1734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396066,Why do airplanes fly so high?,0.3619,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892478,what factors cause the Earth to heat unevenly?,0.4241,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155314,"we have pork chops, veal chops, lamb chops, why is there not any beef chops ?",0.2872,2,backtranslation_arb_arab,0.3088,We have pork  veal  lamb  why is there no beef,backtranslation_deu_latn,0.3088,We have pork  veal  lamb  why is there no beef,,,,,,,,,,,,,,,,,,,,,
785823,how is the library consider as a heart of university?,0.3231,1,backtranslation_yue_hant,0.407,Library is the heart of the university,,,,,,,,,,,,,,,,,,,,,,,,
2815090,how cloning will affects our community?,0.1721,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713171,What does the sentence's mean?,0.0376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821193,"Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?",0.1158,3,backtranslation_arb_arab,0.1314,Why do people feed their children poison sugar at Easter  and why is there no Jesus chocolate,backtranslation_rus_cyrl,0.1302,Why do people feed their children poison  sugar  at Easter and why is there no chocolate,backtranslation_fra_latn,0.1218,Why do people feed their children with poison  sugar  at Easter  and why isn t Jesus in the chocolate,,,,,,,,,,,,,,,,,,
4185501,why does the sun shine?,0.4232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473331,How can I keep my rabit indoors?,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4190287,Why is switching schools so depressing?,0.1956,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937374,how to get 277 V AC ?,0.3179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459749,Why don't I have an asthma attack during sex?,0.1401,7,backtranslation_deu_latn,0.3398,Why don t I get an asthma attack during sex,backtranslation_pes_arab,0.3273,Why don t I have an asthma attack during sex,backtranslation_fra_latn,0.3273,Why don t I have an asthma attack during sex,backtranslation_kor_hang,0.3122,Why don t you have an asthma attack during sex,backtranslation_yue_hant,0.2545,Why don t I get asthma during sex,backtranslation_rus_cyrl,0.2514,Why don t I start having asthma during sex,backtranslation_tam_taml,0.1611,Why don t I have an asthma attack while I m having sex,,,,,,
23464,why girls are beautiful?,0.6662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377861,how to handsew sequins?,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385681,"if red bull is soo bad for people ,then why is it soo popular?",0.1704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794677,How can I treat my Acne Scars?,0.554,1,backtranslation_fra_latn,0.5808,How do I treat my acne scars,,,,,,,,,,,,,,,,,,,,,,,,
3301173,how to design road crust for national highways?,0.4741,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
204633,Why do you have memories?,0.1101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960080,Why don't commercial planes fly over the North Pole?,0.5585,4,backtranslation_fra_latn,0.5607,Why aren t commercial planes flying over the North Pole,backtranslation_deu_latn,0.5607,Why aren t commercial planes flying over the North Pole,backtranslation_rus_cyrl,0.5607,Why aren t commercial planes flying over the North Pole,backtranslation_zsm_latn,0.5607,Why aren t commercial planes flying over the North Pole,,,,,,,,,,,,,,,
1262692,How can I get rid of pimples on my back?,0.2768,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
558570,"My city just put a ban on pit bulls, how do we reverse the decision?",0.5058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167882,What are the different types of sins and how are they caused?,0.1755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3295055,"What causes skin discoloration, specifically, whitening of the skin between fingers?",0.226,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100653,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.4234,1,backtranslation_fra_latn,0.4613,How do I get copies of congratulatory letters sent by the city of San Diego,,,,,,,,,,,,,,,,,,,,,,,,
2619912,"How were you saved from sin-and born again as Jesus says ""Except you repent, and be born again..."" How didYou?",0.5542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663853,what is a wet dream?,0.4988,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592121,how to rollover 401k into real estate?,0.5062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2182052,why is lemonade at restaurants sometimes different?,0.548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623623,"How do you improve fuel efficiency of a 2004, Ford Ikon?",0.3043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078448,How do you prevent chicken from drying out when you cook it?,0.2003,7,backtranslation_yue_hant,0.2659,How do you prevent chicken drying when you cook,backtranslation_arb_arab,0.2617,How do you avoid drying chicken when you re cooking it,backtranslation_deu_latn,0.2268,How do you prevent chicken from getting dry when you cook it,backtranslation_rus_cyrl,0.2222,How can you prevent chicken from drying up when it s cooked,backtranslation_pes_arab,0.22,How do you prevent chicken from drying up when you cook,backtranslation_fra_latn,0.2125,How do you keep chicken from drying up when you cook it,backtranslation_tam_taml,0.2048,How can you prevent chicken from drying up when you cook,,,,,,
3074429,How can we understand Islam and Muslims better?,0.3697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119420,"Well the black light is UV light.So if it is ""black"" how can it be ""light"" ?",0.4782,4,backtranslation_deu_latn,0.5104,The black light is UV light  so if it s black  how can it be light,backtranslation_arb_arab,0.4935,Well  black light is UV light  so if black  how can it be light,backtranslation_swh_latn,0.487,Well  black light is UV light  So if it s  black  how can it be  light,backtranslation_fra_latn,0.481,Black light is UV  If it s black  how can it be  light,,,,,,,,,,,,,,,
1290612,why do anxiety and depression seem to coexist?,0.5832,1,backtranslation_swh_latn,0.5833,why anxiety and depression seem to be linked,,,,,,,,,,,,,,,,,,,,,,,,
2529114,"since i have premature ejaculation problem, how to satisfy my girl?",0.461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
204963,what does 5 by 5 mean?,0.3055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4367654,Why is April 19th important?,0.3451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3639660,Why do most cigarettes have the yellow filter?,0.5508,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197214,Why my GF feel like pissing during sexual intercourse?,0.2824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015624,What's the Definition of a bloody mary?,0.7609,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082595,what is meant by mobile technology?,0.5402,9,backtranslation_yue_hant,0.5698,What is mobile technology,backtranslation_kor_hang,0.5698,What is mobile technology,backtranslation_tam_taml,0.5698,What is mobile technology,backtranslation_swh_latn,0.5698,what is mobile technology,backtranslation_arb_arab,0.5545,What does mobile technology mean,backtranslation_pes_arab,0.5545,What does mobile technology mean,backtranslation_fra_latn,0.5545,What does mobile technology mean,backtranslation_deu_latn,0.5545,What does mobile technology mean,backtranslation_rus_cyrl,0.5545,What does mobile technology mean
3239329,Why do we wee a lot in the cold weather especially at night?,0.176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874326,How come Compton is only designated for black people?,0.1109,1,backtranslation_arb_arab,0.1225,How come Compton was only for black people,,,,,,,,,,,,,,,,,,,,,,,,
1254390,how do i deap fry chicken?,0.2644,2,backtranslation_swh_latn,0.3638,How do I deap fried chicken,backtranslation_zsm_latn,0.3019,How can I fry chicken,,,,,,,,,,,,,,,,,,,,,
4018891,How do I know if a particular term or phrase is copyrighted?,0.1869,3,backtranslation_fra_latn,0.1974,How do you know if a particular term or phrase is copyrighted,backtranslation_tam_taml,0.1963,How do I know if a particular word or phrase is copyrighted,backtranslation_deu_latn,0.1928,How do I know if a particular term or phrase is protected by copyright,,,,,,,,,,,,,,,,,,
3552010,Why do parent put kids on restriction?,0.221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968489,Which auto insurance do you use and why?,0.4249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
443848,Does anybody know where i could get a free guide on how to train a siberian husky?,0.6629,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4372730,Why doesn't the bible make any sense?,0.1337,1,backtranslation_zsm_latn,0.1897,Why does the Bible make sense,,,,,,,,,,,,,,,,,,,,,,,,
896725,what are some good exercises to get rid of those love handles?,0.2157,2,backtranslation_fra_latn,0.2932,What are some good exercises to get rid of these love handles,backtranslation_kor_hang,0.2597,What s a good exercise to get rid of love handles,,,,,,,,,,,,,,,,,,,,,
2180086,what are mormens?,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34041,what are the symptoms of strep throat?,0.7647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
229303,Why  is  the   war continuing  in  Afghanistan?,0.5491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446614,how could u get success?,0.2426,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
654124,Why am I not able to concentrate on my studies?,0.2298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577501,what are some signs that puberty is beginning?,0.4435,1,backtranslation_fra_latn,0.4667,What are the signs that puberty is beginning,,,,,,,,,,,,,,,,,,,,,,,,
8293,Why do men fantasized about raping women?,0.5161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012558,what is the term milky way?,0.7274,3,backtranslation_rus_cyrl,0.7826,What is the Milky Way,backtranslation_swh_latn,0.7826,What is the Milky Way,backtranslation_fra_latn,0.7794,What is the end of the Milky Way,,,,,,,,,,,,,,,,,,
922849,why do some people take life so seriously?,0.1041,1,backtranslation_tam_taml,0.1276,Why do some take life so seriously,,,,,,,,,,,,,,,,,,,,,,,,
2976644,How amoeba catches its prey?,0.4821,1,backtranslation_zsm_latn,0.5027,How do the amoebas catch prey,,,,,,,,,,,,,,,,,,,,,,,,
1866981,"I know how I got here, but how did you?",0.0642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467100,What does sholomister mean?,0.0027,2,backtranslation_arb_arab,0.0472,What do you mean   Scholemster,backtranslation_zsm_latn,0.0472,What do you mean  Sholomister,,,,,,,,,,,,,,,,,,,,,
2551845,Why is GW dogged for not getting OBL yet killing Zarkawi is a non-event?,0.1517,2,backtranslation_kor_hang,0.2666,Why is it that GW was not charged with OBL and then killed Zarkawi,backtranslation_zsm_latn,0.2231,Why is GW sued for not getting OBL but killing Zarkawi is not an event,,,,,,,,,,,,,,,,,,,,,
3559048,How do you sell a junk car without a title?,0.5831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
823384,why did the army have personal cuts in the mid 1990's?,0.1687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
849221,when it comes to religion why dont people realize history repeats itself?,0.3465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3280768,why is islam so hated in america?,0.2552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288761,How can i stop my husband from exhuming my baby's body for compensation?,0.0819,1,backtranslation_fra_latn,0.0826,How can I stop my husband from exhuming my baby s body for compensation,,,,,,,,,,,,,,,,,,,,,,,,
2847807,How can I get rid of the hicups?,0.0679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018562,"Why does my Black Lab howl to ""Law and Order"" theme song?",0.5643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035857,Why are liberals so quick to defend Saddam?,0.4506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008017,why do black people like fried chicken somuch?,0.5002,2,backtranslation_arb_arab,0.5044,Why do black people like fried chicken so much,backtranslation_swh_latn,0.5044,Why do black people like fried chicken so much,,,,,,,,,,,,,,,,,,,,,
1862795,How does spending prolonged time in microgravity affect the bodies of astronauts?,0.1836,1,backtranslation_fra_latn,0.2014,How does microgravity affect astronauts,,,,,,,,,,,,,,,,,,,,,,,,
421753,how to get rid of a skunk?,0.2353,1,backtranslation_swh_latn,0.3093,how to remove skunk,,,,,,,,,,,,,,,,,,,,,,,,
1477322,Why do people say Germans are racists?,0.1833,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607728,what causes gray facial hair in men?,0.5827,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103830,Why do man Arabs hate the west ?,0.5149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971195,How do i get my pitbull more agressive?,0.2055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4153592,what can make someones ear's stink?,0.1098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382487,what do i do if i have not started my period in like almost 6 months?,0.0555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380990,Why am I alive?,0.0933,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
484496,Why a man float on water when he dies?,0.1893,1,backtranslation_swh_latn,0.1909,Why does a person float on water when he dies,,,,,,,,,,,,,,,,,,,,,,,,
4003223,What are the marketing gimmicks that will attract males?,0.4681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4185395,how can i cure the std or the sexually transmitted disease?,0.7121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292734,what color you like the most and why?,0.0452,7,backtranslation_pes_arab,0.0788,What color do you like  and why,backtranslation_zsm_latn,0.0788,What color do you like and why,backtranslation_kor_hang,0.0582,What color do you like best  Why,backtranslation_arb_arab,0.0582,What color do you like best and why,backtranslation_deu_latn,0.0582,What color do you like best  and why,backtranslation_rus_cyrl,0.0582,What color do you like best  and why,backtranslation_swh_latn,0.0582,What color do you like best  and why,,,,,,
3389038,why the media in US and Europe is always attacking the Arabs and Islam without finding the truth about them?,0.2512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
474417,"what does the prefix ""cyclo"" mean in greek mythology?",0.5954,1,backtranslation_tam_taml,0.6345,What is the meaning of the prefix  Cyclops  in Greek mythology,,,,,,,,,,,,,,,,,,,,,,,,
3278654,Why do Kamikaze pilots wear helmets?,0.5538,2,backtranslation_rus_cyrl,0.5731,Why are the Kamikaze pilots wearing helmets,backtranslation_zsm_latn,0.5731,Why is a Kamikaze pilot wearing a helmet,,,,,,,,,,,,,,,,,,,,,
4365565,How Does Water Pressure Change?,0.2218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
354733,What are the names of some famous photographers and why do their work stand up?,0.1108,2,backtranslation_kor_hang,0.1465,What are the names of famous photographers  and why is their work remarkable,backtranslation_yue_hant,0.1177,What are the names of some famous photographers,,,,,,,,,,,,,,,,,,,,,
224109,what is citriscidal?,0.0,3,backtranslation_pes_arab,0.25,What is citricidal,backtranslation_rus_cyrl,0.25,What is citricide,backtranslation_tam_taml,0.25,What is Citricidal,,,,,,,,,,,,,,,,,,
4126337,Why does my friend buy...?,0.1927,3,backtranslation_fra_latn,0.2386,Why is my friend buying,backtranslation_deu_latn,0.2386,Why is my friend buying,backtranslation_rus_cyrl,0.2386,Why is my friend buying,,,,,,,,,,,,,,,,,,
1957887,How can I hunt down and punch the people that keep spamming me?,0.1272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78762,why do i have pterofobia?,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159716,"How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?",0.3369,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
481173,"why live, when your in misery?",0.2931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814722,why is the new jersey smoking ban not considered unconstitutional?,0.585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040435,"USA have Snow, Hurricanes, Flood, Earthquakes and politicians, Brazil only have politicians, why?",0.3158,4,backtranslation_arb_arab,0.4239,America has snow  hurricanes  floods  earthquakes and politicians  Brazil has only politicians  why,backtranslation_kor_hang,0.3931,America has snow  hurricanes  floods  earthquakes  politicians  and Brazil has politicians  and why,backtranslation_fra_latn,0.3163,The United States has snow  hurricanes  floods  earthquakes and politicians  Brazil has only politicians  why,backtranslation_swh_latn,0.3163,The United States has snow  hurricanes  floods  earthquakes and politicians  Brazil has only politicians  why,,,,,,,,,,,,,,,
953489,Why do I have to dumb myself down all the time though I am highly undereducated?,0.0035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309774,Why do I keep seeing people on here 'dissing' on the soldiers in Iraq?,0.2471,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152934,Why don't fat people have to pay more for air travel?,0.0414,8,backtranslation_deu_latn,0.3213,Why don t fat people pay for air travel anymore,backtranslation_arb_arab,0.2919,Why don t fat people pay more for air travel,backtranslation_rus_cyrl,0.2919,Why don t fat people pay more for air travel,backtranslation_zsm_latn,0.2919,Why don t fat people pay more for air travel,backtranslation_pes_arab,0.2035,Why don t fat people have to pay so much for air travel,backtranslation_kor_hang,0.1983,Why don t obese people pay more for airplanes,backtranslation_fra_latn,0.1847,Why don t the big guys pay more for the thefts,backtranslation_yue_hant,0.1535,Why don t obese people spend more on planes,,,
387874,Why does asparugus make your pee stink?,0.5274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291272,How is Catholicism not Christianity?,0.3905,3,backtranslation_yue_hant,0.3966,Why is Catholicism not Christianity,backtranslation_pes_arab,0.3966,Why is Catholicism not Christian,backtranslation_rus_cyrl,0.3966,Why is Catholicism not Christianity,,,,,,,,,,,,,,,,,,
3411123,Why does'nt America regard foriegn credentials?,0.1223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4165406,Why did the founder of Daewoo get a 10-year jail sentence?,0.4499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418598,why do wisdom varies from person to person?,0.3207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496147,Why was I punished for being christlike?,0.1594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452795,How can I heat the water within a 150 gal tank that's open to the atmosphere in Feb.?,0.3836,1,backtranslation_deu_latn,0.3996,How do I heat the water in a     gal tank that s open to the atmosphere in February,,,,,,,,,,,,,,,,,,,,,,,,
225575,what does 'wet behind the ears' mean?,0.5042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838988,"How can I get a cork out of, not into, a wine bottle without a corkscrew?",0.7549,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
456214,What is the importance of absolute zero temperature?,0.8763,3,backtranslation_deu_latn,0.8858,How important is absolute zero temperature,backtranslation_tam_taml,0.8858,How important is absolute zero temperature,backtranslation_swh_latn,0.8858,How important is absolute zero temperature,,,,,,,,,,,,,,,,,,
761742,How can I become a playa?,0.3418,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825386,How can I develop leanbody and muscles?,0.2015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443586,What is a Bro?,0.2828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
172731,how for is saturn from the sun?,0.3969,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783398,What is a nucleus?,0.4091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
402514,why do my baked potatos never taste near as good as when I get them in a nice restaurant?,0.3306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4278201,how does Ultraviolet Light Affects Seed Germination and plant growth?,0.8796,1,backtranslation_tam_taml,0.9098,How does UV light affect seed germination and plant growth,,,,,,,,,,,,,,,,,,,,,,,,
2539741,what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?,0.3759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714728,Why is the world so shallow?,0.2096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778229,how were the witches tested in the salem witch trials?,0.7937,1,backtranslation_swh_latn,0.8149,witches were tried in the Salem witch trials,,,,,,,,,,,,,,,,,,,,,,,,
3640705,what is the punishment for child molestors?,0.2436,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077370,Why do only Humans have Finger prints?,0.4999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
