qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
2799913,What's the proper way to express sorrow at a funeral?,0.1907,2799913,How do you express your grief at a funeral,0.0395,2799913,What is the way to express grief at a funeral,0.0442,2799913,What is the proper way to express grief at a funeral,0.0785,2799913,What is the proper way to express grief at a funeral,0.0785,2799913,What s the right way to express your grief at a funeral,0.0556,2799913,How can you express your grief at a funeral,0.0381,2799913,What is the right way to express grief at a funeral,0.0443,2799913,What is the right way to express your grief at a funeral,0.0435,2799913,What is the proper way to express mourning at a funeral,0.0655,2799913,What is the proper way to express mourning at a funeral,0.0655
2142044,What do you speculate happened to Natalie Holloway in Aruba?,0.6458,2142044,What do you think happened to Aruba,0.3747,2142044,Can you guess what happened to Natalie Holloway in Aruba,0.6772,2142044,What do you think happened to Natalie Holloway in Aruba,0.6711,2142044,Guess what happened to Natalie Halloween in Aruba,0.5944,2142044,What do you think about what happened to Natalie Holloway in Aruba,0.6481,2142044,What happened to Natalie Holloway in Aruba,0.6529,2142044,What do you think happened to Natalie Holloway on Aruba,0.6711,2142044,What do you speculate happened to Natalie Holloway in Aruba,0.6458,2142044,What do you think happened to Natalie Holloway in Aruba,0.6711,2142044,What do you think happened to Natalie Holloway in Aruba,0.6711
707303,"How do people get hiccups, what are they, and what exactly is the best way to cure them?",0.417,707303,How do you get it  what is it  how do you cure it,0.0268,707303,How do people shake their heads  what are they  and what exactly is the treatment,0.0,707303,How do people get scratches  what are they  and what s the best way to treat them exactly,0.0001,707303,How do people get hacked  what kind of people are they  and what is the best treatment,0.0,707303,How do people have hiccups  what are they  and what is the best way to treat them,0.1306,707303,How do people get swallowed  what are they  and how can they be best cured,0.1191,707303,How do people get their hickups  what are they  and how exactly is the best way to cure them,0.0165,707303,How do people get hiccups  what is it  and what s the best way to cure it,0.4351,707303,How do people punch  what are they  and what is the best way to treat them,0.0,707303,How do people get hiccups  what are they  and what is the best way to treat them,0.1333
676028,Why do our elected federal senators and congressmen not have to live on regular S.S. like the rest of us?,0.3437,676028,Why don t our federal and state legislators live with ordinary SS like the rest of us,0.0005,676028,Why don t our federal senators and lawmakers live in regular SS like we do,0.0068,676028,Why didn t the senators and council members of the SS have to live like the rest of us,0.0049,676028,Why don t our elected senators and congressmen have to live with the SS like the rest of us,0.2502,676028,Why shouldn t our elected senators and congressmen live on SS like the rest of us,0.2645,676028,Why don t our elected senators and congressmen live on the SS like we do,0.2427,676028,Why shouldn t our federal senators and congressmen live in the regular SS like the rest of us,0.2267,676028,Why don t our senators and elected members of Congress have to live with ordinary SS like us,0.0178,676028,Why don t our elected federal senators and congressmen live in the regular SS like everyone else,0.2648,676028,Why should our federal senators elected by lawmakers not live in the ordinary SS like the rest of us,0.0463
2484180,why do people judge a dog by what he looks like?,0.0472,2484180,Why would people judge these dogs,0.0267,2484180,Why do people judge dogs  appearances,0.0111,2484180,Why do people judge a dog by how it looks,0.0576,2484180,Why do people judge by dogs,0.036,2484180,Why do people judge a dog by how it looks,0.0576,2484180,Why do people judge a dog by how he looks,0.0446,2484180,Why do people judge a dog by how it looks,0.0576,2484180,Why do people judge dogs by their looks,0.057,2484180,Why do people judge a dog by what he looks like,0.0472,2484180,why do people judge a dog by its appearance,0.0112
2307305,Why do man rape little girls?,0.2551,2307305,Why do men rape little girls,0.1461,2307305,Why does a man rape young girls,0.1963,2307305,Why does a guy rape little girls,0.1415,2307305,Why would a man rape a little girl,0.2535,2307305,Why do men rape little girls,0.1461,2307305,Why do men rape little girls,0.1461,2307305,Why do men rape little girls,0.1461,2307305,Why does a guy rape a little girl,0.1415,2307305,Why do men rape girls,0.1484,2307305,Why do men rape young girls,0.132
2814599,what does the word remission mean when referring to cancer patients?,0.2871,2814599,What does it mean to be free when you talk about cancer patients,0.1076,2814599,What does the word forgiveness mean when you refer to a cancer patient,0.1091,2814599,What does the word  disappearance  mean when you refer to cancer patients,0.1038,2814599,What does the word  back up  mean when we refer to cancer patients,0.1104,2814599,What does the word remission mean when we talk about cancer patients,0.2439,2814599,What does the word  remission  mean in cancer patients,0.2778,2814599,What does the word  remission  mean when you talk to cancer patients,0.2595,2814599,What does the word remission mean when you refer to a cancer patient,0.2883,2814599,What does the word  removal  mean for cancer patients,0.1062,2814599,What does the word remission mean when used for cancer patients,0.2534
3369088,how can we stop the spread of islam?,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we stop the spread of Islam,0.2509,3369088,How can we prevent the spread of Islam,0.1378,3369088,how can we prevent the spread of Islam,0.1378
1702151,How patient a driver are you?,0.0626,1702151,How patient are you as a driver,0.0626,1702151,How patient is the driver,0.0666,1702151,How patient are you,0.0022,1702151,How patient are you as a driver,0.0626,1702151,Are you a patient driver,0.0778,1702151,How patient are you,0.0022,1702151,How are you a patient driver,0.0626,1702151,How patient is your driver,0.058,1702151,How patient are you as a driver,0.0626,1702151,How patient are you as a driver,0.0626
851124,How is ego a part of our survival instincts?,0.387,851124,How is the self part of our survival instinct,0.293,851124,How is it that the ego is part of our survival instinct,0.387,851124,How is selfishness part of the survival instinct,0.2983,851124,How does ego become part of our survival instinct,0.3007,851124,How does the ego become part of our survival instinct,0.3007,851124,How is the ego part of our survival instinct,0.387,851124,How is the ego part of our survival instinct,0.387,851124,How does the ego become part of our instincts,0.0693,851124,How is the ego part of our survival nature,0.1008,851124,How is selfishness part of our feelings of living,0.0001
3698636,why do cats headbutt?,0.0607,3698636,Why does a cat get a head,0.0101,3698636,Why does a cat have a head,0.0103,3698636,Why are cats moving,0.0039,3698636,Why are cats beating his head,0.0009,3698636,Why are cats shoveling,0.0052,3698636,Why are cats shaking,0.0004,3698636,Why are cats dizzy,0.0039,3698636,Why is the cat sweating,0.0004,3698636,Why do cats have headaches,0.0005,3698636,why the cat s head,0.0052
1844896,How to cook Angus burgers?,0.5271,1844896,How to cook an augus hamburger,0.0135,1844896,How do you cook an Angus burger,0.5038,1844896,How do you cook Angus burgers,0.5038,1844896,How do we make egg burgers,0.203,1844896,How do you cook Angus burgers,0.5038,1844896,How do you cook Angus burgers,0.5038,1844896,How do you make Angus burgers,0.4868,1844896,How do you cook an Angus burger,0.5038,1844896,How do you cook Angus burgers,0.5038,1844896,How to cook Angus burgers,0.5271
2290758,Why do people ask questions they know?,0.0117,2290758,Why would people ask themselves questions about knowledge,0.0007,2290758,Why do people ask questions that they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask questions they know,0.0117,2290758,Why do people ask familiar questions,0.0011,2290758,Why do people ask questions they know,0.0117
143833,What is the difference between coolant and anti-freeze?,0.5808,143833,What s the difference between coolant and anti coolant,0.2487,143833,What s the difference between refrigerants and anti caking agents,0.0001,143833,What s the difference between a refrigerant and an anti freeze,0.0965,143833,What is the difference between a refrigerant and antifreeze,0.045,143833,What s the difference between the coolant and the anti freeze,0.5699,143833,What s the difference between refrigerants and anti freeze,0.0965,143833,What s the difference between a cooler and an anti shaming,0.0,143833,What s the difference between a coolant and antifreeze,0.1755,143833,What is the difference between a refrigerant and an anti cold liquid,0.001,143833,What is the difference between cold water and waterproofing,0.0001
3910925,Why is yawning contagious?,0.6323,3910925,Why is it contagious,0.4253,3910925,Why is sleep a contagious disease,0.1603,3910925,Why is vibration contagious,0.2952,3910925,Why are the Zinnas so scrawny,0.0,3910925,Why is mourning contagious,0.1482,3910925,Why is it contagious,0.4253,3910925,Why are rabbits contagious,0.2685,3910925,Why is it that the spider can be infected,0.0,3910925,Why the Blindness,0.0,3910925,Why is bathing contagious,0.3553
2643507,why does milk cost more than gas per gallon?,0.2884,2643507,Why is milk more expensive than oil,0.0404,2643507,Why is milk more expensive than gasoline per gallon,0.1031,2643507,Why is milk more expensive than gas in gallons,0.2098,2643507,Why does milk cost more per gallon than gas,0.2884,2643507,Why is milk more expensive than gas per gallon,0.2153,2643507,Why does milk cost more than gas per gallon,0.2884,2643507,Why is milk more expensive than gas per gallon,0.2153,2643507,Why is milk more expensive than gas,0.1393,2643507,Why is milk more expensive than fuel per litre,0.0073,2643507,why is milk more expensive than gas per litre,0.0511
1502604,how do crooks  make  fake   passports  ?,0.1866,1502604,How do you make a fake passport,0.1875,1502604,How do fraudsters make fake passports,0.1468,1502604,How do the crooks make fake passports,0.1866,1502604,How do passport thieves make it,0.053,1502604,How do crooks make fake passports,0.1866,1502604,How do scammers fake passports,0.0884,1502604,How do scammers make fake passports,0.1058,1502604,How do criminals make fake passports,0.1459,1502604,How do fraudsters do fake passports,0.1244,1502604,How do criminals make fake passports,0.1459
4283542,i have had loose stools for a week...how do i make it stop?,0.2682,4283542,I haven t urinated in a week  How can I stop it,0.0,4283542,I ve had a bladder release for a week  How do you stop it,0.0,4283542,I ve had dirty lice for a week now    how do I stop them,0.0,4283542,I ve been out of work all week  how can I stop this,0.0,4283542,I ve had a loose stool for a week  How can I stop it,0.1595,4283542,I ve been sitting in a chair for a week  How can I stop it,0.0,4283542,I ve been on half a week s leave    how can I stop this,0.0,4283542,I ve had a loose feces for a week    how can I make it stop,0.0008,4283542,I ve been shooting empty rooms for a week  How can I stop it,0.0,4283542,I ve had mud flooding for a week    how can I make it stop,0.0
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.12,3554263,Why are some people so rude without any reason  Is it because they have problems,0.0729,3554263,Why do some people act disrespectfully,0.0,3554263,Why do some people act inappropriately for no reason,0.0,3554263,Why do some people act so rude for no reason,0.0586,3554263,Why do some people act so rude for no reason  because of their own problem,0.0578,3554263,Why do some people behave so rude is because of their own problem,0.1336,3554263,Why do some people act so rude for no reason  it s because of their own problems,0.0472,3554263,Why do some people act so cruel for no reason  because of their own problems,0.0,3554263,Why do some people act so badly for no reason  and is it their own fault,0.0001,3554263,Why do some people act cruelly for no reason  or is it because of their own problem,0.0001
3313308,how can I enjoy my time alone?,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my time alone,0.0557,3313308,How can I enjoy my own time,0.0013,3313308,How can I enjoy being alone,0.046,3313308,how can I enjoy my time alone,0.0557
4357460,how to make my car faster?,0.1331,4357460,How do I get my speed up,0.0023,4357460,How can we build a car faster,0.0805,4357460,How can I make you faster,0.0153,4357460,How do I get my car faster,0.1131,4357460,How do I get my car faster,0.1131,4357460,How can I make my car faster,0.1246,4357460,How do I make my car faster,0.1244,4357460,How can I make my car faster,0.1246,4357460,How do you make my car faster,0.112,4357460,how to make my car faster,0.1331
2582920,What is the difference in a dried plum and a dried prune?,0.7388,2582920,What s the difference between dry and dry,0.0,2582920,What s the difference between dry grass and dry grass,0.0,2582920,What s the difference between a dry and dry bush,0.0,2582920,What s the difference between a dry plum and a dry plum,0.3039,2582920,What is the difference between a dry prune and a dry prune,0.5691,2582920,What s the difference between a dried plum and a dried plum,0.6302,2582920,What s the difference between dry cream and dry cream,0.0,2582920,What s the difference between a dried plum and a dried prune,0.7383,2582920,What is the difference between a dry plum and a dry plum,0.3234,2582920,What is the difference between a dried plum and a dried plum,0.6368
4462511,How do i know if my gold fish is pregnant?,0.3163,4462511,How do I know if my goldfish is pregnant,0.0771,4462511,How do we know if a goldfish is pregnant,0.0772,4462511,How do I know if the goldfish is pregnant,0.0772,4462511,How do I know my goldfish is pregnant,0.0771,4462511,How do I know if my goldfish is pregnant,0.0771,4462511,How do I know if my goldfish is pregnant,0.0771,4462511,How do I know my goldfish is pregnant,0.0771,4462511,How do I know if my goldfish is pregnant,0.0771,4462511,How do I know if my goldfish is pregnant,0.0771,4462511,How do I know if my goldfish is pregnant,0.0771
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,0.2488,2795030,Why would anyone drink Cuervo when it tastes the same as above,0.1958,2795030,Why do people drink curbo when it tastes like going up and down,0.1284,2795030,Why do people drink kerfu when it tastes the same as going down as going up,0.0834,2795030,Why do people eat the quirou when I like to go up and down,0.0013,2795030,Why do people drink Cuervo when it tastes the same down and up,0.2566,2795030,Why do people drink Cuervo when it tastes like it s coming down like it s coming up,0.1596,2795030,Why do people drink curvo when the taste drops and rises,0.0784,2795030,Why do people drink Cuervo when it feels like going up,0.1485,2795030,Why does it come up and down the same taste when people drink Cuervo,0.2554,2795030,Why do people drink Cuervo when its taste is the same as going down and climbing,0.1772
312215,how good is apple pie when it is cold?,0.5774,312215,How good is the cake when it s cold,0.0,312215,How good is cold apple pie,0.5916,312215,How good is apple pie when it s cold,0.5724,312215,How good is an apple pie when it s cold,0.5724,312215,What s the quality of the apple pie when it s cold,0.5017,312215,How good is apple pie when it s cold,0.5724,312215,How good is an apple pie when it s cold,0.5724,312215,How good is apple pie when it s cold,0.5724,312215,How good is Apple Pie when it s cold,0.5724,312215,How good is apple pie in the cold,0.5916
3363149,Why do Arabs and Mexicans look alike?,0.3748,3363149,Why do Arabs and Mexicans look alike,0.3748,3363149,Why are Arabs and Mexicans alike,0.3315,3363149,Why do Arabs and Mexicans look alike,0.3748,3363149,Why do Arabs and Mexicans look alike,0.3748,3363149,Why are Arabs and Mexicans alike,0.3315,3363149,Why do Arabs and Mexicans look alike,0.3748,3363149,Why are Arabs and Mexicans alike,0.3315,3363149,Why do Arabs and Mexicans look alike,0.3748,3363149,Why are Arabs and Mexicans alike,0.3315,3363149,Why do Arabs and Mexicans have similarities,0.1007
1944018,Why can't teenagers vote?,0.1463,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t teenagers vote,0.1164,1944018,Why can t young people vote,0.0125,1944018,Why can t young people vote,0.0125
788976,Why did the Bush Admin cover up 9/11?,0.2002,788976,Why did the Bush administration cover up,0.0209,788976,Why did the Bush administration cover up,0.0209,788976,Why did the Bush administration cover,0.0317,788976,Why did the Bush administration cover,0.0317,788976,Why did the Bush administration cover up,0.0209,788976,Why did the Bush administration cover up,0.0209,788976,Why did the Bush administration cover up,0.0209,788976,Why did the Bush administration shut down,0.0265,788976,Why did the Bush administration hide,0.0065,788976,Why did the Bush administration hide,0.0065
4385316,How do I keep black birds out of my bar-b-que grill?,0.3394,4385316,How do I put blackbirds in my roast meat,0.001,4385316,How do I keep the black bird away from my barbecue grill,0.0216,4385316,How do I keep black birds away from the barbecue,0.002,4385316,How do I get the black birds off the barrel,0.001,4385316,How do I keep black birds out of my bar b que grill,0.3394,4385316,How can I keep black birds out of my barbecue,0.0028,4385316,How can I keep black birds out of my bar b ku grill,0.0641,4385316,How can I avoid the blackbird from my bar b que grill,0.201,4385316,How do I keep black birds from my per b gu cook grill,0.0136,4385316,How can I keep the black bird out of my bar b que,0.2341
551239,how do i find out if someone left me a life insurance policy?,0.3836,551239,How do I know someone left my life insurance,0.0885,551239,How do you know I left my life insurance,0.0779,551239,How do I know if someone left me a life insurance policy,0.393,551239,How do I know someone put me on life insurance,0.1222,551239,How do I know if someone left me a life insurance policy,0.393,551239,How do I know if someone left me a life insurance policy,0.393,551239,How do I know someone left me life insurance,0.0914,551239,How do I know if someone left my life insurance policy,0.3828,551239,How do I know if someone left me a life insurance policy,0.393,551239,How do I know if someone left me a life insurance policy,0.393
3499881,Why is Gordon Ramsey so popular?,0.375,3499881,Why is Gordon Ramsay so popular,0.1443,3499881,Why is Gordon Ramsay so famous,0.1371,3499881,Why is Gordon Ramsay so famous,0.1371,3499881,Why is Gordon Ramsey so fond of you,0.37,3499881,Why is Gordon Ramsey so popular,0.375,3499881,Why is Gordon Ramsey so popular,0.375,3499881,Why is Gordon Ramsay so popular,0.1443,3499881,Why is Gordon Ramsey so popular,0.375,3499881,Why is Gordon Ramsay so popular,0.1443,3499881,Why is Gordon Ramsey so popular,0.375
4311093,Why hot air rises up?,0.438,4311093,Why is the temperature rising,0.0179,4311093,Why is the hot air rising,0.4604,4311093,Why is the hot air rising,0.4604,4311093,Why is it hot,0.0088,4311093,Why is the hot air rising,0.4604,4311093,Why is the hot air rising,0.4604,4311093,Why is the hot air rising,0.4604,4311093,Why is the air so hot,0.2418,4311093,Why is the hot air rising,0.4604,4311093,Why does the hot air increase,0.1319
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,0.5216,4256593,How do I get rid of the SIMM card on my LG VX,0.2521,4256593,How do you remove SIMM cards from your LG VX     phone,0.4599,4256593,How do I remove the SIMM card on a LG VX,0.2328,4256593,How do I delete the SIMM card from the LG VX,0.2349,4256593,How do you get the SIM card out of an LG VX     cell phone,0.5795,4256593,How do I remove the SIM card from an LG VX     phone,0.5211,4256593,How to delete a SIMM card on an LG VX     mobile phone,0.3378,4256593,How do I get the SIM card out of my LG VX     cell phone,0.574,4256593,How to remove SIMM card on LG VX     mobile phone,0.4148,4256593,How can I remove SIMM from my LG VX     mobile phone,0.3146
1017690,what is the history of indian music?,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What s the history of Indian music,0.2139,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,What is the history of Indian music,0.3062,1017690,How did Indian music come about,0.1427
667488,how soon can you drive on a newly paved driveway?,0.2952,667488,How long will it take you to drive on the newly paved lane,0.0002,667488,How fast can you drive a newly packed car,0.0,667488,When are you gonna be able to drive on the newly paved road,0.0001,667488,How long can you drive on a freshly flattened playground,0.0002,667488,  Can you drive in a recently paved alley,0.0,667488,How soon can you drive on a newly built entrance,0.0,667488,How soon can you drive on the newly paved driveway,0.2952,667488,How much longer can you drive on a newly paved road,0.0003,667488,How soon can you drive a newly folded driveway,0.3989,667488,Will you soon be able to drive on the new highway,0.0017
3507491,Why is religious freedom more important today?,0.2693,3507491,Why is religious freedom so important today,0.2707,3507491,Why is religious freedom more important today,0.2693,3507491,Why is religious freedom so important today,0.2707,3507491,Why is religious freedom more important today,0.2693,3507491,Why is religious freedom more important today,0.2693,3507491,Why is religious freedom more important today,0.2693,3507491,Why is religious freedom more important today,0.2693,3507491,Why is religious freedom more important now,0.2038,3507491,Why is religious freedom important today,0.2637,3507491,Why is religious freedom more important today,0.2693
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",0.1232,2634143,What are direct loans  audio loans  language loans  cultural loans  intimacy loans,0.0002,2634143,What are direct loans  phonological loans  linguistic loans  cultural loans  intimate loans,0.0007,2634143,What is direct borrowing  voice borrowing  linguistic borrowing  cultural borrowing  intimate borrowing,0.1202,2634143,What is direct  telephone  language  cultural  and personal loans,0.0,2634143,What is direct lending  phonological lending  linguistic lending  cultural lending  intimate lending,0.0018,2634143,What is direct credit  phonological credit  linguistic credit  cultural credit  intimate credit,0.0,2634143,What are direct loans  phonological loans  language loans  cultural loans  personal loans,0.0002,2634143,What are direct loans  phonology loans  language loans  cultural loans  intimate loans,0.0002,2634143,What is direct credit  audio credit  language credit  cultural credit  close credit,0.0,2634143,what is direct credit  phonological credit  language credit  cultural credit  neighborhood credit,0.0
3396066,Why do airplanes fly so high?,0.284,3396066,Why do planes fly so high,0.0238,3396066,Why do planes fly so high,0.0238,3396066,Why do planes fly so high,0.0238,3396066,Why do planes fly so high,0.0238,3396066,Why are planes flying so high,0.0245,3396066,Why do planes fly so high,0.0238,3396066,Why are planes flying so high,0.0245,3396066,Why is the plane so high,0.0094,3396066,Why do planes fly so high,0.0238,3396066,Why do birds fly so high,0.0099
2892478,what factors cause the Earth to heat unevenly?,0.2721,2892478,Why is the planet warming so much,0.0,2892478,What is causing the planet to become unevenly warmer,0.2005,2892478,What are the factors that cause uneven global warming,0.0423,2892478,What are the factors that cause global warming,0.0032,2892478,What are the factors that cause unequal global warming,0.0024,2892478,What are the factors that cause uneven warming of the earth,0.0909,2892478,What are the factors that lead to uneven global warming,0.0234,2892478,What factors cause the Earth to be unbalancedly hot,0.0043,2892478,What causes global warming to become random,0.0038,2892478,What are the causes of global warming,0.0037
