qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
2582920,What is the difference in a dried plum and a dried prune?,1.0,2582920,What s the difference between dry and dry,0.0,2582920,What s the difference between dry grass and dry grass,0.0,2582920,What s the difference between a dry and dry bush,0.0,2582920,What s the difference between a dry plum and a dry plum,0.5,2582920,What is the difference between a dry prune and a dry prune,1.0,2582920,What s the difference between a dried plum and a dried plum,1.0,2582920,What s the difference between dry cream and dry cream,0.0,2582920,What s the difference between a dried plum and a dried prune,1.0,2582920,What is the difference between a dry plum and a dry plum,0.5,2582920,What is the difference between a dried plum and a dried plum,1.0
4462511,How do i know if my gold fish is pregnant?,1.0,4462511,How do I know if my goldfish is pregnant,0.5,4462511,How do we know if a goldfish is pregnant,0.5,4462511,How do I know if the goldfish is pregnant,0.5,4462511,How do I know my goldfish is pregnant,0.5,4462511,How do I know if my goldfish is pregnant,0.5,4462511,How do I know if my goldfish is pregnant,0.5,4462511,How do I know my goldfish is pregnant,0.5,4462511,How do I know if my goldfish is pregnant,0.5,4462511,How do I know if my goldfish is pregnant,0.5,4462511,How do I know if my goldfish is pregnant,0.5
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,1.0,2795030,Why would anyone drink Cuervo when it tastes the same as above,1.0,2795030,Why do people drink curbo when it tastes like going up and down,1.0,2795030,Why do people drink kerfu when it tastes the same as going down as going up,0.5,2795030,Why do people eat the quirou when I like to go up and down,0.0156,2795030,Why do people drink Cuervo when it tastes the same down and up,1.0,2795030,Why do people drink Cuervo when it tastes like it s coming down like it s coming up,1.0,2795030,Why do people drink curvo when the taste drops and rises,1.0,2795030,Why do people drink Cuervo when it feels like going up,1.0,2795030,Why does it come up and down the same taste when people drink Cuervo,1.0,2795030,Why do people drink Cuervo when its taste is the same as going down and climbing,1.0
312215,how good is apple pie when it is cold?,1.0,312215,How good is the cake when it s cold,0.0011,312215,How good is cold apple pie,1.0,312215,How good is apple pie when it s cold,1.0,312215,How good is an apple pie when it s cold,1.0,312215,What s the quality of the apple pie when it s cold,1.0,312215,How good is apple pie when it s cold,1.0,312215,How good is an apple pie when it s cold,1.0,312215,How good is apple pie when it s cold,1.0,312215,How good is Apple Pie when it s cold,1.0,312215,How good is apple pie in the cold,1.0
3363149,Why do Arabs and Mexicans look alike?,1.0,3363149,Why do Arabs and Mexicans look alike,1.0,3363149,Why are Arabs and Mexicans alike,1.0,3363149,Why do Arabs and Mexicans look alike,1.0,3363149,Why do Arabs and Mexicans look alike,1.0,3363149,Why are Arabs and Mexicans alike,1.0,3363149,Why do Arabs and Mexicans look alike,1.0,3363149,Why are Arabs and Mexicans alike,1.0,3363149,Why do Arabs and Mexicans look alike,1.0,3363149,Why are Arabs and Mexicans alike,1.0,3363149,Why do Arabs and Mexicans have similarities,1.0
1944018,Why can't teenagers vote?,1.0,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t teenagers vote,0.5,1944018,Why can t young people vote,0.05,1944018,Why can t young people vote,0.05
788976,Why did the Bush Admin cover up 9/11?,1.0,788976,Why did the Bush administration cover up,0.5,788976,Why did the Bush administration cover up,0.5,788976,Why did the Bush administration cover,1.0,788976,Why did the Bush administration cover,1.0,788976,Why did the Bush administration cover up,0.5,788976,Why did the Bush administration cover up,0.5,788976,Why did the Bush administration cover up,0.5,788976,Why did the Bush administration shut down,1.0,788976,Why did the Bush administration hide,0.1,788976,Why did the Bush administration hide,0.1
4385316,How do I keep black birds out of my bar-b-que grill?,1.0,4385316,How do I put blackbirds in my roast meat,0.0357,4385316,How do I keep the black bird away from my barbecue grill,0.1,4385316,How do I keep black birds away from the barbecue,0.0167,4385316,How do I get the black birds off the barrel,0.0056,4385316,How do I keep black birds out of my bar b que grill,1.0,4385316,How can I keep black birds out of my barbecue,0.0179,4385316,How can I keep black birds out of my bar b ku grill,0.1667,4385316,How can I avoid the blackbird from my bar b que grill,1.0,4385316,How do I keep black birds from my per b gu cook grill,0.0435,4385316,How can I keep the black bird out of my bar b que,1.0
551239,how do i find out if someone left me a life insurance policy?,0.5,551239,How do I know someone left my life insurance,0.1,551239,How do you know I left my life insurance,0.1667,551239,How do I know if someone left me a life insurance policy,1.0,551239,How do I know someone put me on life insurance,0.1667,551239,How do I know if someone left me a life insurance policy,1.0,551239,How do I know if someone left me a life insurance policy,1.0,551239,How do I know someone left me life insurance,0.1,551239,How do I know if someone left my life insurance policy,1.0,551239,How do I know if someone left me a life insurance policy,1.0,551239,How do I know if someone left me a life insurance policy,1.0
3499881,Why is Gordon Ramsey so popular?,1.0,3499881,Why is Gordon Ramsay so popular,1.0,3499881,Why is Gordon Ramsay so famous,1.0,3499881,Why is Gordon Ramsay so famous,1.0,3499881,Why is Gordon Ramsey so fond of you,1.0,3499881,Why is Gordon Ramsey so popular,1.0,3499881,Why is Gordon Ramsey so popular,1.0,3499881,Why is Gordon Ramsay so popular,1.0,3499881,Why is Gordon Ramsey so popular,1.0,3499881,Why is Gordon Ramsay so popular,1.0,3499881,Why is Gordon Ramsey so popular,1.0
4311093,Why hot air rises up?,0.5,4311093,Why is the temperature rising,0.05,4311093,Why is the hot air rising,1.0,4311093,Why is the hot air rising,1.0,4311093,Why is it hot,0.0137,4311093,Why is the hot air rising,1.0,4311093,Why is the hot air rising,1.0,4311093,Why is the hot air rising,1.0,4311093,Why is the air so hot,0.5,4311093,Why is the hot air rising,1.0,4311093,Why does the hot air increase,1.0
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,1.0,4256593,How do I get rid of the SIMM card on my LG VX,1.0,4256593,How do you remove SIMM cards from your LG VX     phone,1.0,4256593,How do I remove the SIMM card on a LG VX,1.0,4256593,How do I delete the SIMM card from the LG VX,1.0,4256593,How do you get the SIM card out of an LG VX     cell phone,1.0,4256593,How do I remove the SIM card from an LG VX     phone,1.0,4256593,How to delete a SIMM card on an LG VX     mobile phone,1.0,4256593,How do I get the SIM card out of my LG VX     cell phone,1.0,4256593,How to remove SIMM card on LG VX     mobile phone,1.0,4256593,How can I remove SIMM from my LG VX     mobile phone,1.0
1017690,what is the history of indian music?,1.0,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,What s the history of Indian music,0.5,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,What is the history of Indian music,1.0,1017690,How did Indian music come about,1.0
667488,how soon can you drive on a newly paved driveway?,0.5,667488,How long will it take you to drive on the newly paved lane,0.0018,667488,How fast can you drive a newly packed car,0.0,667488,When are you gonna be able to drive on the newly paved road,0.0034,667488,How long can you drive on a freshly flattened playground,0.0018,667488,  Can you drive in a recently paved alley,0.0,667488,How soon can you drive on a newly built entrance,0.0,667488,How soon can you drive on the newly paved driveway,0.5,667488,How much longer can you drive on a newly paved road,0.0029,667488,How soon can you drive a newly folded driveway,1.0,667488,Will you soon be able to drive on the new highway,0.0417
3507491,Why is religious freedom more important today?,1.0,3507491,Why is religious freedom so important today,1.0,3507491,Why is religious freedom more important today,1.0,3507491,Why is religious freedom so important today,1.0,3507491,Why is religious freedom more important today,1.0,3507491,Why is religious freedom more important today,1.0,3507491,Why is religious freedom more important today,1.0,3507491,Why is religious freedom more important today,1.0,3507491,Why is religious freedom more important now,1.0,3507491,Why is religious freedom important today,0.5,3507491,Why is religious freedom more important today,1.0
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",0.25,2634143,What are direct loans  audio loans  language loans  cultural loans  intimacy loans,0.0054,2634143,What are direct loans  phonological loans  linguistic loans  cultural loans  intimate loans,0.0054,2634143,What is direct borrowing  voice borrowing  linguistic borrowing  cultural borrowing  intimate borrowing,0.25,2634143,What is direct  telephone  language  cultural  and personal loans,0.0015,2634143,What is direct lending  phonological lending  linguistic lending  cultural lending  intimate lending,0.0052,2634143,What is direct credit  phonological credit  linguistic credit  cultural credit  intimate credit,0.0,2634143,What are direct loans  phonological loans  language loans  cultural loans  personal loans,0.0052,2634143,What are direct loans  phonology loans  language loans  cultural loans  intimate loans,0.0054,2634143,What is direct credit  audio credit  language credit  cultural credit  close credit,0.0,2634143,what is direct credit  phonological credit  language credit  cultural credit  neighborhood credit,0.0
3396066,Why do airplanes fly so high?,1.0,3396066,Why do planes fly so high,0.0625,3396066,Why do planes fly so high,0.0625,3396066,Why do planes fly so high,0.0625,3396066,Why do planes fly so high,0.0625,3396066,Why are planes flying so high,0.0667,3396066,Why do planes fly so high,0.0625,3396066,Why are planes flying so high,0.0667,3396066,Why is the plane so high,0.0455,3396066,Why do planes fly so high,0.0625,3396066,Why do birds fly so high,0.0357
2892478,what factors cause the Earth to heat unevenly?,1.0,2892478,Why is the planet warming so much,0.0,2892478,What is causing the planet to become unevenly warmer,1.0,2892478,What are the factors that cause uneven global warming,0.25,2892478,What are the factors that cause global warming,0.0227,2892478,What are the factors that cause unequal global warming,0.0128,2892478,What are the factors that cause uneven warming of the earth,0.3333,2892478,What are the factors that lead to uneven global warming,0.1667,2892478,What factors cause the Earth to be unbalancedly hot,0.0217,2892478,What causes global warming to become random,0.0222,2892478,What are the causes of global warming,0.027
3155314,"we have pork chops, veal chops, lamb chops, why is there not any beef chops ?",0.5,3155314,We have pork  beef  goat  why not beef,0.125,3155314,Pig  chicken  beef  why not beef,0.0556,3155314,We have pork  veal  lamb  why is there no beef,0.3333,3155314,We have pork  doll s meat  lamb s meat  why not beef,0.3333,3155314,We have pig  calf  lamb cakes  why aren t there beef cakes,0.0714,3155314,We have pork  veal  lamb  why is there no beef,0.3333,3155314,We have pigs  calves  lambs  why is there no beef,0.3333,3155314,We have pork  beef  lamb  why not beef,0.5,3155314,Why not pork  beef  lamb  goat,1.0,3155314,We have pork  veal  sheep  why not beef,0.25
