qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
3554263,"why some people behave so rude without reason,is it due to their own problem?",0.1475,3554263,Why are some people so rude without any reason  Is it because they have problems,0.057,3554263,Why do some people act disrespectfully,0.0,3554263,Why do some people act inappropriately for no reason,0.0006,3554263,Why do some people act so rude for no reason,0.0255,3554263,Why do some people act so rude for no reason  because of their own problem,0.0361,3554263,Why do some people behave so rude is because of their own problem,0.0453,3554263,Why do some people act so rude for no reason  it s because of their own problems,0.0276,3554263,Why do some people act so cruel for no reason  because of their own problems,0.0001,3554263,Why do some people act so badly for no reason  and is it their own fault,0.0002,3554263,Why do some people act cruelly for no reason  or is it because of their own problem,0.0001
3313308,how can I enjoy my time alone?,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my time alone,0.0546,3313308,How can I enjoy my own time,0.0007,3313308,How can I enjoy being alone,0.0346,3313308,how can I enjoy my time alone,0.0546
4357460,how to make my car faster?,0.1831,4357460,How do I get my speed up,0.0001,4357460,How can we build a car faster,0.0692,4357460,How can I make you faster,0.0051,4357460,How do I get my car faster,0.0326,4357460,How do I get my car faster,0.0326,4357460,How can I make my car faster,0.0917,4357460,How do I make my car faster,0.0691,4357460,How can I make my car faster,0.0917,4357460,How do you make my car faster,0.0847,4357460,how to make my car faster,0.1831
2582920,What is the difference in a dried plum and a dried prune?,0.7404,2582920,What s the difference between dry and dry,0.0,2582920,What s the difference between dry grass and dry grass,0.0,2582920,What s the difference between a dry and dry bush,0.0,2582920,What s the difference between a dry plum and a dry plum,0.3963,2582920,What is the difference between a dry prune and a dry prune,0.6552,2582920,What s the difference between a dried plum and a dried plum,0.6916,2582920,What s the difference between dry cream and dry cream,0.0,2582920,What s the difference between a dried plum and a dried prune,0.729,2582920,What is the difference between a dry plum and a dry plum,0.4143,2582920,What is the difference between a dried plum and a dried plum,0.6997
4462511,How do i know if my gold fish is pregnant?,0.3738,4462511,How do I know if my goldfish is pregnant,0.062,4462511,How do we know if a goldfish is pregnant,0.084,4462511,How do I know if the goldfish is pregnant,0.0664,4462511,How do I know my goldfish is pregnant,0.062,4462511,How do I know if my goldfish is pregnant,0.062,4462511,How do I know if my goldfish is pregnant,0.062,4462511,How do I know my goldfish is pregnant,0.062,4462511,How do I know if my goldfish is pregnant,0.062,4462511,How do I know if my goldfish is pregnant,0.062,4462511,How do I know if my goldfish is pregnant,0.062
2795030,Why do people drink Cuervo when it tastes the same going down as coming up?,0.2009,2795030,Why would anyone drink Cuervo when it tastes the same as above,0.1027,2795030,Why do people drink curbo when it tastes like going up and down,0.2029,2795030,Why do people drink kerfu when it tastes the same as going down as going up,0.1197,2795030,Why do people eat the quirou when I like to go up and down,0.004,2795030,Why do people drink Cuervo when it tastes the same down and up,0.1976,2795030,Why do people drink Cuervo when it tastes like it s coming down like it s coming up,0.085,2795030,Why do people drink curvo when the taste drops and rises,0.1584,2795030,Why do people drink Cuervo when it feels like going up,0.0892,2795030,Why does it come up and down the same taste when people drink Cuervo,0.1982,2795030,Why do people drink Cuervo when its taste is the same as going down and climbing,0.1075
312215,how good is apple pie when it is cold?,0.5558,312215,How good is the cake when it s cold,0.0,312215,How good is cold apple pie,0.576,312215,How good is apple pie when it s cold,0.5526,312215,How good is an apple pie when it s cold,0.5526,312215,What s the quality of the apple pie when it s cold,0.2912,312215,How good is apple pie when it s cold,0.5526,312215,How good is an apple pie when it s cold,0.5526,312215,How good is apple pie when it s cold,0.5526,312215,How good is Apple Pie when it s cold,0.5526,312215,How good is apple pie in the cold,0.576
3363149,Why do Arabs and Mexicans look alike?,0.4655,3363149,Why do Arabs and Mexicans look alike,0.4655,3363149,Why are Arabs and Mexicans alike,0.346,3363149,Why do Arabs and Mexicans look alike,0.4655,3363149,Why do Arabs and Mexicans look alike,0.4655,3363149,Why are Arabs and Mexicans alike,0.346,3363149,Why do Arabs and Mexicans look alike,0.4655,3363149,Why are Arabs and Mexicans alike,0.346,3363149,Why do Arabs and Mexicans look alike,0.4655,3363149,Why are Arabs and Mexicans alike,0.346,3363149,Why do Arabs and Mexicans have similarities,0.1351
1944018,Why can't teenagers vote?,0.072,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t teenagers vote,0.1621,1944018,Why can t young people vote,0.0296,1944018,Why can t young people vote,0.0296
788976,Why did the Bush Admin cover up 9/11?,0.4475,788976,Why did the Bush administration cover up,0.0275,788976,Why did the Bush administration cover up,0.0275,788976,Why did the Bush administration cover,0.0261,788976,Why did the Bush administration cover,0.0261,788976,Why did the Bush administration cover up,0.0275,788976,Why did the Bush administration cover up,0.0275,788976,Why did the Bush administration cover up,0.0275,788976,Why did the Bush administration shut down,0.011,788976,Why did the Bush administration hide,0.0121,788976,Why did the Bush administration hide,0.0121
4385316,How do I keep black birds out of my bar-b-que grill?,0.3573,4385316,How do I put blackbirds in my roast meat,0.0017,4385316,How do I keep the black bird away from my barbecue grill,0.023,4385316,How do I keep black birds away from the barbecue,0.0012,4385316,How do I get the black birds off the barrel,0.0042,4385316,How do I keep black birds out of my bar b que grill,0.3573,4385316,How can I keep black birds out of my barbecue,0.0027,4385316,How can I keep black birds out of my bar b ku grill,0.1899,4385316,How can I avoid the blackbird from my bar b que grill,0.2542,4385316,How do I keep black birds from my per b gu cook grill,0.0226,4385316,How can I keep the black bird out of my bar b que,0.2149
551239,how do i find out if someone left me a life insurance policy?,0.5796,551239,How do I know someone left my life insurance,0.0524,551239,How do you know I left my life insurance,0.0502,551239,How do I know if someone left me a life insurance policy,0.5669,551239,How do I know someone put me on life insurance,0.0539,551239,How do I know if someone left me a life insurance policy,0.5669,551239,How do I know if someone left me a life insurance policy,0.5669,551239,How do I know someone left me life insurance,0.0549,551239,How do I know if someone left my life insurance policy,0.547,551239,How do I know if someone left me a life insurance policy,0.5669,551239,How do I know if someone left me a life insurance policy,0.5669
3499881,Why is Gordon Ramsey so popular?,0.244,3499881,Why is Gordon Ramsay so popular,0.0933,3499881,Why is Gordon Ramsay so famous,0.138,3499881,Why is Gordon Ramsay so famous,0.138,3499881,Why is Gordon Ramsey so fond of you,0.3242,3499881,Why is Gordon Ramsey so popular,0.244,3499881,Why is Gordon Ramsey so popular,0.244,3499881,Why is Gordon Ramsay so popular,0.0933,3499881,Why is Gordon Ramsey so popular,0.244,3499881,Why is Gordon Ramsay so popular,0.0933,3499881,Why is Gordon Ramsey so popular,0.244
4311093,Why hot air rises up?,0.6637,4311093,Why is the temperature rising,0.0238,4311093,Why is the hot air rising,0.6741,4311093,Why is the hot air rising,0.6741,4311093,Why is it hot,0.0064,4311093,Why is the hot air rising,0.6741,4311093,Why is the hot air rising,0.6741,4311093,Why is the hot air rising,0.6741,4311093,Why is the air so hot,0.2781,4311093,Why is the hot air rising,0.6741,4311093,Why does the hot air increase,0.2125
4256593,How do I remove the SIMM card on a LG VX8300 Cell Phone?,0.6332,4256593,How do I get rid of the SIMM card on my LG VX,0.2313,4256593,How do you remove SIMM cards from your LG VX     phone,0.6498,4256593,How do I remove the SIMM card on a LG VX,0.3903,4256593,How do I delete the SIMM card from the LG VX,0.2229,4256593,How do you get the SIM card out of an LG VX     cell phone,0.5437,4256593,How do I remove the SIM card from an LG VX     phone,0.5139,4256593,How to delete a SIMM card on an LG VX     mobile phone,0.2945,4256593,How do I get the SIM card out of my LG VX     cell phone,0.5108,4256593,How to remove SIMM card on LG VX     mobile phone,0.3614,4256593,How can I remove SIMM from my LG VX     mobile phone,0.2552
1017690,what is the history of indian music?,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What s the history of Indian music,0.4015,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,What is the history of Indian music,0.5575,1017690,How did Indian music come about,0.1435
667488,how soon can you drive on a newly paved driveway?,0.4868,667488,How long will it take you to drive on the newly paved lane,0.0004,667488,How fast can you drive a newly packed car,0.0,667488,When are you gonna be able to drive on the newly paved road,0.0029,667488,How long can you drive on a freshly flattened playground,0.0001,667488,  Can you drive in a recently paved alley,0.0001,667488,How soon can you drive on a newly built entrance,0.0,667488,How soon can you drive on the newly paved driveway,0.4868,667488,How much longer can you drive on a newly paved road,0.0009,667488,How soon can you drive a newly folded driveway,0.4847,667488,Will you soon be able to drive on the new highway,0.0043
3507491,Why is religious freedom more important today?,0.49,3507491,Why is religious freedom so important today,0.4466,3507491,Why is religious freedom more important today,0.49,3507491,Why is religious freedom so important today,0.4466,3507491,Why is religious freedom more important today,0.49,3507491,Why is religious freedom more important today,0.49,3507491,Why is religious freedom more important today,0.49,3507491,Why is religious freedom more important today,0.49,3507491,Why is religious freedom more important now,0.3258,3507491,Why is religious freedom important today,0.4777,3507491,Why is religious freedom more important today,0.49
2634143,"what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?",0.1734,2634143,What are direct loans  audio loans  language loans  cultural loans  intimacy loans,0.0002,2634143,What are direct loans  phonological loans  linguistic loans  cultural loans  intimate loans,0.0007,2634143,What is direct borrowing  voice borrowing  linguistic borrowing  cultural borrowing  intimate borrowing,0.1724,2634143,What is direct  telephone  language  cultural  and personal loans,0.0003,2634143,What is direct lending  phonological lending  linguistic lending  cultural lending  intimate lending,0.0025,2634143,What is direct credit  phonological credit  linguistic credit  cultural credit  intimate credit,0.0,2634143,What are direct loans  phonological loans  language loans  cultural loans  personal loans,0.0002,2634143,What are direct loans  phonology loans  language loans  cultural loans  intimate loans,0.0002,2634143,What is direct credit  audio credit  language credit  cultural credit  close credit,0.0,2634143,what is direct credit  phonological credit  language credit  cultural credit  neighborhood credit,0.0
3396066,Why do airplanes fly so high?,0.3619,3396066,Why do planes fly so high,0.0367,3396066,Why do planes fly so high,0.0367,3396066,Why do planes fly so high,0.0367,3396066,Why do planes fly so high,0.0367,3396066,Why are planes flying so high,0.0394,3396066,Why do planes fly so high,0.0367,3396066,Why are planes flying so high,0.0394,3396066,Why is the plane so high,0.0212,3396066,Why do planes fly so high,0.0367,3396066,Why do birds fly so high,0.0159
2892478,what factors cause the Earth to heat unevenly?,0.4241,2892478,Why is the planet warming so much,0.0,2892478,What is causing the planet to become unevenly warmer,0.1056,2892478,What are the factors that cause uneven global warming,0.016,2892478,What are the factors that cause global warming,0.0063,2892478,What are the factors that cause unequal global warming,0.0062,2892478,What are the factors that cause uneven warming of the earth,0.0649,2892478,What are the factors that lead to uneven global warming,0.0063,2892478,What factors cause the Earth to be unbalancedly hot,0.0364,2892478,What causes global warming to become random,0.0138,2892478,What are the causes of global warming,0.0074
