qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
825,National Guard Involvement in Iraq,0.1429,1,backtranslation_deu_latn,0.3333,Participation of the National Guard in Iraq,,,,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support,0.3333,1,backtranslation_tam_taml,0.5,The Spanish Civil War was a turning point in the history of the Spanish Civil War,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes,0.2,2,backtranslation_zsm_latn,1.0,Global earthquake placement system,backtranslation_fra_latn,0.25,Earthquake of the World Positioning System,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History,0.0714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,textile dyeing techniques,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough,0.0769,1,backtranslation_pes_arab,1.0,I m going to see David McCullough,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II,0.25,9,backtranslation_yue_hant,1.0,Portugal during the Second World War,backtranslation_kor_hang,1.0,Portugal during the Second World War,backtranslation_pes_arab,1.0,Portugal during World War II,backtranslation_fra_latn,1.0,Portugal in the Second World War,backtranslation_deu_latn,1.0,Portugal Second World War,backtranslation_rus_cyrl,1.0,Portugal Second world war,backtranslation_zsm_latn,1.0,Portugal during World War II,backtranslation_tam_taml,1.0,Portugal during World War II,backtranslation_swh_latn,1.0,Portugal during World War II
848,radio station call letters,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
