qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
811,handwriting recognition,0.2808,811,Handwritten identification,0.0207,811,Signature,0.0,811,Identifying the handwriting,0.019,811,Handwritten recognition,0.1787,811,recognition of writing,0.0057,811,Handwriting identification,0.0113,811,recognition of handwriting,0.2808,811,handwriting recognition,0.2808,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,0.5012,812,Full knee replacement surgery,0.4683,812,Full knee replacement surgery,0.4683,812,Full knee replacement surgery,0.4683,812,Knee replacement surgery,0.4609,812,total knee replacement surgery,0.5012,812,Total knee replacement operation,0.441,812,General operation for knee replacement,0.3921,812,Total knee replacement surgery,0.5012,812,A complete knee replacement,0.3184,812,knee surgery,0.2691
813,Atlantic Intracoastal Waterway,0.2986,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0001,813,The Atlantic Waterway,0.1657,813,The waterway into the Atlantic coast,0.0946,813,The Atlantic Intracoastal Waterway,0.2986,813,Intracoastal waterway of the Atlantic,0.2986,813,Inland sea routes of the Atlantic,0.0009,813,Waterways in the Atlantic coast,0.0946,813,The coastal marine waterway,0.0048,813,The Atlantic Ocean s Inland Waterway,0.0645
814,Johnstown flood,0.6922,814,Johnstown flood,0.6922,814,The Johnstown Flood,0.6922,814,The Johnstown floods,0.6922,814,The flood of Johnstown,0.6922,814,Flood in Johnstown,0.6922,814,Johnstown Flood,0.6922,814,Flooding in Johnstown,0.6922,814,Flooding in Johnstown,0.6922,814,Johnstown Flood,0.6922,814,Floods in Johnstown,0.6922
815,Coast Guard rescues,0.1404,815,Coast Guard rescue,0.1404,815,Coast Guard rescue team,0.1132,815,The Coast Guard rescue,0.1404,815,The Coast Guard is rescuing,0.1404,815,Rescue by the Coast Guard,0.1404,815,Rescue of the Coast Guard,0.1404,815,Coast Guard rescuers,0.014,815,The Coast Guard Rescue,0.1404,815,Coast Guard rescue,0.1404,815,The Safety of the Coast Guard,0.0219
816,USAID assistance to Galapagos,0.7736,816,USAID is helping Galapagos,0.8637,816,USAID support for the Galapagos region,0.8143,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,0.4119,816,USAID aid to the Galapagos,0.722,816,Aid from USAID in the Galapagos,0.7576,816,USAID support for the Galapagos,0.8356,816,USAID s assistance to the Galapagos,0.798,816,USAID aid to the Galapagos,0.722,816,USAID aid on the Galapagos,0.722,816,USAID assistance to the Galapagos,0.7736
817,sports stadium naming rights,0.2786,817,The naming rights of the stadium,0.2699,817,Sports stadium name card,0.1342,817,Sports fields naming rights,0.0074,817,Sports stadium naming rights,0.2786,817,Rights to name sports stadiums,0.2786,817,Sports stadium rights,0.2368,817,right to name the sports stadium,0.2786,817,right to name sports stadiums,0.2786,817,Naming rights of the stadium,0.2699,817,rights to the name of the stadium,0.2699
818,Chaco Culture National Park,0.2037,818,The Chako Culture National Park,0.0015,818,The Chako Cultural National Park,0.0015,818,The national park of culture of the Chaco,0.2037,818,The national park of culture of the Chaco,0.2037,818,The Chaco National Park,0.0909,818,The Chaco culture national park,0.2037,818,The Chaco National Park of Culture,0.2037,818,The Chaco Cultural Park,0.3247,818,Sago Cultural National Park,0.0012,818,The Chaco National Park,0.0909
819,1890 Census,0.5531,819,The      census,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,Census of,0.0047,819,Census of,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,Census,0.0047,819,Population in,0.0008
820,imported fire ants,0.7563,820,Importing fire,0.0752,820,Imported fireworks,0.0,820,Imported fire ants,0.7563,820,Fire ants are in,0.6603,820,imported fire ants,0.7563,820,Import of fire ants,0.7563,820,imported fire ants,0.7563,820,imported fire ants,0.7563,820,Imported fire ants,0.7563,820,outdoor fireflies,0.0
821,Internet work-at-home scams,0.2364,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0004,821,Internet scams at work at home,0.2364,821,Internet scams at work,0.1529,821,The scams on the Internet,0.054,821,Internet Fraud at Work at Home,0.0504,821,Internet fraud at work,0.0142,821,Internet fraud at home,0.0287,821,The Internet is a home for online work,0.0017,821,Cheating on the Internet,0.0
822,Custer's Last Stand,0.0837,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0329,822,The last stop of Custer,0.0329,822,Custer s last stand,0.0725,822,Custer s last stand,0.0725,822,Custer s last post,0.0205,822,Custer s last defense,0.1036,822,The final stage of Castro,0.0,822,Custer s Final Victory,0.0231
823,Continuing care retirement communities,0.2914,823,Continuing to care for the retirement community,0.2914,823,Continuous management retirement community,0.0592,823,Continuous retirement communities,0.0837,823,Continuing care retirement communities,0.2914,823,Continuing care pension communities,0.0067,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.0002,823,The community of retired people continues to care,0.2099,823,Continuous care pension communities,0.0067,823,Adult communities to thrive,0.0
824,Civil Air Patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Public air services,0.0001,824,Civil Air Force,0.0652,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.0687,825,The Iraqi National Guard is involved,0.0211,825,The National Guard s involvement in Iraq,0.0563,825,National Guard involvement in Iraq,0.0687,825,National Army involvement in Iraq,0.0057,825,National Guard involvement in Iraq,0.0687,825,Participation of the National Guard in Iraq,0.0933,825,The National Guard s involvement in Iraq,0.0563,825,National Guard involvement in Iraq,0.0687,825,National Police participation in Iraq,0.0046,825,The National Guard in Iraq,0.0918
826,Florida Seminole Indians,0.2695,826,The Florida Seminole Indians,0.2695,826,The Florida Seminole Indian,0.2695,826,Seminole Indian in Florida,0.2695,826,The Seminole Indians of Florida,0.2695,826,Seminole Indians of Florida,0.2695,826,Florida Seminole Indians,0.2695,826,The Seminole Indians of Florida,0.2695,826,The Seminole Indians of Florida,0.2695,826,Florida Seminole Indians,0.2695,826,Seminole Indians of Florida,0.2695
827,Hidden Markov Modeling HMM,0.4363,827,The hidden Malkovic simulation of HMM,0.3272,827,HMM hidden markup modeling,0.4149,827,Markov is hiding a model hymn,0.0629,827,The secret model of the HMM Markov,0.4458,827,Hidden modeling of Markov HMM,0.4363,827,Hidden Markov modeling HMM,0.4363,827,The hidden model of Markov HMM,0.4363,827,HMM model of Markov hidden,0.4363,827,HMM with hidden Markov modeling,0.4363,827,Secret Markov Modeling HMM,0.4458
828,secret shoppers,0.2763,828,Secret shoppers,0.2763,828,Secret shoppers,0.2763,828,The secret shoppers,0.2763,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,0.2763,828,Secret buyers,0.0,828,secret shoppers,0.2763
829,Spanish Civil War support,0.0755,829,Spanish Civil War support,0.0755,829,Spanish Civil War Support,0.0755,829,Supporting the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Supporting the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.0373,829,Aid for the Spanish Civil War,0.0537
830,model railroads,0.0254,830,The model of railroads,0.0254,830,Model railway,0.0043,830,Typical railways,0.0,830,Model railway,0.0043,830,railway model,0.0043,830,Model route,0.0,830,model of railways,0.0043,830,model railway,0.0043,830,Model railway,0.0043,830,model railways,0.0043
831,Dulles Airport security,0.5786,831,Dulles Airport is safe,0.0471,831,Dallas airport security,0.0249,831,Dalyes airport security,0.0378,831,Security at Dallas Airport,0.0249,831,Security at Dulles Airport,0.5786,831,Security at Dulles Airport,0.5786,831,The security of the Dallas airport,0.0249,831,Dulles Airport Security,0.5786,831,Airport security of Dulles,0.5786,831,Security at Dulles Airport,0.5786
832,labor union activity,0.1706,832,The trade union movement,0.0035,832,Trade union activities,0.0041,832,Trade union activity,0.0041,832,Trade unions,0.0016,832,trade union activity,0.0041,832,Trade union activity,0.0041,832,Trade union activities,0.0041,832,trade union activities,0.0041,832,Trade union activity,0.0041,832,trade union activities,0.0041
833,Iceland government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic Government,0.5123,833,Government of Iceland,0.5123,833,The Government of Iceland,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123
834,Global positioning system earthquakes,0.3159,834,Global positioning system,0.005,834,Global location system earthquake,0.0728,834,Earthquakes in the global positioning system,0.3159,834,Earthquakes in the global positioning system,0.3159,834,Earthquake of the World Positioning System,0.0329,834,Earthquakes of the global positioning system,0.3159,834,Global positioning systems for earthquakes,0.3159,834,Global earthquake placement system,0.0844,834,The global positioning system earthquakes,0.3159,834,Earthquake of a system of local order,0.0145
835,Big Dig pork,0.0826,835,It s a big pig,0.0002,835,Big  digging pigs,0.0291,835,Big pork,0.0005,835,Big pork,0.0005,835,The Pork of the Dig,0.0006,835,Big pigs,0.0003,835,Big pigs,0.0003,835,Big pork,0.0005,835,Big digging meat,0.0514,835,The large pig,0.0
836,illegal immigrant wages,0.218,836,The wages of illegal immigrants,0.218,836,The wages of illegal immigrants,0.218,836,Illegal immigrant wages,0.218,836,The rights of illegal immigrants,0.0715,836,wages of illegal immigrants,0.218,836,Wages for illegal immigrants,0.218,836,wages of illegal immigrants,0.218,836,Illegal immigrant wages,0.218,836,The wages of illegal immigrants,0.218,836,wages of legal immigrants,0.0293
837,Eskimo History,0.0671,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The story is sketchy,0.0001,837,The history of the Eskimos,0.0671,837,The history of Eskimo,0.0671,837,The History of the Waeskim,0.0
838,urban suburban coyotes,0.2955,838,And the suburbs,0.0,838,Coyote outside the city,0.2221,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,0.5162,838,Suburban coyotes,0.3136,838,urban coyotes,0.5162,838,Suburban coyotes,0.3136,838,Urban coyotes,0.5162,838,urban coyotes,0.5162
839,textile dyeing techniques,0.5587,839,Weaving technology,0.0013,839,Fiber dyeing,0.1779,839,Techniques for dyeing fabrics,0.2549,839,Textile dyeing techniques,0.5587,839,textile dyeing techniques,0.5587,839,Textile colouring processes,0.0167,839,textile painting techniques,0.0099,839,textile dyeing techniques,0.5587,839,Textile dyeing techniques,0.5587,839,techniques for dyeing clothes,0.0869
840,Geysers,0.1648,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,0.1648,840,The Geyser,0.1648,840,The geysers,0.1648,840,Other geysers,0.1604,840,Geysers,0.1648,840,Geysers,0.1648,840,Kaiser,0.0,840,Geysers,0.1648
841,camel North America,0.3307,841,North American camel,0.1692,841,The Camel North American,0.1692,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,Camel North America,0.3307,841,North American camel,0.1692,841,North America,0.0,841,camels in North America,0.3307
842,David McCullough,0.0978,842,David McCullough,0.0978,842,I m not going to lie,0.0001,842,I  m not going to lie,0.0001,842,I m going to see David McCullough,0.0757,842,David McCullough,0.0978,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.0978,842,David McCullough is,0.0978,842,David McCullough,0.0978,842,David McCullough,0.0978
843,Pol Pot,0.3728,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,0.3728,843,Pol Pot,0.3728,843,Paul Pot,0.0011,843,Pol Pot,0.3728,843,Paul Pot,0.0011,843,Pol Pot,0.3728
844,segmental duplications,0.0549,844,Partially copied,0.0,844,Copy the segment,0.0002,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.0549,844,segmental duplications,0.0549,844,duplication of the segment,0.0549,844,division double,0.0,844,segmental duplications,0.0549
845,New Jersey tomato,0.3806,845,New Jersey tomatoes are the best,0.3077,845,The New Jersey tomatoes,0.3806,845,New Jersey tomatoes,0.3806,845,The New Jersey tomatoes,0.3806,845,Tomatoes from New Jersey,0.3622,845,Tomatoes from New Jersey,0.3622,845,Tomatoes from New Jersey,0.3622,845,New Jersey tomatoes,0.3806,845,New Jersey tomatoes,0.3806,845,New Jersey s grandmother,0.0001
846,heredity and obesity,0.1802,846,Genetics and obesity,0.0671,846,Genetics and obesity,0.0671,846,Genetics and obesity,0.0671,846,Genetic and obese,0.0671,846,inherited and obese,0.0266,846,Inheritance and Obesity,0.0266,846,inheritance and obesity,0.0266,846,offspring and obesity,0.0061,846,Genetic and obesity,0.0671,846,Inheritance and obesity,0.0266
847,Portugal World War II,0.2543,847,Portugal during the Second World War,0.3586,847,Portugal during the Second World War,0.3586,847,Portugal World War II,0.2543,847,Portugal during World War II,0.304,847,Portugal in the Second World War,0.2961,847,Portugal Second World War,0.2961,847,Portugal Second world war,0.2961,847,Portugal during World War II,0.304,847,Portugal during World War II,0.304,847,Portugal during World War II,0.304
848,radio station call letters,0.1069,848,The radio call letters,0.0439,848,Telephone mail from the radio station,0.0102,848,Call messages to the radio station,0.0066,848,The radio station s call letters,0.062,848,Letters of call from the radio station,0.1185,848,Telephone calls from radio stations,0.008,848,Calls to the radio station,0.0224,848,Radio station call letters,0.1069,848,Radio station call letters,0.1069,848,telephone letters from a radio station,0.0669
849,Scalable Vector Graphics,0.2102,849,Expandable vector map,0.0,849,Expandable vector graphics,0.0081,849,Growing vector graphics,0.0054,849,Scalable metric graphics,0.0107,849,The following table shows the evolutionary vector graphs,0.0007,849,Scalable vector graphics,0.2102,849,Scalable vector graphs,0.0201,849,Vector graphs that can be measured,0.0013,849,Scable vector charts,0.0,849,Scalable Vector Graphics,0.2102
850,Mississippi River flood,0.2103,850,The flooding of the Mississippi River,0.2103,850,The Mississippi River Flood,0.2103,850,The Mississippi flood,0.2449,850,Flooding of the Mississippi River,0.2103,850,Flooding of the Mississippi River,0.2103,850,Flooding of the Mississippi,0.2449,850,The Mississippi River Flood,0.2103,850,Flooding of the Mississippi River,0.2103,850,The Mississippi River Flood,0.2103,850,The Mississippi River is about to decay,0.013
