qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8
837,Eskimo History,0.0944,0,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes,0.3531,4,backtranslation_fra_latn,0.5081,urban coyotes,backtranslation_rus_cyrl,0.5081,urban coyotes,backtranslation_tam_taml,0.5081,Urban coyotes,backtranslation_swh_latn,0.5081,urban coyotes,,,,,,,,,,,,
839,textile dyeing techniques,0.5885,0,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers,0.1631,0,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America,0.338,0,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough,0.1266,1,backtranslation_pes_arab,0.1424,I m going to see David McCullough,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot,0.3922,0,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications,0.0619,0,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato,0.3247,0,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity,0.1884,0,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II,0.3402,4,backtranslation_pes_arab,0.3584,Portugal during World War II,backtranslation_zsm_latn,0.3584,Portugal during World War II,backtranslation_tam_taml,0.3584,Portugal during World War II,backtranslation_swh_latn,0.3584,Portugal during World War II,,,,,,,,,,,,
848,radio station call letters,0.1496,0,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics,0.1735,0,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood,0.2558,0,,,,,,,,,,,,,,,,,,,,,,,,
