qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
711,Train station security measures,0.5,711,Railway station security measures,0.5,711,Security measures at the train station,0.5,711,Security measures for the train station,0.5,711,Security measures at the train station,0.5,711,Safety measures at railway stations,0.25,711,Safety measures for railway stations,0.25,711,Safety measures at railway stations,0.25,711,Railway station security measures,0.5,711,Railway station security measures,0.5,711,Safety measures at the train station,0.0052
712,Pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The pyramid system,0.25,712,The pyramid scheme,1.0,712,The pyramid scheme,1.0,712,Pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The Pyramid Scheme,1.0,712,Pyramid scheme,1.0,712,The pyramidal system,0.25
713,Chesapeake Bay Maryland clean,0.3333,713,Chesapeake Bay is clean  Maryland,0.3333,713,Chesapeake Bay  Maryland is clean,0.3333,713,The Chesapeake Bay   Maryland   is clean,0.3333,713,Chesapeake Bay  Maryland is clear,0.0588,713,Chesapeake Bay Maryland clean,0.3333,713,Chesapeake Bay Maryland clean,0.3333,713,The clean Chesapeake Bay of Maryland,0.3333,713,Chesapeake Bay Maryland is clean,0.3333,713,Chesapeake Bay is Maryland s cleanest,0.0833,713,Chesapeake Bay Maryland clean,0.3333
714,License restrictions older drivers,1.0,714,The driver is a restricted driver,0.3333,714,Restrictions on old driver s licenses,0.1667,714,The restrictions on older drivers  licenses,1.0,714,Restrictions on older drivers  licenses,1.0,714,Restrictions on driving licences for older drivers,0.1111,714,Licence restrictions for older drivers,0.0833,714,Limitations on driving rights of older drivers,1.0,714,Restrictions on older driving licences,0.0526,714,Driving license restrictions,1.0,714,Restrictions on a driver s license for older persons,1.0
715,Schizophrenia drugs,1.0,715,Schizophrenia drugs,1.0,715,The cure for psychosis,0.0147,715,Headache medication,0.0,715,Schizophrenia drugs,1.0,715,Drugs for schizophrenia,1.0,715,Schizophrenia medicines,0.3333,715,Medicines for schizophrenia,0.3333,715,Schizophrenia medicines,0.3333,715,Schizophrenia medications,0.5,715,Medications for mental illness,0.0027
716,Spammer arrest sue,0.125,716,Spam was arrested and charged,1.0,716,Spammers arresting lawsuit,1.0,716,The race arrest case,0.0,716,The Spammer arrest case,1.0,716,The spammers are being prosecuted,0.2,716,Spammer arrest lawsuit,1.0,716,The request for the arrest of the spammer,1.0,716,Spammer arrested for suing,1.0,716,The case of the spammers arrest,1.0,716,Spammer arrested trial,1.0
717,Gifted talented student programs,1.0,717,The student program is excellent,0.5,717,A program for talented students,1.0,717,Talented student programs,1.0,717,Talented student programs,1.0,717,Programs for talented students,1.0,717,Talented students,1.0,717,Programs for talented students,1.0,717,Talented student program,1.0,717,Talented student programs,1.0,717,Programs for gifted students,1.0
718,Controlling acid rain,1.0,718,Control the acid rain,1.0,718,I m going to control the wavelength,0.0,718,Control of acid rain,1.0,718,Acid rain control,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0,718,Managing acid rain,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0
719,Cruise ship damage sea life,1.0,719,The damage to marine life caused by cruise ships,1.0,719,The marine life of a cruise ship,1.0,719,Damage to ships,0.05,719,Damage to the marine life of cruise ships,1.0,719,Damage to cruise ships,1.0,719,Damage to cruise ships,1.0,719,Damage to the marine life of cruise ships,1.0,719,Damage to the marine life cruise ship,1.0,719,The impact of marine life on ships,0.25,719,Sea life for ships,0.0312
720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reforms,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reforms,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Federal reform of social security,0.0021,720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Reforms to federal welfare,0.3333
721,Census data applications,0.25,721,The census data request,0.1667,721,Application for census data,0.25,721,Requests for statistical data,0.0175,721,Request for census data,0.1667,721,Applications of census data,0.25,721,Applications for census data,0.25,721,Applications for the population census data,0.3333,721,Applications for survey data,0.0098,721,Applications for census data,0.25,721,Request for census data,0.1667
722,Iran terrorism,1.0,722,Iran s terrorism,0.5,722,Terrorism in Iran,1.0,722,The Iranian terrorism,0.5,722,Terrorism in Iran,1.0,722,Iran s terrorism,0.5,722,Terrorism in Iran,1.0,722,Iran s terrorism,0.5,722,Iran is a terrorist,1.0,722,Iran terrorism,1.0,722,Terrorism as a Crime,0.0035
723,Executive privilege,1.0,723,The privilege of execution,1.0,723,The privilege of execution,1.0,723,Executive privileges,1.0,723,The executive award,0.0026,723,Executive privilege,1.0,723,Priority of leadership,0.0,723,The executive privilege,1.0,723,Executive powers,0.0081,723,The administrative right,0.0,723,Freedom of Leadership,0.0013
724,Iran Contra,1.0,724,Iran is against it,0.0,724,Half of Iran,0.0022,724,Iran,0.0011,724,Against Iran,0.0,724,The EU is a strong supporter of the EU,0.0,724,Infringement of the procedure,0.0,724,The counter Iran,0.0026,724,Contra Iran,1.0,724,against Iran,0.0,724,Contra Iran,1.0
725,Low white blood cell count,0.5,725,Low blood cell count,1.0,725,Low white blood cells,0.3333,725,Reduced white blood cell count,0.125,725,Low white blood cell count,0.5,725,Low white blood cell content,0.125,725,Low blood cell counts,1.0,725,Low white blood cell count,0.5,725,Low white blood cell count,0.5,725,The number of white blooded chickens is low,0.0137,725,Low white blood cell count,0.5
726,Hubble telescope repairs,1.0,726,The Hubble Telescope is repairing,1.0,726,Repair of the Hubble Telescope,1.0,726,Repairs to the Hubble Telescope,1.0,726,Repair of the Hubble Telescope,1.0,726,Repairs of the Hubble Telescope,1.0,726,Repairs of the Hubble Telescope,1.0,726,Repair of the Hubble telescope,1.0,726,Repair of the Hubble telescope,1.0,726,Hubble telescope repair,1.0,726,Repairing the Hubble telescope,1.0
727,Church arson,1.0,727,Burn the church,1.0,727,The Church burned down,1.0,727,Burn the church,1.0,727,The church fire,0.3333,727,church fire,0.3333,727,Church fire,0.3333,727,Fire in the church,0.3333,727,Burning the church,1.0,727,The Church Burning,1.0,727,Lighting a fire in a church,0.2
728,whales save endangered,1.0,728,Fish  except for endangered fish,0.0,728,Except for the endangered whale,1.0,728,The whales are endangered,1.0,728,Whales except for the endangered whales,1.0,728,whales except threatened species,0.5,728,Whales other than endangered,1.0,728,whales  except those in danger of extinction,1.0,728,Except for the endangered whale,1.0,728,Except for endangered animals,0.0058,728,except for the endangered whales,1.0
729,Whistle blower department of defense,0.0159,729,Alert  Defense Department,0.0,729,The Department of Defense is whistling,0.0135,729,Department of Defense,0.0,729,Ministry of Defence,0.0,729,Department of Defence,0.0,729,Ministry of Defence,0.0,729,Murder in Response,0.0,729,Notice of the Department of Defense caller,0.0,729,Ministry of Defence,0.0,729,Whistle blower defense department,0.0159
730,Gastric bypass complications,0.5,730,complications of the gastrointestinal tract,0.0164,730,Uterine complications,0.0,730,The complexities of the metal planning,0.0,730,The effects of stomach ulcers,0.0016,730,Complications of gastric bypass,0.5,730,Complications of stomach uptake,0.1667,730,Conditions of bypass of the stomach,0.5,730,Compliance with abdominal bypass,0.0417,730,The infection of the stomach,0.0064,730,Problems with gastric surgery,1.0
731,Kurds history,0.1111,731,Kurdish history,1.0,731,The history of the Kurds,0.1111,731,The history of the Kurds,0.1111,731,He s made the dates,0.0,731,The history of the Kurds,0.1111,731,Kurdish history,1.0,731,The history of the Kurds,0.1111,731,Kurdish history,1.0,731,The history of the Kurds,0.1111,731,The History of the Kurds,0.1111
732,U.S. cheese production,1.0,732,American cheese is made,0.5,732,The production of cheese in the United States,0.2,732,Cheese production in the United States,0.2,732,U S  cheese production,0.25,732,Cheese production in the United States,0.2,732,US cheese production,0.5,732,Cheese production in the USA,1.0,732,U S  manufacture of cheese,0.0909,732,The production of peanut in the United States,0.0079,732,Cheese production in the United States,0.2
733,Airline overbooking,1.0,733,Airlines have overbooked,1.0,733,Flight overbooking,1.0,733,Too many airlines,0.0133,733,Overbooking airlines,1.0,733,Overbooking of airlines,1.0,733,Overbooking of airlines,1.0,733,Transfer of airlines,0.0082,733,Flight ticket location,0.25,733,Reservations on air travel,0.0769,733,Passing the space of an airplane,0.0
734,Recycling successes,0.5,734,Recycling successfully,0.0556,734,Successful Recycling,0.5,734,Recycling successes,0.5,734,Recycling successes,0.5,734,Successful recycling,0.5,734,Recycling sequence,0.0123,734,Successful in processing,0.0011,734,Successful Repeat,0.0,734,Recycling Successes,0.5,734,Successful care,0.0026
735,Afghan women condition,1.0,735,The situation of Afghan women,0.1667,735,The state of women in Afghanistan,0.3333,735,The situation of Afghan women,0.1667,735,The situation of Afghan women,0.1667,735,The situation of Afghan women,0.1667,735,Afghan women,0.1667,735,The condition of Afghan women,1.0,735,The condition of Afghan women,1.0,735,The situation of Afghan women,0.1667,735,The situation of Afghan women,0.1667
736,location BSE infections,1.0,736,Location of BSE infection,1.0,736,Location of BSE infection,1.0,736,BSE,1.0,736,BSE infections,1.0,736,location of infections at the ESB,0.0,736,Infections caused by BSE,1.0,736,location of the BSE infection,1.0,736,location of BSE infection,1.0,736,BSE infections,1.0,736,BSE infections,1.0
737,Enron California energy crisis,1.0,737,The energy crisis in California,0.5,737,The California energy crisis,0.5,737,The energy crisis in California,0.5,737,The California Energy Crisis,0.5,737,Energy crisis in California,0.5,737,Enron California energy crisis,1.0,737,The energy crisis in California,0.5,737,The California Enron energy crisis,1.0,737,The California energy crisis,0.5,737,Energy Crisis in Enron California,1.0
738,Anthrax hoaxes,1.0,738,The fraud of the carbon virus,0.0,738,The Antractic Trick,0.0,738,Tricks about the Andrax,0.0,738,The tricks of the Anterx,0.0,738,The lies against anthrax,0.0167,738,Counterfeit anthrax,0.0588,738,The anthrax deception,0.005,738,The anthrax scam,0.0233,738,The lies of the Atharaks,0.0,738,The Tricks of Anthrax,0.0025
739,Habitat for Humanity,0.3333,739,The human habitat,0.3333,739,The Habitat for Mankind,0.0,739,The home of mankind,0.0,739,A habitat for humans,0.3333,739,A Home for Mankind,0.0,739,Habitat for humanity,0.3333,739,A haven for mankind,0.0032,739,Habitat for the Human,0.3333,739,The Bible says that  the earth is the home of the living God,0.0,739,The Place of Human Dwelling,0.0
740,regulate assisted living Maryland,1.0,740,Managing a living in Maryland,1.0,740,A life supported in Maryland,0.0056,740,Assisted living systems in Maryland,1.0,740,Helped life in Maryland,0.0023,740,regulating assisted living in Maryland,1.0,740,Regulate the life of the welfare state of Maryland,0.0042,740,regulate the assistance in Maryland residency,1.0,740,Organizing life in Maryland,0.0023,740,The family has been in the family for a long time,0.0,740,leading a life of supporting Maryland,0.0023
741,Artificial Intelligence,0.125,741,AI is the answer,0.0118,741,AI,0.0112,741,Artificial intelligence,0.125,741,The AI,0.0112,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,False intelligence,0.0037
742,hedge funds fraud protection,1.0,742,Secured funds fraud protection,0.1429,742,Hedge fund fraud protection,1.0,742,Securities fraud protection,0.0,742,Protecting against hedge fund fraud,1.0,742,protection against hedge fund fraud,1.0,742,Protection against hedge fund fraud,1.0,742,protection against hedge funds,0.5,742,protection against hedge fund fraud,1.0,742,hedging financial fraud protection,0.5,742,protection against hedge funds fraud,1.0
743,Freighter ship registration,0.2,743,The cargo ship is registered,0.5,743,Registering the freight ship,0.0061,743,Record of shipping,0.0094,743,Register of cargo ships,0.5,743,Register of freight vessels,1.0,743,Registration of freight vehicles,0.0,743,Registration of cargo vessels,0.2,743,Registering of cargo vessels,0.125,743,Freight shipping registration,0.0357,743,Register of freight ships,0.0061
744,Counterfeit ID punishments,0.0093,744,The punishment for fake ID,0.1111,744,The punishment for false identity,0.0238,744,The penalties for a fake identity,0.0455,744,False identity punishments,0.0238,744,Sanctions against counterfeiting,0.0098,744,Penalties for counterfeit identification,0.1,744,Penalties for counterfeiting identity card,0.3333,744,False ID punishment,0.0079,744,Punishment for False Identifiers,0.0034,744,False identity judgments,0.0278
745,Doomsday cults,1.0,745,The cult of the last days,0.3333,745,The Day of Judgment is New,0.0,745,The Day of Judgment cult,0.5,745,The Faith of the Last Day,0.0,745,The Worship of the Last Judgment Day,0.0015,745,The Meaning of the Hereafter,0.0,745,The Day of Judgment,0.0,745,Religions of the Last Days,0.0022,745,The final day of worship,0.0015,745,Religions of the Last Days,0.0022
746,Outsource job India,1.0,746,Working abroad in India,0.5,746,Outsourcing jobs in India,1.0,746,A job outside India,0.0588,746,Indian foreign jobs,0.0323,746,Employment outside India,0.0133,746,Exploitation of labour in India,0.0303,746,Work in India,0.0833,746,Employment outside India,0.0133,746,Outsourced jobs India,1.0,746,Foreign work in India,0.05
747,Library computer oversight,0.5,747,Library computer control,0.0588,747,Computer library management,0.0909,747,Supervise the computer library,0.0303,747,Monitoring the library computer,0.3333,747,Monitoring of the library computer,0.3333,747,Computer monitoring of libraries,0.3333,747,Computer control of the library,0.0588,747,Computer monitoring of the library,0.3333,747,Library computer oversight,0.5,747,The management of library computers,0.0909
748,Nuclear reactor types,0.5,748,The type of nuclear reaction,0.1,748,Type of nuclear reactor,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Type of nuclear reactor,0.5,748,Types of nuclear power plants,0.1429,748,Types of water,0.0
749,Puerto Rico state,0.2,749,Puerto Rico is a state,0.2,749,Puerto Rico,0.1,749,The State of Puerto Rico,0.2,749,The State of Puerto Rico,0.2,749,State of Puerto Rico,0.2,749,State of Puerto Rico,0.2,749,the state of Puerto Rico,0.2,749,The State of Puerto Rico,0.2,749,Puerto Rico State,0.2,749,The State of Puerto Rico,0.2
750,John Edwards womens issues,0.0588,750,The women s issue of John Edwards,0.0476,750,John Edwards  the women s issue,0.0476,750,John Edwards women  s issues,0.0476,750,The women of John Edwards,0.0556,750,Questions for Women,0.0,750,The Commission has also adopted a number of proposals,0.0,750,The Women s Problems of John Edwards,0.037,750,John Edwards women s issues,0.0476,750,John Edwards women s issues,0.0476,750,John Edwards s Matters of Women,0.005
751,Scrabble Players,1.0,751,Players,0.0,751,Scrabble player,1.0,751,The scrabble players,1.0,751,The Scribell players,0.0,751,Scrabble games,0.0714,751,Scrabblers,0.0,751,Scrabble players,1.0,751,Scrabble player,1.0,751,The Scrapley Players,0.0,751,Scrabble players,1.0
752,Dam removal,1.0,752,It was demolished,0.0049,752,Remove the drain,0.5,752,Remove the dam,1.0,752,Remove the dam,1.0,752,Removal of the dam,1.0,752,Distance of the dam,0.0278,752,Removing the dam,1.0,752,Removal of the dam,1.0,752,Removal of dam,1.0,752,Removing the pool,0.0385
753,bullying prevention programs,1.0,753,The bullying prevention program,1.0,753,The bullying prevention program,1.0,753,Prevention of bullying,1.0,753,The program is designed to prevent harassment,0.0455,753,the prevention of bullying programmes,0.2,753,The Commission has also adopted a number of proposals for the implementation of the programme,0.0,753,The program on bullying prevention,1.0,753,bullying prevention program,1.0,753,Prevention of harassment,0.0056,753,measures to prevent oppression,0.0294
754,domestic adoption laws,0.25,754,The National Farm Law,0.0,754,Adoption laws in the country,1.0,754,Local adoption laws,0.013,754,The rules of adoption,0.0059,754,national legislation on adoption,0.0189,754,Adoption laws,1.0,754,national laws on adoption,0.3333,754,domestic adoption law,0.25,754,The laws of domestic adoption,0.25,754,domestic adoption laws,0.25
755,Scottish Highland Games,1.0,755,Scottish Highland Movement,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highlands Games,1.0,755,Scottish Highland Games,1.0,755,Scottish skiing games,0.3333,755,Highland Scotland game,1.0,755,The Scottish Highlands Games,1.0,755,The Scottish Highland Games,1.0
756,Volcanic Activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,The Activity of the Volcano,0.3333
757,Murals,0.3333,757,Wall paintings,0.05,757,The wallpaper,0.0,757,The murals,0.3333,757,Wall paintings,0.05,757,Wall paintings,0.05,757,Wall paintings,0.05,757,The walls,0.0,757,Wall painting,0.05,757,Wall paintings,0.05,757,The display of the wall,0.0016
758,Embryonic stem cells,1.0,758,embryonic stem cells,1.0,758,The embryonic stem cell,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The following table shows the results of the study,0.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The brain cells of the fetus,0.1429,758,The embryo cells,1.0
759,civil war battle reenactments,1.0,759,The Civil War is happening again,0.1429,759,A reenactment of the Civil War,1.0,759,The Civil War battles,0.0244,759,Civil War actors,0.0286,759,recreation of civil war battles,0.0238,759,Repeats of civil wars,0.2,759,Reproduction of civil war,0.0303,759,Civil war fighting,0.0034,759,The Civil War was a turbulent period,0.0068,759,Exhibition of civil war,0.0021
760,american muslim mosques schools,1.0,760,Muslim mosque school in the United States,1.0,760,Islamic social school in the United States,0.125,760,American mosques and schools,1.0,760,Muslim mosques in America and schools,1.0,760,Muslim mosques in the US schools,1.0,760,American Muslim mosques schools,1.0,760,American Muslim mosques of the school,1.0,760,mosque muslim american school,1.0,760,American Muslim mosques schools,1.0,760,American mosque of Islamic school,0.5
761,Problems of Hmong Immigrants,1.0,761,The issue of migration,0.0,761,The Hmong immigrants are a problem,1.0,761,The problems of the Mong migrants,0.25,761,The problems of the migrants,0.0052,761,Problems faced by Hmong immigrants,1.0,761,The problems of Hmong immigrants,1.0,761,The problems of immigrants,0.009,761,Hmong immigrant problems,1.0,761,The problems of the Hmong immigrants,1.0,761,The Problems of Hmong Migrants,0.5
762,History of Physicians in America,0.0833,762,The history of doctors in the United States,0.0038,762,The History of Doctors in the United States,0.0038,762,The history of doctors in America,0.0189,762,The history of doctors in the United States,0.0038,762,The history of the medical profession in America,0.0714,762,The History of Doctors in America,0.0189,762,The history of doctors in America,0.0189,762,The History of the Doctor in America,0.0189,762,The history of doctors in the United States,0.0038,762,The History of Doctors in the United States,0.0038
763,Hunting deaths,0.5,763,The hunt is dead,0.0909,763,Deaths from Hunting,1.0,763,Deaths from hunting,1.0,763,The hunt for death,0.5,763,The Deaths Caused by Hunting,0.5,763,The number of deaths in hunting,0.0667,763,Death from hunting,1.0,763,The death of the hunter,0.1667,763,Hunting deaths,0.5,763,The Death of Hunters,0.1667
764,Increase mass transit use,1.0,764,Increased use of public transportation,1.0,764,Increase the use of public transportation,1.0,764,Increased use of public transport,1.0,764,Increased use of public transport,1.0,764,Increased use of public transport,1.0,764,The Commission has also adopted a number of proposals for a new directive,0.0,764,Increasing the use of mass transport,0.5,764,Increased use of mass transport,0.5,764,Increasing the use of public transport,1.0,764,Increasing the use of mass transportation,0.5
765,ephedra ma huang deaths,1.0,765,The death of Ephedra Ma Juan,1.0,765,The death of Ephdru Ma Huang,1.0,765,The death of Efedra Ma Huang,0.1111,765,The death of our father  Huang,0.0312,765,The death of Ephedra Ma Huang,1.0,765,The Commission has also adopted a number of measures to combat the use of the drug,0.0,765,The Death of Ma Huang,1.0,765,death of ephedra ma huang,1.0,765,Ephedra Ma Huang died,1.0,765,Ephedra ma huang death,1.0
766,diamond smuggling,1.0,766,Diamond smuggling,1.0,766,The diamond smuggler,1.0,766,The diamond smuggling,1.0,766,The diamond smuggling,1.0,766,smuggling of diamonds,1.0,766,Smuggling of diamonds,1.0,766,The smuggling of diamonds,1.0,766,The diamond trade,1.0,766,smuggling of diamonds,1.0,766,The sale of diamonds,0.25
767,Pharmacist License requirements,1.0,767,A pharmacist s license is required,1.0,767,Licensing requirements,0.027,767,The requirements for a pharmacy license,0.3333,767,Pharmaceutical license requirements,0.5,767,Requirements for a pharmacist s licence,0.0238,767,Requirements for the licence of a pharmacist,0.0109,767,Requirements for pharmacist  s license,1.0,767,Licensing requirements for pharmaceuticals,0.5,767,License of pharmacist,0.5,767,License requirements for pharmacists,1.0
768,Women in state legislatures,0.5,768,Women in the state legislature,0.5,768,Women in the House of Representatives,0.1667,768,Women in the provinces,0.0,768,Women in the state legislature,0.5,768,Women in state legislation,0.5,768,Women in the national legislation,0.5,768,Women in the legislative bodies of the States,0.0909,768,Women in state law,0.125,768,Women in state assemblies,0.0909,768,Women in the state parliament,0.0027
769,Kroll Associates Employees,0.1111,769,Crow s employees,0.0,769,Crowl Co op staff,0.0,769,The employees of Kroll,0.0208,769,Crowded staff,0.0,769,Employees of Kroll Associates,0.1111,769,Employees of Kroll Associates,0.1111,769,Employees of Kroll Associates,0.1111,769,Employee of Kroll Associates,0.1111,769,Employees of Kroll Associates,0.1111,769,The employees of Kroll Associates,0.1111
770,Kyrgyzstan-United States relations,1.0,770,Kyrgyzstan s relations with the United States,1.0,770,Kyrgyzstan and the United States,1.0,770,Kyrgyzstan U S  relations,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Kyrgyzstan U S  relations,1.0,770,Kyrgyz U S  relations,0.1429,770,Relations between Kyrgyzstan and the United States,1.0
771,deformed leopard frogs,1.0,771,It s deformed,0.004,771,A modified tiger frog,0.0476,771,The turning tiger frogs,0.0303,771,Leopard frogs are creased,0.0833,771,Deformed leopard frogs,1.0,771,Deformed leopard frogs,1.0,771,deformed frogs of the leopard,1.0,771,A defective lion cub,0.0,771,Red eagles,0.0,771,butterfly,0.0
772,flag display rules,1.0,772,The logo shows the rules,0.0,772,Flag sign rules,0.0625,772,The rules of flagging,0.2,772,The flag display rules,1.0,772,rules for displaying the flag,1.0,772,Flag display rules,1.0,772,The flag display rules,1.0,772,the rules of appearance of the flag,0.2,772,Flag display rules,1.0,772,rules for flags,0.2
773,Pennsylvania slot machine gambling,1.0,773,The Pennsylvania bookmaker,0.25,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania machine games,1.0,773,Playing in the Pennsylvania slot machine,1.0,773,Pennsylvania slot machines,1.0,773,Pennsylvania slot machines gambling,1.0,773,Gambling at the Pennsylvania machines,1.0,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania game machine,1.0
