qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
830,model railroads,0.0254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security,0.5786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity,0.1706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government,0.5123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes,0.3159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork,0.0826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages,0.218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History,0.0671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes,0.2955,6,backtranslation_fra_latn,0.5162,urban coyotes,backtranslation_rus_cyrl,0.5162,urban coyotes,backtranslation_tam_taml,0.5162,Urban coyotes,backtranslation_swh_latn,0.5162,urban coyotes,backtranslation_deu_latn,0.3136,Suburban coyotes,backtranslation_zsm_latn,0.3136,Suburban coyotes,,,,,,,,,
839,textile dyeing techniques,0.5587,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers,0.1648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America,0.3307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough,0.0978,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot,0.3728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications,0.0549,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato,0.3806,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity,0.1802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II,0.2543,9,backtranslation_yue_hant,0.3586,Portugal during the Second World War,backtranslation_kor_hang,0.3586,Portugal during the Second World War,backtranslation_pes_arab,0.304,Portugal during World War II,backtranslation_zsm_latn,0.304,Portugal during World War II,backtranslation_tam_taml,0.304,Portugal during World War II,backtranslation_swh_latn,0.304,Portugal during World War II,backtranslation_fra_latn,0.2961,Portugal in the Second World War,backtranslation_deu_latn,0.2961,Portugal Second World War,backtranslation_rus_cyrl,0.2961,Portugal Second world war
848,radio station call letters,0.1069,1,backtranslation_fra_latn,0.1185,Letters of call from the radio station,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics,0.2102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood,0.2103,2,backtranslation_arb_arab,0.2449,The Mississippi flood,backtranslation_deu_latn,0.2449,Flooding of the Mississippi,,,,,,,,,,,,,,,,,,,,,
