qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
746,Outsource job India,1.0,746,Working abroad in India,0.3333,746,Outsourcing jobs in India,1.0,746,A job outside India,0.2,746,Indian foreign jobs,0.0278,746,Employment outside India,0.0312,746,Exploitation of labour in India,0.0099,746,Work in India,0.0833,746,Employment outside India,0.0312,746,Outsourced jobs India,1.0,746,Foreign work in India,0.0526
747,Library computer oversight,1.0,747,Library computer control,0.0059,747,Computer library management,0.0385,747,Supervise the computer library,0.0135,747,Monitoring the library computer,0.5,747,Monitoring of the library computer,0.5,747,Computer monitoring of libraries,0.5,747,Computer control of the library,0.0059,747,Computer monitoring of the library,0.5,747,Library computer oversight,1.0,747,The management of library computers,0.0385
748,Nuclear reactor types,0.5,748,The type of nuclear reaction,0.1429,748,Type of nuclear reactor,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Types of nuclear reactors,0.5,748,Type of nuclear reactor,0.5,748,Types of nuclear power plants,1.0,748,Types of water,0.0
749,Puerto Rico state,0.5,749,Puerto Rico is a state,0.5,749,Puerto Rico,0.0909,749,The State of Puerto Rico,0.5,749,The State of Puerto Rico,0.5,749,State of Puerto Rico,0.5,749,State of Puerto Rico,0.5,749,the state of Puerto Rico,0.5,749,The State of Puerto Rico,0.5,749,Puerto Rico State,0.5,749,The State of Puerto Rico,0.5
750,John Edwards womens issues,0.2,750,The women s issue of John Edwards,0.2,750,John Edwards  the women s issue,0.2,750,John Edwards women  s issues,0.2,750,The women of John Edwards,0.5,750,Questions for Women,0.0,750,The Commission has also adopted a number of proposals,0.0,750,The Women s Problems of John Edwards,0.0833,750,John Edwards women s issues,0.2,750,John Edwards women s issues,0.2,750,John Edwards s Matters of Women,0.0303
751,Scrabble Players,1.0,751,Players,0.0,751,Scrabble player,1.0,751,The scrabble players,1.0,751,The Scribell players,0.0,751,Scrabble games,0.1,751,Scrabblers,0.0,751,Scrabble players,1.0,751,Scrabble player,1.0,751,The Scrapley Players,0.0,751,Scrabble players,1.0
752,Dam removal,1.0,752,It was demolished,0.0046,752,Remove the drain,0.0476,752,Remove the dam,1.0,752,Remove the dam,1.0,752,Removal of the dam,1.0,752,Distance of the dam,0.0041,752,Removing the dam,1.0,752,Removal of the dam,1.0,752,Removal of dam,1.0,752,Removing the pool,0.0417
753,bullying prevention programs,1.0,753,The bullying prevention program,1.0,753,The bullying prevention program,1.0,753,Prevention of bullying,1.0,753,The program is designed to prevent harassment,0.0088,753,the prevention of bullying programmes,0.1,753,The Commission has also adopted a number of proposals for the implementation of the programme,0.0,753,The program on bullying prevention,1.0,753,bullying prevention program,1.0,753,Prevention of harassment,0.0076,753,measures to prevent oppression,0.0023
754,domestic adoption laws,0.25,754,The National Farm Law,0.0,754,Adoption laws in the country,1.0,754,Local adoption laws,0.0164,754,The rules of adoption,0.0065,754,national legislation on adoption,0.2,754,Adoption laws,1.0,754,national laws on adoption,1.0,754,domestic adoption law,0.25,754,The laws of domestic adoption,0.25,754,domestic adoption laws,0.25
755,Scottish Highland Games,1.0,755,Scottish Highland Movement,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highland Games,1.0,755,The Scottish Highlands Games,1.0,755,Scottish Highland Games,1.0,755,Scottish skiing games,0.5,755,Highland Scotland game,1.0,755,The Scottish Highlands Games,1.0,755,The Scottish Highland Games,1.0
756,Volcanic Activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,Volcanic activity,0.5,756,The Activity of the Volcano,0.3333
757,Murals,0.3333,757,Wall paintings,0.0909,757,The wallpaper,0.0,757,The murals,0.3333,757,Wall paintings,0.0909,757,Wall paintings,0.0909,757,Wall paintings,0.0909,757,The walls,0.0,757,Wall painting,0.0909,757,Wall paintings,0.0909,757,The display of the wall,0.0037
758,Embryonic stem cells,1.0,758,embryonic stem cells,1.0,758,The embryonic stem cell,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The following table shows the results of the study,0.0,758,The embryonic stem cells,1.0,758,The embryonic stem cells,1.0,758,The brain cells of the fetus,0.0152,758,The embryo cells,0.5
759,civil war battle reenactments,1.0,759,The Civil War is happening again,0.0233,759,A reenactment of the Civil War,1.0,759,The Civil War battles,0.0385,759,Civil War actors,0.0159,759,recreation of civil war battles,0.0455,759,Repeats of civil wars,0.0909,759,Reproduction of civil war,0.0208,759,Civil war fighting,0.0025,759,The Civil War was a turbulent period,0.0029,759,Exhibition of civil war,0.0043
760,american muslim mosques schools,1.0,760,Muslim mosque school in the United States,1.0,760,Islamic social school in the United States,1.0,760,American mosques and schools,1.0,760,Muslim mosques in America and schools,1.0,760,Muslim mosques in the US schools,1.0,760,American Muslim mosques schools,1.0,760,American Muslim mosques of the school,1.0,760,mosque muslim american school,1.0,760,American Muslim mosques schools,1.0,760,American mosque of Islamic school,1.0
761,Problems of Hmong Immigrants,1.0,761,The issue of migration,0.0,761,The Hmong immigrants are a problem,1.0,761,The problems of the Mong migrants,1.0,761,The problems of the migrants,0.0098,761,Problems faced by Hmong immigrants,1.0,761,The problems of Hmong immigrants,1.0,761,The problems of immigrants,0.0217,761,Hmong immigrant problems,1.0,761,The problems of the Hmong immigrants,1.0,761,The Problems of Hmong Migrants,0.5
762,History of Physicians in America,0.2,762,The history of doctors in the United States,0.0152,762,The History of Doctors in the United States,0.0152,762,The history of doctors in America,0.0106,762,The history of doctors in the United States,0.0152,762,The history of the medical profession in America,0.0556,762,The History of Doctors in America,0.0106,762,The history of doctors in America,0.0106,762,The History of the Doctor in America,0.0106,762,The history of doctors in the United States,0.0152,762,The History of Doctors in the United States,0.0152
763,Hunting deaths,0.5,763,The hunt is dead,0.0769,763,Deaths from Hunting,0.5,763,Deaths from hunting,0.5,763,The hunt for death,0.5,763,The Deaths Caused by Hunting,0.5,763,The number of deaths in hunting,0.1667,763,Death from hunting,0.5,763,The death of the hunter,0.1667,763,Hunting deaths,0.5,763,The Death of Hunters,0.1667
764,Increase mass transit use,1.0,764,Increased use of public transportation,0.0833,764,Increase the use of public transportation,0.0833,764,Increased use of public transport,0.0833,764,Increased use of public transport,0.0833,764,Increased use of public transport,0.0833,764,The Commission has also adopted a number of proposals for a new directive,0.0,764,Increasing the use of mass transport,1.0,764,Increased use of mass transport,1.0,764,Increasing the use of public transport,0.0833,764,Increasing the use of mass transportation,1.0
765,ephedra ma huang deaths,1.0,765,The death of Ephedra Ma Juan,1.0,765,The death of Ephdru Ma Huang,1.0,765,The death of Efedra Ma Huang,1.0,765,The death of our father  Huang,0.0909,765,The death of Ephedra Ma Huang,1.0,765,The Commission has also adopted a number of measures to combat the use of the drug,0.0,765,The Death of Ma Huang,1.0,765,death of ephedra ma huang,1.0,765,Ephedra Ma Huang died,1.0,765,Ephedra ma huang death,1.0
766,diamond smuggling,1.0,766,Diamond smuggling,1.0,766,The diamond smuggler,0.3333,766,The diamond smuggling,1.0,766,The diamond smuggling,1.0,766,smuggling of diamonds,1.0,766,Smuggling of diamonds,1.0,766,The smuggling of diamonds,1.0,766,The diamond trade,1.0,766,smuggling of diamonds,1.0,766,The sale of diamonds,0.1667
767,Pharmacist License requirements,1.0,767,A pharmacist s license is required,1.0,767,Licensing requirements,0.04,767,The requirements for a pharmacy license,1.0,767,Pharmaceutical license requirements,0.25,767,Requirements for a pharmacist s licence,0.0119,767,Requirements for the licence of a pharmacist,0.0055,767,Requirements for pharmacist  s license,1.0,767,Licensing requirements for pharmaceuticals,0.25,767,License of pharmacist,1.0,767,License requirements for pharmacists,1.0
768,Women in state legislatures,1.0,768,Women in the state legislature,1.0,768,Women in the House of Representatives,1.0,768,Women in the provinces,0.0,768,Women in the state legislature,1.0,768,Women in state legislation,1.0,768,Women in the national legislation,0.5,768,Women in the legislative bodies of the States,0.0556,768,Women in state law,0.25,768,Women in state assemblies,0.3333,768,Women in the state parliament,0.0
769,Kroll Associates Employees,0.0556,769,Crow s employees,0.0,769,Crowl Co op staff,0.0,769,The employees of Kroll,0.0244,769,Crowded staff,0.0014,769,Employees of Kroll Associates,0.0556,769,Employees of Kroll Associates,0.0556,769,Employees of Kroll Associates,0.0556,769,Employee of Kroll Associates,0.0556,769,Employees of Kroll Associates,0.0556,769,The employees of Kroll Associates,0.0556
770,Kyrgyzstan-United States relations,1.0,770,Kyrgyzstan s relations with the United States,1.0,770,Kyrgyzstan and the United States,1.0,770,Kyrgyzstan U S  relations,0.5,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Relations between Kyrgyzstan and the United States,1.0,770,Kyrgyzstan U S  relations,0.5,770,Kyrgyz U S  relations,0.1111,770,Relations between Kyrgyzstan and the United States,1.0
771,deformed leopard frogs,1.0,771,It s deformed,0.0043,771,A modified tiger frog,0.05,771,The turning tiger frogs,0.0294,771,Leopard frogs are creased,0.0909,771,Deformed leopard frogs,1.0,771,Deformed leopard frogs,1.0,771,deformed frogs of the leopard,1.0,771,A defective lion cub,0.0,771,Red eagles,0.0,771,butterfly,0.0
772,flag display rules,1.0,772,The logo shows the rules,0.0,772,Flag sign rules,0.0256,772,The rules of flagging,0.1429,772,The flag display rules,1.0,772,rules for displaying the flag,1.0,772,Flag display rules,1.0,772,The flag display rules,1.0,772,the rules of appearance of the flag,0.04,772,Flag display rules,1.0,772,rules for flags,0.1429
773,Pennsylvania slot machine gambling,1.0,773,The Pennsylvania bookmaker,0.2,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania machine games,1.0,773,Playing in the Pennsylvania slot machine,1.0,773,Pennsylvania slot machines,1.0,773,Pennsylvania slot machines gambling,1.0,773,Gambling at the Pennsylvania machines,1.0,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania slot machine gambling,1.0,773,Pennsylvania game machine,1.0
