qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
813,Atlantic Intracoastal Waterway,0.298,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0001,813,The Atlantic Waterway,0.1754,813,The waterway into the Atlantic coast,0.1173,813,The Atlantic Intracoastal Waterway,0.298,813,Intracoastal waterway of the Atlantic,0.298,813,Inland sea routes of the Atlantic,0.0028,813,Waterways in the Atlantic coast,0.1173,813,The coastal marine waterway,0.0262,813,The Atlantic Ocean s Inland Waterway,0.0709
814,Johnstown flood,0.6509,814,Johnstown flood,0.6509,814,The Johnstown Flood,0.6509,814,The Johnstown floods,0.6509,814,The flood of Johnstown,0.6509,814,Flood in Johnstown,0.6509,814,Johnstown Flood,0.6509,814,Flooding in Johnstown,0.6509,814,Flooding in Johnstown,0.6509,814,Johnstown Flood,0.6509,814,Floods in Johnstown,0.6509
815,Coast Guard rescues,0.2255,815,Coast Guard rescue,0.2255,815,Coast Guard rescue team,0.1249,815,The Coast Guard rescue,0.2255,815,The Coast Guard is rescuing,0.2255,815,Rescue by the Coast Guard,0.2255,815,Rescue of the Coast Guard,0.2255,815,Coast Guard rescuers,0.0087,815,The Coast Guard Rescue,0.2255,815,Coast Guard rescue,0.2255,815,The Safety of the Coast Guard,0.0253
816,USAID assistance to Galapagos,0.8266,816,USAID is helping Galapagos,0.8548,816,USAID support for the Galapagos region,0.8452,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,0.5689,816,USAID aid to the Galapagos,0.6762,816,Aid from USAID in the Galapagos,0.6966,816,USAID support for the Galapagos,0.8523,816,USAID s assistance to the Galapagos,0.8222,816,USAID aid to the Galapagos,0.6762,816,USAID aid on the Galapagos,0.6762,816,USAID assistance to the Galapagos,0.8266
817,sports stadium naming rights,0.3758,817,The naming rights of the stadium,0.4101,817,Sports stadium name card,0.1837,817,Sports fields naming rights,0.0495,817,Sports stadium naming rights,0.3758,817,Rights to name sports stadiums,0.3758,817,Sports stadium rights,0.2933,817,right to name the sports stadium,0.3758,817,right to name sports stadiums,0.3758,817,Naming rights of the stadium,0.4101,817,rights to the name of the stadium,0.4101
818,Chaco Culture National Park,0.3886,818,The Chako Culture National Park,0.0058,818,The Chako Cultural National Park,0.0058,818,The national park of culture of the Chaco,0.3886,818,The national park of culture of the Chaco,0.3886,818,The Chaco National Park,0.3145,818,The Chaco culture national park,0.3886,818,The Chaco National Park of Culture,0.3886,818,The Chaco Cultural Park,0.3855,818,Sago Cultural National Park,0.0032,818,The Chaco National Park,0.3145
819,1890 Census,0.5175,819,The      census,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,Census of,0.0048,819,Census of,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,Census,0.0048,819,Population in,0.0009
820,imported fire ants,0.7739,820,Importing fire,0.2535,820,Imported fireworks,0.0,820,Imported fire ants,0.7739,820,Fire ants are in,0.6853,820,imported fire ants,0.7739,820,Import of fire ants,0.7739,820,imported fire ants,0.7739,820,imported fire ants,0.7739,820,Imported fire ants,0.7739,820,outdoor fireflies,0.0
821,Internet work-at-home scams,0.222,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0,821,Internet scams at work at home,0.222,821,Internet scams at work,0.1795,821,The scams on the Internet,0.0622,821,Internet Fraud at Work at Home,0.0734,821,Internet fraud at work,0.0209,821,Internet fraud at home,0.0406,821,The Internet is a home for online work,0.0033,821,Cheating on the Internet,0.0
822,Custer's Last Stand,0.108,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0393,822,The last stop of Custer,0.0393,822,Custer s last stand,0.0626,822,Custer s last stand,0.0626,822,Custer s last post,0.0162,822,Custer s last defense,0.1312,822,The final stage of Castro,0.0,822,Custer s Final Victory,0.048
823,Continuing care retirement communities,0.2669,823,Continuing to care for the retirement community,0.2669,823,Continuous management retirement community,0.0355,823,Continuous retirement communities,0.1236,823,Continuing care retirement communities,0.2669,823,Continuing care pension communities,0.0001,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.0,823,The community of retired people continues to care,0.1108,823,Continuous care pension communities,0.0001,823,Adult communities to thrive,0.0
824,Civil Air Patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Public air services,0.0003,824,Civil Air Force,0.1124,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.0282,825,The Iraqi National Guard is involved,0.0049,825,The National Guard s involvement in Iraq,0.022,825,National Guard involvement in Iraq,0.0282,825,National Army involvement in Iraq,0.0017,825,National Guard involvement in Iraq,0.0282,825,Participation of the National Guard in Iraq,0.0667,825,The National Guard s involvement in Iraq,0.022,825,National Guard involvement in Iraq,0.0282,825,National Police participation in Iraq,0.0068,825,The National Guard in Iraq,0.0958
826,Florida Seminole Indians,0.2173,826,The Florida Seminole Indians,0.2173,826,The Florida Seminole Indian,0.2173,826,Seminole Indian in Florida,0.2173,826,The Seminole Indians of Florida,0.2173,826,Seminole Indians of Florida,0.2173,826,Florida Seminole Indians,0.2173,826,The Seminole Indians of Florida,0.2173,826,The Seminole Indians of Florida,0.2173,826,Florida Seminole Indians,0.2173,826,Seminole Indians of Florida,0.2173
827,Hidden Markov Modeling HMM,0.3525,827,The hidden Malkovic simulation of HMM,0.3898,827,HMM hidden markup modeling,0.3578,827,Markov is hiding a model hymn,0.0403,827,The secret model of the HMM Markov,0.3455,827,Hidden modeling of Markov HMM,0.3525,827,Hidden Markov modeling HMM,0.3525,827,The hidden model of Markov HMM,0.3525,827,HMM model of Markov hidden,0.3525,827,HMM with hidden Markov modeling,0.3525,827,Secret Markov Modeling HMM,0.3455
828,secret shoppers,0.2777,828,Secret shoppers,0.2777,828,Secret shoppers,0.2777,828,The secret shoppers,0.2777,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,0.2777,828,Secret buyers,0.0,828,secret shoppers,0.2777
829,Spanish Civil War support,0.0666,829,Spanish Civil War support,0.0666,829,Spanish Civil War Support,0.0666,829,Supporting the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Supporting the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.0304,829,Aid for the Spanish Civil War,0.0402
830,model railroads,0.0629,830,The model of railroads,0.0629,830,Model railway,0.0092,830,Typical railways,0.0001,830,Model railway,0.0092,830,railway model,0.0092,830,Model route,0.0,830,model of railways,0.0092,830,model railway,0.0092,830,Model railway,0.0092,830,model railways,0.0092
831,Dulles Airport security,0.3064,831,Dulles Airport is safe,0.0327,831,Dallas airport security,0.0075,831,Dalyes airport security,0.0324,831,Security at Dallas Airport,0.0075,831,Security at Dulles Airport,0.3064,831,Security at Dulles Airport,0.3064,831,The security of the Dallas airport,0.0075,831,Dulles Airport Security,0.3064,831,Airport security of Dulles,0.3064,831,Security at Dulles Airport,0.3064
832,labor union activity,0.1649,832,The trade union movement,0.0021,832,Trade union activities,0.0006,832,Trade union activity,0.0006,832,Trade unions,0.0013,832,trade union activity,0.0006,832,Trade union activity,0.0006,832,Trade union activities,0.0006,832,trade union activities,0.0006,832,Trade union activity,0.0006,832,trade union activities,0.0006
833,Iceland government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic Government,0.4049,833,Government of Iceland,0.4049,833,The Government of Iceland,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049
834,Global positioning system earthquakes,0.4494,834,Global positioning system,0.0057,834,Global location system earthquake,0.2041,834,Earthquakes in the global positioning system,0.4494,834,Earthquakes in the global positioning system,0.4494,834,Earthquake of the World Positioning System,0.0992,834,Earthquakes of the global positioning system,0.4494,834,Global positioning systems for earthquakes,0.4494,834,Global earthquake placement system,0.1024,834,The global positioning system earthquakes,0.4494,834,Earthquake of a system of local order,0.0181
835,Big Dig pork,0.0986,835,It s a big pig,0.0,835,Big  digging pigs,0.0336,835,Big pork,0.0006,835,Big pork,0.0006,835,The Pork of the Dig,0.0,835,Big pigs,0.0002,835,Big pigs,0.0002,835,Big pork,0.0006,835,Big digging meat,0.0453,835,The large pig,0.0
836,illegal immigrant wages,0.2575,836,The wages of illegal immigrants,0.2575,836,The wages of illegal immigrants,0.2575,836,Illegal immigrant wages,0.2575,836,The rights of illegal immigrants,0.0645,836,wages of illegal immigrants,0.2575,836,Wages for illegal immigrants,0.2575,836,wages of illegal immigrants,0.2575,836,Illegal immigrant wages,0.2575,836,The wages of illegal immigrants,0.2575,836,wages of legal immigrants,0.0298
837,Eskimo History,0.0944,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The story is sketchy,0.0,837,The history of the Eskimos,0.0944,837,The history of Eskimo,0.0944,837,The History of the Waeskim,0.0
838,urban suburban coyotes,0.3531,838,And the suburbs,0.0,838,Coyote outside the city,0.1618,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,0.5081,838,Suburban coyotes,0.2737,838,urban coyotes,0.5081,838,Suburban coyotes,0.2737,838,Urban coyotes,0.5081,838,urban coyotes,0.5081
839,textile dyeing techniques,0.5885,839,Weaving technology,0.0021,839,Fiber dyeing,0.1788,839,Techniques for dyeing fabrics,0.2512,839,Textile dyeing techniques,0.5885,839,textile dyeing techniques,0.5885,839,Textile colouring processes,0.0101,839,textile painting techniques,0.0119,839,textile dyeing techniques,0.5885,839,Textile dyeing techniques,0.5885,839,techniques for dyeing clothes,0.0936
840,Geysers,0.1631,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,0.1631,840,The Geyser,0.1631,840,The geysers,0.1631,840,Other geysers,0.1624,840,Geysers,0.1631,840,Geysers,0.1631,840,Kaiser,0.0,840,Geysers,0.1631
841,camel North America,0.338,841,North American camel,0.1588,841,The Camel North American,0.1588,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,Camel North America,0.338,841,North American camel,0.1588,841,North America,0.0,841,camels in North America,0.338
842,David McCullough,0.1266,842,David McCullough,0.1266,842,I m not going to lie,0.0001,842,I  m not going to lie,0.0001,842,I m going to see David McCullough,0.1424,842,David McCullough,0.1266,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.1266,842,David McCullough is,0.1266,842,David McCullough,0.1266,842,David McCullough,0.1266
843,Pol Pot,0.3922,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,0.3922,843,Pol Pot,0.3922,843,Paul Pot,0.0026,843,Pol Pot,0.3922,843,Paul Pot,0.0026,843,Pol Pot,0.3922
844,segmental duplications,0.0619,844,Partially copied,0.0,844,Copy the segment,0.0003,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.0619,844,segmental duplications,0.0619,844,duplication of the segment,0.0619,844,division double,0.0,844,segmental duplications,0.0619
845,New Jersey tomato,0.3247,845,New Jersey tomatoes are the best,0.2044,845,The New Jersey tomatoes,0.3247,845,New Jersey tomatoes,0.3247,845,The New Jersey tomatoes,0.3247,845,Tomatoes from New Jersey,0.3178,845,Tomatoes from New Jersey,0.3178,845,Tomatoes from New Jersey,0.3178,845,New Jersey tomatoes,0.3247,845,New Jersey tomatoes,0.3247,845,New Jersey s grandmother,0.0
846,heredity and obesity,0.1884,846,Genetics and obesity,0.0995,846,Genetics and obesity,0.0995,846,Genetics and obesity,0.0995,846,Genetic and obese,0.0995,846,inherited and obese,0.0188,846,Inheritance and Obesity,0.0188,846,inheritance and obesity,0.0188,846,offspring and obesity,0.014,846,Genetic and obesity,0.0995,846,Inheritance and obesity,0.0188
847,Portugal World War II,0.3402,847,Portugal during the Second World War,0.2942,847,Portugal during the Second World War,0.2942,847,Portugal World War II,0.3402,847,Portugal during World War II,0.3584,847,Portugal in the Second World War,0.2259,847,Portugal Second World War,0.2259,847,Portugal Second world war,0.2259,847,Portugal during World War II,0.3584,847,Portugal during World War II,0.3584,847,Portugal during World War II,0.3584
848,radio station call letters,0.1496,848,The radio call letters,0.0921,848,Telephone mail from the radio station,0.0049,848,Call messages to the radio station,0.0052,848,The radio station s call letters,0.0868,848,Letters of call from the radio station,0.1398,848,Telephone calls from radio stations,0.0093,848,Calls to the radio station,0.0388,848,Radio station call letters,0.1496,848,Radio station call letters,0.1496,848,telephone letters from a radio station,0.0507
849,Scalable Vector Graphics,0.1735,849,Expandable vector map,0.0003,849,Expandable vector graphics,0.0066,849,Growing vector graphics,0.0049,849,Scalable metric graphics,0.0042,849,The following table shows the evolutionary vector graphs,0.0013,849,Scalable vector graphics,0.1735,849,Scalable vector graphs,0.0168,849,Vector graphs that can be measured,0.0007,849,Scable vector charts,0.0001,849,Scalable Vector Graphics,0.1735
850,Mississippi River flood,0.2558,850,The flooding of the Mississippi River,0.2558,850,The Mississippi River Flood,0.2558,850,The Mississippi flood,0.229,850,Flooding of the Mississippi River,0.2558,850,Flooding of the Mississippi River,0.2558,850,Flooding of the Mississippi,0.229,850,The Mississippi River Flood,0.2558,850,Flooding of the Mississippi River,0.2558,850,The Mississippi River Flood,0.2558,850,The Mississippi River is about to decay,0.0037
