qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
711,Train station security measures,0.0699,711,Railway station security measures,0.0305,711,Security measures at the train station,0.0699,711,Security measures for the train station,0.0699,711,Security measures at the train station,0.0699,711,Safety measures at railway stations,0.011,711,Safety measures for railway stations,0.011,711,Safety measures at railway stations,0.011,711,Railway station security measures,0.0305,711,Railway station security measures,0.0305,711,Safety measures at the train station,0.003
712,Pyramid scheme,0.5529,712,The pyramid scheme,0.5529,712,The pyramid scheme,0.5529,712,The pyramid system,0.0407,712,The pyramid scheme,0.5529,712,The pyramid scheme,0.5529,712,Pyramid scheme,0.5529,712,The pyramid scheme,0.5529,712,The Pyramid Scheme,0.5529,712,Pyramid scheme,0.5529,712,The pyramidal system,0.0407
713,Chesapeake Bay Maryland clean,0.3337,713,Chesapeake Bay is clean  Maryland,0.3337,713,Chesapeake Bay  Maryland is clean,0.3337,713,The Chesapeake Bay   Maryland   is clean,0.3337,713,Chesapeake Bay  Maryland is clear,0.0843,713,Chesapeake Bay Maryland clean,0.3337,713,Chesapeake Bay Maryland clean,0.3337,713,The clean Chesapeake Bay of Maryland,0.3337,713,Chesapeake Bay Maryland is clean,0.3337,713,Chesapeake Bay is Maryland s cleanest,0.094,713,Chesapeake Bay Maryland clean,0.3337
714,License restrictions older drivers,0.16,714,The driver is a restricted driver,0.0361,714,Restrictions on old driver s licenses,0.0066,714,The restrictions on older drivers  licenses,0.16,714,Restrictions on older drivers  licenses,0.16,714,Restrictions on driving licences for older drivers,0.0817,714,Licence restrictions for older drivers,0.0493,714,Limitations on driving rights of older drivers,0.0774,714,Restrictions on older driving licences,0.0263,714,Driving license restrictions,0.0372,714,Restrictions on a driver s license for older persons,0.1733
715,Schizophrenia drugs,0.1519,715,Schizophrenia drugs,0.1519,715,The cure for psychosis,0.0031,715,Headache medication,0.0,715,Schizophrenia drugs,0.1519,715,Drugs for schizophrenia,0.1519,715,Schizophrenia medicines,0.0517,715,Medicines for schizophrenia,0.0517,715,Schizophrenia medicines,0.0517,715,Schizophrenia medications,0.084,715,Medications for mental illness,0.0006
716,Spammer arrest sue,0.0857,716,Spam was arrested and charged,0.08,716,Spammers arresting lawsuit,0.2103,716,The race arrest case,0.0,716,The Spammer arrest case,0.1598,716,The spammers are being prosecuted,0.0897,716,Spammer arrest lawsuit,0.2103,716,The request for the arrest of the spammer,0.0914,716,Spammer arrested for suing,0.0672,716,The case of the spammers arrest,0.1598,716,Spammer arrested trial,0.0922
717,Gifted talented student programs,0.3544,717,The student program is excellent,0.0034,717,A program for talented students,0.2938,717,Talented student programs,0.2938,717,Talented student programs,0.2938,717,Programs for talented students,0.2938,717,Talented students,0.2798,717,Programs for talented students,0.2938,717,Talented student program,0.2938,717,Talented student programs,0.2938,717,Programs for gifted students,0.2832
718,Controlling acid rain,0.3409,718,Control the acid rain,0.3409,718,I m going to control the wavelength,0.0,718,Control of acid rain,0.3409,718,Acid rain control,0.3409,718,Control of acid rain,0.3409,718,Control of acid rain,0.3409,718,Control of acid rain,0.3409,718,Managing acid rain,0.1628,718,Control of acid rain,0.3409,718,Control of acid rain,0.3409
719,Cruise ship damage sea life,0.0658,719,The damage to marine life caused by cruise ships,0.1447,719,The marine life of a cruise ship,0.1016,719,Damage to ships,0.002,719,Damage to the marine life of cruise ships,0.1495,719,Damage to cruise ships,0.1067,719,Damage to cruise ships,0.1067,719,Damage to the marine life of cruise ships,0.1495,719,Damage to the marine life cruise ship,0.1495,719,The impact of marine life on ships,0.0341,719,Sea life for ships,0.0014
720,Federal welfare reform,0.2768,720,Federal welfare reform,0.2768,720,Federal welfare reforms,0.2768,720,Federal welfare reform,0.2768,720,Federal welfare reforms,0.2768,720,Federal welfare reform,0.2768,720,Federal welfare reform,0.2768,720,Federal reform of social security,0.0007,720,Federal welfare reform,0.2768,720,Federal welfare reform,0.2768,720,Reforms to federal welfare,0.2768
721,Census data applications,0.0217,721,The census data request,0.0031,721,Application for census data,0.0217,721,Requests for statistical data,0.0001,721,Request for census data,0.0031,721,Applications of census data,0.0217,721,Applications for census data,0.0217,721,Applications for the population census data,0.0345,721,Applications for survey data,0.0001,721,Applications for census data,0.0217,721,Request for census data,0.0031
722,Iran terrorism,0.4206,722,Iran s terrorism,0.3533,722,Terrorism in Iran,0.4206,722,The Iranian terrorism,0.3696,722,Terrorism in Iran,0.4206,722,Iran s terrorism,0.3533,722,Terrorism in Iran,0.4206,722,Iran s terrorism,0.3533,722,Iran is a terrorist,0.3214,722,Iran terrorism,0.4206,722,Terrorism as a Crime,0.0
723,Executive privilege,0.1443,723,The privilege of execution,0.1443,723,The privilege of execution,0.1443,723,Executive privileges,0.1443,723,The executive award,0.0,723,Executive privilege,0.1443,723,Priority of leadership,0.0,723,The executive privilege,0.1443,723,Executive powers,0.0015,723,The administrative right,0.0,723,Freedom of Leadership,0.0
724,Iran Contra,0.2083,724,Iran is against it,0.0,724,Half of Iran,0.0001,724,Iran,0.0,724,Against Iran,0.0,724,The EU is a strong supporter of the EU,0.0,724,Infringement of the procedure,0.0,724,The counter Iran,0.0001,724,Contra Iran,0.2083,724,against Iran,0.0,724,Contra Iran,0.2083
725,Low white blood cell count,0.2997,725,Low blood cell count,0.2551,725,Low white blood cells,0.1572,725,Reduced white blood cell count,0.1633,725,Low white blood cell count,0.2997,725,Low white blood cell content,0.1176,725,Low blood cell counts,0.2551,725,Low white blood cell count,0.2997,725,Low white blood cell count,0.2997,725,The number of white blooded chickens is low,0.0014,725,Low white blood cell count,0.2997
726,Hubble telescope repairs,0.5387,726,The Hubble Telescope is repairing,0.5387,726,Repair of the Hubble Telescope,0.5387,726,Repairs to the Hubble Telescope,0.5387,726,Repair of the Hubble Telescope,0.5387,726,Repairs of the Hubble Telescope,0.5387,726,Repairs of the Hubble Telescope,0.5387,726,Repair of the Hubble telescope,0.5387,726,Repair of the Hubble telescope,0.5387,726,Hubble telescope repair,0.5387,726,Repairing the Hubble telescope,0.5387
727,Church arson,0.4169,727,Burn the church,0.3258,727,The Church burned down,0.16,727,Burn the church,0.3258,727,The church fire,0.342,727,church fire,0.342,727,Church fire,0.342,727,Fire in the church,0.342,727,Burning the church,0.3258,727,The Church Burning,0.3258,727,Lighting a fire in a church,0.0485
728,whales save endangered,0.4563,728,Fish  except for endangered fish,0.0002,728,Except for the endangered whale,0.3504,728,The whales are endangered,0.4577,728,Whales except for the endangered whales,0.4029,728,whales except threatened species,0.1856,728,Whales other than endangered,0.3233,728,whales  except those in danger of extinction,0.1219,728,Except for the endangered whale,0.3504,728,Except for endangered animals,0.0007,728,except for the endangered whales,0.3504
729,Whistle blower department of defense,0.0033,729,Alert  Defense Department,0.0,729,The Department of Defense is whistling,0.0129,729,Department of Defense,0.0,729,Ministry of Defence,0.0,729,Department of Defence,0.0,729,Ministry of Defence,0.0,729,Murder in Response,0.0,729,Notice of the Department of Defense caller,0.0,729,Ministry of Defence,0.0,729,Whistle blower defense department,0.0033
730,Gastric bypass complications,0.4506,730,complications of the gastrointestinal tract,0.0026,730,Uterine complications,0.0,730,The complexities of the metal planning,0.0,730,The effects of stomach ulcers,0.0001,730,Complications of gastric bypass,0.4506,730,Complications of stomach uptake,0.0259,730,Conditions of bypass of the stomach,0.1387,730,Compliance with abdominal bypass,0.0038,730,The infection of the stomach,0.0004,730,Problems with gastric surgery,0.2993
731,Kurds history,0.2741,731,Kurdish history,0.2529,731,The history of the Kurds,0.2741,731,The history of the Kurds,0.2741,731,He s made the dates,0.0,731,The history of the Kurds,0.2741,731,Kurdish history,0.2529,731,The history of the Kurds,0.2741,731,Kurdish history,0.2529,731,The history of the Kurds,0.2741,731,The History of the Kurds,0.2741
732,U.S. cheese production,0.2734,732,American cheese is made,0.0941,732,The production of cheese in the United States,0.129,732,Cheese production in the United States,0.129,732,U S  cheese production,0.1021,732,Cheese production in the United States,0.129,732,US cheese production,0.206,732,Cheese production in the USA,0.127,732,U S  manufacture of cheese,0.138,732,The production of peanut in the United States,0.0,732,Cheese production in the United States,0.129
733,Airline overbooking,0.2893,733,Airlines have overbooked,0.3072,733,Flight overbooking,0.2404,733,Too many airlines,0.0005,733,Overbooking airlines,0.2893,733,Overbooking of airlines,0.2893,733,Overbooking of airlines,0.2893,733,Transfer of airlines,0.0002,733,Flight ticket location,0.0319,733,Reservations on air travel,0.0197,733,Passing the space of an airplane,0.0
734,Recycling successes,0.235,734,Recycling successfully,0.0019,734,Successful Recycling,0.235,734,Recycling successes,0.235,734,Recycling successes,0.235,734,Successful recycling,0.235,734,Recycling sequence,0.0,734,Successful in processing,0.0,734,Successful Repeat,0.0,734,Recycling Successes,0.235,734,Successful care,0.0001
735,Afghan women condition,0.2393,735,The situation of Afghan women,0.1783,735,The state of women in Afghanistan,0.1537,735,The situation of Afghan women,0.1783,735,The situation of Afghan women,0.1783,735,The situation of Afghan women,0.1783,735,Afghan women,0.2025,735,The condition of Afghan women,0.2393,735,The condition of Afghan women,0.2393,735,The situation of Afghan women,0.1783,735,The situation of Afghan women,0.1783
736,location BSE infections,0.621,736,Location of BSE infection,0.621,736,Location of BSE infection,0.621,736,BSE,0.4577,736,BSE infections,0.611,736,location of infections at the ESB,0.0,736,Infections caused by BSE,0.5841,736,location of the BSE infection,0.621,736,location of BSE infection,0.621,736,BSE infections,0.611,736,BSE infections,0.611
737,Enron California energy crisis,0.6091,737,The energy crisis in California,0.0455,737,The California energy crisis,0.0455,737,The energy crisis in California,0.0455,737,The California Energy Crisis,0.0455,737,Energy crisis in California,0.0455,737,Enron California energy crisis,0.6091,737,The energy crisis in California,0.0455,737,The California Enron energy crisis,0.6091,737,The California energy crisis,0.0455,737,Energy Crisis in Enron California,0.6091
738,Anthrax hoaxes,0.6016,738,The fraud of the carbon virus,0.0,738,The Antractic Trick,0.0,738,Tricks about the Andrax,0.0,738,The tricks of the Anterx,0.0,738,The lies against anthrax,0.0152,738,Counterfeit anthrax,0.0013,738,The anthrax deception,0.0006,738,The anthrax scam,0.0011,738,The lies of the Atharaks,0.0,738,The Tricks of Anthrax,0.0013
739,Habitat for Humanity,0.157,739,The human habitat,0.157,739,The Habitat for Mankind,0.0,739,The home of mankind,0.0,739,A habitat for humans,0.157,739,A Home for Mankind,0.0,739,Habitat for humanity,0.157,739,A haven for mankind,0.0,739,Habitat for the Human,0.157,739,The Bible says that  the earth is the home of the living God,0.0,739,The Place of Human Dwelling,0.0
740,regulate assisted living Maryland,0.2476,740,Managing a living in Maryland,0.1041,740,A life supported in Maryland,0.0001,740,Assisted living systems in Maryland,0.1148,740,Helped life in Maryland,0.0001,740,regulating assisted living in Maryland,0.2476,740,Regulate the life of the welfare state of Maryland,0.0003,740,regulate the assistance in Maryland residency,0.1931,740,Organizing life in Maryland,0.0001,740,The family has been in the family for a long time,0.0,740,leading a life of supporting Maryland,0.0
741,Artificial Intelligence,0.0914,741,AI is the answer,0.0012,741,AI,0.0002,741,Artificial intelligence,0.0914,741,The AI,0.0002,741,Artificial intelligence,0.0914,741,Artificial intelligence,0.0914,741,Artificial intelligence,0.0914,741,Artificial intelligence,0.0914,741,Artificial intelligence,0.0914,741,False intelligence,0.0003
742,hedge funds fraud protection,0.3035,742,Secured funds fraud protection,0.0018,742,Hedge fund fraud protection,0.3035,742,Securities fraud protection,0.0,742,Protecting against hedge fund fraud,0.3495,742,protection against hedge fund fraud,0.3495,742,Protection against hedge fund fraud,0.3495,742,protection against hedge funds,0.1405,742,protection against hedge fund fraud,0.3495,742,hedging financial fraud protection,0.0947,742,protection against hedge funds fraud,0.3495
743,Freighter ship registration,0.0147,743,The cargo ship is registered,0.0255,743,Registering the freight ship,0.0029,743,Record of shipping,0.0003,743,Register of cargo ships,0.0255,743,Register of freight vessels,0.013,743,Registration of freight vehicles,0.0005,743,Registration of cargo vessels,0.0047,743,Registering of cargo vessels,0.0013,743,Freight shipping registration,0.0058,743,Register of freight ships,0.0029
744,Counterfeit ID punishments,0.0201,744,The punishment for fake ID,0.0061,744,The punishment for false identity,0.0016,744,The penalties for a fake identity,0.014,744,False identity punishments,0.0016,744,Sanctions against counterfeiting,0.0038,744,Penalties for counterfeit identification,0.0235,744,Penalties for counterfeiting identity card,0.0498,744,False ID punishment,0.0002,744,Punishment for False Identifiers,0.0002,744,False identity judgments,0.0003
745,Doomsday cults,0.3247,745,The cult of the last days,0.1271,745,The Day of Judgment is New,0.0,745,The Day of Judgment cult,0.0783,745,The Faith of the Last Day,0.0,745,The Worship of the Last Judgment Day,0.0005,745,The Meaning of the Hereafter,0.0,745,The Day of Judgment,0.0,745,Religions of the Last Days,0.0046,745,The final day of worship,0.0002,745,Religions of the Last Days,0.0046
746,Outsource job India,0.2773,746,Working abroad in India,0.0077,746,Outsourcing jobs in India,0.2773,746,A job outside India,0.0246,746,Indian foreign jobs,0.0094,746,Employment outside India,0.0058,746,Exploitation of labour in India,0.0015,746,Work in India,0.0303,746,Employment outside India,0.0058,746,Outsourced jobs India,0.2773,746,Foreign work in India,0.0193
747,Library computer oversight,0.0641,747,Library computer control,0.0018,747,Computer library management,0.0041,747,Supervise the computer library,0.0017,747,Monitoring the library computer,0.0227,747,Monitoring of the library computer,0.0227,747,Computer monitoring of libraries,0.0227,747,Computer control of the library,0.0018,747,Computer monitoring of the library,0.0227,747,Library computer oversight,0.0641,747,The management of library computers,0.0041
748,Nuclear reactor types,0.2877,748,The type of nuclear reaction,0.0056,748,Type of nuclear reactor,0.2877,748,Types of nuclear reactors,0.2877,748,Types of nuclear reactors,0.2877,748,Types of nuclear reactors,0.2877,748,Types of nuclear reactors,0.2877,748,Types of nuclear reactors,0.2877,748,Type of nuclear reactor,0.2877,748,Types of nuclear power plants,0.0403,748,Types of water,0.0
749,Puerto Rico state,0.3428,749,Puerto Rico is a state,0.3428,749,Puerto Rico,0.1395,749,The State of Puerto Rico,0.3428,749,The State of Puerto Rico,0.3428,749,State of Puerto Rico,0.3428,749,State of Puerto Rico,0.3428,749,the state of Puerto Rico,0.3428,749,The State of Puerto Rico,0.3428,749,Puerto Rico State,0.3428,749,The State of Puerto Rico,0.3428
750,John Edwards womens issues,0.0639,750,The women s issue of John Edwards,0.0454,750,John Edwards  the women s issue,0.0454,750,John Edwards women  s issues,0.0454,750,The women of John Edwards,0.0658,750,Questions for Women,0.0,750,The Commission has also adopted a number of proposals,0.0,750,The Women s Problems of John Edwards,0.037,750,John Edwards women s issues,0.0454,750,John Edwards women s issues,0.0454,750,John Edwards s Matters of Women,0.0056
